Year,Month,Day,Pr (mm),Tasmax (degC),Tasmin (degC)
1915,1,1,0.0,13.079142857142857,2.466285714285714
1915,1,2,0.0,13.395571428571428,-0.09200000000000001
1915,1,3,3.5187142857142857,11.656285714285714,2.930142857142857
1915,1,4,11.105857142857142,10.417000000000002,2.746857142857143
1915,1,5,0.18357142857142858,8.862857142857143,2.842142857142857
1915,1,6,12.807571428571428,7.572571428571429,4.456
1915,1,7,0.35900000000000004,9.133714285714285,-2.184285714285714
1915,1,8,13.348857142857142,7.7498571428571426,0.45728571428571424
1915,1,9,0.8455714285714285,8.42057142857143,-2.783857142857143
1915,1,10,0.0,10.665857142857144,-0.6281428571428571
1915,1,11,1.7407142857142857,11.656142857142857,2.8615714285714287
1915,1,12,15.01657142857143,9.377571428571429,2.1485714285714286
1915,1,13,17.38657142857143,8.56242857142857,4.0442857142857145
1915,1,14,9.032571428571428,9.163,4.059714285714286
1915,1,15,0.42857142857142855,8.42,-3.5902857142857143
1915,1,16,0.4857142857142857,8.452142857142857,-3.9355714285714285
1915,1,17,0.0,9.101857142857142,-3.2154285714285717
1915,1,18,0.0,10.717285714285715,-2.7295714285714285
1915,1,19,0.0,12.818,-1.4877142857142858
1915,1,20,0.0,12.514999999999999,-0.25042857142857144
1915,1,21,0.0025714285714285713,12.039571428571428,1.624857142857143
1915,1,22,0.0,13.281857142857143,-0.854
1915,1,23,0.0,12.274857142857144,-2.0747142857142857
1915,1,24,1.2445714285714287,11.321857142857143,3.331714285714286
1915,1,25,13.178428571428572,9.758,4.614714285714285
1915,1,26,1.3262857142857143,10.251000000000001,4.110857142857142
1915,1,27,18.88342857142857,10.152142857142858,7.002714285714286
1915,1,28,17.906428571428574,12.449,8.493428571428572
1915,1,29,18.569714285714287,10.155857142857142,8.966285714285714
1915,1,30,21.094285714285714,9.240571428571428,7.605428571428571
1915,1,31,26.239571428571427,9.249857142857143,7.224285714285714
1915,2,1,32.23571428571429,7.988857142857143,5.054714285714286
1915,2,2,31.932,4.884285714285714,1.8448571428571428
1915,2,3,18.756857142857143,6.810142857142857,0.9225714285714286
1915,2,4,0.23085714285714287,8.926142857142858,-0.3047142857142857
1915,2,5,0.0,11.980428571428572,-3.5494285714285714
1915,2,6,0.010142857142857143,11.423428571428571,0.32642857142857146
1915,2,7,0.2834285714285714,12.064571428571428,0.7354285714285714
1915,2,8,32.295428571428566,9.04657142857143,2.113857142857143
1915,2,9,59.50914285714286,7.489,1.8940000000000001
1915,2,10,31.739571428571427,6.889571428571428,2.3832857142857145
1915,2,11,8.731428571428571,6.252142857142857,2.161142857142857
1915,2,12,0.069,7.724714285714286,-4.8102857142857145
1915,2,13,0.0,9.814,-4.970857142857143
1915,2,14,0.0,11.304428571428572,-3.0162857142857145
1915,2,15,0.16757142857142857,11.362857142857143,-0.46014285714285713
1915,2,16,10.568428571428571,9.371857142857143,3.323714285714286
1915,2,17,22.051142857142857,8.837142857142858,4.813714285714285
1915,2,18,5.384285714285714,9.445142857142857,3.3931428571428572
1915,2,19,0.17514285714285713,9.94057142857143,-1.7337142857142858
1915,2,20,17.31085714285714,8.933428571428571,-2.7778571428571426
1915,2,21,2.509,7.073428571428571,-4.994857142857143
1915,2,22,5.8914285714285715,6.8952857142857145,-0.44114285714285717
1915,2,23,0.9131428571428571,8.947,2.17
1915,2,24,3.047428571428571,8.51757142857143,3.011142857142857
1915,2,25,1.0237142857142856,10.178857142857142,1.9270000000000003
1915,2,26,1.999142857142857,11.008142857142857,1.891
1915,2,27,0.7837142857142857,10.807714285714285,0.37957142857142856
1915,2,28,19.453714285714284,8.841857142857142,1.308142857142857
1915,3,1,0.8214285714285714,6.6615714285714285,2.032142857142857
1915,3,2,0.9985714285714287,8.971714285714285,-0.14385714285714282
1915,3,3,0.0,11.372857142857143,-0.5575714285714286
1915,3,4,0.0,11.535571428571428,-0.7047142857142857
1915,3,5,0.0,12.367857142857142,-2.9345714285714286
1915,3,6,0.0,10.958714285714287,-1.0248571428571427
1915,3,7,0.031714285714285716,12.033285714285714,-0.17842857142857146
1915,3,8,0.0,13.010857142857143,0.41214285714285714
1915,3,9,0.7292857142857142,9.900142857142857,1.3187142857142857
1915,3,10,0.4681428571428571,11.195,1.1097142857142857
1915,3,11,0.28985714285714287,11.807428571428572,0.7394285714285714
1915,3,12,0.009142857142857144,12.274714285714285,2.9332857142857143
1915,3,13,0.0,13.434285714285714,4.634857142857143
1915,3,14,0.0,14.94442857142857,4.316571428571429
1915,3,15,0.0,16.54357142857143,3.5932857142857144
1915,3,16,0.025285714285714286,18.09857142857143,3.2372857142857145
1915,3,17,0.0,17.904999999999998,4.5887142857142855
1915,3,18,0.0,17.39957142857143,4.989142857142857
1915,3,19,0.0,18.94214285714286,3.490285714285714
1915,3,20,0.0,19.57857142857143,2.102
1915,3,21,0.0,20.26271428571429,3.553857142857143
1915,3,22,0.0,20.415,3.8535714285714286
1915,3,23,0.0,19.646857142857144,5.009142857142857
1915,3,24,0.0,19.046857142857142,4.159571428571429
1915,3,25,0.0,15.843142857142857,3.9290000000000003
1915,3,26,1.4321428571428572,11.672142857142857,6.534714285714286
1915,3,27,0.9625714285714285,15.547857142857142,6.227714285714286
1915,3,28,40.92857142857143,10.106285714285713,5.005
1915,3,29,7.687,11.337714285714286,3.7441428571428568
1915,3,30,0.683,10.653857142857143,2.991285714285714
1915,3,31,0.5911428571428572,15.009428571428572,5.33
1915,4,1,0.0,16.087857142857143,3.3512857142857144
1915,4,2,0.0,15.445285714285715,4.698714285714286
1915,4,3,0.0,15.977000000000002,4.727571428571428
1915,4,4,1.7168571428571429,14.587142857142858,3.991714285714286
1915,4,5,3.249,12.125,1.954142857142857
1915,4,6,0.2725714285714286,13.434857142857144,1.9775714285714288
1915,4,7,7.317428571428572,12.288,2.8240000000000003
1915,4,8,0.32371428571428573,13.230857142857142,-0.36357142857142855
1915,4,9,1.5777142857142856,17.796,2.7181428571428574
1915,4,10,0.0,19.48842857142857,3.5902857142857143
1915,4,11,0.0,18.848285714285716,3.3962857142857144
1915,4,12,0.4731428571428571,15.24,3.6675714285714287
1915,4,13,1.8467142857142858,11.759142857142857,2.535428571428571
1915,4,14,1.0758571428571428,15.144571428571426,1.8267142857142857
1915,4,15,0.031,18.27042857142857,2.5021428571428572
1915,4,16,0.0,18.878714285714285,4.722857142857143
1915,4,17,0.0,19.203857142857142,5.564857142857143
1915,4,18,0.5225714285714286,19.767142857142858,4.954428571428571
1915,4,19,0.013285714285714286,19.736428571428572,4.955
1915,4,20,0.03828571428571429,15.465285714285713,4.707285714285714
1915,4,21,4.194571428571429,12.913857142857143,5.276714285714286
1915,4,22,2.8554285714285714,11.127142857142857,3.899857142857143
1915,4,23,0.5102857142857142,10.157142857142857,4.160142857142857
1915,4,24,2.0422857142857143,12.377571428571429,2.9734285714285718
1915,4,25,0.12185714285714284,11.645857142857144,3.575
1915,4,26,0.2255714285714286,14.378714285714286,5.666857142857143
1915,4,27,0.37,14.279142857142856,4.937142857142858
1915,4,28,5.066714285714286,13.601857142857142,2.8534285714285716
1915,4,29,8.604714285714286,10.05,3.0227142857142857
1915,4,30,12.316857142857142,7.839142857142857,1.2941428571428573
1915,5,1,6.283714285714286,6.377428571428571,1.2118571428571427
1915,5,2,0.715,7.0768571428571425,-1.391
1915,5,3,1.6322857142857143,9.205,1.3067142857142857
1915,5,4,8.464857142857142,10.576,3.8305714285714285
1915,5,5,6.163857142857143,10.265857142857143,4.193142857142857
1915,5,6,0.5304285714285715,13.044,3.3924285714285713
1915,5,7,2.1582857142857144,14.482857142857142,3.8324285714285713
1915,5,8,1.112857142857143,12.678571428571429,6.026142857142857
1915,5,9,8.502285714285714,13.06557142857143,5.250857142857143
1915,5,10,4.924,15.455714285714286,6.231714285714286
1915,5,11,20.86885714285714,12.677857142857144,6.555428571428571
1915,5,12,17.574571428571428,12.099714285714287,6.8348571428571425
1915,5,13,26.719571428571427,12.275428571428572,5.202571428571429
1915,5,14,0.5835714285714286,14.787285714285712,3.9961428571428574
1915,5,15,0.0,18.391857142857145,4.956571428571428
1915,5,16,0.07842857142857143,17.55614285714286,6.114571428571428
1915,5,17,30.093999999999998,12.336714285714287,5.6778571428571425
1915,5,18,10.140714285714287,11.489142857142857,6.224571428571428
1915,5,19,2.2645714285714287,12.281142857142857,4.480428571428571
1915,5,20,0.0,14.463571428571429,4.120285714285714
1915,5,21,0.0,16.461,5.990714285714286
1915,5,22,0.0,17.359571428571428,4.927428571428572
1915,5,23,2.584,14.383714285714285,6.490428571428571
1915,5,24,9.259571428571428,13.112857142857143,7.5277142857142865
1915,5,25,0.14257142857142857,17.159285714285716,3.11
1915,5,26,0.0,20.938428571428574,5.531000000000001
1915,5,27,0.0,24.15,7.265428571428571
1915,5,28,0.004428571428571428,23.260285714285715,8.527
1915,5,29,0.0,22.09857142857143,7.628142857142858
1915,5,30,0.0,22.82985714285714,8.728142857142858
1915,5,31,0.0,23.916428571428572,10.269285714285715
1915,6,1,0.0,23.495285714285714,11.460571428571429
1915,6,2,0.0,23.278000000000002,11.285
1915,6,3,0.0,24.288285714285717,11.335857142857142
1915,6,4,0.0,24.866714285714288,11.218571428571428
1915,6,5,0.0,26.632714285714286,10.786571428571428
1915,6,6,0.0,27.252428571428574,11.462
1915,6,7,0.0,27.958571428571428,11.817857142857143
1915,6,8,0.0,27.534285714285716,11.742285714285714
1915,6,9,0.0,26.15414285714286,9.468285714285713
1915,6,10,0.0,23.36357142857143,9.001857142857142
1915,6,11,0.0,21.58742857142857,7.674571428571429
1915,6,12,0.0,22.626714285714286,7.928000000000001
1915,6,13,0.024142857142857143,23.84957142857143,7.484571428571428
1915,6,14,0.0,25.759,8.336
1915,6,15,0.0,26.058999999999997,8.702142857142857
1915,6,16,0.0,24.725571428571428,7.7777142857142865
1915,6,17,0.0,26.133857142857142,8.771571428571429
1915,6,18,0.0,22.98057142857143,8.831285714285713
1915,6,19,0.0,22.62442857142857,7.854142857142857
1915,6,20,0.0,24.23728571428571,7.856714285714286
1915,6,21,0.0,25.841428571428573,8.831
1915,6,22,0.0,26.318714285714286,9.603
1915,6,23,0.0,25.965,8.298571428571428
1915,6,24,0.0,24.487428571428573,7.604285714285713
1915,6,25,0.0,23.16557142857143,5.974571428571429
1915,6,26,0.0,25.56114285714286,7.1201428571428576
1915,6,27,0.0,26.869857142857143,8.632142857142858
1915,6,28,0.16314285714285715,28.074571428571428,10.130857142857142
1915,6,29,0.0,29.492571428571427,10.929
1915,6,30,0.0,29.642142857142854,12.125142857142857
1915,7,1,0.001,27.93942857142857,17.533714285714286
1915,7,2,1.100857142857143,27.876142857142856,14.032285714285715
1915,7,3,0.21314285714285713,27.696428571428573,14.212142857142858
1915,7,4,0.0064285714285714285,25.919142857142855,12.762571428571428
1915,7,5,0.18471428571428572,21.944142857142857,11.663714285714287
1915,7,6,0.0,23.06414285714286,9.608142857142857
1915,7,7,0.0,24.918,10.980428571428572
1915,7,8,0.0,26.06414285714286,12.699428571428571
1915,7,9,0.0,27.071,13.184
1915,7,10,0.0,28.117285714285714,14.253571428571428
1915,7,11,0.0,29.08157142857143,15.940285714285713
1915,7,12,0.0,28.584714285714288,14.390714285714287
1915,7,13,0.0,27.77757142857143,14.11442857142857
1915,7,14,0.0,27.26742857142857,11.537714285714285
1915,7,15,0.0,28.757714285714286,12.608571428571429
1915,7,16,0.0,30.643857142857144,12.694428571428572
1915,7,17,0.0,31.21685714285714,12.588142857142856
1915,7,18,0.0,30.97285714285714,12.729714285714286
1915,7,19,0.0,30.990285714285715,13.62257142857143
1915,7,20,0.008571428571428572,32.38542857142857,15.69957142857143
1915,7,21,0.18471428571428572,33.54957142857143,17.044285714285714
1915,7,22,0.09914285714285714,33.74614285714286,16.970285714285716
1915,7,23,0.7794285714285715,33.52057142857143,16.775714285714287
1915,7,24,0.0,33.745999999999995,16.458714285714283
1915,7,25,0.0,33.484,16.447142857142858
1915,7,26,0.0,30.406999999999996,13.345142857142857
1915,7,27,0.0,27.115,11.95357142857143
1915,7,28,0.0,26.698857142857143,9.929857142857143
1915,7,29,0.0,26.44385714285714,11.462571428571428
1915,7,30,0.0,26.68114285714286,10.853857142857143
1915,7,31,0.0,28.281285714285715,11.501857142857142
1915,8,1,0.11714285714285713,30.943142857142856,14.099571428571428
1915,8,2,0.0,32.044285714285714,14.86257142857143
1915,8,3,0.0,32.02057142857143,13.862
1915,8,4,0.0,32.050714285714285,14.241571428571428
1915,8,5,0.0,31.214,13.632571428571428
1915,8,6,0.0,29.51614285714286,13.157
1915,8,7,0.0,29.353285714285715,12.443142857142856
1915,8,8,0.0,31.273142857142854,12.913714285714287
1915,8,9,0.0,32.30142857142857,14.25457142857143
1915,8,10,0.0,31.364285714285714,14.873714285714287
1915,8,11,0.0,30.393000000000004,14.326714285714285
1915,8,12,0.0,30.00942857142857,13.438714285714287
1915,8,13,0.0,29.951285714285717,14.057428571428572
1915,8,14,0.0,28.41142857142857,15.504428571428571
1915,8,15,0.0,28.13642857142857,15.167714285714286
1915,8,16,0.0,29.072,14.891857142857143
1915,8,17,0.0,30.97657142857143,14.232
1915,8,18,0.0,32.236285714285714,14.629285714285714
1915,8,19,0.0,33.43114285714285,14.596857142857143
1915,8,20,0.0,33.55385714285714,14.616428571428571
1915,8,21,0.0,32.53057142857143,15.333285714285713
1915,8,22,0.0,31.70214285714286,14.607285714285714
1915,8,23,0.03628571428571429,28.645142857142858,17.095142857142857
1915,8,24,0.14485714285714288,29.25057142857143,16.610285714285716
1915,8,25,0.0,30.444,14.857999999999999
1915,8,26,0.0,31.825714285714287,15.724285714285715
1915,8,27,0.0,34.046142857142854,15.902285714285716
1915,8,28,0.0,34.768142857142855,16.44857142857143
1915,8,29,0.0,36.62985714285715,19.468714285714285
1915,8,30,0.1692857142857143,35.395999999999994,19.439285714285713
1915,8,31,0.004857142857142857,32.806285714285714,19.359428571428573
1915,9,1,2.185857142857143,28.239714285714285,16.34042857142857
