Year Range,Year (30y start),Month,Pr (mm),Tasmax (degC),Tasmin (degC),Tave (degC)
1950-1979,1950,1,47.61698644127855,11.759745583333334,2.926358512,7.34305218
1950-1979,1950,2,61.11809111297453,13.814262516666668,4.149375272333334,8.98181889
1950-1979,1950,3,40.30948947712618,16.58685625,5.258824006666667,10.922840133333333
1950-1979,1950,4,22.017815299490564,19.373386333333332,6.782181143333333,13.077783683333333
1950-1979,1950,5,13.229213376494943,23.680506966666666,10.010708136666667,16.84560745
1950-1979,1950,6,1.9181721426526648,28.5943841,13.9731877,21.283785766666664
1950-1979,1950,7,0.9824673689059488,31.70910663333333,16.317128633333333,24.013117566666665
1950-1979,1950,8,1.4781231344659456,31.27321926666667,16.27439025,23.773804633333334
1950-1979,1950,9,5.7782433407521525,29.09461943333333,15.023781783333334,22.059200533333335
1950-1979,1950,10,7.0667796643324285,23.958895666666667,10.966927183333333,17.46291151666667
1950-1979,1950,11,35.49378185407256,16.474335033333332,5.96635669,11.220345783333332
1950-1979,1950,12,59.097300007827556,11.595823846666667,2.852644880666667,7.2242343700000005
1951-1980,1951,1,46.89892838739301,11.814115683333334,2.990922525333333,7.402519226666667
1951-1980,1951,2,60.400048876153484,13.722753816666666,4.107924359,8.915339073333334
1951-1980,1951,3,43.20083497326778,16.406267983333333,5.1727489066666665,10.789508433333333
1951-1980,1951,4,21.654359713748068,19.36299593333333,6.785823796666667,13.074409816666668
1951-1980,1951,5,11.823505196457061,23.715691699999997,10.041553753333334,16.878622616666668
1951-1980,1951,6,1.4724416091098673,28.522879699999997,13.897514866666667,21.210197133333335
1951-1980,1951,7,1.0644633557255216,31.787682266666668,16.387221633333333,24.0874519
1951-1980,1951,8,1.4445551084113544,31.33534643333333,16.330262516666668,23.8328043
1951-1980,1951,9,6.439280090137255,29.10936996666667,15.026491850000001,22.06793083333333
1951-1980,1951,10,7.03613540884579,24.097332866666665,11.076114350000001,17.586723683333332
1951-1980,1951,11,34.646111267606464,16.412409133333334,5.88953758,11.15097325
1951-1980,1951,12,58.58416491914144,11.58361848,2.8183594006666666,7.20098897
1952-1981,1952,1,47.662903419471974,11.861378666666667,3.031258358666667,7.446318626666667
1952-1981,1952,2,62.65713963875069,13.742846250000001,4.146157725666667,8.944501973333333
1952-1981,1952,3,44.80097846558437,16.34608955,5.166719806666666,10.756404666666667
