Year Range,Year (30y start),Month,Pr (mm),Tasmax (degC),Tasmin (degC),Tave (degC)
1950-1979,1950,1,149.92034940955486,10.251833023333335,0.1498022082,5.200817592000001
1950-1979,1950,2,181.1173847884913,11.71080465,0.8271216556666666,6.26896317
1950-1979,1950,3,147.57411795643185,13.426104133333332,1.3229198686666666,7.374511943333333
1950-1979,1950,4,89.56541515456404,16.9223164,3.2117382400000003,10.067027243333333
1950-1979,1950,5,34.96174405894151,21.813401066666664,6.266150126666667,14.0397756
1950-1979,1950,6,14.005966723075876,26.8014756,9.654049963333334,18.227762833333333
1950-1979,1950,7,2.1321385265309,31.142695399999997,12.592541583333334,21.867618333333333
1950-1979,1950,8,1.4073090617607487,30.744707333333334,12.096940933333334,21.420823933333335
1950-1979,1950,9,16.902592906675,27.9630874,10.90541144,19.434249333333334
1950-1979,1950,10,41.84200195666748,21.955478000000003,6.979136366666666,14.467307116666666
1950-1979,1950,11,135.07791505709866,14.753796083333333,2.757532326233333,8.75566417
1950-1979,1950,12,155.14592096759904,9.848618496666667,-0.020161346333333344,4.914228583333334
1951-1980,1951,1,154.84982091585587,10.04830781,-0.016361808466666676,5.0159729786666665
1951-1980,1951,2,180.48226135764168,11.693861016666666,0.8254795696666667,6.2596703300000005
1951-1980,1951,3,144.9303221641721,13.5899483,1.4244824466666666,7.507215333333333
1951-1980,1951,4,86.30109992880216,17.0423815,3.279514573333333,10.160947976666668
1951-1980,1951,5,35.284555980675094,21.773191999999998,6.217765259999999,13.9954786
1951-1980,1951,6,13.657119545411707,26.735444766666667,9.59563761,18.165541233333332
1951-1980,1951,7,2.2548268385499792,31.132244133333334,12.592049516666666,21.862146666666668
1951-1980,1951,8,3.124764144093397,30.6437646,12.045919233333333,21.344841733333332
1951-1980,1951,9,16.720258664924348,27.830245833333333,10.798474106666667,19.314359966666665
1951-1980,1951,10,41.900312893896306,21.874197533333334,6.9202947,14.397246099999998
1951-1980,1951,11,135.3205810310445,14.707064449999999,2.6906084762333333,8.69883642
1951-1980,1951,12,152.84788220445503,9.830445596666667,-0.04761765606666668,4.89141397
1952-1981,1952,1,167.54191849722895,10.07532841,0.012662486666666669,5.043995428666666
1952-1981,1952,2,176.73292715442116,11.7254062,0.8418363863333334,6.28362133
1952-1981,1952,3,146.71760194437985,13.655918466666666,1.4710586533333334,7.563488513333334
1952-1981,1952,4,90.09578039370776,16.93354515,3.235240903333333,10.084392976666667
1952-1981,1952,5,35.2625142423236,21.794717066666667,6.278671256666667,14.0366941
1952-1981,1952,6,12.673714086490282,26.9122359,9.710959743333332,18.3115979
1952-1981,1952,7,2.243227153897669,31.232742266666666,12.669203483333332,21.950972733333334
1952-1981,1952,8,3.124764144093397,30.6921653,12.1146973,21.403431133333335
1952-1981,1952,9,14.973736866176514,27.6481438,10.640177406666668,19.144160566666667
1952-1981,1952,10,40.50293093008059,21.82382426666667,6.88917637,14.3565003
1952-1981,1952,11,133.77705774416543,14.791925683333334,2.78425462,8.788090086666667
1952-1981,1952,12,153.63326110207217,9.881236563333333,0.003301423933333325,4.942268986666666
1953-1982,1953,1,165.44171526669118,10.334675853333332,0.21791975333333333,5.276297783333334
1953-1982,1953,2,171.24825948915344,11.892842400000001,0.8766186006666666,6.38473053
1953-1982,1953,3,143.5515588839368,13.8312274,1.5786998700000001,7.704963556666667
1953-1982,1953,4,89.76999896775078,16.989723383333335,3.23218127,10.11095226
1953-1982,1953,5,34.727514437012026,21.877439566666666,6.31828096,14.097860200000001
1953-1982,1953,6,12.89161590858912,26.885832466666667,9.689264356666666,18.2875485
1953-1982,1953,7,2.32411855106327,31.25849936666667,12.715869383333334,21.987184266666667
1953-1982,1953,8,3.739927349222476,30.713844733333335,12.179024733333334,21.4464346
1953-1982,1953,9,16.92551249928884,27.6118975,10.701326139999999,19.156611833333333
1953-1982,1953,10,40.58415861685511,21.790339099999997,6.87354087,14.331939966666665
1953-1982,1953,11,130.87686630006547,14.622398716666668,2.6324328436666664,8.627415719999998
1953-1982,1953,12,158.60428340992976,9.87775083,0.03741060326666667,4.957580713333333
1954-1983,1954,1,164.49935411269797,10.406238053333334,0.2905275766666667,5.348382796666667
1954-1983,1954,2,176.50414718790486,11.893467333333332,0.9202092856666667,6.40683833
1954-1983,1954,3,142.14959592990635,13.901204250000001,1.62668389,7.7639439900000005
1954-1983,1954,4,89.49099303809271,16.955358683333333,3.230291693333333,10.092825159999999
1954-1983,1954,5,34.1745355069488,22.098574133333333,6.480904033333333,14.289738983333333
1954-1983,1954,6,12.440841263112095,27.005199100000002,9.749226810000001,18.37721303333333
1954-1983,1954,7,2.176126994064509,31.3414438,12.781837983333332,22.061640833333335
1954-1983,1954,8,4.838708126945838,30.690908033333333,12.206771266666665,21.448839500000002
1954-1983,1954,9,16.924487236648115,27.5040801,10.599466439999999,19.051773266666665
