Year Range,Year (30y start),Month,Pr (mm),Tasmax (degC),Tasmin (degC),Tave (degC)
1950-1979,1950,1,72.33357505556636,12.060487109286905,1.728084781691785,6.8942859454893455
1950-1979,1950,2,66.71073171037501,14.591045967014555,3.139765002544735,8.865405484779645
1950-1979,1950,3,56.43592814002867,18.105890495173533,4.807280831882354,11.456585663527942
1950-1979,1950,4,25.777744851791933,21.718208869038968,6.57237849498594,14.145293682012456
1950-1979,1950,5,13.314971932292936,25.959081781583695,9.21932177627902,17.589201778931358
1950-1979,1950,6,3.1788038692148493,30.24972007484705,11.802562076595303,21.026141075721174
1950-1979,1950,7,0.16063410380073737,32.66306318849164,12.578243084830179,22.62065313666091
1950-1979,1950,8,0.48184073890567747,32.45485010988258,12.291284677184397,22.373067393533486
1950-1979,1950,9,4.601587575022169,30.229231736687815,11.123222622104482,20.67622717939615
1950-1979,1950,10,25.80537797319926,25.46319012913332,8.58906238618155,17.026126257657435
1950-1979,1950,11,42.2960892043533,17.76046841992645,4.453286626025906,11.106877522976179
1950-1979,1950,12,59.544678565661705,12.198698819871348,1.5505331514294067,6.874615985650378
1951-1980,1951,1,68.54192261143041,12.070132769616158,1.6403243393241729,6.855228554470165
1951-1980,1951,2,71.7300089484558,14.604465159817755,3.2636431158612407,8.934054137839498
1951-1980,1951,3,55.3671448692206,18.193689276008794,4.827358873170703,11.510524074589746
1951-1980,1951,4,26.312147173263615,21.75415294015882,6.582631771440388,14.168392355799604
1951-1980,1951,5,12.729368515248929,26.15321792727604,9.301910274180647,17.727564100728344
1951-1980,1951,6,3.2029638891128083,30.290006229664456,11.852518396859239,21.071262313261848
1951-1980,1951,7,0.16063410380073737,32.697270956110444,12.643333743814171,22.67030234996231
1951-1980,1951,8,0.48184073890567747,32.47888091621083,12.321676313333027,22.400278614771928
1951-1980,1951,9,4.60145564480958,30.351385167024837,11.176234471366332,20.763809819195583
1951-1980,1951,10,25.067342669955977,25.615398178140765,8.602016569619918,17.108707373880343
1951-1980,1951,11,43.6847460675161,17.88140340833214,4.50807312153994,11.19473826493604
1951-1980,1951,12,62.628521923971675,12.173804002826834,1.5364973033099523,6.855150653068392
1952-1981,1952,1,66.88888388502788,12.062466548383593,1.617981372835856,6.840223960609725
1952-1981,1952,2,69.880115571879,14.70686147769259,3.333802023929084,9.020331750810836
1952-1981,1952,3,55.985285253277986,18.13052848634063,4.783901258142082,11.457214872241357
1952-1981,1952,4,26.475675529759283,21.742009969739488,6.575148081627598,14.15857902568354
1952-1981,1952,5,12.794563208861607,26.196597319641068,9.345826386734927,17.771211853187996
1952-1981,1952,6,3.0753292324924066,30.43610417956612,11.893868447091126,21.16498631332862
1952-1981,1952,7,0.16063410380073737,32.69404108523787,12.650591029958807,22.672316057598337
1952-1981,1952,8,0.48184073890567747,32.43985961482656,12.334864614027628,22.387362114427095
1952-1981,1952,9,4.60145564480958,30.326516961228897,11.145447094138524,20.73598202768371
1952-1981,1952,10,23.195656956701555,25.60561796601838,8.538342495353293,17.071980230685835
1952-1981,1952,11,42.77159336657641,17.86367447764911,4.471239786689027,11.167457132169067
1952-1981,1952,12,58.1636938412605,12.271211430958177,1.5340300235509008,6.902620727254539
1953-1982,1953,1,64.2005930336078,12.036688577089935,1.5344126518852677,6.785550614487602
1953-1982,1953,2,69.23031560360599,14.740682662232725,3.278904031520989,9.009793346876856
1953-1982,1953,3,55.187917938184,18.254764503704486,4.9084853103675785,11.581624907036032
1953-1982,1953,4,27.376986392955704,21.93142731779941,6.694691373622061,14.313059345710736
1953-1982,1953,5,14.070930949375771,26.13182281165997,9.344112831263182,17.737967821461574
1953-1982,1953,6,3.2082688837965554,30.439121685606086,11.94123565507845,21.190178670342267
1953-1982,1953,7,0.16063410380073737,32.63128246763739,12.65894572812103,22.645114097879212
1953-1982,1953,8,0.7873789349168493,32.33685077575736,12.340553698233913,22.338702236995637
1953-1982,1953,9,4.466622779051381,30.415802442999734,11.17167196681359,20.793737204906662
1953-1982,1953,10,23.1934113783703,25.73007655357078,8.667839430185094,17.198957991877936
1953-1982,1953,11,42.747364363967364,17.88861383137264,4.472607812651781,11.180610822012211
1953-1982,1953,12,54.393929278417104,12.379909093552639,1.5152712889009738,6.947590191226807
1954-1983,1954,1,64.57248585422546,12.012486738312113,1.5380688977731163,6.775277818042615
1954-1983,1954,2,71.59336593904418,14.732283846692797,3.392664993865936,9.062474420279367
1954-1983,1954,3,56.010620962274196,18.265637942261893,4.955560755713563,11.610599348987728
1954-1983,1954,4,28.335699380015285,21.986058693910277,6.766261776418049,14.376160235164162
1954-1983,1954,5,15.210132396609879,26.015330771903688,9.292217709625747,17.65377424076472
1954-1983,1954,6,3.2271909765131728,30.354217406942038,11.934731464282267,21.144474435612153
1954-1983,1954,7,0.16284970089800188,32.68976888681717,12.749142194226327,22.719455540521746
1954-1983,1954,8,0.7156997846371084,32.23637740105578,12.28358557342777,22.259981487241777
1954-1983,1954,9,4.466622779051381,30.43966977087585,11.162918282889008,20.80129402688243
1954-1983,1954,10,19.313129907200558,25.86106864825365,8.649702937456551,17.2553857928551
1954-1983,1954,11,42.82830059885721,17.87916559677304,4.50830766726765,11.193736632020345
1954-1983,1954,12,53.04965515223265,12.462296220874242,1.6246114237325402,7.043453822303391
1955-1984,1955,1,62.76837296139717,12.024022009261762,1.4809226029976634,6.752472306129714
1955-1984,1955,2,72.38120490005653,14.871302169496182,3.5008693675751337,9.186085768535659
1955-1984,1955,3,55.15143298862414,18.280569402245963,4.945183235258548,11.612876318752255
1955-1984,1955,4,28.87517518405034,21.89989895954742,6.7208855798065015,14.31039226967696
1955-1984,1955,5,15.037480615582753,25.94608298864696,9.26714196526762,17.60661247695729
1955-1984,1955,6,3.40467354375704,30.201948682285618,11.854603608197381,21.0282761452415
1955-1984,1955,7,0.47451963853783447,32.61868165384265,12.775549669794275,22.697115661818465
1955-1984,1955,8,0.7156997846371084,32.17931603321916,12.269677881237568,22.224496957228364
1955-1984,1955,9,4.466622779051381,30.4990137781056,11.218243629200684,20.858628703653142
1955-1984,1955,10,19.44416770487314,25.923651397955226,8.765450780633198,17.344551089294214
1955-1984,1955,11,44.2794976159507,17.91390752856087,4.593512229415572,11.253709878988222
1955-1984,1955,12,56.43222279128262,12.588477256425554,1.766843162402976,7.177660209414265
1956-1985,1956,1,68.64953933142516,12.123054236485142,1.627132715864467,6.875093476174806
1956-1985,1956,2,68.66926288825286,15.041921015981728,3.5531604948235365,9.297540755402633
1956-1985,1956,3,52.9539257085319,18.298637431327098,4.934063691789584,11.61635056155834
1956-1985,1956,4,28.958214414923336,21.912299026927954,6.741575683973168,14.32693735545056
1956-1985,1956,5,14.85368911905837,25.936199447708734,9.261012840486151,17.59860614409744
1956-1985,1956,6,3.4264854871522386,30.07807035575104,11.829481898310044,20.953776127030544
1956-1985,1956,7,0.47451963853783447,32.55835746652124,12.760479608282365,22.659418537401802
1956-1985,1956,8,0.5386884471549725,32.22513977642823,12.22006386170955,22.22260181906889
1956-1985,1956,9,4.554966593276551,30.383932682443447,11.154617000837726,20.769274841640588
1956-1985,1956,10,16.044952509881927,26.00423439967293,8.722380706491112,17.36330755308202
1956-1985,1956,11,46.096094719848594,17.926810195555333,4.657204390661445,11.292007293108389
1956-1985,1956,12,61.2346522056941,12.556773348354458,1.7989130299094613,7.177843189131959
1957-1986,1957,1,68.57561029148356,12.148825184077538,1.6833870299517575,6.916106107014648
1957-1986,1957,2,69.85448135588119,15.050833058851417,3.515914033111869,9.283373545981643
1957-1986,1957,3,51.656081236143216,18.380660882925902,4.9712641142250105,11.675962498575455
1957-1986,1957,4,29.485065343861688,21.895668213080345,6.769616359660328,14.332642286370337
1957-1986,1957,5,14.932856827568749,25.8989476821272,9.293057227340894,17.596002454734048
1957-1986,1957,6,3.4691475319984826,30.01029206199619,11.78597784485482,20.8981349534255
1957-1986,1957,7,0.4710189385030818,32.60924884874452,12.857092271387907,22.73317056006622
1957-1986,1957,8,0.5423476793415755,32.172939786503,12.206013426467708,22.189476606485353
1957-1986,1957,9,5.339192983386372,30.464989672870555,11.179834306860696,20.822411989865625
1957-1986,1957,10,16.554792081798162,26.007365274174774,8.69302568860913,17.35019548139195
1957-1986,1957,11,49.541451620991296,17.851765855672127,4.593014554347585,11.222390205009855
1957-1986,1957,12,63.931986731818355,12.63269052698396,1.9467177248994512,7.2897041259417055
1958-1987,1958,1,65.30641524776824,12.195967172843142,1.6621709067352564,6.929069039789199
1958-1987,1958,2,69.85837020995184,15.224247843936125,3.6049805838300304,9.414614213883079
1958-1987,1958,3,54.198511143376564,18.41507288494438,5.03190770922628,11.72349029708533
1958-1987,1958,4,29.2798192708616,21.87306406917737,6.823291827530132,14.348177948353753
1958-1987,1958,5,15.19759904840705,25.69901435405155,9.24812614773082,17.473570250891182
1958-1987,1958,6,3.4695634601311456,29.876407020171694,11.762050219745555,20.819228619958622
1958-1987,1958,7,0.682464357223511,32.567278503376684,12.903078396842595,22.73517845010964
1958-1987,1958,8,0.5475723496133437,32.22292805585713,12.217139215266444,22.220033635561787
1958-1987,1958,9,6.1833474513768065,30.31869171735385,11.159312748883083,20.739002233118466
1958-1987,1958,10,16.09207441620792,26.008011267441418,8.664727115437508,17.336369191439463
1958-1987,1958,11,48.059949846905816,17.771009638148332,4.4237980769231005,11.097403857535715
1958-1987,1958,12,65.79833391432415,12.546755604421643,1.8558467484926255,7.201301176457134
1959-1988,1959,1,72.25254821381196,12.140929636979306,1.7406874018958418,6.9408085194375735
1959-1988,1959,2,68.14724547798022,15.334256562417155,3.6262050974489326,9.480230829933044
1959-1988,1959,3,54.490653361209475,18.459965325018587,5.0903619618369085,11.775163643427748
1959-1988,1959,4,27.664342727161777,22.00226236599774,6.893992182947284,14.448127274472512
1959-1988,1959,5,15.19816902850158,25.69498300653482,9.286853008068062,17.490918007301442
1959-1988,1959,6,3.5386711045967862,29.83453235783316,11.801660034843652,20.818096196338406
1959-1988,1959,7,1.1137420618840035,32.554391505881576,12.951782757103471,22.75308713149252
1959-1988,1959,8,0.5639057543054005,32.08341606100554,12.188525100571495,22.13597058078852
1959-1988,1959,9,6.183261004466873,30.37159164511706,11.194642689667125,20.783117167392092
1959-1988,1959,10,16.15669242007931,25.987202570300187,8.710937584445986,17.349070077373085
1959-1988,1959,11,47.545149602175364,17.82241763336492,4.474955189667127,11.148686411516024
1959-1988,1959,12,65.7212438830859,12.565639146534773,1.8602324019017165,7.212935774218244
1960-1989,1960,1,74.56520027168085,12.09044001928014,1.7077984379112376,6.899119228595688
1960-1989,1960,2,66.06639678856777,15.335257782876381,3.529343316651605,9.432300549763994
1960-1989,1960,3,55.04814698794508,18.447543907495415,5.084026509864486,11.76578520867995
1960-1989,1960,4,30.62282295489157,21.93491678731427,6.96825451024672,14.451585648780496
1960-1989,1960,5,15.343150650392971,25.65112169206804,9.291752768505878,17.471437230286956
1960-1989,1960,6,3.5426496511677597,29.781975774876187,11.792593444966515,20.78728460992135
1960-1989,1960,7,1.112193716743936,32.562732017121846,12.959902717515202,22.761317367318522
1960-1989,1960,8,0.5420389475806224,32.14451524932563,12.218290727774434,22.18140298855003
1960-1989,1960,9,6.4670041749428355,30.535848000740604,11.292648062657852,20.914248031699227
1960-1989,1960,10,16.15669242007931,25.94105826654027,8.72193593327038,17.331497099905327
1960-1989,1960,11,48.244308670340615,17.865065487355547,4.555249607705686,11.210157547530617
1960-1989,1960,12,67.6832332288477,12.505650180317856,1.9458022829195563,7.225726231618706
1961-1990,1961,1,73.09636098726075,12.074133940551238,1.7386599424181555,6.906396941484697
1961-1990,1961,2,69.78343708492487,15.379871325594888,3.689348545026521,9.534609935310705
1961-1990,1961,3,53.840368650554204,18.424216811414414,5.066804930410673,11.745510870912543
1961-1990,1961,4,29.660512172808463,21.979552985534454,6.992193915567962,14.485873450551207
1961-1990,1961,5,15.479628190921837,25.590799748072012,9.305597519080406,17.448198633576208
1961-1990,1961,6,3.5421498203766792,29.660597270026003,11.812005898832094,20.736301584429047
1961-1990,1961,7,1.112193716743936,32.56992453321211,12.987737612584851,22.778831072898477
1961-1990,1961,8,0.6200826853129395,32.164418505826355,12.322052931317698,22.243235718572024
1961-1990,1961,9,6.726090097345485,30.56552230538561,11.38874512477542,20.977133715080516
1961-1990,1961,10,17.291808609231417,25.818334911371416,8.722755910923777,17.270545411147598
1961-1990,1961,11,46.465466233372254,17.905243343895712,4.571863344988368,11.238553344442039
1961-1990,1961,12,68.09400856991553,12.488053429475453,1.9522234879326212,7.220138458704038
1962-1991,1962,1,78.4739237106085,12.009188609399695,1.7890244442427758,6.899106526821236
1962-1991,1962,2,65.65949094188896,15.527589031472994,3.758716091542505,9.64315256150775
1962-1991,1962,3,56.71128289016772,18.410398169329014,5.1296327569859805,11.770015463157497
1962-1991,1962,4,28.825982608482377,22.127884831639737,7.017500849844623,14.57269284074218
1962-1991,1962,5,15.471961086965655,25.59823861506859,9.330099809254948,17.46416921216177
1962-1991,1962,6,3.4243897256239597,29.732925430689125,11.857001255038387,20.794963342863756
1962-1991,1962,7,1.112193716743936,32.52729139350235,13.015126284166124,22.77120883883424
1962-1991,1962,8,0.6190287078350918,32.05696747126783,12.29044389277979,22.17370568202381
1962-1991,1962,9,6.726090097345485,30.73315595862473,11.580267757958211,21.156711858291473
1962-1991,1962,10,17.450712475697394,25.728505017852633,8.738321501352333,17.233413259602482
1962-1991,1962,11,47.40981111548153,17.945802644079034,4.651179975081365,11.298491309580198
1962-1991,1962,12,69.42930787027812,12.464429615977963,1.9919137812582473,7.228171698618104
1963-1992,1963,1,77.65084421243935,12.072505264287987,1.819944091631677,6.946224677959831
1963-1992,1963,2,68.90590641131833,15.650763140107268,3.9081750651720317,9.779469102639649
1963-1992,1963,3,55.24314969788946,18.602029078637276,5.232868395885051,11.917448737261166
1963-1992,1963,4,28.119161126180003,22.314450051901247,7.097012932813738,14.705731492357492
1963-1992,1963,5,15.697946938481447,25.530681208702276,9.35409984053667,17.442390524619473
1963-1992,1963,6,3.902287284679921,29.51228508416499,11.792090439400033,20.65218776178251
1963-1992,1963,7,1.112193716743936,32.511101975036915,13.073279692522723,22.79219083377982
1963-1992,1963,8,0.6190287078350918,32.07327265780676,12.350386799230698,22.211829728518733
1963-1992,1963,9,7.304470418886621,30.656089155527656,11.626781501918241,21.14143532872295
1963-1992,1963,10,17.591484302391297,25.732772043040146,8.770185346407647,17.2514786947239
1963-1992,1963,11,46.958276711452875,18.010962145493416,4.649791074810628,11.330376610152024
1963-1992,1963,12,67.23992235712628,12.47753178913243,1.8618478385064425,7.169689813819436
1964-1993,1964,1,76.545825314985,12.112808694057142,1.8539008344436365,6.9833547642503895
1964-1993,1964,2,67.96002488020298,15.596057502320575,3.8530923671083768,9.724574934714475
1964-1993,1964,3,53.76275978041052,18.6134494737034,5.19445684943419,11.903953161568797
1964-1993,1964,4,26.293330932047926,22.314435456579034,7.038748922518477,14.676592189548755
1964-1993,1964,5,12.87836057195007,25.520368190277487,9.317674896403183,17.41902154334033
1964-1993,1964,6,3.905894730183874,29.602716577584765,11.820367709547419,20.711542143566092
1964-1993,1964,7,1.09177973962674,32.568787949281926,13.082422557910862,22.825605253596393
1964-1993,1964,8,0.6074388514877264,32.05081711016221,12.343244010798532,22.197030560480368
1964-1993,1964,9,7.300383458192909,30.64565307522341,11.610789793973408,21.12822143459841
1964-1993,1964,10,16.674977041452742,25.739954168605273,8.719978729163165,17.22996644888422
1964-1993,1964,11,49.25714381670171,18.04945704414945,4.7161889819165435,11.382823013032997
1964-1993,1964,12,69.53900003306447,12.595300692251321,2.0140352202820933,7.304667956266707
1965-1994,1965,1,80.77687374481876,12.211569482579774,1.999480506787422,7.105524994683598
1965-1994,1965,2,66.73318771885167,15.70199364823117,3.9381845553198827,9.820089101775526
1965-1994,1965,3,54.543708733133386,18.563912604742388,5.239790842767806,11.901851723755097
1965-1994,1965,4,26.664779770802372,22.329841052502207,7.089247485370555,14.709544268936382
1965-1994,1965,5,12.16079538123453,25.620947977908372,9.383667056439887,17.502307517174128
1965-1994,1965,6,3.9107568508819153,29.40333564764231,11.75428928710181,20.57881246737206
1965-1994,1965,7,1.1507944034412283,32.610436482095714,13.199445689349316,22.904941085722516
1965-1994,1965,8,0.6074388514877264,31.98750028271042,12.366006912379477,22.176753597544952
1965-1994,1965,9,7.434139749312195,30.62042787399235,11.667267620617253,21.1438477473048
1965-1994,1965,10,17.6022910633639,25.748125578638454,8.783463251613162,17.265794415125807
1965-1994,1965,11,46.87878433878542,18.066644221663775,4.637032502003228,11.3518383618335
1965-1994,1965,12,67.87152530474981,12.537928166738359,1.8694423871449681,7.2036852769416635
1966-1995,1966,1,81.18262961976873,11.991367155190263,1.8065059850893619,6.898936570139812
1966-1995,1966,2,67.64900981421525,15.54716500519452,3.813970868209467,9.680567936701994
1966-1995,1966,3,56.15676775379209,18.57116553274097,5.340680407567087,11.95592297015403
1966-1995,1966,4,27.897997000467747,22.364440995744733,7.116193716765029,14.740317356254879
1966-1995,1966,5,11.807990390048007,25.760299305134573,9.444460656845697,17.602379980990133
1966-1995,1966,6,3.9181383610845293,29.3622693165125,11.754175612798683,20.558222464655593
1966-1995,1966,7,1.0696534851330617,32.69530374699227,13.22575079070797,22.960527268850125
1966-1995,1966,8,0.5950382356202242,32.023924808285656,12.362219955154076,22.193072381719865
1966-1995,1966,9,5.934998473223652,30.565072673095155,11.645629363041495,21.105351018068326
1966-1995,1966,10,17.92306663809346,25.707425564921493,8.812915782554162,17.26017067373783
1966-1995,1966,11,45.23278516347955,18.027038424357784,4.581744104961901,11.304391264659841
1966-1995,1966,12,68.10070832827559,12.65341266701211,1.956945441885926,7.305179054449018
1967-1996,1967,1,80.19372212121908,12.099807709196908,1.8636324864651703,6.981720097831039
1967-1996,1967,2,66.7740986470804,15.694045244769061,3.8968384560701512,9.795441850419605
1967-1996,1967,3,52.75524531866511,18.72197078375256,5.425604563342427,12.073787673547493
1967-1996,1967,4,26.922348450492454,22.43154200508695,7.14662683778897,14.789084421437959
1967-1996,1967,5,11.98548391735494,25.716893958486093,9.476800270462087,17.59684711447409
1967-1996,1967,6,3.910314221053942,29.420706421941798,11.820546981230597,20.620626701586197
