Year Range,Year (30y start),Month,Pr (mm),Tasmax (degC),Tasmin (degC),Tave (degC)
1950-1979,1950,1,204.62712936094476,5.9620848466666665,-5.3855442600000005,0.2882702983333333
1950-1979,1950,2,172.43646374967688,6.84615176,-5.536365096666667,0.6548933520000001
1950-1979,1950,3,172.75562512777998,9.461600220000001,-4.162116541333334,2.6497418093333334
1950-1979,1950,4,76.01352825982462,13.011157133333333,-2.0590220719,5.476067493333333
1950-1979,1950,5,54.279466907544226,17.8103652,1.6577436846666667,9.73405453
1950-1979,1950,6,22.322969735323785,23.251017966666666,5.490151653333333,14.370584766666667
1950-1979,1950,7,7.720972814997588,28.002786099999998,9.13123933,18.567012633333334
1950-1979,1950,8,10.128507239694914,27.508853833333333,8.340321679999999,17.924587499999998
1950-1979,1950,9,26.18170208394495,23.8428228,5.460876203333333,14.65184925
1950-1979,1950,10,69.98635532591766,17.799115233333335,1.3005894384666665,9.549852280000001
1950-1979,1950,11,137.2218737134873,9.25384262,-3.8941335733333333,2.679854527666667
1950-1979,1950,12,217.3195100108896,5.550158086666666,-5.45281643,0.04867080066666667
1951-1980,1951,1,215.58263633869504,5.664585856666666,-5.6635862333333336,0.0004998183333333313
1951-1980,1951,2,174.3765424640651,6.786554636666667,-5.57521633,0.6056691776666666
1951-1980,1951,3,169.64873273907742,9.557173053333333,-4.170206424666667,2.693483286
1951-1980,1951,4,72.09569859024323,13.1670398,-2.0334573219,5.5667912133333335
1951-1980,1951,5,55.04076905465191,17.9436208,1.7385495513333333,9.841085263333333
1951-1980,1951,6,22.633220608078773,23.3358463,5.572033893333333,14.453940066666666
1951-1980,1951,7,7.648948992928797,27.99013066666667,9.12872683,18.5594287
1951-1980,1951,8,10.214746824918922,27.406466833333337,8.258040713333333,17.832253533333336
1951-1980,1951,9,26.18163422165083,23.825083733333333,5.429437836666667,14.627260549999999
1951-1980,1951,10,69.49013302885795,17.789996133333332,1.2694441318,9.529720046666666
1951-1980,1951,11,141.4588251449045,9.365792653333333,-3.8225871356666667,2.771602781
1951-1980,1951,12,214.81024121568598,5.47140612,-5.520363846666667,-0.02447889599999998
1952-1981,1952,1,203.58199278345057,5.592041736666667,-5.818986600000001,-0.11347241500000002
1952-1981,1952,2,173.4920057755254,6.79714479,-5.530590243333333,0.6332773013333334
1952-1981,1952,3,177.05143713921908,9.501059386666666,-4.212304534666667,2.644377386
1952-1981,1952,4,70.20176874370276,13.28278765,-1.9378989352333333,5.672444336666667
1952-1981,1952,5,55.17264560087458,17.932887133333335,1.7451614149999999,9.83902433
1952-1981,1952,6,22.892148539256823,23.230040966666664,5.518332473333333,14.374186666666667
1952-1981,1952,7,7.621577048033685,28.055301166666666,9.174019063333333,18.614660033333333
1952-1981,1952,8,10.188337899995068,27.35524816666667,8.198901213333333,17.777074433333333
1952-1981,1952,9,26.153004889128546,23.8016297,5.418922616666666,14.610275949999998
1952-1981,1952,10,71.07846360806064,17.4689376,1.0384918818,9.25371468
1952-1981,1952,11,143.847080695201,9.17928412,-3.8276573189999996,2.6758134276666667
1952-1981,1952,12,211.64844940600636,5.485283066666667,-5.501866613333333,-0.008291808000000012
1953-1982,1953,1,201.17096516091618,5.567300380000001,-5.84138589,-0.13704274166666666
1953-1982,1953,2,178.12591220859818,6.644934723333334,-5.599284093333334,0.5228253313333334
1953-1982,1953,3,181.06206799336002,9.552015766666667,-4.086517364666666,2.7327491726666664
1953-1982,1953,4,70.41647435278313,13.316650683333334,-1.9365666343999999,5.690042016666666
1953-1982,1953,5,55.193475804005246,17.969620266666666,1.797926635,9.883773496666667
1953-1982,1953,6,24.150392820579167,23.057871799999997,5.4451704733333335,14.2515211
1953-1982,1953,7,7.642475073114131,28.024685666666667,9.17992253,18.602304033333333
1953-1982,1953,8,10.199999818025535,27.3126773,8.15232753,17.7325022
1953-1982,1953,9,22.70234830865413,23.793022866666668,5.397511426666667,14.595266916666667
1953-1982,1953,10,73.5325721207917,17.403143366666665,1.0285981841333334,9.215870736666666
1953-1982,1953,11,140.13775148593126,9.121843653333334,-3.834872685666667,2.643485511
1953-1982,1953,12,218.63619881798297,5.472190766666667,-5.480695796666667,-0.004252544133333337
1954-1983,1954,1,211.3961662574899,5.627993103333334,-5.671710923333333,-0.02185890300000001
1954-1983,1954,2,175.74414559361722,6.6796097366666665,-5.5695780599999996,0.5550158536666667
1954-1983,1954,3,181.40185123641325,9.463354566666668,-4.146633288,2.658360602666667
1954-1983,1954,4,70.95240753639942,13.304466216666667,-1.9255149664000002,5.689475616666667
1954-1983,1954,5,56.03930292950865,17.83367333333333,1.7389266003333332,9.786300030000001
1954-1983,1954,6,24.54536067213758,23.033626299999998,5.439394673333334,14.236510466666665
1954-1983,1954,7,8.017915889301516,28.016973166666666,9.144880063333334,18.5809266
1954-1983,1954,8,10.848780741744438,27.182159433333332,8.032541343333333,17.607350166666667
1954-1983,1954,9,21.709229603050012,23.8789233,5.455043793333333,14.666983316666666
