Year Range,Year (30y start),Month,Pr (mm),Tasmax (degC),Tasmin (degC),Tave (degC)
1950-1979,1950,1,211.26428231264345,8.695847109986387,-0.9243001873807536,3.8857734613028168
1950-1979,1950,2,185.80610389057537,10.567098606420869,-0.06833855182925704,5.249380027295805
1950-1979,1950,3,169.50969762862417,13.352030004784213,1.2639181129008095,7.307974058842512
1950-1979,1950,4,85.18718255780576,16.935241405304772,3.1002743108726154,10.017757858088693
1950-1979,1950,5,58.98389485373296,21.988193210154943,6.6586239865994115,14.323408598377178
1950-1979,1950,6,30.38195134011156,26.657901436309007,10.298353099911484,18.478127268110246
1950-1979,1950,7,6.247539396090099,30.767560332935737,13.33325145858339,22.050405895759567
1950-1979,1950,8,6.85463063122316,30.15055545124763,12.383012580681774,21.266784015964706
1950-1979,1950,9,22.51211531553031,26.85358459878821,10.173554086871746,18.513569342829978
1950-1979,1950,10,92.83981141202466,20.721137822330636,6.268168138895214,13.494652980612925
1950-1979,1950,11,160.75052979324144,13.131483456334148,1.471609763537593,7.301546609935872
1950-1979,1950,12,182.4287945781086,9.123840605744343,-0.4867807887708215,4.318529908486761
1951-1980,1951,1,199.1334272378204,8.715379532021469,-1.0310279689115847,3.8421757815549427
1951-1980,1951,2,193.8797335681292,10.570635349509628,-0.021188811829757136,5.274723268839936
1951-1980,1951,3,166.43749150222604,13.390591045286085,1.2250414328695125,7.307816239077799
1951-1980,1951,4,89.29223118961805,16.973757882999998,3.1622992828301677,10.068028582915083
1951-1980,1951,5,60.81290206047686,21.75285201683037,6.519280884248847,14.136066450539609
1951-1980,1951,6,31.68572507036937,26.48701287668257,10.239014209486562,18.363013543084566
1951-1980,1951,7,6.250542539907002,30.764021650289454,13.371220914853637,22.067621282571547
1951-1980,1951,8,9.621043907699669,30.158143644696004,12.45416164502044,21.306152644858223
1951-1980,1951,9,23.32239771705495,26.83046133371776,10.195895122228864,18.51317822797331
1951-1980,1951,10,88.39551646761645,20.72063849917613,6.208084955277451,13.464361727226791
1951-1980,1951,11,160.917044930047,13.260714615708205,1.5765789109368924,7.418646763322548
1951-1980,1951,12,184.72358434906684,9.176083492120288,-0.4478811206530421,4.364101185733623
1952-1981,1952,1,202.4999200803155,8.694549602354247,-1.0555008551853806,3.819524373584433
1952-1981,1952,2,185.504252145201,10.821323972290651,0.06876870483198073,5.4450463385613155
1952-1981,1952,3,164.64802010196314,13.435203255276964,1.2342547511062716,7.334729003191617
1952-1981,1952,4,92.22304415175206,16.864378893252823,3.1303626839695102,9.997370788611166
1952-1981,1952,5,64.14266298967674,21.459153504426848,6.386397825831112,13.92277566512898
1952-1981,1952,6,31.086158667579898,26.380297824977337,10.22106754291442,18.30068268394588
1952-1981,1952,7,7.4429940039057785,30.583347188122058,13.286235391297371,21.934791289709715
1952-1981,1952,8,9.894738578203805,30.16344802773369,12.524883829407209,21.34416592857045
1952-1981,1952,9,21.39487269017795,26.963540374823577,10.277584085004877,18.620562229914228
1952-1981,1952,10,82.27167839797197,21.047024000915393,6.358061691810367,13.702542846362881
1952-1981,1952,11,154.68021707207006,13.379292904945576,1.6118215293138334,7.495557217129704
1952-1981,1952,12,199.19818035333938,9.172829278587464,-0.4042779013718719,4.384275688607796
1953-1982,1953,1,199.92219991778998,8.771142708668767,-1.0213851627066517,3.8748787729810577
1953-1982,1953,2,190.32430474175584,10.717571867841084,0.036621064210927104,5.377096466026006
