Year Range,Year (30y start),Month,Pr (mm),Tasmax (degC),Tasmin (degC),Tave (degC)
1950-1979,1950,1,269.0574729731111,4.327234325929575,-4.877135306611523,-0.2749504903409744
1950-1979,1950,2,191.06209409792376,6.705377786551332,-3.9752215054053934,1.3650781405729688
1950-1979,1950,3,201.65203627660696,8.43671549883041,-3.682030583611174,2.3773424576096174
1950-1979,1950,4,121.81252580604078,11.617357198601118,-2.1270788548135124,4.745139171893802
1950-1979,1950,5,64.9187774184835,16.901467736483234,1.7451631531822114,9.323315444832723
1950-1979,1950,6,30.156810281206837,21.82912934132114,5.243025958721477,13.536077650021307
1950-1979,1950,7,7.367920412571772,26.87859821682436,8.744980784779864,17.81178950080211
1950-1979,1950,8,10.50749548068476,26.24666212916475,7.825311289393698,17.035986709279225
1950-1979,1950,9,29.915281400220714,23.453264400123555,6.290298185430044,14.871781292776799
1950-1979,1950,10,100.90205548787101,16.10918652808205,1.7696054362383264,8.939395982160189
1950-1979,1950,11,191.20993701955652,7.479563515165955,-3.1031723857129516,2.1881955647265015
1950-1979,1950,12,297.6259041339672,4.146994263402111,-4.493081907362241,-0.1730438219800647
1951-1980,1951,1,273.8486835782015,4.23504826472358,-4.876944310493541,-0.32094802288498037
1951-1980,1951,2,189.05852330466485,6.862499298157402,-3.8574642912341788,1.502517503461611
1951-1980,1951,3,201.22768997403185,8.55758013729227,-3.6344244642233794,2.4615778365344454
1951-1980,1951,4,117.35743226487254,11.669725310496819,-2.0370820343799854,4.816321638058416
1951-1980,1951,5,63.93991752016047,16.79906864087381,1.693558095170037,9.246313368021923
1951-1980,1951,6,30.143269451395277,21.837725042359466,5.20168608836641,13.519705565362937
1951-1980,1951,7,6.938698302546359,26.873817326472377,8.740342824729266,17.807080075600823
1951-1980,1951,8,10.718143166710863,26.282171120970997,7.856176858780524,17.06917398987576
1951-1980,1951,9,29.261950284656976,23.608066401033344,6.379134873610298,14.993600637321821
1951-1980,1951,10,100.62230746846429,16.316366221236258,1.8906955059547113,9.103530863595486
1951-1980,1951,11,191.7489020077054,7.195628701234498,-3.2679852581839053,1.9638217215252964
1951-1980,1951,12,290.23963024261485,4.016117986358842,-4.672082650789628,-0.3279823322153928
1952-1981,1952,1,267.14919264712984,4.036951925500178,-5.082933997319075,-0.5229910359094485
1952-1981,1952,2,187.43452154896258,6.791024167859638,-3.9530183999062687,1.419002883976685
1952-1981,1952,3,203.3046012269086,8.448271564139743,-3.685402372121985,2.3814345960088787
1952-1981,1952,4,120.19678516337926,11.702643703884572,-1.9795591801048118,4.86154226188988
1952-1981,1952,5,63.04360964838059,16.792442105958266,1.6856515182356517,9.23904681209696
1952-1981,1952,6,29.01468485126784,21.84750189887155,5.202589166103288,13.525045532487418
1952-1981,1952,7,7.1740049144718165,26.808023704863288,8.688769460572422,17.748396582717856
1952-1981,1952,8,10.137446079675742,26.223697194745487,7.766065700079827,16.994881447412656
1952-1981,1952,9,29.386791454718093,23.467131170289154,6.313028282752426,14.890079726520788
1952-1981,1952,10,92.50259832523942,16.2947938071883,1.8873446001505862,9.091069203669441
1952-1981,1952,11,197.10072211111506,7.247402930626525,-3.203649305033865,2.02187681279633
1952-1981,1952,12,299.3922476537478,3.926432215940689,-4.73320386206638,-0.4033858230628456
1953-1982,1953,1,253.65599373861582,4.026179482938854,-5.094951087566697,-0.5343858023139215
1953-1982,1953,2,186.97211289235875,6.698013585225453,-4.022877983506655,1.3375678008593994
1953-1982,1953,3,205.27640113087472,8.377559851811307,-3.7704020056081435,2.303578923101582
1953-1982,1953,4,117.10685785185471,11.806133339384704,-1.926963081033798,4.939585129175454
1953-1982,1953,5,62.87557074422246,16.773778473985818,1.6271677779205023,9.200473125953161
1953-1982,1953,6,27.073352874273674,21.987608209593706,5.230629442003061,13.609118825798385
1953-1982,1953,7,8.663200873944374,26.859139815236663,8.740696778151516,17.799918296694088
1953-1982,1953,8,10.364285439059158,26.236172886699386,7.794208879368302,17.015190883033846
1953-1982,1953,9,29.47735496318883,23.31188197991789,6.190893280811821,14.751387630364857
1953-1982,1953,10,101.19588437766085,16.14145742563103,1.8953239598680696,9.018390692749552
1953-1982,1953,11,198.39841265436115,7.119990393483763,-3.2039072516025415,1.958041570940611
1953-1982,1953,12,299.17868727571107,3.855953406498808,-4.803125908711981,-0.47358625110658653
1954-1983,1954,1,257.03916991336035,4.054921882067783,-5.12070642917779,-0.532892273555004
1954-1983,1954,2,190.58618191173662,6.76225099957502,-3.928196909524891,1.4170270450250646
1954-1983,1954,3,203.19508439026217,8.386989864226333,-3.7732459662273925,2.3068719489994707
1954-1983,1954,4,112.14846333247914,11.87821221245662,-1.9036624615008788,4.98727487547787
1954-1983,1954,5,56.503214828377814,16.96032937478193,1.6807952906101604,9.320562332696047
1954-1983,1954,6,26.347291492803137,21.944935255784277,5.124582386505932,13.534758821145106
1954-1983,1954,7,8.585167910251277,26.672405551503395,8.600093920434007,17.6362497359687
1954-1983,1954,8,10.541902034354028,26.234869647282448,7.782037691758449,17.00845366952045
1954-1983,1954,9,29.31964473487367,23.350681298410812,6.197207114716902,14.773944206563858
1954-1983,1954,10,94.12971540608267,16.271465206225145,1.9037753803262867,9.087620293275714
1954-1983,1954,11,199.90228624097202,7.03603701077977,-3.271614085140369,1.8822114628197006
1954-1983,1954,12,295.4799620150831,3.9759623260119645,-4.66094047855599,-0.34248907627201247
1955-1984,1955,1,269.5069482360149,4.039695705669416,-5.086719078145978,-0.5235116862382811
1955-1984,1955,2,181.35620053204332,6.763140679200815,-3.9472071047396358,1.407966787230589
1955-1984,1955,3,206.30919397891023,8.28767021185512,-3.808320538163458,2.239674836845831
1955-1984,1955,4,114.02714221382507,12.077227397168826,-1.729400269598001,5.173913563785414
1955-1984,1955,5,62.18265098580461,16.85220136997424,1.6546178068377377,9.253409588405988
1955-1984,1955,6,26.037503063914855,21.99156129494694,5.155387849726251,13.573474572336595
1955-1984,1955,7,8.636802626933513,26.654727074407784,8.595399206270377,17.62506314033908
1955-1984,1955,8,11.802776802558155,26.21991352494639,7.7810589988336405,17.000486261890014
1955-1984,1955,9,30.393719721614854,23.218054267035612,6.144285155728354,14.681169711381983
1955-1984,1955,10,96.34009833770543,16.227605494395895,1.9849994214533804,9.106302457924638
1955-1984,1955,11,193.955737987667,7.0649091541257905,-3.2557622743263996,1.9045734398996954
1955-1984,1955,12,290.64965913591027,3.9208453737674054,-4.726491711334887,-0.40282316878374086
1956-1985,1956,1,272.29329804223556,3.8872210506568803,-5.211881523037644,-0.6623302361903819
1956-1985,1956,2,183.79852858187667,6.565090090110949,-4.099362579168365,1.232863755471292
1956-1985,1956,3,204.78892074560036,8.197402108494583,-3.8944247161385404,2.1514886961780206
1956-1985,1956,4,113.18261337788266,12.414026963975717,-1.557634608602909,5.428196177686404
1956-1985,1956,5,63.92503087126186,16.76631829172646,1.6149759524513645,9.190647122088913
1956-1985,1956,6,26.121250938311096,21.97670410156252,5.163494077503194,13.570099089532858
1956-1985,1956,7,9.695209295817367,26.64441163825833,8.608539918910601,17.626475778584467
1956-1985,1956,8,11.834988740184066,26.27610497360295,7.8698703459810115,17.07298765979198
1956-1985,1956,9,31.11591290488814,23.233945755917826,6.159995704064025,14.696970729990925
1956-1985,1956,10,95.35824485762045,16.24237214018238,2.0050528829999195,9.12371251159115
1956-1985,1956,11,195.96896574154627,6.987303443321838,-3.3723014479416844,1.8075009976900769
1956-1985,1956,12,286.72234861086804,3.9316153729031194,-4.710918177248899,-0.38965140217288946
1957-1986,1957,1,262.3913945298062,3.8752891622564074,-5.233278424410486,-0.6789946310770393
1957-1986,1957,2,188.3475451521891,6.653368498144622,-4.0371108272543115,1.3081288354451555
1957-1986,1957,3,204.9650147092457,8.136755986998576,-3.8739828761300106,2.131386555434282
1957-1986,1957,4,116.83662556718099,12.221286981044695,-1.6570908505692215,5.2820980652377365
1957-1986,1957,5,62.963440655233306,16.730084834323648,1.5542471230178194,9.142165978670734
1957-1986,1957,6,24.394542274980488,22.009157834827413,5.186364307892651,13.597761071360031
1957-1986,1957,7,9.730048556933566,26.587539019083785,8.599015975964791,17.593277497524287
1957-1986,1957,8,14.245174515388799,26.136567353531802,7.820928879352148,16.978748116441974
1957-1986,1957,9,30.55466745197149,23.200688951280405,6.11853702121313,14.659612986246767
1957-1986,1957,10,93.02807834242442,16.292437527059448,1.9815122088486967,9.136974867954072
1957-1986,1957,11,190.13966430946627,7.170782087277166,-3.354256936097734,1.9082625755897162
1957-1986,1957,12,286.7970135872355,3.9379554161658885,-4.7457333270531015,-0.4038889554436064
1958-1987,1958,1,257.62309067842773,4.002837640022446,-5.138110389425478,-0.567636374701516
1958-1987,1958,2,189.63930393234259,6.605913474124047,-4.013277411981839,1.2963180310711033
1958-1987,1958,3,206.53977751058295,8.105063701721164,-3.92704657845696,2.089008561632102
