Year Range,Year (30y start),Month,Pr (mm),Tasmax (degC),Tasmin (degC),Tave (degC)
1950-1979,1950,1,75.8981287841702,2.5338907223395855,-8.663323746053058,-3.0647165118567363
1950-1979,1950,2,49.55662667632626,4.104155258483774,-7.546263213895748,-1.7210539777059872
1950-1979,1950,3,49.72287947897141,7.099027391086385,-5.228977936254564,0.9350247274159106
1950-1979,1950,4,41.243080870891,11.426368317350109,-2.5392366553681427,4.443565830990983
1950-1979,1950,5,31.80122317033338,16.808268865874105,1.0289768511851651,8.918622858529636
1950-1979,1950,6,29.784477259134576,21.25614232321982,4.435213514109369,12.845677918664595
1950-1979,1950,7,8.508819722140158,27.180828883048537,7.939115720072774,17.559972301560656
1950-1979,1950,8,12.61602843414217,25.973077593632684,7.079094562051994,16.52608607784234
1950-1979,1950,9,15.376125637514683,21.94991886091823,3.801567332864882,12.875743096891558
1950-1979,1950,10,25.153687287692264,16.14063092704602,-0.12901214677737102,8.005809390134324
1950-1979,1950,11,57.371292062433966,7.424072615258511,-5.15550284701552,1.1342848841214952
1950-1979,1950,12,68.07559189318145,3.1064590067097853,-7.912434325796828,-2.402987659543521
1951-1980,1951,1,77.31009239413723,2.6527907419408403,-8.509450793184074,-2.928330025621617
1951-1980,1951,2,48.97746916088785,4.234381295846307,-7.405518084261639,-1.5855683942076662
1951-1980,1951,3,47.660801333774415,7.196522700786206,-5.215835358462919,0.9903436711616436
1951-1980,1951,4,40.854885461742015,11.403940600198435,-2.5244901603146817,4.439725219941876
1951-1980,1951,5,33.34447194135538,16.92162866756808,1.1263170976276042,9.023972882597842
1951-1980,1951,6,30.238422517827164,21.165203624476433,4.3879010606123465,12.77655234254439
1951-1980,1951,7,8.832031680853106,27.157147844128712,7.94003345214096,17.548590648134837
1951-1980,1951,8,13.72562297625722,25.94789700207482,7.057724761051397,16.50281088156311
1951-1980,1951,9,15.747866254543153,21.86864379409173,3.7554220127866187,12.812032903439176
1951-1980,1951,10,24.257753540552976,16.118478679302164,-0.20904946249891054,7.954714608401627
1951-1980,1951,11,57.81799428917286,7.43034250475366,-5.174781074322068,1.1277807152157964
1951-1980,1951,12,72.37602722977834,3.034116460120137,-7.907585610479048,-2.4367345751794556
1952-1981,1952,1,77.2108480001084,2.5317406480681655,-8.567634881965756,-3.0179471169487955
1952-1981,1952,2,50.577919974759496,4.314387749056932,-7.201091107958965,-1.443351679451017
1952-1981,1952,3,45.93007725129636,7.229131844438067,-5.186075075471474,1.021528384483296
1952-1981,1952,4,39.819909878454254,11.488028449487455,-2.5215703658922832,4.483229041797586
1952-1981,1952,5,34.00840822874407,16.87912852755912,1.104826342219258,8.991977434889188
1952-1981,1952,6,29.99246351373978,21.189114287092174,4.407978751584568,12.798546519338371
1952-1981,1952,7,9.13653013387167,27.090971658852858,7.934287957762653,17.512629808307754
1952-1981,1952,8,14.22338854359385,25.902345376770803,7.018501987460554,16.460423682115678
1952-1981,1952,9,16.884885696865812,21.80186875826722,3.7575246121307546,12.779696685198987
1952-1981,1952,10,23.332403108099243,16.15658940505528,-0.26032578418349833,7.948131810435891
1952-1981,1952,11,57.4802093940618,7.360146448206041,-5.296381152171494,1.0318826480172736
1952-1981,1952,12,71.15159174537669,2.9129603394617485,-7.997723375962705,-2.5423815182504783
1953-1982,1953,1,76.46843879403963,2.3741476421157848,-8.829434685486515,-3.227643521685365
1953-1982,1953,2,49.65857151452428,4.422106396022423,-7.096287162610322,-1.3370903832939498
1953-1982,1953,3,44.51230780003763,7.339611731817525,-5.1727523361494905,1.0834296978340172
1953-1982,1953,4,40.144167674528944,11.48432998511907,-2.5311318772734563,4.476599053922807
1953-1982,1953,5,33.973400106587135,16.91563017033092,1.1323578409018402,9.023994005616382
1953-1982,1953,6,30.092912573736633,21.268858875523613,4.508965753141557,12.888912314332584
1953-1982,1953,7,9.276712560810015,27.10827046597651,7.971730917445407,17.54000069171096
