Year Range,Year (30y start),Month,Pr (mm),Tasmax (degC),Tasmin (degC),Tave (degC)
1950-1979,1950,1,214.32903992783167,11.221321133333333,1.2905325882,6.255926796666667
1950-1979,1950,2,167.84968200713314,13.1205809,2.3647911256666663,7.74268599
1950-1979,1950,3,148.8570593255728,15.199640266666668,3.0538544560000003,9.126747443333333
1950-1979,1950,4,87.20987604314877,19.3187809,5.5164067999999995,12.417593916666668
1950-1979,1950,5,56.60650762156266,23.259367866666665,8.420161376666666,15.839764650000001
1950-1979,1950,6,7.0992743120749715,28.2208013,11.726865366666667,19.973833333333335
1950-1979,1950,7,5.612754753047457,32.321546733333335,15.086875316666665,23.70421096666667
1950-1979,1950,8,4.57695674351577,31.93759856666667,14.471979716666668,23.2047893
1950-1979,1950,9,26.635458971735556,28.70044856666667,12.42448665,20.562467599999998
1950-1979,1950,10,54.56228879190272,23.88079906666667,9.201064879999999,16.540931933333333
1950-1979,1950,11,163.13630244459677,15.43156445,3.8590147433333333,9.645289676666666
1950-1979,1950,12,227.34680160834492,11.14596525,1.3965989571666666,6.271282103333333
1951-1980,1951,1,203.55445348388895,11.2771021,1.3227925525333333,6.29994726
1951-1980,1951,2,160.14656496100454,13.062640233333333,2.298364770666667,7.68050248
1951-1980,1951,3,151.90229257014317,15.1399921,3.015537446,9.077764843333334
1951-1980,1951,4,86.80518104042307,19.349020066666665,5.518163323333334,12.433591766666666
1951-1980,1951,5,56.91997803289044,23.317719766666666,8.419233843333334,15.868476816666666
1951-1980,1951,6,8.090209284463777,28.130563199999997,11.670856266666666,19.9007097
1951-1980,1951,7,6.31127354783497,32.28421356666667,15.079558916666667,23.681886233333334
1951-1980,1951,8,4.9326031634905805,31.926251033333337,14.519421716666667,23.222836500000003
1951-1980,1951,9,26.587111740730297,28.606419033333335,12.341582149999999,20.474000566666668
1951-1980,1951,10,55.79903382813926,23.785726133333334,9.11649728,16.4511117
1951-1980,1951,11,153.06751404206517,15.406210283333333,3.82751765,9.616864043333333
1951-1980,1951,12,225.48438164412343,11.215493116666666,1.4818914731666666,6.348692303333333
1952-1981,1952,1,199.72883358407793,11.319934933333334,1.4048177192,6.362376276666667
1952-1981,1952,2,158.84026029045606,13.102530033333332,2.329072814,7.71580138
1952-1981,1952,3,150.3557649624265,15.099194966666666,2.996798179333333,9.047996643333333
1952-1981,1952,4,85.1372066371414,19.280692866666666,5.479097236666666,12.3798951
1952-1981,1952,5,52.16207706313625,23.381719033333333,8.455788043333333,15.91875355
1952-1981,1952,6,7.5812323865739915,28.121938666666665,11.700560266666665,19.911249466666668
1952-1981,1952,7,6.423376793463262,32.33478206666667,15.144883349999999,23.7398327
1952-1981,1952,8,4.697919061401556,31.9084102,14.51173465,23.210072533333335
1952-1981,1952,9,26.733140578904173,28.64342763333333,12.356637583333333,20.50003256666667
1952-1981,1952,10,55.47994421092126,23.690683200000002,9.01923978,16.354961499999998
1952-1981,1952,11,157.2652215494901,15.209047816666667,3.662723573333333,9.435885753333334
1952-1981,1952,12,218.17638011362504,11.082296516666666,1.3306948071666667,6.20649567
1953-1982,1953,1,192.3859669381196,11.3717863,1.3893095125333335,6.380547853333334
1953-1982,1953,2,161.61295744996943,13.007090216666667,2.326798444,7.66694428
1953-1982,1953,3,157.15731648608437,14.941992766666667,2.9249399126666664,8.93346642
1953-1982,1953,4,82.28051479422138,19.437407066666665,5.585512703333333,12.511459933333333
