Year Range,Year (30y start),Month,Pr (mm),Tasmax (degC),Tasmin (degC),Tave (degC)
1950-1979,1950,1,192.5348587291779,8.098821016138256,-2.626632243894741,2.7360943861217577
1950-1979,1950,2,153.83381940175934,9.111420730901306,-2.3709999389059817,3.3702103959976624
1950-1979,1950,3,164.5671289571389,11.725670187900148,-0.9418513891994554,5.3919093993503475
1950-1979,1950,4,88.56776818921398,15.014301726646782,0.8409345601567718,7.9276181434017765
1950-1979,1950,5,45.633739326996185,19.3204342459052,4.0046512094864655,11.662542727695834
1950-1979,1950,6,22.394685479777483,24.848546639514087,8.143221620787875,16.49588413015098
1950-1979,1950,7,6.8165294578519156,29.111675523257865,11.111706595605236,20.111691059431553
1950-1979,1950,8,8.465439349347793,27.74640086246329,9.724043762498104,18.735222312480694
1950-1979,1950,9,27.795167535756125,25.27379756026786,8.014600304726576,16.64419893249722
1950-1979,1950,10,67.88777746557138,19.778023591474987,4.295358076892468,12.036690834183727
1950-1979,1950,11,118.05670031000757,11.570652848755726,-0.7893359479489687,5.390658450403379
1950-1979,1950,12,160.17540340139809,7.651677665342293,-2.9358559231572294,2.3579108710925314
1951-1980,1951,1,204.87708606121114,8.087306770668793,-2.619953512533477,2.7336766290676575
1951-1980,1951,2,164.88675538667002,9.123356408470276,-2.34057899229655,3.391388708086863
1951-1980,1951,3,166.46588848685502,11.606309201119428,-1.0220497022865658,5.292129749416431
1951-1980,1951,4,90.11984706379505,14.90297016076508,0.7476738677858352,7.825322014275457
1951-1980,1951,5,44.81347984419295,19.302062415355774,3.9662902109507665,11.634176313153272
1951-1980,1951,6,22.16368464947437,24.806133932974458,8.094129857789815,16.45013189538214
1951-1980,1951,7,6.809761720399481,28.998625132575505,11.01167962967307,20.005152381124287
1951-1980,1951,8,8.443487289982075,27.926446755035094,9.88475597001567,18.90560136252538
1951-1980,1951,9,24.972567949570756,25.434327463025287,8.049071095843459,16.74169927943437
1951-1980,1951,10,72.07030557169206,19.596247625083393,4.181496100062869,11.888871862573131
1951-1980,1951,11,122.84238699149019,11.493638270108345,-0.8315582438920485,5.331040013108149
1951-1980,1951,12,163.179308885692,7.638550916748989,-2.9149937379971127,2.3617785893759384
1952-1981,1952,1,203.62890890721553,8.011508010613692,-2.705815947734463,2.6528460314396143
1952-1981,1952,2,164.61497603925756,9.081779113513239,-2.3820256768258385,3.3498767183437
1952-1981,1952,3,168.8243058370685,11.584028165325709,-1.0307547572725426,5.276636704026583
1952-1981,1952,4,88.92255382185243,14.954321089619665,0.746089736521463,7.850205413070564
1952-1981,1952,5,46.20010269939765,19.157058716120098,3.860153525901547,11.508606121010823
1952-1981,1952,6,22.40741950046729,24.695255673079455,8.036535543495726,16.36589560828759
1952-1981,1952,7,7.7535565610730215,28.930844718596504,11.028097676083133,19.97947119733982
1952-1981,1952,8,8.457417860629839,27.947031013072134,9.91531004628626,18.931170529679196
1952-1981,1952,9,25.122978097064667,25.541448768444877,8.161275172631429,16.851361970538154
1952-1981,1952,10,72.47759181928284,19.574185726297703,4.215705874350139,11.894945800323923
1952-1981,1952,11,131.58927501066242,11.349732518753227,-0.8092790021260997,5.270226758313564
1952-1981,1952,12,164.96722604321482,7.761814736460878,-2.7784005551506863,2.491707090655096
1953-1982,1953,1,203.0812827618195,8.166270581084703,-2.563750081232985,2.8012602499258588
1953-1982,1953,2,167.40698390333435,9.236693028945437,-2.262166510407832,3.4872632592688024
1953-1982,1953,3,175.21691397532248,11.594262949025097,-1.0244499938101361,5.28490647760748
1953-1982,1953,4,86.34552072282192,15.081072253212751,0.8023781005741135,7.941725176893432
1953-1982,1953,5,45.144763807368655,19.058420156271605,3.774179700157373,11.41629992821449
1953-1982,1953,6,22.101285150027014,24.686929847383706,8.00087461919841,16.343902233291058
1953-1982,1953,7,7.580215480814564,28.994373372548623,11.078457101670313,20.036415237109466
1953-1982,1953,8,8.598705869698167,28.000082247256103,9.975561947211883,18.987822097233995
1953-1982,1953,9,26.149762007439882,25.455178206903756,8.124021151198653,16.789599679051204
1953-1982,1953,10,70.31680267681539,19.49247463963692,4.14124778923861,11.816861214437766
1953-1982,1953,11,135.51661619584917,11.374523918584414,-0.8042375677234748,5.285143175430469
1953-1982,1953,12,166.85448953431245,7.7497802835494465,-2.7789647643996305,2.485407759574908
1954-1983,1954,1,208.3522274615571,8.319076916070346,-2.396726072256009,2.9611754219071673
1954-1983,1954,2,168.27855515590724,9.429911695169812,-2.1085515580661314,3.6606800685518404
1954-1983,1954,3,172.32661278254812,11.76285445882441,-0.9318844377986821,5.415485010512864
1954-1983,1954,4,85.47675822144153,15.107567928634769,0.8334779822139505,7.970522955424359
1954-1983,1954,5,47.34727482662653,18.97589954877704,3.7652402677760586,11.370569908276552
1954-1983,1954,6,21.830212546990808,24.74162493093094,8.048647159848723,16.395136045389833
1954-1983,1954,7,7.645414438336805,29.000371375619277,11.10640837008236,20.05338987285082
1954-1983,1954,8,8.599755165896987,28.057623609279126,10.026522350598738,19.042072979938933
1954-1983,1954,9,26.546699320734515,25.339815469514477,8.029044878204353,16.684430173859415
1954-1983,1954,10,67.29271164707316,19.62452847266369,4.222245459788249,11.92338696622597
1954-1983,1954,11,132.8868703391998,11.431489558329789,-0.7674383040121989,5.332025627158796
1954-1983,1954,12,167.07164611158936,7.777377077413082,-2.7531829199442064,2.5120970787344374
1955-1984,1955,1,215.33678863476447,8.300093516268115,-2.3659944770469816,2.967049519610567
1955-1984,1955,2,167.5108798203628,9.595392053868954,-1.9702899725753766,3.812551040646789
1955-1984,1955,3,163.53042947847612,12.027617639163248,-0.8250732006794587,5.601272219241894
1955-1984,1955,4,86.29084462186367,15.238942656564724,0.9330714741788022,8.086007065371764
1955-1984,1955,5,46.98167606150962,19.03380655588661,3.8174886343866374,11.425647595136626
1955-1984,1955,6,21.0084341630808,24.964811777978447,8.178266756112832,16.57153926704564
1955-1984,1955,7,7.468525050465666,29.10504045777565,11.158830512207937,20.131935484991793
1955-1984,1955,8,8.845137311374037,28.159045933463613,10.144748091747129,19.151897012605374
1955-1984,1955,9,27.823177196586666,25.24763589722549,7.990990676085885,16.61931328665569
1955-1984,1955,10,67.72074534725003,19.55725067971092,4.180261336824218,11.86875600826757
1955-1984,1955,11,135.82251320928248,11.370922018072957,-0.7642723721356738,5.3033248229686425
1955-1984,1955,12,169.6212851202466,7.799577990466773,-2.6946544623812643,2.5524617640427545
1956-1985,1956,1,216.39206164509636,8.21850928560753,-2.380932177508775,2.918788554049377
1956-1985,1956,2,160.0153264023807,9.601571575993244,-1.9861155090914837,3.8077280334508803
1956-1985,1956,3,158.31136262232997,11.939684324847272,-0.9293472486969471,5.505168538075163
1956-1985,1956,4,81.8352098378648,15.328861658456088,0.9481582754793908,8.138509966967739
1956-1985,1956,5,46.41975402809935,19.24632232216124,3.946347126871383,11.596334724516312
1956-1985,1956,6,22.977888800117583,24.889216519662224,8.151809576687365,16.520513048174795
1956-1985,1956,7,7.438385935921563,29.095765690419334,11.178399821013935,20.137082755716634
1956-1985,1956,8,8.5989414880289,28.086278771059884,10.083375142153322,19.0848269566066
1956-1985,1956,9,25.120904972741286,25.381978151855325,8.076131627643447,16.729054889749385
1956-1985,1956,10,63.93157643545139,19.458980000856805,4.049968190106227,11.754474095481518
1956-1985,1956,11,134.89450207713273,11.503550644969591,-0.7277732577709217,5.387888693599335
1956-1985,1956,12,173.72061873236638,7.561239109997791,-2.875216024700646,2.3430115426485725
1957-1986,1957,1,217.8601507346715,8.065521611840616,-2.4817204311181134,2.7919005903612515
1957-1986,1957,2,160.1193473469453,9.518534523984943,-2.041256139443151,3.7386391922708957
1957-1986,1957,3,158.16387079394318,11.95998123378821,-0.9003078841340814,5.529836674827065
1957-1986,1957,4,76.44779674578957,15.377267604687644,0.9457206586893332,8.161494131688489
1957-1986,1957,5,44.24025602498715,19.33791289996731,3.956160110316269,11.64703650514179
1957-1986,1957,6,22.6867499688179,24.788162913691842,8.095997036621627,16.442079975156734
1957-1986,1957,7,7.792759649892171,29.171449840836075,11.24279481061962,20.207122325727845
1957-1986,1957,8,8.961734471944315,27.989237802847907,10.007464887129569,18.998351344988738
1957-1986,1957,9,24.88861174081202,25.47224560345921,8.148448409573826,16.81034700651652
1957-1986,1957,10,64.24948130163739,19.53566474436909,4.096448495263943,11.816056619816516
