Year Range,Year (30y start),Month,Pr (mm),Tasmax (degC),Tasmin (degC),Tave (degC)
1950-1979,1950,1,150.31617377929928,7.58205492597134,-3.6603010731905763,1.9608769282259726
1950-1979,1950,2,151.59039891542778,9.591866261247512,-2.2651944406650864,3.663335911573445
1950-1979,1950,3,151.84835086220818,11.45986075245784,-1.4860780054218206,4.986891364093478
1950-1979,1950,4,88.61432080423032,14.559355320327798,0.44819523141168066,7.503775280254015
1950-1979,1950,5,45.05554823279645,19.694752636991876,4.096730958681842,11.895741789027705
1950-1979,1950,6,14.08782923011992,24.869291843033515,7.89431799367995,16.38180492546309
1950-1979,1950,7,7.302153109609364,29.31108363358005,11.13431490286011,20.222699325247333
1950-1979,1950,8,6.904660765480901,28.73251291657903,10.46075527326344,19.5966340649302
1950-1979,1950,9,20.099647666873825,24.903537536860714,7.724011370802263,16.313774452124985
1950-1979,1950,10,52.6315331950923,19.67454647596416,4.103299753784369,11.888923109118766
1950-1979,1950,11,121.22687089207402,11.688784898474804,-0.7356527269183183,5.476566102005478
1950-1979,1950,12,146.0927470862431,8.325313787871783,-2.6172640142887937,2.854024894499058
1951-1980,1951,1,155.0003379901253,7.617804679296,-3.6144020258647185,2.0017013287091565
1951-1980,1951,2,155.84021721852122,9.473894634627133,-2.345810545778542,3.564042044504914
1951-1980,1951,3,146.67168573650946,11.558601164832277,-1.4536207326985628,5.052490203442869
1951-1980,1951,4,87.53278294705714,14.594326532172829,0.4579093394841929,7.5261179401356895
1951-1980,1951,5,44.32750441098457,19.780601464572694,4.158628968880224,11.969615204318602
1951-1980,1951,6,14.191995003206976,24.847759687763947,7.896950588602893,16.37235514864545
1951-1980,1951,7,6.934517514955368,29.258118736559048,11.075908839283846,20.16701384890786
1951-1980,1951,8,7.473873416474061,28.656858319436346,10.410163237346103,19.533510764094487
1951-1980,1951,9,19.90808948453437,24.99674434572407,7.775240083267849,16.385992209508743
1951-1980,1951,10,52.45796693946184,19.61617296994256,4.037977922113676,11.82707544331393
1951-1980,1951,11,125.556619433078,11.46644834934915,-0.9105727122836124,5.277937836109461
1951-1980,1951,12,148.54392014949065,8.159364158530321,-2.745716735275401,2.706823717226215
1952-1981,1952,1,154.7928816701419,7.5705516138559235,-3.5885624940952283,1.9909945641333568
1952-1981,1952,2,158.27274816366247,9.523004097843998,-2.314840133873985,3.6040819798270496
1952-1981,1952,3,149.96648679350744,11.439881340868373,-1.5296397192482163,4.95512080032075
1952-1981,1952,4,86.98978757316682,14.675842820333742,0.5393934534421985,7.607618142451965
1952-1981,1952,5,45.31088941518256,19.72920109871485,4.179054860341145,11.954127975747934
1952-1981,1952,6,14.43990079161782,24.713842270537196,7.803907688963852,16.25887499134267
1952-1981,1952,7,7.034240932467811,29.251504723598316,11.108082691967903,20.179793774818645
1952-1981,1952,8,7.47155425979092,28.638154211300634,10.399311330583295,19.518732757183127
1952-1981,1952,9,20.00938432908529,24.992303949044903,7.795815864885708,16.39405989636271
1952-1981,1952,10,54.366338468369555,19.452236163484184,3.975431695928828,11.713833930413958
1952-1981,1952,11,123.2779641056959,11.437225285433408,-0.9713748689105987,5.232925223130204
1952-1981,1952,12,152.9343908762898,8.035370457111132,-2.801742771500918,2.616813843684565
1953-1982,1953,1,152.33596368070502,7.639691630414423,-3.55306184590884,2.0433148914291555
1953-1982,1953,2,156.46338568728,9.419172640331336,-2.4098781445448667,3.5046472478613153
1953-1982,1953,3,146.93355155627788,11.395486477361894,-1.539243563098315,4.9281214508185665
1953-1982,1953,4,84.89339211449672,14.825143565349462,0.6144874701444463,7.719815516822651
1953-1982,1953,5,41.87475432627642,20.017521239771156,4.3285217180182975,12.173021482196171
1953-1982,1953,6,14.17522318478041,24.87825630189194,7.9129305480008725,16.39559344817132
1953-1982,1953,7,6.978817894374265,29.3603995178982,11.176607871804869,20.268503758205146
1953-1982,1953,8,7.457242465229081,28.658335972345,10.393035621873445,19.525685778438163
1953-1982,1953,9,20.432533237105435,24.95632173731367,7.784236947289099,16.370279319616785
1953-1982,1953,10,57.87177932867324,19.213903362922633,3.844189225989802,11.529046300779957
1953-1982,1953,11,126.79889196256458,11.26608515346444,-1.0588193658800122,5.103632909742373
1953-1982,1953,12,148.10426302571568,7.949814301113405,-2.8892762277018327,2.5302690384780866
1954-1983,1954,1,159.09398211377757,7.602574171251442,-3.537764547011429,2.0324048092521876
1954-1983,1954,2,160.5588809626537,9.431301395393259,-2.3572929878559044,3.5370042028606434
1954-1983,1954,3,149.2930215838805,11.475463583983496,-1.4668257392493524,5.004318912043504
1954-1983,1954,4,82.96776915841492,14.895917642492773,0.674637049070507,7.785277344554884
1954-1983,1954,5,41.00876065984957,20.12699562424201,4.4017953160267735,12.26439547528859
1954-1983,1954,6,14.302887963103565,24.92666124800071,7.9204176053247,16.42353945537498
1954-1983,1954,7,7.232548724932333,29.305680991796745,11.141725684926564,20.223703395085227
1954-1983,1954,8,7.558401613683377,28.711362418936194,10.436071357802588,19.57371686250568
1954-1983,1954,9,21.677122985336737,24.79005665488945,7.679165839754378,16.23461120958784
1954-1983,1954,10,62.16578559603807,19.197741407365324,3.838331214824308,11.518036322942926
1954-1983,1954,11,129.30091720052906,11.343988968720444,-0.9884060725776008,5.177791466703092
1954-1983,1954,12,150.14553766403384,7.960766941615422,-2.8899380285897536,2.5354144574697046
1955-1984,1955,1,150.47101257496416,7.7296600061724465,-3.5824792498084856,2.0735903751425235
1955-1984,1955,2,168.59177154393421,9.391117089976184,-2.337946522786384,3.5265852812813514
1955-1984,1955,3,150.83953306374553,11.501387775162325,-1.4736410155815107,5.013873369162277
1955-1984,1955,4,79.44657643335653,14.954041534337476,0.675877850675788,7.814959693055214
1955-1984,1955,5,41.77062178806411,20.197422058308575,4.438686913195771,12.318054489290942
1955-1984,1955,6,16.044755050120003,24.694836003910826,7.796936119011496,16.24588608919621
1955-1984,1955,7,6.547796664652318,29.32483259455285,11.127454441412258,20.226143569541314
1955-1984,1955,8,8.628008626368695,28.55995989390886,10.352293437570511,19.456126648544156
1955-1984,1955,9,22.02213818724386,24.72710051063623,7.670578061194321,16.198839244919288
1955-1984,1955,10,60.14487271812051,19.258304464638922,3.8761793899386183,11.567241939453716
1955-1984,1955,11,130.74062516703756,11.41410576225508,-0.8810429793506758,5.2665314113376365
1955-1984,1955,12,159.74470178002827,8.001520926976768,-2.8271699537829367,2.5871754885774014
1956-1985,1956,1,151.80739423443285,7.788689847348694,-3.5160349417654158,2.136327447935104
1956-1985,1956,2,173.2631383705329,9.346640300027975,-2.3705424163420576,3.4880489417527514
1956-1985,1956,3,153.20967608181084,11.46732256871515,-1.4558734013458627,5.005724579478803
1956-1985,1956,4,81.69982185548398,14.905965175915599,0.6486086348934426,7.7772869050526605
1956-1985,1956,5,40.945976909586335,20.070337090461557,4.3325792149119895,12.201458155760513
1956-1985,1956,6,15.883301720025429,24.831526005671982,7.901758012210943,16.366642046749682
1956-1985,1956,7,6.2953176170942475,29.331344220440407,11.112034540861186,20.221689431153894
1956-1985,1956,8,8.631699952468182,28.62397219994592,10.410738404245633,19.51735529023388
1956-1985,1956,9,22.224615746431468,24.879556161005002,7.806882170365122,16.343219128002485
1956-1985,1956,10,63.010165421020524,19.092589166497294,3.8101158659306096,11.45135253405413
1956-1985,1956,11,130.1679863240249,11.513466854245728,-0.8517808825321913,5.3308430053296325
1956-1985,1956,12,160.2892999315054,8.036252264541423,-2.798541098561749,2.6188555848283364
1957-1986,1957,1,150.13742655019078,7.843861171665749,-3.445401185594917,2.1992299888220614
1957-1986,1957,2,173.40886978492557,9.284553140757826,-2.432840649200757,3.4258562434757183
1957-1986,1957,3,157.20922418653657,11.567613174322569,-1.350590321616906,5.1085114189687895
1957-1986,1957,4,82.50601447336808,14.947639506559959,0.6982034011583607,7.822921450860691
1957-1986,1957,5,40.88733564164796,19.951005476483385,4.259289197035515,12.10514734079464
1957-1986,1957,6,15.217023507119459,24.877706674707188,7.913115994235525,16.395411372002755
1957-1986,1957,7,5.819755074312397,29.384437723254965,11.123752463006989,20.254095145706614
1957-1986,1957,8,8.51936906044971,28.61628640457455,10.43826713389,19.527276761170448
1957-1986,1957,9,21.402670203279158,25.02612836499939,7.8862752474170374,16.456201766450995
1957-1986,1957,10,61.382807069986846,19.25819594989753,3.891421154244033,11.574808572391929
1957-1986,1957,11,130.21239948949005,11.501754759053442,-0.8960718609108878,5.302841465775859
1957-1986,1957,12,160.50595727321007,7.923415086044367,-2.8958700921365317,2.5137725007259473
1958-1987,1958,1,149.64013979582603,7.835498946498166,-3.4346535173757635,2.2004227085022396
1958-1987,1958,2,163.63343419773875,9.243133630166744,-2.5731391228188856,3.3349972512791006
1958-1987,1958,3,157.35693047988715,11.575654525487062,-1.3576171435508533,5.109018681124214
1958-1987,1958,4,82.33213651498302,14.953245907366236,0.6983726762239235,7.825809284805009
1958-1987,1958,5,37.655287594879205,20.070171843636864,4.290795257517783,12.18048354918654
1958-1987,1958,6,14.781774262671531,24.951294683284782,7.931387054546034,16.441340912962357
1958-1987,1958,7,5.690224185540772,29.446830692971396,11.184143236979054,20.315487016339087
1958-1987,1958,8,7.662379057837266,28.620599022736602,10.411645005953057,19.51612202290004
1958-1987,1958,9,19.229746690759676,25.311452865894147,8.06461668319956,16.688034741336132
1958-1987,1958,10,55.42440535973917,19.48953847536661,4.009593629132862,11.749566064479176
1958-1987,1958,11,124.70968579681754,11.573120803203036,-0.8756447295190075,5.348738053818239
1958-1987,1958,12,164.0349774099599,7.884790151404062,-2.917336058831919,2.4837270524942174
1959-1988,1959,1,148.10916857115373,7.761379676309147,-3.521346477170129,2.120016592831129
1959-1988,1959,2,162.2099180294169,9.14332905370355,-2.6658245322821768,3.2387522612810016
1959-1988,1959,3,155.88488348298677,11.467155297100664,-1.4631257747871307,5.0020147514948965
1959-1988,1959,4,83.27489076125906,14.84907166137197,0.6558496752974972,7.752460664609088
1959-1988,1959,5,37.56891521135062,19.941917166164966,4.218405002229377,12.080161082779927
1959-1988,1959,6,14.737146610609972,24.936043105221263,7.915008513611889,16.425525858550508
1959-1988,1959,7,5.584605638415796,29.52383040485309,11.25741026099414,20.390620373558153
1959-1988,1959,8,7.673308916719961,28.664146705916213,10.4615207104059,19.562833712555964
1959-1988,1959,9,24.02937641645632,25.232034639746736,8.100605750052315,16.66632016026381
1959-1988,1959,10,56.21093520674801,19.397977817387375,3.9862879484385645,11.692132887886064
1959-1988,1959,11,117.31741546364002,11.712346646568209,-0.8344102618122146,5.438968205672925
1959-1988,1959,12,166.6603192051444,7.862434834147566,-2.9022545110868276,2.4800901694929376
1960-1989,1960,1,148.01348660934534,7.802085095455577,-3.5268476299722655,2.1376187248760834
1960-1989,1960,2,162.8796368112188,9.273629240318403,-2.507567322916379,3.383030957392708
1960-1989,1960,3,153.2976901053723,11.561855382290107,-1.4475104609310625,5.057172453428036
1960-1989,1960,4,80.78571959185383,15.032890878519327,0.7438389564479346,7.888364912373967
1960-1989,1960,5,36.46583265093959,19.971915790004847,4.192993313514317,12.08245454616834
1960-1989,1960,6,15.24151733767166,24.970091610651334,7.9366460951120645,16.453368903257704
1960-1989,1960,7,5.58149414107118,29.572312036567265,11.300244630143219,20.43627838268585
1960-1989,1960,8,7.91729694686446,28.663107943123755,10.475898640498977,19.569503303837077
1960-1989,1960,9,25.58204641880188,25.149791041804537,8.066446698762762,16.60811884011043
1960-1989,1960,10,53.164386357018515,19.542016794553582,4.096441659523534,11.819229227144318
1960-1989,1960,11,118.91550474661379,11.599990672885758,-0.955461839044106,5.322264433320374
1960-1989,1960,12,175.43821372215078,7.654087353744429,-2.9935844984389917,2.3302514287773453
1961-1990,1961,1,148.6845351956218,7.884719020285173,-3.3755551998568984,2.254581906328904
1961-1990,1961,2,158.42760122442556,9.398854040175335,-2.38557863469559,3.506637697759698
1961-1990,1961,3,149.13271800054446,11.749242998286938,-1.3466504527796603,5.201296270260667
1961-1990,1961,4,81.8636938856028,15.063026309354042,0.7871791930915519,7.925102742447802
1961-1990,1961,5,37.07962508003949,19.826763155639842,4.127461212799,11.97711218987727
