Year Range,Year (30y start),Month,Pr (mm),Tasmax (degC),Tasmin (degC),Tave (degC)
1950-1979,1950,1,158.55404735801113,8.142366231863061,-3.0747528327717477,2.533806697433088
1950-1979,1950,2,146.6721854423491,9.431513676416255,-2.483314986893018,3.4740993343217967
1950-1979,1950,3,155.92185591919994,11.649097209889677,-1.344863708579343,5.1521167451061824
1950-1979,1950,4,80.06171306923109,15.206801060338368,0.770415130589099,7.988608117300912
1950-1979,1950,5,43.994346586005896,20.129281334476893,4.493945801147128,12.311613560072225
1950-1979,1950,6,16.41779433810284,25.006514319715986,7.9975554744541615,16.502034931807167
1950-1979,1950,7,5.617815906302176,29.667321184056824,11.375299641691033,20.52131039738934
1950-1979,1950,8,4.037789891640133,29.111854802919403,10.63121106845648,19.871532912466684
1950-1979,1950,9,9.700770365754284,26.15242360175587,8.40677899603198,17.27960128597125
1950-1979,1950,10,49.92923279086005,20.47105307339308,4.736201884500348,12.603627481340295
1950-1979,1950,11,132.55627931575768,12.325299134026137,-0.11161739086992999,6.106840859844606
1950-1979,1950,12,184.7634152216818,7.815724900615308,-2.845124209910741,2.485300343898395
1951-1980,1951,1,155.69572582652248,8.109664366632185,-3.1282210105010106,2.490721677480986
1951-1980,1951,2,145.12538969760172,9.299493820444125,-2.661839153585784,3.318827328172341
1951-1980,1951,3,164.66170506880434,11.581354203101855,-1.3789290508835488,5.1012125734931315
1951-1980,1951,4,78.27440074288282,15.15906938063128,0.7187355802377043,7.938902502381427
1951-1980,1951,5,45.62846993948984,20.023962700850227,4.417502801600551,12.22073274634174
1951-1980,1951,6,16.672672529197847,24.824031195691386,7.858956927877612,16.341494090328577
1951-1980,1951,7,7.5887690011834215,29.61040334593037,11.385076155754527,20.49773974751451
1951-1980,1951,8,4.150808037718658,29.110510144687577,10.627000655333724,19.868755376974928
1951-1980,1951,9,9.399358600199879,26.277330602963676,8.474342324096153,17.375836456600716
1951-1980,1951,10,51.01374879793137,20.3649423705162,4.6666999835105445,12.51582117482582
1951-1980,1951,11,135.54278562317683,12.2354242114605,-0.14424226762490358,6.045590958629758
1951-1980,1951,12,169.751662611606,7.840527163093699,-2.8692002057656207,2.4856634805535966
1952-1981,1952,1,141.45247012333178,8.274202662084775,-3.093295558161011,2.590453554906291
1952-1981,1952,2,143.41907691642984,9.306474418203662,-2.6141255849152314,3.3461744113780134
1952-1981,1952,3,157.64798888968377,11.655361217209252,-1.3605917724898717,5.14738471798473
1952-1981,1952,4,77.68311096180015,15.222027172207026,0.7535204365943219,7.987773822971438
1952-1981,1952,5,43.7714665544048,20.149640417443603,4.482473375112493,12.316056889299029
1952-1981,1952,6,17.68749000118469,24.62170827667497,7.716141520076478,16.168924917980394
1952-1981,1952,7,7.596126408073636,29.58630536146526,11.380357085181176,20.483331201316066
1952-1981,1952,8,4.036262981037855,29.13889325635264,10.642912199875761,19.890902692685973
1952-1981,1952,9,9.224063590144793,26.15751222065536,8.372042869073178,17.26477752072875
1952-1981,1952,10,47.630251120114096,20.426420417203577,4.678702094134243,12.552561253399283
1952-1981,1952,11,136.2060200344739,12.18545690848981,-0.1629572004574465,6.011249841147767
1952-1981,1952,12,167.61685632526584,8.038467734206018,-2.6966590766003127,2.670904334046808
1953-1982,1953,1,150.13585820921296,8.312433665075789,-2.9763428737653657,2.6680453997469757
1953-1982,1953,2,136.70384995734793,9.384736306691957,-2.570261934327042,3.407237177810642
1953-1982,1953,3,158.61496355138758,11.66255954652625,-1.3385869378003745,5.161986309196798
1953-1982,1953,4,76.8673164840057,15.279482019715655,0.7494135510626643,8.014447809386557
1953-1982,1953,5,43.24548780563528,20.259541497919578,4.5376113577478145,12.39857641407622
1953-1982,1953,6,18.878190512309015,24.5462645811709,7.6897926095446145,16.11802861962964
1953-1982,1953,7,7.603346709780095,29.523921856896752,11.312784889814232,20.418353357986273
1953-1982,1953,8,4.202414030561299,29.1715610117421,10.64455242964453,19.90805667277925
1953-1982,1953,9,9.374760285011417,26.05456007543038,8.29180657663894,17.173183302408567
1953-1982,1953,10,50.944791783157925,20.268543509744543,4.65064859156419,12.45959605256974
1953-1982,1953,11,145.57060346136612,11.966231632092155,-0.18031049775963895,5.892960552912309
1953-1982,1953,12,157.15054554394752,8.109195368717085,-2.6691253014926186,2.7200350398156155
1954-1983,1954,1,149.62624978886777,8.195253515329453,-3.1174223221622106,2.53891560109108
1954-1983,1954,2,138.3424574971336,9.21940972366116,-2.7301441642368327,3.2446327697361723
1954-1983,1954,3,155.06758205308148,11.789606306486657,-1.2392440551661124,5.2751811360998975
1954-1983,1954,4,78.04457472435202,15.16335760697101,0.6941887961202965,7.928773227510658
1954-1983,1954,5,45.31440491223229,20.134674677907594,4.4655428598200215,12.300108746747632
1954-1983,1954,6,18.365853025371667,24.62432630540923,7.743750873365276,16.184038610815456
1954-1983,1954,7,7.324153351533849,29.42420426072058,11.208981358201886,20.31659278977364
1954-1983,1954,8,4.183324795711121,29.16995531831702,10.599540446082093,19.88474782940756
1954-1983,1954,9,11.743818249491598,26.008649315881726,8.257063329504412,17.13285630386999
1954-1983,1954,10,52.46931164002417,20.229457038940605,4.648351005493535,12.438904024656628
1954-1983,1954,11,149.2684091415998,11.870719529514883,-0.19720034645722054,5.836759576018448
1954-1983,1954,12,153.9338025770307,7.98083598938165,-2.80585338838249,2.5874913063219056
1955-1984,1955,1,145.3590187892858,8.029755045349606,-3.3048147718782883,2.3624701448252594
1955-1984,1955,2,141.89187237137315,9.07128881761515,-2.7605797908466116,3.155354504461849
1955-1984,1955,3,162.900151558519,11.623218625165466,-1.3061205051064433,5.158549069710062
1955-1984,1955,4,78.22736475676321,15.045254167367176,0.6454009941511599,7.845327610822731
