Year Range,Year (30y start),Month,Pr (mm),Tasmax (degC),Tasmin (degC),Tave (degC)
1950-1979,1950,1,175.10810178322694,7.748683510411694,-3.120962368763012,2.3138605658799056
1950-1979,1950,2,160.09215490753033,8.728165005303023,-2.874407182140053,2.9268788816211857
1950-1979,1950,3,151.68156552546728,10.587317705226663,-2.027535034320864,4.279891335770802
1950-1979,1950,4,69.56501518055369,14.767891514695217,0.5182908555761534,7.643091205659082
1950-1979,1950,5,45.89089520022553,19.515260989494568,3.9809755040698263,11.748118267481795
1950-1979,1950,6,18.574012549612284,24.923826311536587,7.907177028283089,16.415501623213768
1950-1979,1950,7,4.362168479924802,29.1782290333651,11.019243835068698,20.098736465740558
1950-1979,1950,8,5.74879907426829,28.547299741810672,10.183014704878309,19.36515721186247
1950-1979,1950,9,23.044136544405816,25.057109041311005,7.787892192620093,16.422500606379995
1950-1979,1950,10,36.380333721847066,19.708262270470875,4.024023359064274,11.866142778045363
1950-1979,1950,11,135.96996333004523,11.468359057176299,-0.8209074019332431,5.323725819893813
1950-1979,1950,12,181.39772650017656,7.685249954040962,-2.9033564400357346,2.390946751651776
1951-1980,1951,1,173.50144068571993,7.822864992284819,-3.069283408746351,2.3767907890611704
1951-1980,1951,2,160.11233037131265,8.851170193360675,-2.7719671011405627,3.039601515544974
1951-1980,1951,3,150.67630449307833,10.71560945426634,-1.9551394416328078,4.380235004238196
1951-1980,1951,4,68.89295993650651,14.73097688747411,0.4825774278905948,7.606777176509426
1951-1980,1951,5,45.451356248001545,19.570522350804367,4.01662664019357,11.793574498345272
1951-1980,1951,6,19.418010985477096,24.893298688065485,7.906777732897696,16.400038185609148
1951-1980,1951,7,4.433221585013844,29.205987201220278,11.081003350588814,20.143495300708466
1951-1980,1951,8,5.674662528344346,28.52828196433185,10.161100792836875,19.344691347588576
1951-1980,1951,9,22.888966122340996,25.162336947129702,7.887102389375754,16.52471965293174
1951-1980,1951,10,37.172787048926395,19.5276968899355,3.8891912954557655,11.708444052055338
1951-1980,1951,11,139.21100861743636,11.479997207140604,-0.8285572340838105,5.325719982624198
1951-1980,1951,12,190.46868537014748,7.706103375936864,-2.886827806664978,2.409637778947028
1952-1981,1952,1,172.37366138364015,7.898272342363472,-3.021709194751493,2.438281568352393
1952-1981,1952,2,168.67702474377086,8.722964917988271,-2.833966344824476,2.9444992554818326
1952-1981,1952,3,150.40327638241928,10.816823127719852,-1.8569402476834067,4.4799414435647655
1952-1981,1952,4,70.99440296439934,14.718733210904308,0.4738739931145749,7.59630362236961
1952-1981,1952,5,44.02274079551236,19.61534289050416,4.038148499381578,11.826745698292596
