Year Range,Year (30y start),Month,Pr (mm),Tasmax (degC),Tasmin (degC),Tave (degC)
1950-1979,1950,1,176.91759717639596,8.088095964285376,-2.670414627099157,2.7088406652449257
1950-1979,1950,2,156.13201019740254,8.970316579684539,-2.7705840912292676,3.099866243900797
1950-1979,1950,3,154.4679314453138,11.34961804044949,-1.5623744266413966,4.893621791025895
1950-1979,1950,4,75.8544380140685,14.734670081965037,0.4388170654425218,7.58674354728553
1950-1979,1950,5,52.204484288355815,19.264911608070427,3.9819167243270206,11.623414205282494
1950-1979,1950,6,18.036612337640104,24.650117348407125,7.806611084342338,16.228364223828383
1950-1979,1950,7,6.195170212793043,29.23192778321373,11.186938111903025,20.20943291319808
1950-1979,1950,8,9.360176296579764,28.840761788505414,10.551712760345277,19.69623722531892
1950-1979,1950,9,23.780061532289082,25.4420337372829,8.060851389105695,16.751442550499142
1950-1979,1950,10,60.45775201533521,19.629516714229794,4.040373725255863,11.834945215537529
1950-1979,1950,11,126.11051213754182,11.378336025396171,-1.1007456335431263,5.138795218170003
1950-1979,1950,12,184.66091104206734,7.755136464605723,-2.7221957598370223,2.516470350397439
1951-1980,1951,1,186.96143123389027,7.80553376339798,-2.905226738765932,2.4501535102334726
1951-1980,1951,2,157.41073851975858,8.93572244880112,-2.7844028684072173,3.0756597892748587
1951-1980,1951,3,151.70848354917698,11.450940059148106,-1.5522143338127075,4.949362844670302
1951-1980,1951,4,71.3455891233259,14.872726362731296,0.4656167281989809,7.669171525134034
1951-1980,1951,5,53.01663814523336,19.37248652547797,4.055852150879806,11.714169374620504
1951-1980,1951,6,18.017352751397752,24.72875652128961,7.875947789849607,16.30235215676271
1951-1980,1951,7,6.196108253671741,29.227872313696658,11.188251412500035,20.20806183445108
1951-1980,1951,8,9.497063732013743,28.73827835590628,10.461846143437166,19.600062214074445
1951-1980,1951,9,23.781562060666417,25.421961421103724,8.028693268613143,16.725327329586893
1951-1980,1951,10,59.280312880101484,19.633635808538376,4.019475980152829,11.826555896006584
1951-1980,1951,11,129.00945265139552,11.491768256669719,-1.0207736008393438,5.2354973512261544
1951-1980,1951,12,183.66315422879183,7.677232050825742,-2.777315236938379,2.4499584067203775
1952-1981,1952,1,178.4957896171739,7.764006634621883,-3.0174909894468485,2.3732578204999606
1952-1981,1952,2,158.04502310724303,8.93774082560934,-2.754112817787706,3.091814003466043
1952-1981,1952,3,158.633871679731,11.389188181679218,-1.5955998847667332,4.896794125819964
1952-1981,1952,4,68.58000898873016,14.98062108149572,0.558445967173938,7.769533507616036
1952-1981,1952,5,53.40170200281003,19.346836539795483,4.048462102180937,11.697649351400846
1952-1981,1952,6,18.24028716033771,24.632642107589557,7.824278513392779,16.228460305884585
1952-1981,1952,7,6.208602736199626,29.28878125718082,11.24254257851556,20.26566187561738
1952-1981,1952,8,9.483218678390788,28.68828748607118,10.409076118750505,19.548681758123077
1952-1981,1952,9,23.92905500033192,25.394547495763973,8.018498910248576,16.706523188976586
1952-1981,1952,10,60.549289317615184,19.304365632580904,3.780192973860337,11.542279303630762
1952-1981,1952,11,131.22136642066747,11.29532559434134,-1.064930646313709,5.11519750226983
1952-1981,1952,12,180.9500296180469,7.691048077383521,-2.7729638195004305,2.4590421281343207
1953-1982,1953,1,177.58103373305423,7.743823410961599,-3.0344315991870547,2.354695903122084
1953-1982,1953,2,162.99056231500091,8.788065680258411,-2.8243934906296135,2.981836097056997
1953-1982,1953,3,162.4413708375568,11.446107948351798,-1.4761514090872365,4.984978249191384
1953-1982,1953,4,68.9407216362486,15.015747405569835,0.568362297571362,7.79205484108228
1953-1982,1953,5,52.920357218073924,19.389185968382336,4.10710781510286,11.748146925480041
1953-1982,1953,6,19.394816852877863,24.455894423213767,7.7387713140750565,16.097332868142193
1953-1982,1953,7,6.223805397714824,29.27071831449752,11.253004995214404,20.26186162495336
1953-1982,1953,8,9.48157342529397,28.648965970798727,10.357554475240995,19.50326018980113
1953-1982,1953,9,21.50370433783939,25.401559993446313,8.006668874037114,16.704114421561055
1953-1982,1953,10,62.59173036209888,19.240689202113398,3.7762901594708236,11.508489681693584
1953-1982,1953,11,129.02912030651055,11.236685568303525,-1.0740067218757903,5.081339450600795
1953-1982,1953,12,187.547698046672,7.656411512345916,-2.7704853883132916,2.4429630611048454
1954-1983,1954,1,184.66924945348723,7.788258038018088,-2.9082229782894613,2.4400175253491496
1954-1983,1954,2,161.72105426011962,8.809176628635193,-2.7971744035999846,3.00600111191148
1954-1983,1954,3,162.03350704748436,11.34521653263265,-1.544574838321914,4.900320827895675
1954-1983,1954,4,69.71062717636205,14.984220231257982,0.5724807768512481,7.77835049756257
1954-1983,1954,5,52.61073720915979,19.274156108811493,4.04523250133547,11.659694347183612
1954-1983,1954,6,19.36908203210735,24.4400526768623,7.734508865169186,16.087280777411117
1954-1983,1954,7,6.3338153534595545,29.265440738585895,11.217192326409611,20.24131650879891
1954-1983,1954,8,10.220185417706382,28.526665931102098,10.244925168895772,19.385795515618135
1954-1983,1954,9,20.665523966130078,25.49012302724493,8.064205920688197,16.77716447043255
1954-1983,1954,10,57.42045135217475,19.273249510447283,3.765298431292608,11.519273969298654
1954-1983,1954,11,136.61488514195236,11.275717675105287,-0.9680758508714767,5.1538209403635795
1954-1983,1954,12,194.81582384058595,7.662063519862655,-2.737090626652058,2.4624864466588803
1955-1984,1955,1,184.28629653687983,7.776440093233274,-2.8719933669394524,2.4522233553622876
1955-1984,1955,2,161.8390829551963,8.660381740672017,-2.897408596917102,2.881486568854022
1955-1984,1955,3,159.12057703751458,11.302225767561831,-1.6578853170497447,4.8221702104832485
1955-1984,1955,4,71.73523367158376,14.934437557061232,0.5442244943346015,7.7393310216755085
1955-1984,1955,5,52.83854442444661,19.244502510636565,4.050200168436822,11.647351384242087
1955-1984,1955,6,19.739361465509074,24.276352238919905,7.643760808892308,15.960056543590774
1955-1984,1955,7,6.153866063592172,29.324149389095393,11.269966721535122,20.297058036358422
1955-1984,1955,8,10.166914047428664,28.545776792381286,10.25564904458969,19.40071289141523
1955-1984,1955,9,21.7092966997559,25.38772660073562,7.989740047119088,16.68873333001438
1955-1984,1955,10,60.0519391265535,19.123126539626163,3.6751712213276067,11.399148883696421
1955-1984,1955,11,134.77201273638556,11.341778876441127,-1.0100206200794228,5.165879148637785
1955-1984,1955,12,196.53242704158873,7.508626462308468,-2.8513064266717394,2.3286600185172976
1956-1985,1956,1,184.6790261895133,7.513467962291447,-3.1386336405660358,2.1874171545694314
1956-1985,1956,2,156.91383864535504,8.505464679546364,-3.0449584119455855,2.7302531275023214
1956-1985,1956,3,157.36591765230077,11.228098133745144,-1.7808663756971572,4.723615863006104
1956-1985,1956,4,72.5222134258442,14.90024433182946,0.553666960403992,7.726955638865894
1956-1985,1956,5,55.65097148237209,19.120029232314085,4.019132835309477,11.569581081123088
1956-1985,1956,6,19.52594835154218,24.124514232233583,7.545154665621395,15.834834465638188
1956-1985,1956,7,7.003025830856191,29.180409983312096,11.196973123540383,20.1886915368866
1956-1985,1956,8,10.15850608518348,28.586932366349068,10.307034629940658,19.446983465826715
1956-1985,1956,9,21.835008500033727,25.309281185486537,7.954464753661767,16.63187297163961
1956-1985,1956,10,60.905022664313385,19.088527100228013,3.676094652370159,11.382310897294547
1956-1985,1956,11,136.2765051670452,11.401427691358993,-0.9360657782433611,5.232680974104986
1956-1985,1956,12,204.9814190903218,7.495675778484502,-2.835178212488631,2.330248784279999
1957-1986,1957,1,182.3649586255497,7.579712992423188,-3.022049110293577,2.2788319351522417
1957-1986,1957,2,155.0584842499661,8.387516453939039,-3.135161225259403,2.626177607180274
1957-1986,1957,3,151.85831977543927,11.328595519800352,-1.7270727667272339,4.800761360125976
1957-1986,1957,4,73.64497059276648,14.89570080938805,0.5415611030512536,7.718630948435829
1957-1986,1957,5,55.96201555988569,19.04367786451242,3.958923902900518,11.50130093217343
1957-1986,1957,6,19.631535074902256,24.060646064543082,7.531142722487119,15.795894403140652
1957-1986,1957,7,7.058389800844635,29.241232367929157,11.249486673138446,20.245359508664468
1957-1986,1957,8,10.154303835620968,28.559817079442414,10.290503206528395,19.42516010918767
1957-1986,1957,9,21.57943857138664,25.3600471578813,8.005863918881321,16.682955546479203
1957-1986,1957,10,58.91427709264055,19.111263196645222,3.6829443652208114,11.39710381436501
1957-1986,1957,11,131.05569009554932,11.542090465864483,-0.8429773149241115,5.34955659035538
1957-1986,1957,12,192.52333819249472,7.638948855943602,-2.782997862618337,2.4279754995559837
1958-1987,1958,1,179.6232524205724,7.570308480720629,-3.066492856163962,2.251907805324271
1958-1987,1958,2,156.4546350058577,8.430129114158301,-3.060632833417088,2.684748132687801
1958-1987,1958,3,150.2830200558578,11.391623968326877,-1.6643416331199423,4.863641152010694
1958-1987,1958,4,76.0252013876718,14.661885085331201,0.42407161825143647,7.542978342137307
1958-1987,1958,5,54.27096456573016,19.184802583229725,4.065281260057897,11.625041967753486
1958-1987,1958,6,19.893794318327874,24.066886406535513,7.543964935902987,15.805425696646205
1958-1987,1958,7,6.78185057745801,29.15494982377268,11.156031804281374,20.155490790835188
1958-1987,1958,8,9.235090221238226,28.56868962742203,10.2689090287889,19.418799298287652
1958-1987,1958,9,20.945037171219614,25.23699992823347,7.9138368239374985,16.57541838477794
1958-1987,1958,10,60.06388530458835,19.045188357849977,3.6566375301352685,11.35091297865015
1958-1987,1958,11,133.93053125218654,11.469928023306,-0.883729922948417,5.293099065482751
1958-1987,1958,12,200.19690498192696,7.460372288694616,-2.918542427234669,2.270914932962714
