Year Range,Year (30y start),Month,Pr (mm),Tasmax (degC),Tasmin (degC),Tave (degC)
1950-1979,1950,1,199.03664400110296,6.971922479578861,-3.4765961258333267,1.747663176872767
1950-1979,1950,2,166.4728321308572,8.834632014876531,-2.504140630419404,3.1652456922285648
1950-1979,1950,3,147.52163080194597,11.522518875485042,-1.2732802687853824,5.12461930334983
1950-1979,1950,4,77.11051858017814,14.95132112076263,0.6623792207715058,7.806850170767068
1950-1979,1950,5,49.21257505155251,19.8744142107248,4.314410416971975,12.094412313848387
1950-1979,1950,6,23.843788581083956,24.50077089245018,7.86212474597346,16.18144781921182
1950-1979,1950,7,6.7447452308823035,28.691768075908083,10.76926558168054,19.73051682879431
1950-1979,1950,8,6.384243942555698,28.1564315141433,9.900890880328516,19.02866119723591
1950-1979,1950,9,17.90486679040435,24.821124803850367,7.419446588341469,16.120285696095916
1950-1979,1950,10,71.99182630546274,18.959612044131475,3.6706935527690496,11.315152798450264
1950-1979,1950,11,136.4216650832873,11.720866401391827,-0.9202868530305995,5.400289774180615
1950-1979,1950,12,160.6867399283296,7.458299697097538,-3.1102912891558687,2.1740042039708345
1951-1980,1951,1,187.69458503920566,6.977997884062756,-3.568370018111873,1.704813932975441
1951-1980,1951,2,174.0304912836739,8.84020312903374,-2.4593675752384256,3.190417776897657
1951-1980,1951,3,144.68352138918064,11.5608751807604,-1.2963171420025088,5.132279019378945
1951-1980,1951,4,79.56776683802791,14.986420517422829,0.7242556730380704,7.85533809523045
1951-1980,1951,5,50.751229544634455,19.63719041619204,4.178658746358114,11.907924581275077
1951-1980,1951,6,24.65747529733086,24.353019054028533,7.829569011851387,16.09129403293996
1951-1980,1951,7,6.715540956787589,28.695479394699667,10.815437226085097,19.755458310392385
1951-1980,1951,8,8.409767334772171,28.164654185874586,9.968492531969614,19.0665733589221
1951-1980,1951,9,17.800302971639287,24.791094972753665,7.4391875962838485,16.115141284518756
1951-1980,1951,10,69.40677868534887,18.951572701157986,3.6085699179292874,11.280071309543636
1951-1980,1951,11,136.1541880982951,11.847091437046446,-0.8210039625832886,5.513043737231579
1951-1980,1951,12,164.35394531252547,7.502121426738956,-3.069854810226038,2.216133308256459
1952-1981,1952,1,190.94650888453052,6.967220989547885,-3.5845627493087546,1.691329120119565
1952-1981,1952,2,166.612915447701,9.050586363326936,-2.38631939163303,3.3321334858469527
1952-1981,1952,3,143.76284943811478,11.604868855866922,-1.2882101312243492,5.158329362321286
1952-1981,1952,4,81.07203326115906,14.880551655230033,0.6883227129991695,7.784437184114602
1952-1981,1952,5,53.38511112251225,19.364252445608276,4.054852445930273,11.709552445769274
1952-1981,1952,6,24.373016862589207,24.266297674776457,7.813538544607966,16.039918109692213
1952-1981,1952,7,7.245397609515692,28.535070343621026,10.750549327148166,19.642809835384593
1952-1981,1952,8,8.918738365690759,28.178811088061128,10.043535973287653,19.11117353067439
1952-1981,1952,9,16.90228023860807,24.91262591192541,7.514135118508049,16.213380515216727
1952-1981,1952,10,62.377934083912585,19.277761676605778,3.7668179941274307,11.522289835366603
1952-1981,1952,11,132.10369389177006,11.974699687075896,-0.7964052785539171,5.58914720426099
1952-1981,1952,12,177.40941455643252,7.524477434337977,-3.0107545891151513,2.256861422611413
1953-1982,1953,1,188.56936741508216,7.031950245037591,-3.5416069718665804,1.745171636585505
1953-1982,1953,2,171.09243765907476,8.980067775834742,-2.400040484630418,3.2900136456021616
1953-1982,1953,3,146.71059868465287,11.433011054256946,-1.3460880670748478,5.043461493591049
1953-1982,1953,4,83.33179592821375,14.774896775738775,0.6419103863886008,7.7084035810636875
1953-1982,1953,5,52.01945250870236,19.26494169495855,3.972421440005425,11.618681567481989
1953-1982,1953,6,25.502076383609012,24.140715993403273,7.75188425171656,15.946300122559917
1953-1982,1953,7,7.442738345876319,28.521432425488563,10.746891342700113,19.634161884094336
1953-1982,1953,8,8.802163970540972,28.338152512245035,10.161155975489457,19.249654243867248
1953-1982,1953,9,18.147844211636503,24.778927349234365,7.47820184933769,16.128564599286026
1953-1982,1953,10,68.15848643324344,19.131311849885012,3.7321179809977965,11.431714915441402
1953-1982,1953,11,131.3159859648919,11.852221278729138,-0.8425764479797523,5.504822415374693
1953-1982,1953,12,172.26898175696184,7.6655274296277485,-2.8824682079086736,2.391529610859538
1954-1983,1954,1,193.0680346412697,6.931575194871196,-3.6238642710813194,1.6538554618949382
1954-1983,1954,2,166.39944747238863,9.009540452157653,-2.4366142003264617,3.286463125915595
1954-1983,1954,3,144.8893244576471,11.412729850594724,-1.3746666638096927,5.019031593392515
1954-1983,1954,4,85.89182960455585,14.693325322056625,0.6065161113955762,7.6499207167261
1954-1983,1954,5,54.19509743581423,19.26376259376743,4.001724849573458,11.632743721670446
1954-1983,1954,6,24.454533983581154,24.199405033648393,7.7968626879477565,15.998133860798074
1954-1983,1954,7,7.069773580621194,28.51625728313748,10.703850189734522,19.610053736436
1954-1983,1954,8,8.796342463711035,28.413033373941747,10.224453730121263,19.318743552031506
1954-1983,1954,9,17.92387269244519,24.79732738967016,7.494611508412338,16.14596944904125
1954-1983,1954,10,68.65628585104213,18.995793743556234,3.66106994569144,11.328431844623838
1954-1983,1954,11,132.89978341308807,11.755564707837022,-0.8691897326044926,5.4431874876162665
1954-1983,1954,12,179.69537501355262,7.56401613108803,-2.905648688496797,2.3291837212956166
1955-1984,1955,1,199.85664946026392,6.898395712538943,-3.654516271113877,1.6219397207125332
1955-1984,1955,2,164.02450401443213,9.053250832552443,-2.42069687095426,3.3162769807990924
1955-1984,1955,3,147.16274279266966,11.303135532070696,-1.428187585892512,4.937473973089093
1955-1984,1955,4,85.45924550826759,14.706138185284784,0.6121158043789818,7.659126994831883
1955-1984,1955,5,53.87892362341243,19.18462815818605,3.9616899208041896,11.57315903949512
1955-1984,1955,6,24.9625949747753,24.12716005052753,7.755983757556477,15.941571904042004
1955-1984,1955,7,7.236531872381266,28.497158478213514,10.725431331267371,19.61129490474044
1955-1984,1955,8,8.53930053988462,28.463216831918697,10.22259153935949,19.342904185639092
1955-1984,1955,9,18.08266721987632,24.66252826992282,7.397846842012035,16.030187555967427
1955-1984,1955,10,69.39356046469315,18.99322791547313,3.6723445442845244,11.332786229878828
1955-1984,1955,11,143.16188449992617,11.406277235238882,-0.997362669141374,5.204457283048754
1955-1984,1955,12,183.1792265071757,7.711702456401204,-2.732592914742288,2.489554770829458
1956-1985,1956,1,214.17180713874365,6.893509210972672,-3.6017828161076335,1.6458631974325197
1956-1985,1956,2,156.30321862926152,9.204923693178142,-2.4241191639690913,3.3904022646045258
1956-1985,1956,3,153.7330368412283,11.193795368359137,-1.4345857838531786,4.879604792252979
