Year Range,Year (30y start),Month,Pr (mm),Tasmax (degC),Tasmin (degC),Tave (degC)
1950-1979,1950,1,210.82138921635539,7.759282718122549,-3.021423945234913,2.368929386443818
1950-1979,1950,2,143.01306426919018,9.694697759938919,-2.0832114339779735,3.8057431629804723
1950-1979,1950,3,159.62771532218542,11.287881585029679,-1.3893664674538817,4.949257558787898
1950-1979,1950,4,108.56352756349362,14.228802566342816,0.3083562076274358,7.268579386985126
1950-1979,1950,5,51.23520070402321,19.1687589506683,4.071776153523278,11.620267552095788
1950-1979,1950,6,19.24258265178181,24.349927804277833,7.606127332103453,15.978027568190642
1950-1979,1950,7,5.1159710881617,28.918094018242606,10.796580947906431,19.857337483074517
1950-1979,1950,8,7.474004531627977,28.332106917521152,10.019459419256998,19.175783168389078
1950-1979,1950,9,23.216879032526283,25.685537477745065,8.405421814599956,17.04547964617251
1950-1979,1950,10,66.5434551957745,19.29115678268583,3.996801830109133,11.643979306397481
1950-1979,1950,11,118.02555421428336,11.50064296947523,-0.9854146159964686,5.257614176739382
1950-1979,1950,12,211.00368314937475,7.840248462351936,-2.8244506649364514,2.5078988987077424
1951-1980,1951,1,218.91623647704017,7.689058172158912,-3.016521577520671,2.336268297319121
1951-1980,1951,2,141.16062161235928,9.841332960720946,-1.9731380582357783,3.9340974512425837
1951-1980,1951,3,156.74013003512937,11.406301535548476,-1.3503578532783407,5.027971841135068
1951-1980,1951,4,106.29886492687673,14.316274245956484,0.39336460187303074,7.3548194239147575
1951-1980,1951,5,49.13200544351999,19.132330436447013,4.0163359105280465,11.57433317348753
1951-1980,1951,6,19.140957980480373,24.359913238148156,7.575911865977418,15.967912552062787
1951-1980,1951,7,4.803385017842773,28.930909368012003,10.79594073050678,19.86342504925939
1951-1980,1951,8,7.630238316823145,28.361632972446937,10.051936765415187,19.20678486893106
1951-1980,1951,9,21.92112495479306,25.880875834889302,8.530530195873705,17.205703015381506
1951-1980,1951,10,65.79641320465063,19.479042034626605,4.116337756820664,11.797689895723634
1951-1980,1951,11,119.08135354140428,11.238328286506698,-1.156900406447852,5.040713940029424
1951-1980,1951,12,208.41534332400715,7.739577379387983,-2.985809800676139,2.3768837893559223
1952-1981,1952,1,210.1306776143982,7.505719468002269,-3.204203853971103,2.150757807015583
1952-1981,1952,2,143.04619156623724,9.748086043896683,-2.0661950253079464,3.840945509294367
1952-1981,1952,3,157.06526612503737,11.322638453143052,-1.3893036834637122,4.96666738483967
1952-1981,1952,4,108.07755153769467,14.321604318265004,0.42990818697204974,7.375756252618527
1952-1981,1952,5,48.6473454615202,19.152340912022456,4.016307693082514,11.584324302552485
1952-1981,1952,6,17.865922870906296,24.381843117702296,7.5871143363036895,15.984478727002992
1952-1981,1952,7,4.87520084625952,28.880645283876433,10.776851972251348,19.828748628063888
1952-1981,1952,8,6.690092335499759,28.350062644995436,9.994247775308951,19.172155210152194
1952-1981,1952,9,21.751399823181412,25.75724716343038,8.448902936593806,17.103075050012094
1952-1981,1952,10,63.491325673069,19.43674129453978,4.1083542488938045,11.772547771716793
1952-1981,1952,11,126.88010264479098,11.250055428074678,-1.0886462869898081,5.080704570542435
1952-1981,1952,12,213.20830870162817,7.619565755668459,-3.029648280489079,2.29495873758969
1953-1982,1953,1,205.47780783987875,7.46928632531037,-3.255238525484016,2.107023899913177
1953-1982,1953,2,140.78595555807996,9.676362255147705,-2.147803523937027,3.7642793656053395
1953-1982,1953,3,158.8445460966828,11.251438097247014,-1.454510958136733,4.898463569555141
1953-1982,1953,4,103.23617553513958,14.455634340938001,0.4829365600421184,7.4692854504900605
1953-1982,1953,5,48.251665661005504,19.18246585648126,3.9890621629321545,11.585764009706708
1953-1982,1953,6,17.798933450255657,24.498784824157056,7.6304082719127555,16.064596548034906
1953-1982,1953,7,5.42144104900073,28.92541426602427,10.855740066675413,19.89057716634984
1953-1982,1953,8,6.933113706072644,28.35021383147055,10.014790672209223,19.182502251839885
1953-1982,1953,9,23.459163275460863,25.545364095274305,8.294037905910281,16.919701000592294
1953-1982,1953,10,70.07977283758494,19.279757496601075,4.093091940030454,11.686424718315765
1953-1982,1953,11,126.1214993903095,11.20289928235484,-1.0660189252537229,5.068440178550558
1953-1982,1953,12,207.23169809554494,7.577068869891119,-3.0898322655299855,2.2436183021805665
1954-1983,1954,1,205.05322464422915,7.482654490460098,-3.304043323492199,2.0893055834839496
1954-1983,1954,2,144.80603290579774,9.738821164306149,-2.074715325120787,3.8320529195926807
1954-1983,1954,3,157.42088145411623,11.246583310592168,-1.4602955073695785,4.893143901611294
1954-1983,1954,4,99.30334158837563,14.499745002440356,0.49260062769471685,7.496172815067537
1954-1983,1954,5,45.092434719577845,19.38460664336857,4.065476354601274,11.725041498984922
1954-1983,1954,6,17.053656098626263,24.464880597137988,7.520758744680373,15.99281967090918
1954-1983,1954,7,5.349543247079262,28.73038310686256,10.670946370529675,19.700664738696116
1954-1983,1954,8,7.089952609324685,28.355426439672947,10.021851771424036,19.18863910554849
1954-1983,1954,9,23.42098620983014,25.561421468089005,8.293350463191832,16.92738596564042
1954-1983,1954,10,65.03520637110543,19.385575954471385,4.083489041979164,11.734532498225272
1954-1983,1954,11,129.5594044250211,11.082253761079032,-1.1504206258538596,4.965916567612585
1954-1983,1954,12,200.42991798801526,7.705280499646567,-2.9729316315646086,2.3661744340409796
1955-1984,1955,1,212.46991826123102,7.429593234418397,-3.3106483560825124,2.059472439167943
1955-1984,1955,2,138.97655475791677,9.731993374205587,-2.1267208987367012,3.802636237734442
1955-1984,1955,3,160.72338155033904,11.078114770752958,-1.5201874942202436,4.778963638266357
1955-1984,1955,4,100.32276724046412,14.590056761348649,0.6133602840615604,7.601708522705104
1955-1984,1955,5,47.35793825738086,19.242213915801408,4.020359882138245,11.631286898969826
1955-1984,1955,6,17.021686154058827,24.464261458007456,7.529947606271263,15.99710453213936
1955-1984,1955,7,5.3838878910640675,28.673744789432696,10.651320069929543,19.662532429681118
1955-1984,1955,8,8.530156876545677,28.336890274192093,10.034776677983158,19.185833476087623
1955-1984,1955,9,26.34332499972482,25.410200294441484,8.227923377610665,16.819061836026076
1955-1984,1955,10,65.20632322957913,19.33144648493277,4.137424615129531,11.73443555003115
1955-1984,1955,11,125.37472106872528,11.13042421334694,-1.1560172298338378,4.98720349175655
1955-1984,1955,12,194.02112771104228,7.639339200322725,-3.071685888138508,2.283826656092109
1956-1985,1956,1,212.57562684560492,7.241236284168826,-3.46905531540296,1.8860904843829334
1956-1985,1956,2,138.0956550834843,9.522942072384119,-2.2967272537454693,3.6131074093193245
1956-1985,1956,3,158.69112761398213,10.999996247284738,-1.581835797716465,4.709080224784136
1956-1985,1956,4,95.28668777229468,14.910715661792926,0.7889343109572933,7.8498249863751095
1956-1985,1956,5,47.80752816583696,19.20665082137931,3.975813121491681,11.591231971435496
1956-1985,1956,6,17.243075546209333,24.470978902770145,7.559647534278564,16.015313218524355
1956-1985,1956,7,5.483105506939953,28.651615142227385,10.659295133032568,19.655455137629975
1956-1985,1956,8,8.53091870365702,28.35741612889524,10.078896033767428,19.218156081331337
1956-1985,1956,9,26.681588264384636,25.439522320930717,8.265142673248434,16.852332497089574
1956-1985,1956,10,64.31170303869365,19.39359572901486,4.198422760034276,11.796009244524567
1956-1985,1956,11,126.12214670913555,10.998905513740446,-1.2669953020567872,4.86595510584183
1956-1985,1956,12,186.0139525645519,7.633840114068137,-3.082694070441197,2.2755730218134707
1957-1986,1957,1,204.45232933068849,7.201649360124488,-3.517697279943556,1.8419760400904661
1957-1986,1957,2,140.70909403967715,9.619616463465709,-2.229640942030191,3.694987760717759
1957-1986,1957,3,159.76286610866498,10.953469135723555,-1.575632145358768,4.688918495182393
1957-1986,1957,4,97.0228371593988,14.747649332641254,0.694694655367541,7.721171994004397
