Year Range,Year (30y start),Month,Pr (mm),Tasmax (degC),Tasmin (degC),Tave (degC)
1950-1979,1950,1,177.59417264435623,7.501378900854809,-3.513153541792017,1.9941126684127408
1950-1979,1950,2,138.40468442429076,8.876777880363308,-3.023204030824936,2.9267869271390934
1950-1979,1950,3,129.04605284874526,11.241686064142941,-1.8513935030800697,4.695146268886672
1950-1979,1950,4,74.02087901627176,14.395179259621539,0.15588241325922125,7.275530857468144
1950-1979,1950,5,50.65091224815805,19.49663911470645,4.015995690529313,11.75631743226888
1950-1979,1950,6,18.835448250710844,24.32941339121006,7.480642413430503,15.905027905588497
1950-1979,1950,7,4.473514866811658,29.297369128389946,10.931847102012593,20.114608018039757
1950-1979,1950,8,6.383874180055489,28.402402874137277,9.940259076135721,19.171331052684454
1950-1979,1950,9,23.753598489632157,25.064090364415417,7.856236272874936,16.460163337434345
1950-1979,1950,10,68.06311559978104,18.558539954759688,3.3696111183822155,10.964075502393817
1950-1979,1950,11,103.06019241411522,11.783963466012716,-1.2249007251837545,5.279531365321725
1950-1979,1950,12,162.38646942055445,7.86458309130608,-2.9716160101666538,2.4464835456372134
1951-1980,1951,1,178.67073330838568,7.596253928572031,-3.3765775325821696,2.1098381866939158
1951-1980,1951,2,145.3094120473174,8.664038312466761,-3.1272373752171942,2.7684004680609338
1951-1980,1951,3,124.31642470720827,11.374564083772333,-1.7734189715038637,4.800572545582642
1951-1980,1951,4,71.08302133185764,14.581506636314034,0.2659410857638254,7.423723872944564
1951-1980,1951,5,50.49788939394084,19.657508986233285,4.128616878303557,11.893062954493136
1951-1980,1951,6,18.968915158930965,24.277024570815207,7.490177586637572,15.88360109315997
1951-1980,1951,7,4.7166832662975535,29.199667485279765,10.884077242671372,20.041872278155022
1951-1980,1951,8,6.654739723468293,28.366604317626578,9.916850065705411,19.141727280178756
1951-1980,1951,9,22.85845012076037,25.05917017274583,7.858468433932139,16.458819313440724
1951-1980,1951,10,68.20774522097274,18.508342240608606,3.3754247729431137,10.941883483240469
1951-1980,1951,11,107.85659239558667,11.749057139530384,-1.1153354300523963,5.31686084413404
1951-1980,1951,12,166.4611648351673,7.866387755068616,-2.9019104749185494,2.4822386439600455
1952-1981,1952,1,182.91385706569775,7.670585638108074,-3.2920179203911477,2.189283846145086
1952-1981,1952,2,138.27199101220705,8.877794738762766,-2.959111187022734,2.9593417781884157
1952-1981,1952,3,124.14490347022598,11.55671420096596,-1.6370813156249573,4.95981643592413
1952-1981,1952,4,70.65270719047471,14.529616005980836,0.22467981120405067,7.377147924999294
1952-1981,1952,5,50.87825780139301,19.50019435613378,4.029775006676405,11.76498469196209
1952-1981,1952,6,18.546021632336007,24.3375060378112,7.5331935449213425,15.935349816910248
1952-1981,1952,7,4.782674140807787,29.199159954301578,10.901324892448342,20.050242349124428
1952-1981,1952,8,6.672191452066157,28.349052071179464,9.914769512479753,19.131910875603687
1952-1981,1952,9,23.005608230679556,25.060661190447796,7.864606200766658,16.462633713324887
1952-1981,1952,10,65.21697029619814,18.611630672087593,3.4343297316314363,11.022980182745583
