Year Range,Year (30y start),Month,Pr (mm),Tasmax (degC),Tasmin (degC),Tave (degC)
1950-1979,1950,1,196.5592745388688,7.0978768735755455,-3.4871561810854406,1.805360346245052
1950-1979,1950,2,165.41680969815405,8.338103096856544,-2.9103655245381854,2.7138687861591793
1950-1979,1950,3,142.1862057779637,10.786629121696222,-1.9263936609727244,4.430117730361748
1950-1979,1950,4,75.35749965871922,14.484446831857781,0.26985191508497997,7.377149373471381
1950-1979,1950,5,43.3301570606062,19.769324633055756,4.155029886144745,11.962177259600251
1950-1979,1950,6,18.429150408774607,24.379131520453715,7.620786334480152,15.999958927466935
1950-1979,1950,7,7.550891314190298,29.016856262402662,11.065792404728736,20.041324333565697
1950-1979,1950,8,6.704188512035269,28.731903495931814,10.379947998723507,19.55592574732766
1950-1979,1950,9,18.97829595974605,25.458267196055164,8.024231919621936,16.74124955783855
1950-1979,1950,10,63.20779867131882,19.24447821112531,3.842910628208908,11.543694419667109
1950-1979,1950,11,147.78117383101247,11.364582968559716,-0.9417533984899309,5.211414785034893
1950-1979,1950,12,161.20246943167936,6.677756329565678,-3.6504714584232913,1.5136424355711933
1951-1980,1951,1,201.26373936536058,7.10576801444278,-3.4505947877516494,1.8275866133455654
1951-1980,1951,2,160.80448822266243,8.434461301705465,-2.8499965064983357,2.7922323976035646
1951-1980,1951,3,143.07318140778673,10.762476922531594,-2.007418217093326,4.377529352719134
1951-1980,1951,4,73.89022389146807,14.605259447667915,0.3426830267163721,7.473971237192144
1951-1980,1951,5,42.089420632591136,19.846963778199562,4.230478315516,12.038721046857782
1951-1980,1951,6,18.418300078763846,24.449851058922896,7.679281093345078,16.06456607613399
1951-1980,1951,7,8.244507577450973,29.018843083355026,11.06917787378486,20.04401047856994
1951-1980,1951,8,6.883481372442988,28.735640364748882,10.364615996156706,19.550128180452795
1951-1980,1951,9,20.452425485925794,25.43885068816179,8.004449480298648,16.721650084230216
1951-1980,1951,10,60.615087465080975,19.38058135766594,3.9537827438819617,11.667182050773949
1951-1980,1951,11,147.37185082862405,11.332949880263746,-0.9082688091631018,5.212340535550322
1951-1980,1951,12,162.17996431302015,6.843200865811876,-3.468191288678766,1.687504788566555
1952-1981,1952,1,188.5526171720952,7.302419065655036,-3.3024246698032527,1.9999971979258917
1952-1981,1952,2,156.23196214708315,8.792571073592546,-2.658993739665878,3.066788666963334
1952-1981,1952,3,150.28224763666276,10.716839465029148,-1.9597004708733998,4.378569497077874
1952-1981,1952,4,75.98090099527495,14.420537403832828,0.24408434808509727,7.332310875958963
1952-1981,1952,5,43.123310319477916,19.81385945828574,4.224870324056003,12.019364891170873
1952-1981,1952,6,18.166396949975102,24.43870120466229,7.684666019857874,16.061683612260087
1952-1981,1952,7,8.341645010340084,29.015628671059346,11.068368390494555,20.04199853077695
1952-1981,1952,8,6.898318493928345,28.659552914904307,10.299069122468719,19.479311018686513
1952-1981,1952,9,22.48511299006046,25.427800597823882,8.008861661844767,16.718331129834326
1952-1981,1952,10,60.41223421651948,19.423302398265438,3.963558363375517,11.693430380820478
1952-1981,1952,11,147.23655806046187,11.457128121472161,-0.8179978776183643,5.319565121926899
1952-1981,1952,12,167.61431998406803,6.990021700151195,-3.2903579344438016,1.849831882853697
1953-1982,1953,1,195.31233969835134,7.449153847879298,-3.1001751765159002,2.1744893356816988
1953-1982,1953,2,166.26665096951675,8.610571937284833,-2.741065032829667,2.9347534522275827
1953-1982,1953,3,153.1593733687553,10.68967466724398,-1.9449753637307805,4.372349651756599
1953-1982,1953,4,76.53749919547502,14.526437920070235,0.3192162798120973,7.422827099941165
1953-1982,1953,5,43.92779705112585,19.68129389329398,4.157000953320928,11.919147423307455
1953-1982,1953,6,18.363165107340233,24.28064383784518,7.602176590707918,15.941410214276551
1953-1982,1953,7,6.643903393945817,29.10766527130683,11.101506362573806,20.104585816940315
1953-1982,1953,8,6.316825019836463,28.485370535014784,10.18552012868302,19.335445331848902
1953-1982,1953,9,22.584627188594038,25.356888181181002,7.955980744696343,16.656434462938673
1953-1982,1953,10,58.86904923892503,19.477605416598372,3.988741038424457,11.733173227511417
1953-1982,1953,11,147.1028679742376,11.48560725247253,-0.8483673637455097,5.31861994436351
1953-1982,1953,12,177.66901061495554,7.030890207804551,-3.2329102621436703,1.8989899728304402
1954-1983,1954,1,200.8072000366865,7.4547480884287,-3.029111388287846,2.212818350070427
1954-1983,1954,2,171.76640719881118,8.470676770066246,-2.7652494794844444,2.8527136452909017
1954-1983,1954,3,150.76402034592167,10.793671622264032,-1.8764099083492374,4.458630856957397
1954-1983,1954,4,76.79317207037747,14.44056934227362,0.2703667823836403,7.3554680623286295
1954-1983,1954,5,44.87473997055634,19.610291191135666,4.125831098443769,11.868061144789717
1954-1983,1954,6,18.356354733918447,24.192349495604322,7.562184249635862,15.877266872620092
1954-1983,1954,7,6.5932561989366745,29.03964250696864,11.056591927996303,20.04811721748247
1954-1983,1954,8,6.7797926722811015,28.424140811521518,10.172898647669543,19.29851972959553
1954-1983,1954,9,23.12434761913401,25.357486634637905,7.960278166636082,16.658882400636994
1954-1983,1954,10,59.057715856937335,19.432429968951162,3.993085646567646,11.712757807759404
1954-1983,1954,11,146.08163063457062,11.370813982152903,-0.9441206623127613,5.213346659920071
1954-1983,1954,12,177.91932035294602,7.102265869291531,-3.1843047176036405,1.9589805758439456
1955-1984,1955,1,201.66992972414758,7.525864507703299,-3.015166637263803,2.255348935219748
1955-1984,1955,2,179.7719044792519,8.470699730853983,-2.7362295422080787,2.8672350943229525
1955-1984,1955,3,150.67480047605872,10.722808262327845,-1.9285879695177084,4.397110146405068
1955-1984,1955,4,76.67296654490038,14.334664974843772,0.204735458022402,7.269700216433086
1955-1984,1955,5,44.132565967593216,19.689830461678888,4.162561336453077,11.926195899065982
1955-1984,1955,6,18.710499502255022,24.151483557650863,7.540402803959667,15.845943180805266
1955-1984,1955,7,6.5988803920345465,29.000840208273715,11.03462025285266,20.01773023056319
1955-1984,1955,8,6.8498800483891475,28.399645066186185,10.166171456161345,19.282908261173763
1955-1984,1955,9,22.993844928360936,25.46842166970803,8.029726292645076,16.74907398117655
1955-1984,1955,10,57.00124293438587,19.529745957922817,4.039495627245977,11.784620792584397
1955-1984,1955,11,153.38937023663735,11.201918651347524,-0.9694137924808213,5.116252429433351
1955-1984,1955,12,176.3384001719094,7.092854199749186,-3.2073896315780774,1.9427322840855545
1956-1985,1956,1,205.87070432523026,7.616212468812292,-2.9416744224072846,2.3372690232025035
1956-1985,1956,2,180.6259976332395,8.479336216600533,-2.712539765336844,2.883398225631844
1956-1985,1956,3,150.70705992887363,10.701907373285627,-1.919477607565163,4.391214882860232
1956-1985,1956,4,76.31472743452521,14.232274923801006,0.1661592904777403,7.199217107139373
1956-1985,1956,5,41.19386921388432,19.716379186431958,4.129448232883599,11.922913709657779
1956-1985,1956,6,17.90012557343236,24.09984171999669,7.496738644134035,15.798290182065363
1956-1985,1956,7,6.758123882954716,28.981433435690533,11.039238222294658,20.010335828992595
1956-1985,1956,8,6.718573717951329,28.31920456490102,10.113532699630756,19.216368632265887
1956-1985,1956,9,21.827309528240164,25.436091787101137,8.021990080802757,16.729040933951946
1956-1985,1956,10,52.70904918786896,19.69688871646955,4.154968990270009,11.92592885336978
1956-1985,1956,11,156.39836971891918,11.337215865979527,-0.8198459918439224,5.258684937067802
1956-1985,1956,12,167.1461602415101,7.277257049151645,-3.095184128953363,2.0910364600991413
1957-1986,1957,1,201.08635500926133,7.492181147410843,-3.066146589737816,2.2130172788365132
1957-1986,1957,2,178.62827237202538,8.517416795656313,-2.7407098069992717,2.8883534943285207
1957-1986,1957,3,155.4098256980371,10.63203692094509,-1.9597633883925991,4.336136766276245
1957-1986,1957,4,71.61030688790201,14.322500686800131,0.19488343667656371,7.258692061738348
1957-1986,1957,5,39.30404917706874,19.773996090039727,4.135569807177785,11.954782948608758
1957-1986,1957,6,17.71353897492629,24.08721300167341,7.4723996054204775,15.779806303546943
1957-1986,1957,7,6.750190738127127,29.052849467067947,11.090311019203982,20.071580243135962
1957-1986,1957,8,7.225311269484194,28.45068453398408,10.231035215696716,19.3408598748404
1957-1986,1957,9,20.962073830322886,25.60170584076978,8.130661079998534,16.86618346038416
1957-1986,1957,10,54.89222583504035,19.768761605816188,4.2187562953901185,11.993758950603153
1957-1986,1957,11,165.13039757442039,11.23989037938797,-0.9064451526874959,5.166722613350237
1957-1986,1957,12,164.09093530121638,7.382248087390411,-2.9617215718011227,2.210263257794644
1958-1987,1958,1,205.64432119316774,7.564900410980062,-2.9536171169324024,2.30564164702383
1958-1987,1958,2,181.57901024527231,8.386423013763109,-2.7682634208664614,2.8090797964483234
1958-1987,1958,3,155.40444100772976,10.654324918207717,-1.9418987464035637,4.356213085902076
1958-1987,1958,4,76.8037717753074,14.131586218019034,0.0951090114232029,7.1133476147211185
1958-1987,1958,5,40.72319667937731,19.746576083919788,4.123888850554132,11.935232467236961
1958-1987,1958,6,17.880383184667622,24.078149313495807,7.46865601567474,15.773402664585273
1958-1987,1958,7,6.695990060661858,28.955777237769386,11.02503219932968,19.990404718549534
1958-1987,1958,8,8.975750632549557,28.44401172642121,10.257141543355335,19.350576634888274
1958-1987,1958,9,21.31978933537176,25.524367119838004,8.04715662145271,16.785761870645356
1958-1987,1958,10,52.950421922498975,19.672442551533457,4.083832914609887,11.878137733071673
1958-1987,1958,11,165.28702571055368,11.242582649606321,-0.9443755733346094,5.149103538135855
1958-1987,1958,12,168.98537230533404,7.4072177642267425,-2.915526475820684,2.2458456442030292
1959-1988,1959,1,210.78212536161672,7.646271280809842,-2.849415414712543,2.3984279330486498
1959-1988,1959,2,182.3124175005589,8.481099698161335,-2.7021648833805747,2.8894674073903794
1959-1988,1959,3,162.22914557582786,10.423435699343162,-2.055469038900404,4.183983330221379
1959-1988,1959,4,80.78268592868584,14.111134418964953,0.12451813123033967,7.117826275097646
1959-1988,1959,5,41.72585492156463,19.64001822371882,4.061647504488118,11.850832864103468
1959-1988,1959,6,17.81831320585231,23.910733774911364,7.376201607161454,15.64346769103641
1959-1988,1959,7,6.567094553929463,28.782161636498408,10.903556231778747,19.842858934138576
1959-1988,1959,8,9.144095427381046,28.267509773840718,10.159124298769857,19.213317036305288
1959-1988,1959,9,21.17033451320672,25.501538670969293,8.044885286462394,16.773211978715846
1959-1988,1959,10,53.05839173474274,19.668520636259256,4.091087934934569,11.879804285596913
1959-1988,1959,11,173.09966364283582,11.01163222376294,-0.9907746825327292,5.010428770615104
1959-1988,1959,12,165.55227882412706,7.3872933992138705,-2.9911597648011528,2.1980668172063593
1960-1989,1960,1,209.09793065035538,7.841828155705629,-2.75553255663163,2.543147799536999
1960-1989,1960,2,169.69102154357364,8.641820488759112,-2.6569285775851474,2.9924459555869825
1960-1989,1960,3,161.0562374951413,10.46595487001057,-2.0402203265259287,4.212867271742321
1960-1989,1960,4,81.86800065000361,14.286153885631494,0.2581592589979345,7.272156572314714
1960-1989,1960,5,42.47712507650968,19.570753304732524,4.00681079314467,11.788782048938597
1960-1989,1960,6,17.745611508308112,23.81742669610255,7.303271386262055,15.560349041182304
1960-1989,1960,7,6.453721662913675,28.884736424533454,10.959720958284045,19.922228691408748
1960-1989,1960,8,9.31718403752454,28.271996217642016,10.168914516139038,19.220455366890526
1960-1989,1960,9,20.429954455984095,25.51869929280991,8.059511047815938,16.789105170312926
1960-1989,1960,10,53.338715180211025,19.573265108141065,4.035254620356471,11.804259864248767
1960-1989,1960,11,171.91369313323864,11.135257027048107,-0.9380602218092728,5.098598402619417
1960-1989,1960,12,174.6634454250797,7.467117650312657,-2.898466119640944,2.2843257653358564
1961-1990,1961,1,205.56131873567537,7.861641539957515,-2.778093850904633,2.5417738445264404
1961-1990,1961,2,174.6375350196778,8.49358037596719,-2.783802955894362,2.854888710036413
1961-1990,1961,3,156.83903160311303,10.597452587467966,-2.017923868273427,4.28976435959727
1961-1990,1961,4,83.71264628802176,14.2438800526673,0.2500412919803011,7.246960672323801
1961-1990,1961,5,40.736996034290556,19.664808044172144,4.055297679447466,11.860052861809805
1961-1990,1961,6,17.233441885637887,23.84391770455966,7.319087108965678,15.58150240676267
1961-1990,1961,7,6.09913579539848,28.86311899748393,10.936215134333704,19.89966706590882
1961-1990,1961,8,9.287446816538486,28.245660175302373,10.157763752737823,19.2017119640201
1961-1990,1961,9,21.279295143789422,25.53435155515221,8.106292121676786,16.820321838414497
1961-1990,1961,10,55.7063106012107,19.329399425641828,3.907003602436118,11.61820151403897
1961-1990,1961,11,171.5220066747833,11.067494433708646,-0.9653487014815345,5.0510728661135555
1961-1990,1961,12,166.76905259155464,7.552972112958982,-2.9408864284152707,2.3060428422718555
1962-1991,1962,1,211.49258461198704,7.845678705133142,-2.7578191310741276,2.543929787029507
1962-1991,1962,2,179.39508699565937,8.521066593072144,-2.741497674235505,2.8897844594183186
1962-1991,1962,3,161.14504083780596,10.750231201830273,-1.8587961415931427,4.445717530118566
1962-1991,1962,4,85.17057997506706,14.23913770737729,0.3475166598221873,7.293327183599739
1962-1991,1962,5,43.315145249978784,19.394505905603353,3.8966115073401837,11.64555870647177
1962-1991,1962,6,18.07113410087143,23.75490045734996,7.265223561802109,15.510062009576037
1962-1991,1962,7,6.024258197773051,28.8227389141593,10.92219548346488,19.87246719881209
1962-1991,1962,8,9.453754254536358,28.169500108098887,10.153042911313262,19.161271509706076
1962-1991,1962,9,24.65494613568017,25.275505873753083,7.980470441655718,16.6279881577044
1962-1991,1962,10,52.8327474463344,19.262477058313696,3.8532778201460287,11.557877439229863
1962-1991,1962,11,159.77203875888807,11.217735058840809,-0.9526583492811801,5.132538354779814
1962-1991,1962,12,161.8612417100295,7.512462831806834,-2.9784316179682757,2.2670156069192795
1963-1992,1963,1,217.7623234561879,7.764254636069471,-2.752776166557739,2.505739234755866
1963-1992,1963,2,187.18405019581962,8.427697193132031,-2.785352216555131,2.82117248828845
1963-1992,1963,3,165.00918250003008,10.688452399658248,-1.8078007053746132,4.440325847141817
1963-1992,1963,4,83.49004454441857,14.258894068315946,0.40290885109329505,7.33090145970462
1963-1992,1963,5,41.32191464370201,19.507578726431632,3.9857645027215414,11.746671614576588
1963-1992,1963,6,18.144662651620088,23.70820003027768,7.241517341442051,15.474858685859866
1963-1992,1963,7,5.1304804850696,28.835574190391515,10.885821399887591,19.860697795139554
1963-1992,1963,8,9.381413438692528,28.112120534687342,10.110499718321938,19.11131012650464
1963-1992,1963,9,24.009574933014104,25.18035861234897,7.913227033322818,16.546792822835894
1963-1992,1963,10,52.29568698496043,19.284194166821166,3.85081008002314,11.567502123422152
1963-1992,1963,11,157.45094652564484,11.351210121691363,-0.8844295474989692,5.2333902870961975
1963-1992,1963,12,156.4668758602965,7.546502316544462,-3.015671971818419,2.2654151723630216
1964-1993,1964,1,214.72750438556932,7.754462597367283,-2.7976849468998783,2.4783888252337025
1964-1993,1964,2,191.40142986943272,8.387411410970953,-2.770530818882301,2.808440296044326
1964-1993,1964,3,160.1970297799054,10.91259475400423,-1.6733382627850908,4.61962824560957
1964-1993,1964,4,83.05635347705429,14.172470514831913,0.3395617318193334,7.256016123325623
1964-1993,1964,5,41.343099863168206,19.5307610442906,3.993637003375433,11.762199023833016
1964-1993,1964,6,18.234509963832462,23.883543747854205,7.387178086932319,15.635360917393262
1964-1993,1964,7,5.342194857594743,28.844300239230872,10.91425581805535,19.879278028643114
1964-1993,1964,8,9.410929675883386,28.058686421291426,10.074247413071465,19.066466917181447
1964-1993,1964,9,23.97321329219778,25.19420904621668,7.925845621047249,16.560027333631965
1964-1993,1964,10,42.295803137453206,19.51549157342362,3.985725772956072,11.750608673189847
1964-1993,1964,11,158.6463705037874,11.363167078672921,-0.8915077589350282,5.235829659868947
1964-1993,1964,12,158.86427268997946,7.554388207717161,-3.0124603665356546,2.270963920590753
1965-1994,1965,1,193.694305964655,7.647395011005031,-2.984095281234167,2.3316498648854322
1965-1994,1965,2,184.3509490296431,8.510411267852676,-2.7523758240521747,2.8790177219002513
1965-1994,1965,3,160.90020154701298,10.950872670096308,-1.6387664937303652,4.656053088182971
1965-1994,1965,4,83.68299197797205,14.322782245691231,0.40283544337465726,7.362808844532944
1965-1994,1965,5,39.87295404615066,19.651435281764826,4.057020902756934,11.85422809226088
1965-1994,1965,6,18.289348245936825,23.99969512810384,7.4614563424420135,15.730575735272929
1965-1994,1965,7,5.349168159010387,28.95100087220097,10.98176097427931,19.96638092324014
1965-1994,1965,8,9.55989758450522,28.19081053111449,10.175873973096355,19.183342252105422
1965-1994,1965,9,23.790230181548893,25.232898727023642,7.956395691190452,16.594647209107045
1965-1994,1965,10,44.801078653599774,19.502863529925897,4.005160676736882,11.754012103331387
1965-1994,1965,11,152.67464174578134,11.305532948049086,-0.9625092187226795,5.171511864663203
1965-1994,1965,12,150.21830615294695,7.5759745662275435,-3.0276650367790117,2.274154764724266
1966-1995,1966,1,190.26457626413557,7.518285029993708,-3.1772158006955915,2.170534614649058
1966-1995,1966,2,185.73437749556584,8.523646174721348,-2.773821093154207,2.87491254078357
1966-1995,1966,3,156.05390169951357,11.169030399665626,-1.546298228626903,4.811366085519363
1966-1995,1966,4,83.19305808303506,14.269459750643163,0.3255942185675558,7.2975269846053585
1966-1995,1966,5,39.426395427079385,19.742305486600053,4.09039956650018,11.916352526550117
1966-1995,1966,6,14.980164055957443,24.2471335464718,7.55932054970541,15.903227048088606
