Year Range,Year (30y start),Month,Pr (mm),Tasmax (degC),Tasmin (degC),Tave (degC)
1950-1979,1950,1,183.0379451664358,7.8805279792228715,-3.0820958759852233,2.399216051618824
1950-1979,1950,2,125.71573069010495,8.797636366250849,-3.077446694323038,2.860094835963906
1950-1979,1950,3,113.70097226525611,11.49632136678344,-2.081309865572835,4.707505750605303
1950-1979,1950,4,82.97392630899594,14.352368874554056,0.026049672851468975,7.189209273702763
1950-1979,1950,5,53.566677926654734,19.414028314628112,3.7910426525290317,11.602535483578572
1950-1979,1950,6,20.508887727433876,24.4764212522773,7.560613167437851,16.018517209857574
1950-1979,1950,7,7.886813720462458,29.18033573278782,10.909289391170251,20.044812561979036
1950-1979,1950,8,8.066400793209976,28.366324822126938,9.899373874907939,19.132849348517436
1950-1979,1950,9,12.715914060683437,25.60754676448457,8.082458823101417,16.845002793792993
1950-1979,1950,10,61.986590942798664,19.380395215903764,3.806249944137924,11.593322580020843
1950-1979,1950,11,144.33256151047468,11.286385009759709,-1.0511916715234997,5.117596669118104
1950-1979,1950,12,176.8212509125773,7.298425638704135,-2.9390791523137603,2.1796732431951873
1951-1980,1951,1,192.0131186246253,7.903283287436477,-3.0495493283997637,2.4268669795183566
1951-1980,1951,2,127.79764487704006,8.878760881305956,-3.0032101272450205,2.9377753770304675
1951-1980,1951,3,113.56276929956643,11.546497945328575,-1.9886436776577556,4.778927133835409
1951-1980,1951,4,81.15567648479784,14.43301557982424,0.10935961925168212,7.271187599537962
1951-1980,1951,5,54.268369139094965,19.298814559194213,3.709147016563816,11.503980787879014
1951-1980,1951,6,21.780657261220224,24.421608800960044,7.572800612274289,15.997204706617168
1951-1980,1951,7,7.896884310494436,29.149283597460432,10.90417578656806,20.026729692014246
1951-1980,1951,8,8.11827927643935,28.379036069879525,9.90446234217632,19.14174920602792
1951-1980,1951,9,20.668729638732103,25.404464163874593,7.953987786235795,16.679225975055193
1951-1980,1951,10,61.71309391801858,19.378350378049497,3.8275192815113224,11.602934829780407
1951-1980,1951,11,137.7767966259996,11.410163191131495,-0.9635597694064951,5.223301710862501
1951-1980,1951,12,173.33516903334387,7.264315241086092,-3.006977098951749,2.1286690710671716
1952-1981,1952,1,188.93484380214522,7.993673054867757,-3.0375010345639795,2.4780860101518885
1952-1981,1952,2,129.43384901218988,8.928095627059362,-2.941857520558282,2.99311905325054
1952-1981,1952,3,114.35717043010031,11.590909525345404,-1.8867351481909627,4.8520871885772205
1952-1981,1952,4,80.04614095752888,14.575144436080075,0.2096427161944408,7.392393576137257
1952-1981,1952,5,53.531310467090435,19.292297131302757,3.737025065247934,11.514661098275347
1952-1981,1952,6,22.387033686594062,24.422072129425683,7.635963642207728,16.029017885816707
1952-1981,1952,7,7.908147571648318,29.154161537039656,10.900822509922461,20.027492023481056
1952-1981,1952,8,7.954577843042865,28.35301408900316,9.904517924187841,19.1287660065955
1952-1981,1952,9,21.024204886589654,25.296424533871356,7.871245153538325,16.58383484370484
1952-1981,1952,10,61.45591138146153,19.414093673494015,3.8359941135258286,11.625043893509924
1952-1981,1952,11,137.8300774803856,11.49116067868635,-0.8659187211081482,5.3126209787891
1952-1981,1952,12,167.37489382751923,7.4227301069682285,-2.9562114425186166,2.2332593322248058
1953-1982,1953,1,195.56578709153789,7.8636643505188,-3.0874988719753156,2.388082739271742
1953-1982,1953,2,131.53731575331042,8.967390726524915,-2.887321820442776,3.0400344530410695
1953-1982,1953,3,119.46880840568093,11.35641517580357,-1.9568016862957205,4.699806744753925
1953-1982,1953,4,79.72868566907229,14.554288169320788,0.20013747146533353,7.377212820393061
1953-1982,1953,5,50.93705830210605,19.365479533332312,3.781967658477305,11.573723595904811
1953-1982,1953,6,22.43552809834807,24.391244126836646,7.623838020058041,16.007541073447346
1953-1982,1953,7,8.034511414033284,29.109851588266,10.886460877155109,19.998156232710553
1953-1982,1953,8,8.548550407325298,28.3128957120562,9.893071258038495,19.102983485047346
1953-1982,1953,9,21.052292228113696,25.33717947779796,7.92706332809391,16.632121402945934
1953-1982,1953,10,60.710970130745714,19.54907125224045,3.944218849057602,11.746645050649027
1953-1982,1953,11,138.2020874896536,11.476434655169863,-0.8626848321279493,5.306874911520956
1953-1982,1953,12,166.74836015244495,7.3679068299485975,-2.9968130499221433,2.185546890013227
1954-1983,1954,1,191.93773588710928,7.97348322731312,-2.9709260606595547,2.5012785833267825
1954-1983,1954,2,124.28166755972126,9.115418035700834,-2.768660332325703,3.1733788516875654
1954-1983,1954,3,124.21891348076683,11.353579863491225,-1.9350291869842775,4.709275338253473
1954-1983,1954,4,80.34051378168093,14.631386557854405,0.2646147673956107,7.448000662625009
1954-1983,1954,5,51.03118865819203,19.337899405416486,3.753181247274676,11.545540326345582
1954-1983,1954,6,22.906389296359254,24.282171179790762,7.545767086638475,15.91396913321462
1954-1983,1954,7,7.761634645122112,29.006549754516,10.808329134118715,19.907439444317355
1954-1983,1954,8,8.536772364519777,28.30735991741907,9.897250555123923,19.102305236271498
1954-1983,1954,9,25.54904074200997,25.340036098131417,7.951381800480957,16.645708949306186
1954-1983,1954,10,59.54692110963918,19.406621033368413,3.832659548597915,11.619640290983163
1954-1983,1954,11,137.51629007256489,11.46262811745535,-0.8260942385062742,5.3182669394745385
1954-1983,1954,12,166.4451741956929,7.415858644957441,-2.9702388860174085,2.222809879470016
1955-1984,1955,1,185.67891546407319,8.063298826473655,-2.9421593587273835,2.5605697338731357
1955-1984,1955,2,136.96764278388085,9.253600326210833,-2.60703627592108,3.3232820251448767
1955-1984,1955,3,122.26420948755671,11.535509434808827,-1.7872046542019127,4.874152390303456
1955-1984,1955,4,78.4309504877853,14.819011611281958,0.3774816326616431,7.598246621971801
1955-1984,1955,5,50.5714438476774,19.41388419405966,3.8343343313486726,11.624109262704165
1955-1984,1955,6,21.649644128759274,24.387334213194737,7.6282210918503575,16.00777765252255
1955-1984,1955,7,7.439831895762522,28.97498124164901,10.730887535502799,19.852934388575907
1955-1984,1955,8,9.136443806520202,28.34599919834873,9.933047109353065,19.1395231538509
1955-1984,1955,9,25.044264207064415,25.29971886490952,7.923099502228056,16.61140918356879
1955-1984,1955,10,54.64499677094161,19.481755575384533,3.834879721446926,11.65831764841573
1955-1984,1955,11,134.85453487576672,11.477972792307144,-0.8132316245598511,5.3323705838736455
1955-1984,1955,12,168.63538228563633,7.493958103490408,-2.8616869125144277,2.3161355954879905
