Year,Month,Pr (mm),Tasmax (degC),Tasmin (degC),Tave (degC)
2015,1,10.156980395618408,9.77543,-2.4111936,3.6821172
2015,2,155.69175357285664,8.260683,-3.3262677,2.467208
2015,3,90.18798254871635,12.98617,-0.70531166,6.1404285
2015,4,64.92515097576036,14.432541,0.082406126,7.2574735
2015,5,0.44315195857868533,24.9687,7.127762,16.048233
2015,6,13.229568818378159,26.056889,8.058889,17.05789
2015,7,5.767468556756268,32.33076,13.547954,22.939358
2015,8,0.5483345923192537,28.802176,10.068953,19.435566
2015,9,1.9376484869525195,29.919415,11.144743,20.532078
2015,10,0.4155205657170185,26.736832,8.784556,17.760693
2015,11,135.1198349467422,16.763277,2.8885498,9.825914
2015,12,353.52274246252745,8.554075,-0.8761169,3.8389788
2016,1,171.45014014403924,5.945738,-5.08673,0.42950422
2016,2,193.67549913913714,9.397896,-1.9867886,3.7055528
2016,3,248.36793923325507,13.438401,0.72273916,7.08057
2016,4,118.89558521800667,16.748264,3.0752308,9.911747
2016,5,54.707675126264014,19.687418,4.268201,11.97781
2016,6,20.57561777906592,26.272755,8.841257,17.557005
2016,7,2.968067378863535,29.394945,11.539732,20.467339
2016,8,0.02178231062690077,28.65108,10.171456,19.41127
2016,9,1.2819922202359497,29.63145,11.444691,20.538069
2016,10,4.403241370413981,25.383484,8.055798,16.719643
2016,11,49.121819961026524,14.216128,-0.08161504,7.067257
2016,12,141.97391433990498,9.287946,-1.7954715,3.7462373
2017,1,66.06730206710296,10.484577,-0.8109994,4.836789
2017,2,194.43829375252778,11.152862,0.06905858,5.61096
2017,3,76.02926291596023,15.438527,1.3378386,8.388183
2017,4,48.07419779763215,17.768007,2.1875725,9.977791
2017,5,19.555586447440245,22.424915,5.2286334,13.8267765
2017,6,1.0153792401515647,27.784163,9.736749,18.760456
2017,7,2.043474095234028,30.05353,12.109833,21.081682
2017,8,10.192502719820519,30.589266,12.656199,21.62273
2017,9,1.351281421773998,27.910055,9.79958,18.854818
2017,10,4.917772821863515,25.420986,8.07339,16.74719
2017,11,228.97901124336047,13.097321,0.9032603,7.0002913
2017,12,102.17293618555135,7.637063,-3.4847353,2.076164
2018,1,105.11086716424876,6.963177,-4.737787,1.1126953
2018,2,60.49572841274246,11.392779,-2.2243207,4.5842295
2018,3,104.27468813268868,14.86066,0.7965066,7.828583
2018,4,57.8973901252632,16.027363,1.3501981,8.68878
2018,5,41.802222882527815,22.083782,5.4646955,13.774238
2018,6,6.775598608740542,29.066442,10.312548,19.689493
2018,7,13.8702649812959,33.527138,14.4414625,23.984299
2018,8,14.263167740179727,31.638954,13.219825,22.429388
2018,9,88.35952232317233,24.087946,8.07529,16.081621
2018,10,54.57555105350307,25.517712,9.761363,17.639538
