Year,Month,Pr (mm),Tasmax (degC),Tasmin (degC),Tave (degC)
1950,1,120.92119750482908,7.9201155,-3.1552649,2.3824255
1950,2,142.4980859025852,11.459471,-0.45215115,5.50366
1950,3,203.7059819474014,9.970711,-2.4674647,3.751623
1950,4,103.2615632579604,14.351637,0.58797526,7.469807
1950,5,34.270977720827986,19.588772,4.244951,11.916861
1950,6,13.97269256070906,24.586723,7.4098206,15.998271
1950,7,16.098916396217312,30.733728,12.580269,21.657
1950,8,0.133294602947831,30.178524,11.069924,20.624226
1950,9,89.9476419491086,22.49534,6.6842556,14.5898
1950,10,102.09030065942632,17.365616,3.318232,10.341926
1950,11,8.736075674908152,15.775147,1.5018823,8.638515
1950,12,27.499152431589717,10.648693,-1.3388959,4.654898
1951,1,110.14562519672731,7.9629135,-5.1368446,1.4130352
1951,2,73.15840620518547,11.089156,-0.852281,5.1184373
1951,3,95.51968005878003,13.796222,0.2137318,7.0049763
1951,4,117.16718096593831,13.7035885,-0.42103234,6.6412783
1951,5,17.932899899397526,20.126673,3.3173141,11.7219925
1951,6,6.7575552200364495,26.074175,8.304778,17.189476
1951,7,0.028184277097282648,29.625597,10.12909,19.877346
1951,8,0.07692662032484206,29.210411,10.25441,19.73241
1951,9,0.029816827957756167,27.586056,8.929058,18.257559
1951,10,22.40327649789732,24.057474,6.318086,15.18778
1951,11,87.67992584805376,12.589355,0.3321457,6.4607506
1951,12,49.19309743283355,12.5887375,0.43979642,6.514267
1952,1,120.08266445710504,9.496172,-1.5358944,3.9801385
1952,2,177.03086091892663,13.696998,0.78761077,7.2423034
1952,3,151.7484924547125,11.665378,-1.9744868,4.8454456
1952,4,130.8066625675787,13.285557,-0.15327197,6.566142
1952,5,110.47929693996434,14.921407,1.3121449,8.116776
1952,6,9.413558242021445,23.422428,6.9460745,15.184253
1952,7,2.9037230383464854,28.76084,10.616342,19.688591
1952,8,2.90652590118583,28.46374,10.567817,19.515778
1952,9,3.1697491478819373,25.371428,7.685317,16.528372
1952,10,8.918385172677436,21.69555,5.527649,13.611602
1952,11,67.92788312280642,14.38265,0.447564,7.415108
1952,12,178.74401674892167,10.734344,-0.70137626,5.0164843
1953,1,63.24178710714274,10.617941,-1.9131342,4.352403
1953,2,25.080326441194796,11.995109,-2.3746285,4.81024
1953,3,87.61165773659228,13.186788,-0.8422092,6.17229
1953,4,95.02062534862796,18.463469,2.629841,10.546655
1953,5,44.47022835310094,18.499699,3.2583153,10.879005
1953,6,6.484329349822884,23.202784,6.606065,14.904424
1953,7,2.0568490349912665,31.653753,12.659925,22.15684
1953,8,2.0460502978322994,28.873108,10.4406595,19.656885
1953,9,6.933590011776907,27.597954,10.037726,18.817839
1953,10,53.3770862612669,17.039011,2.4444537,9.741732
1953,11,94.28068119990635,9.455828,-1.9672457,3.744291
1953,12,59.85852958733926,9.212152,-2.088487,3.5618324
1954,1,271.0771134769379,6.364085,-2.3670907,1.9984971
