Year,Month,Pr (mm),Tasmax (degC),Tasmin (degC),Tave (degC)
1950,1,92.8714956736373,8.464751,-1.5090057,3.477873
1950,2,169.3849134967534,10.357864,-0.5225362,4.9176645
1950,3,316.64062040013073,6.4702907,-3.5051591,1.4825658
1950,4,37.61504112481451,14.521502,-0.6689298,6.926286
1950,5,37.54631914607356,18.21174,1.939897,10.075817
1950,6,1.4149140872020691,25.188805,7.2815557,16.23518
1950,7,1.1458093569044785,28.585546,9.810981,19.198261
1950,8,2.9900922775123733,29.417938,10.068012,19.742973
1950,9,39.19213346575581,24.35958,7.4054465,15.882514
1950,10,65.70804818142713,18.337984,3.4413958,10.889691
1950,11,68.08323125470021,13.341477,-0.77648246,6.282498
1950,12,12.33877503586423,7.9908385,-5.1486707,1.4210842
1951,1,28.23834129142296,10.992415,-1.5865791,4.702918
1951,2,272.0178289932713,9.360384,-2.6829274,3.338729
1951,3,204.30901901123852,6.8772244,-5.305273,0.7859764
1951,4,78.59299112839385,11.601703,-1.8757029,4.863
1951,5,12.565421032716038,20.245975,3.600988,11.92348
1951,6,19.958628157097642,22.798908,5.9608374,14.379876
1951,7,13.13951507198747,29.3642,11.334896,20.349546
1951,8,0.0017810585059636853,26.956053,8.359801,17.65793
1951,9,4.0020862581110155,26.316103,8.18595,17.251022
1951,10,102.86955536476945,20.27188,4.960005,12.615941
1951,11,231.7713091619899,7.3948255,-2.1079273,2.6434488
1951,12,110.2440296148286,4.988888,-5.5474668,-0.27928993
1952,1,191.97549766454665,2.4347105,-8.44114,-3.0032156
1952,2,316.51775137977194,5.0885096,-4.6516485,0.21843052
1952,3,34.85071713494428,11.215649,-3.421083,3.8972828
1952,4,126.40727307313377,11.605542,-1.902055,4.851743
1952,5,13.125145816471628,17.70902,2.3692052,10.039114
1952,6,5.494463044459203,24.647253,6.7893825,15.718319
1952,7,0.01999465858399635,29.051502,9.996078,19.52379
1952,8,4.251831893646355,30.75566,11.77348,21.264568
1952,9,18.80648819222794,23.846275,6.5954022,15.220837
1952,10,22.627656569448988,19.079542,2.6561205,10.867829
1952,11,90.27987187925598,13.622233,-0.14652365,6.737855
1952,12,177.6767071906254,6.5507584,-4.257232,1.1467631
1953,1,367.15247321306106,5.8235683,-3.6455147,1.0890265
1953,2,115.11994478288604,9.579576,-1.5993185,3.9901285
1953,3,153.9483550068344,9.988728,-2.7954578,3.5966349
1953,4,61.12736521520071,14.781706,1.0722926,7.9269986
1953,5,53.936862804894695,15.271682,0.582212,7.9269466
1953,6,2.151838331455309,26.302582,8.670725,17.486652
1953,7,24.237980331720724,30.30765,12.199706,21.253677
