Year,Month,Pr (mm),Tasmax (degC),Tasmin (degC),Tave (degC)
2015,1,89.66642954985002,10.307906,-1.0375504,4.6351776
2015,2,212.8609070716718,8.909756,-1.498315,3.705721
2015,3,206.5880973726733,14.797482,0.7102089,7.753845
2015,4,4.14227388753823,19.616308,2.8299158,11.223111
2015,5,12.55784475307192,26.167095,7.6895704,16.928333
2015,6,6.290118558607478,28.389135,9.803889,19.096508
2015,7,3.35149976627103,29.523018,11.107938,20.315481
2015,8,0.812277349449957,29.767647,10.742525,20.255093
2015,9,21.9264453344389,27.591553,9.465694,18.528624
2015,10,50.21864186865816,20.84452,4.64779,12.746156
2015,11,106.87589183449543,11.37755,-1.3748595,5.0013456
2015,12,466.0606245866111,7.527225,-1.8028274,2.8621993
2016,1,238.43902945519633,8.462129,-1.1890055,3.6365614
2016,2,210.64882668432955,10.962596,-0.048370376,5.457113
2016,3,139.5539943537649,12.367475,-1.6621939,5.352641
2016,4,31.73104489958128,19.194784,3.5495253,11.372153
2016,5,35.71997984014917,19.315475,3.7692204,11.542347
2016,6,0.6940631048706513,28.791332,10.465833,19.628582
2016,7,6.604157466197038,30.245687,12.177627,21.211657
2016,8,2.563717632928596,31.102924,11.844226,21.473574
2016,9,0.21559715218040273,27.536455,8.687091,18.111773
2016,10,35.187674797152326,21.108562,4.1101027,12.609333
2016,11,4.2034613578949385,17.592453,1.9024751,9.747464
2016,12,264.61602814889955,7.3168745,-2.553277,2.3817987
2017,1,78.02718396541658,10.267902,-1.2460998,4.510901
2017,2,91.46845177383265,10.373387,-2.4236581,3.974865
2017,3,64.44111142721128,10.921171,-2.1161458,4.4025126
2017,4,27.605757803583096,13.965408,-0.45567268,6.754868
2017,5,111.50981857031212,16.627422,2.0844471,9.355934
2017,6,19.286320096332876,23.220243,6.639258,14.929752
2017,7,1.3132037434091604,32.440372,13.67354,23.056957
2017,8,2.5098949575320613,32.702477,13.298342,23.000408
2017,9,2.173813288612356,27.538136,9.189119,18.363625
2017,10,50.453233230417,17.007868,2.334083,9.670976
2017,11,99.8970417925467,12.374736,-0.79221725,5.7912602
2017,12,0.18250084184864815,13.276426,0.1538845,6.715156
2018,1,94.45227148982309,6.32571,-5.267923,0.5288934
2018,2,209.16042386733452,11.267967,-1.2748487,4.996559
2018,3,95.60607514969797,14.805779,1.4547155,8.130248
2018,4,48.15482698848222,21.509186,4.8192334,13.164208
2018,5,31.173042282276317,20.955246,4.573729,12.764488
2018,6,19.74972184478314,28.977488,11.077961,20.027727
2018,7,3.8313289636184504,31.034847,12.805048,21.919947
2018,8,2.5495841300578403,29.399572,11.074983,20.237278
2018,9,29.18237578876262,28.84193,11.167397,20.004667
2018,10,59.442451446764245,21.687317,6.658336,14.172828
2018,11,200.12366176741065,10.3211155,-1.0259608,4.647578
2018,12,168.0530475072177,7.8463416,-1.5714988,3.1374218
2019,1,808.3701592874368,6.5071807,-1.3842592,2.5614607
2019,2,159.73405364610795,12.506937,0.706584,6.60676
2019,3,12.762408634493939,13.986841,-1.8814515,6.052695
2019,4,1.9565528038562765,19.315159,2.6887162,11.001939
2019,5,36.225631670456146,20.585238,4.56346,12.57435
2019,6,20.67851585350893,26.310715,9.311321,17.811018
2019,7,1.0495353472816404,30.139553,11.66483,20.902195
2019,8,5.440507024734189,31.119696,12.177349,21.648523
2019,9,7.588210197112653,32.813,13.960203,23.3866
2019,10,27.74509324678362,23.15577,6.8798933,15.017831
2019,11,181.38576897185683,8.241832,-2.9847124,2.6285594
2019,12,30.553916258166073,11.286517,-0.9899155,5.1483006
2020,1,113.8552114106853,9.130912,-2.3224397,3.4042368
2020,2,247.33672554381872,10.784834,-1.1134496,4.8356924
2020,3,13.723658752560535,15.352392,0.0680606,7.7102284
2020,4,119.81679664458817,15.854628,1.6063124,8.73047
2020,5,10.033587943230074,22.46425,6.123358,14.293804
2020,6,23.504128104348954,24.765717,8.165828,16.465775
2020,7,18.844789049527552,29.731033,12.071102,20.901068
2020,8,2.916125544300238,31.116732,12.000659,21.558697
2020,9,24.23573108609632,28.862299,11.176572,20.019434
2020,10,17.239715053831357,23.313505,7.6968994,15.505204
2020,11,77.1443229004528,12.754133,0.14595906,6.450046
2020,12,279.4263447915896,9.99691,-0.50955963,4.743675
2021,1,185.21480274342608,7.4867525,-2.576612,2.4550703
