Year,Month,Pr (mm),Tasmax (degC),Tasmin (degC),Tave (degC)
2015,1,357.3024702222558,3.89961,-4.9416776,-0.5210334
2015,2,67.08217308180348,12.44943,-0.5312605,5.9590836
2015,3,72.0173542468683,14.976614,1.0615726,8.019093
2015,4,40.973507482110776,20.610188,3.4251363,12.017662
2015,5,11.213013139947373,21.048376,3.3771,12.212739
2015,6,15.04558604590178,26.549692,8.392817,17.471254
2015,7,1.8873733629240783,33.273922,14.162907,23.718414
2015,8,0.9234095514795142,33.533524,14.636089,24.084805
2015,9,2.1028282607794684,27.691832,9.791206,18.74152
2015,10,91.57271324958369,19.851303,6.043322,12.947311
2015,11,164.38340813652948,10.286441,-0.83781004,4.7243147
2015,12,344.5993229276886,6.9988832,-1.6642642,2.66731
2016,1,53.06823972217461,4.1281614,-7.2116237,-1.5417311
2016,2,62.138433299399004,10.671267,-2.189776,4.240745
2016,3,162.05641646960615,12.62207,0.053471833,6.3377714
2016,4,50.127358584802764,14.927077,0.008506656,7.467791
2016,5,9.028732878967173,26.788559,8.687362,17.737959
2016,6,5.28493926573116,25.329882,7.5962625,16.463074
2016,7,3.6516284338437046,31.782782,12.71221,22.247496
2016,8,3.724387823730653,29.020409,10.308117,19.664263
2016,9,73.46158118496432,25.637104,9.446513,17.541813
2016,10,120.8859449402563,17.265385,4.1360025,10.700693
2016,11,193.7225754158387,11.619327,-0.03466007,5.792334
2016,12,83.30368022764813,9.346934,-2.2819474,3.5324936
2017,1,302.81634216072644,6.9280553,-2.0618882,2.4330833
2017,2,278.08820861927154,10.636477,-0.052965358,5.2917566
2017,3,368.76300125408164,11.265148,-0.4797499,5.3926997
2017,4,52.67214330358234,15.722822,1.0086999,8.365761
2017,5,17.359739322582247,21.25976,4.7498894,13.004828
2017,6,26.490500158799872,24.347233,7.4421387,15.894686
2017,7,1.363483453396094,33.586147,14.22864,23.907394
2017,8,6.365781048836554,30.709518,11.596201,21.15286
2017,9,7.012348002954882,30.632004,12.445497,21.53875
2017,10,26.438495543198965,19.735483,3.7077951,11.72164
2017,11,84.65643050987566,15.110468,1.056455,8.083461
2017,12,392.13777762084624,4.0289536,-5.1265473,-0.548797
2018,1,280.72294680669273,6.8062153,-2.553924,2.1261456
2018,2,177.59471802959246,9.924617,-1.1691186,4.3777494
2018,3,101.21615750459904,13.244806,0.38588277,6.815345
2018,4,63.1050846121615,14.901772,0.72113687,7.8114543
2018,5,64.55052050068389,19.315878,4.2987413,11.807309
2018,6,20.915461401465215,25.052605,8.318857,16.68573
2018,7,10.229628416220509,28.900175,10.682202,19.791187
2018,8,1.9755499386444624,30.863426,11.823955,21.343693
2018,9,19.49505717756041,24.37562,7.036413,15.706015
2018,10,72.67337023552447,20.89317,5.5424366,13.217803
2018,11,175.767130343391,11.797218,-0.18805605,5.80458
2018,12,93.80202143764714,9.173252,-1.7476513,3.7128005
2019,1,0.723153711496919,8.851201,-3.8931103,2.4790454
2019,2,82.73577201453548,13.313448,-0.30135098,6.506049
2019,3,61.68352857538155,10.539147,-2.5929842,3.9730818
2019,4,48.616945422617746,16.764208,0.4299394,8.597074
2019,5,61.81283242243523,19.831541,4.60639,12.218964
2019,6,12.943059795729143,27.790468,9.503389,18.64693
2019,7,1.5524438916160797,32.3743,13.19873,22.786516
2019,8,26.852932308031953,30.301506,12.503397,21.40245
2019,9,23.67808628273108,29.70102,11.964252,20.832638
2019,10,9.176344308921673,20.91578,4.7164345,12.816106
2019,11,212.4898738820813,12.254139,0.97130394,6.6127214
2019,12,296.65806400828365,8.128853,-0.8149709,3.656941
2020,1,107.73020449243089,8.747971,-2.7228887,3.012541
2020,2,0.11596011337832773,15.494826,-0.008634672,7.7430973
2020,3,254.33424653458448,10.084767,-2.6633432,3.7107117
2020,4,81.10531271388301,15.117987,0.5222158,7.820102
2020,5,24.769144773873105,21.874763,5.330573,13.602669
2020,6,8.367255919935392,25.861378,7.9378085,16.899593
2020,7,5.717584070015064,32.78622,14.470835,23.628525
2020,8,17.952919261272836,29.689821,11.322374,20.506096
2020,9,0.0001336121808540506,28.526808,9.551648,19.039227
2020,10,1.8355913931420273,26.447304,9.182956,17.81513
2020,11,206.9511020312405,12.892545,0.8546345,6.873589
2020,12,409.8510997482992,4.742008,-3.6500478,0.54598016
2021,1,80.08325094416571,10.582852,-0.27678266,5.153035
2021,2,68.42056109248898,11.528609,-0.43805492,5.5452766
2021,3,204.6284540585706,13.638136,1.2552046,7.4466705
2021,4,81.12618521470243,15.287084,0.7539529,8.020518
2021,5,82.42896966861899,18.87431,3.7186182,11.296464
2021,6,9.718203330377921,27.210936,9.255401,18.233168
2021,7,7.085094483839475,28.782095,10.748086,19.765089
2021,8,3.522047751762703,29.244244,10.45457,19.849407
2021,9,1.180136101403111,30.060223,11.499413,20.77982
2021,10,141.1882651455518,20.33388,4.9334297,12.633655
2021,11,46.85236019332683,10.8798685,-2.3368497,4.2715096
2021,12,26.405762496634246,8.973648,-2.882039,3.0458052
2022,1,306.8782961098538,7.8570733,-1.959727,2.9486735
2022,2,219.84000911511006,6.420046,-3.3559058,1.5320708
2022,3,272.91972570107384,9.75738,-1.1818423,4.287769
2022,4,115.26377829665168,13.672258,0.93505704,7.303659
2022,5,0.646774364579019,23.493996,6.840429,15.1672125
2022,6,11.036527503442263,24.099014,6.901805,15.500409
2022,7,6.409742293970439,32.725357,13.716728,23.221045
2022,8,8.090008314041734,30.54294,11.726547,21.134743
2022,9,1.0807033076388288,26.964212,8.886897,17.925552
2022,10,64.8679906568598,20.567493,4.9987965,12.783145
2022,11,156.1116809296875,13.135006,0.8624197,6.998713
2022,12,287.26852204813684,7.236392,-3.0049121,2.11574
2023,1,328.172559555959,7.7038493,-1.7356505,2.9840996
2023,2,147.46777794286598,7.7697263,-3.5919013,2.088913
2023,3,201.41744774823084,11.87298,-1.1560702,5.3584557
2023,4,43.41634539812139,13.185187,-0.52189016,6.3316493
2023,5,97.09411758845853,17.922169,3.8998108,10.910989
2023,6,17.41929514275044,24.449898,8.3452215,16.397558
2023,7,1.4128918102103831,31.68606,13.06986,22.377958
2023,8,3.2224029539308683,29.135117,10.449644,19.79238
2023,9,7.141962500340142,26.513222,8.4889345,17.50108
2023,10,2.893664730064357,23.598967,6.70051,15.149739
2023,11,125.84285002935218,11.022226,-1.1367537,4.9427376
2023,12,222.02425708703092,7.482309,-2.6906998,2.3958046
2024,1,263.70976510478727,7.1257415,-3.214676,1.9555324
2024,2,108.37867944996233,10.980325,-1.1353036,4.92251
2024,3,103.43317265952594,12.349089,-1.1225026,5.613293
2024,4,83.97557305602592,15.327616,1.2199928,8.273804
2024,5,82.17993268659178,15.178206,1.2234237,8.200816
2024,6,34.21043593455319,26.210127,9.502936,17.856531
2024,7,5.0094625511216,31.469292,12.720899,22.095095
2024,8,0.18918673946112535,32.039295,12.525496,22.282396
2024,9,52.41371410975037,30.195978,12.3785,21.28724
2024,10,72.88491748688259,18.261475,4.0767503,11.169113
2024,11,272.8930899241047,11.160596,-1.3362957,4.91215
2024,12,215.5856327328659,6.5062375,-3.3872232,1.5595068
2025,1,204.20410750956967,8.849599,-1.8959564,3.476821
2025,2,45.12907940582674,10.786267,-2.6543515,4.0659575
2025,3,217.84769014393703,11.385939,-1.1380975,5.1239204
2025,4,59.5088636931037,13.868701,0.08984195,6.979272
