Year,Month,Pr (mm),Tasmax (degC),Tasmin (degC),Tave (degC)
1950,1,192.29713037320508,7.057986,-4.9084406,1.0747726
1950,2,170.48168520562405,6.089148,-4.832338,0.628405
1950,3,118.25969507115555,11.069375,-1.4924142,4.7884803
1950,4,97.90522458939591,13.454469,-0.84065074,6.3069086
1950,5,17.857710647757916,22.843351,5.7827654,14.313059
1950,6,9.455028661976241,27.073992,8.30165,17.68782
1950,7,0.057279457213752875,30.383364,10.861414,20.622387
1950,8,1.8038362831145043,27.558851,8.732572,18.145714
1950,9,30.294223124627575,25.25949,7.860416,16.559956
1950,10,41.18535802117574,20.93902,5.2313876,13.085204
1950,11,95.67731655211934,11.808684,-1.022153,5.393265
1950,12,308.67662391397505,4.857817,-5.248431,-0.19530709
1951,1,223.74074273673423,6.20278,-4.68922,0.75677955
1951,2,26.29418353995118,12.516902,-0.9625113,5.7771955
1951,3,146.30151587086826,10.214612,-1.9997003,4.107456
1951,4,78.78237446105943,12.473183,-1.3171028,5.5780387
1951,5,28.08883970306623,19.780113,4.326903,12.053511
1951,6,1.9158886960935073,26.34633,8.040438,17.193384
1951,7,0.12992715790808695,29.760181,10.534306,20.147243
1951,8,3.6142604615666833,30.243412,11.106802,20.675106
1951,9,13.578001363099196,24.273085,7.4620895,15.867587
1951,10,77.0352136793093,19.152555,4.1342087,11.643382
1951,11,22.264846859181034,16.661934,1.8152744,9.238605
1951,12,79.48417078029715,8.394872,-3.7252147,2.3348284
1952,1,285.60371143069403,8.449658,-1.7156013,3.3670282
1952,2,75.9717566248351,6.7067766,-5.622075,0.54235107
1952,3,50.570580277527355,11.46483,-3.0024621,4.2311845
1952,4,48.35702615522761,15.688545,0.8770913,8.282818
1952,5,106.27125947297955,16.952087,3.1667578,10.0594225
1952,6,11.374188501539034,24.560701,8.0786,16.31965
1952,7,8.669046453292422,30.427917,11.979982,21.203949
1952,8,6.371126316460107,28.253906,10.441783,19.347845
1952,9,3.209924486808327,26.820871,8.651261,17.736067
1952,10,252.1960879779597,17.670418,3.8397682,10.755093
1952,11,329.05840714011833,8.56086,-1.6310353,3.464912
1952,12,33.542267904414615,9.525785,-2.389701,3.5680423
1953,1,60.348556563242575,9.093393,-2.9053159,3.094038
1953,2,281.2696214843939,7.4217567,-4.1502433,1.6357569
1953,3,139.34181541814644,10.951715,-1.3436645,4.804026
1953,4,109.33924149276278,11.632626,-0.7493054,5.4416604
1953,5,10.757092622209997,22.872007,5.925596,14.398803
1953,6,7.482560687941926,24.138115,6.822261,15.480186
1953,7,7.32827285209522,29.602104,11.417115,20.509607
1953,8,0.23323567500364403,27.096361,8.815812,17.956085
1953,9,6.1027470402562685,25.414337,7.6483617,16.53135
1953,10,26.863316304671258,21.946852,5.529681,13.738267
1953,11,55.24428975844985,11.417379,-2.0322027,4.6925883
1953,12,308.1843531930257,7.1587257,-2.7370973,2.2108138
1954,1,49.29570121083851,5.3963428,-6.274953,-0.43930507
1954,2,125.44222645648314,12.620869,-0.690924,5.964972
1954,3,186.04804257099107,13.34322,0.3446442,6.843932
1954,4,124.51355366977988,11.607768,-1.4421792,5.082794
1954,5,0.7578806338183085,21.097801,3.9671192,12.532458
1954,6,45.75114468758821,21.491543,5.706662,13.599105
1954,7,0.0327306683100539,29.72811,10.848984,20.288548
1954,8,7.841370661086255,30.711008,11.813981,21.262497
1954,9,144.10432234311284,22.758223,7.051722,14.904973
1954,10,47.29924800893129,17.272884,3.9599464,10.616415
1954,11,94.38496085318963,11.853707,-0.5463619,5.653672
1954,12,116.07263115619779,8.46623,-1.8582777,3.3039765
1955,1,74.379748142625,9.105635,-1.8895596,3.6080375
1955,2,193.77116578697954,7.9066143,-3.6608052,2.122904
1955,3,109.53813999829576,16.990517,1.8804283,9.4354725
1955,4,49.513787832415375,15.936177,0.03980425,7.987991
1955,5,51.53007546769106,20.740294,4.849021,12.794659
1955,6,23.7724502538133,21.400272,5.6426144,13.521441
1955,7,6.44411316125581,27.808578,10.104623,18.956596
1955,8,1.471609784911556,25.477537,6.970054,16.223799
1955,9,6.330885948067261,26.22203,7.9757204,17.098871
1955,10,21.534661093163937,19.080132,2.5146203,10.797378
1955,11,70.09106267639352,13.681448,0.94520175,7.313325
1955,12,172.12566024327228,9.993536,-1.0644677,4.4645343
1956,1,319.1218070193195,7.358461,-2.2756472,2.5414062
1956,2,161.08801407868222,8.567378,-2.7224274,2.9224756
1956,3,174.26776810495542,12.042757,-0.35737213,5.8426924
1956,4,48.6645748578685,16.440348,1.443738,8.942041
1956,5,89.26855587939485,22.055717,5.6124473,13.834084
1956,6,49.254892582228045,21.928776,6.700512,14.314643
1956,7,3.071909595972034,27.697338,9.987941,18.84264
1956,8,0.9746699642108602,29.994951,10.774912,20.38493
1956,9,18.615862991030315,28.676487,10.733194,19.704838
1956,10,79.63583467538591,17.931744,3.462956,10.6973505
1956,11,184.31982165427704,9.9671135,-2.781272,3.592921
1956,12,138.90913446245094,5.7683606,-4.754225,0.5070678
1957,1,66.65572228772456,7.3171983,-3.6060343,1.8555824
1957,2,225.35695989227375,8.527465,-2.4870882,3.0201886
1957,3,66.46901257972465,16.69526,1.0309039,8.86308
1957,4,120.41964397686603,14.782175,0.36181468,7.571995
1957,5,15.194586650271518,20.131481,3.5819418,11.856714
1957,6,2.314002261045899,27.552294,8.797077,18.174683
1957,7,16.97194682557452,29.467417,11.1433115,20.305368
1957,8,23.391865515058313,30.49652,12.429787,21.463152
1957,9,1.0238709642445911,25.308268,7.0645156,16.186392
1957,10,0.6011865442045857,24.119648,6.283175,15.201411
1957,11,173.06301428954941,10.779642,-0.9265609,4.9265404
1957,12,90.41547064832753,9.495085,-2.0292797,3.7329023
1958,1,269.55367131996974,7.20802,-2.9582653,2.1248775
1958,2,163.9670870811204,7.279123,-4.778757,1.2501827
1958,3,386.8434774698052,8.672648,-2.0457165,3.3134656
1958,4,147.0098571586588,15.364853,1.090057,8.227454
1958,5,6.3133605471676315,21.249851,5.2498817,13.249865
1958,6,10.64774201597365,24.895592,7.7710123,16.3333
1958,7,2.8748294977319384,25.518845,7.876869,16.697857
1958,8,0.9014677527946586,28.715315,9.588395,19.151857
1958,9,35.474198418976734,20.911701,4.7882423,12.849972
1958,10,78.49760841637278,17.045437,1.864725,9.455081
1958,11,68.72780905162152,9.597855,-2.5559716,3.5209415
1958,12,66.46159639557932,12.10809,-0.08104085,6.013526
1959,1,152.84207151733986,8.186073,-3.0608628,2.5626047
1959,2,41.896353346029365,11.526541,-1.733086,4.896727
1959,3,196.62295959697516,9.978068,-1.5334384,4.222315
1959,4,36.7835278760045,14.644781,-0.14638221,7.2491984
1959,5,96.07084959252494,19.87593,5.0569057,12.466419
1959,6,1.4780357284328633,25.147787,7.999971,16.573881
1959,7,7.1930436704735525,29.175638,10.357373,19.766506
1959,8,0.8206804114381836,30.197865,10.823801,20.510832
1959,9,10.396341542069006,26.89079,8.723373,17.807083
1959,10,106.1664633448549,20.003313,4.817395,12.410354
1959,11,36.17827931291314,12.513595,-1.2175258,5.648035
1959,12,28.13418409773037,8.84051,-2.4109135,3.2147985
1960,1,356.9819059246218,5.8602986,-4.4292703,0.7155143
1960,2,102.11506331427177,12.813631,-0.49236548,6.1606326
1960,3,299.59867037632523,13.33532,0.6992279,7.0172753
1960,4,101.38564969385273,13.975077,0.415605,7.19534
1960,5,22.94764731345283,20.030756,3.9953897,12.013072
1960,6,8.734469712968478,26.354656,8.498445,17.42655
1960,7,13.482765801666467,27.477776,9.639549,18.558662
1960,8,1.4933437099295737,27.999842,9.391238,18.69554
1960,9,20.695936559871868,21.706907,5.484707,13.595805
1960,10,89.95895880046244,18.549458,3.2480652,10.89876
1960,11,75.06042203482936,10.380514,-2.2339127,4.0733004
1960,12,15.234668900303472,9.28694,-3.1188364,3.084052
1961,1,16.49984487208513,8.474541,-3.9622715,2.2561347
1961,2,184.00152659138362,13.233796,-0.06944948,6.5821733
1961,3,224.2346368314452,9.10242,-1.8125781,3.6449215
1961,4,51.8760117576806,17.57465,2.7443862,10.159517
1961,5,18.692854598755304,19.377388,3.34187,11.359628
1961,6,1.106341556782578,26.446856,7.3667154,16.906788
1961,7,0.8218550774993886,29.814348,10.609528,20.211937
1961,8,3.5659405143759724,29.380873,9.853207,19.61704
1961,9,3.8303330742842423,29.714844,10.614465,20.164652
1961,10,47.45867287720735,22.31613,5.9548593,14.135495
1961,11,145.64531043418046,12.220914,0.30181378,6.2613635
1961,12,158.1423577201566,6.3722324,-3.629678,1.3712772
1962,1,142.12123687276426,8.51206,-1.8166071,3.3477259
1962,2,350.41906832190415,6.921875,-2.6966963,2.1125894
1962,3,151.05116031481913,13.959057,-0.2892841,6.834886
1962,4,38.00763541315586,14.863073,-0.27006212,7.296505
1962,5,55.35258113706182,16.843622,1.4998935,9.171757
1962,6,16.720200706602018,25.69395,8.00601,16.849981
1962,7,7.193485991274023,29.249493,10.867064,20.05828
1962,8,23.853174369669407,29.792738,11.479928,20.636332
1962,9,51.103543110377274,21.54789,6.9468613,14.247376
1962,10,17.028992163477884,21.633593,5.8087997,13.721197
