Year,Month,Pr (mm),Tasmax (degC),Tasmin (degC),Tave (degC)
1950,1,207.59017243856,5.620345,-5.090196,0.26507407
1950,2,41.743036847502175,12.963476,-0.95682395,6.0033255
1950,3,167.53174367584455,8.390293,-4.120614,2.134839
1950,4,98.5611008400675,12.361018,-1.4262655,5.4673758
1950,5,33.190660628629374,17.696987,2.5374365,10.117212
1950,6,15.370966736182027,26.0493,7.5881977,16.818747
1950,7,1.3523424568190696,31.78117,12.125435,21.953302
1950,8,1.5902425876402904,28.46859,9.797739,19.133165
1950,9,41.53353519840078,25.240948,8.63803,16.939487
1950,10,23.912023201520974,22.439167,4.549617,13.494394
1950,11,42.94655122901472,13.200985,-1.4314084,5.884789
1950,12,77.94029095592794,6.6788197,-5.6502705,0.5142754
1951,1,68.21880698388252,7.629499,-4.427373,1.6010628
1951,2,303.13873216614496,6.174204,-5.1228642,0.5256703
1951,3,200.743484201984,7.787717,-3.5475922,2.1200624
1951,4,105.01215070009937,16.078463,1.4999775,8.789219
1951,5,0.11421130335748998,24.774164,5.8120427,15.293103
1951,6,21.53869928618272,23.30303,5.939192,14.621112
1951,7,0.9981563548910655,30.487492,10.885447,20.686466
1951,8,1.193625691405824,29.211594,10.206552,19.70907
1951,9,88.54790578779784,24.37318,7.622099,15.99764
1951,10,92.39392011697161,19.012413,2.9530964,10.982757
1951,11,71.20203444319873,10.872658,-1.0212922,4.9256825
1951,12,59.95578379104126,11.1490345,-0.032707117,5.558163
1952,1,280.6848653898894,4.0205145,-6.3266797,-1.1530823
1952,2,95.9568399911889,4.9947205,-8.213088,-1.6091835
1952,3,123.34566300407218,8.63057,-3.088433,2.771068
1952,4,88.2623101978772,15.690485,0.75347567,8.221982
1952,5,14.912455411354337,20.444103,3.5452936,11.9946995
1952,6,0.1819701806127031,28.674622,8.709549,18.692085
1952,7,1.5882435655033118,30.838617,11.188108,21.013363
1952,8,2.255988962549983,30.317041,10.795379,20.556211
1952,9,23.910788807598742,27.089891,9.396203,18.243046
1952,10,107.59496303602137,16.25039,3.6264198,9.938402
1952,11,101.36512589621411,12.518512,-0.25999355,6.12926
1952,12,96.56869951544299,6.9635396,-3.3295708,1.8169843
1953,1,251.2330541910656,8.061424,-2.4634938,2.7989655
1953,2,207.25904718285386,9.71763,-3.2089942,3.2543187
1953,3,241.4216583791834,11.441198,-2.397465,4.521867
1953,4,20.920402918117034,17.637117,1.390607,9.513862
1953,5,66.72895629297493,19.84719,4.451222,12.149205
1953,6,5.284503335708053,26.697172,8.706098,17.701633
1953,7,11.282423772305416,27.854736,10.422827,19.138779
1953,8,1.2678072281943924,28.823528,10.453728,19.638624
1953,9,48.440560785656466,26.67178,10.040438,18.356108
1953,10,11.534021476249912,18.254555,1.8910584,10.072806
1953,11,38.72871015261547,11.947004,-2.6040258,4.671489
1953,12,102.64364221570479,6.737901,-4.860777,0.9385618
1954,1,108.5900200246501,10.083957,-0.8716462,4.606155
1954,2,268.90596082884645,9.996295,-0.39802888,4.7991333
1954,3,49.57757836043792,13.930099,-0.10473637,6.912681
1954,4,29.303149052655407,14.2052765,-1.9756106,6.1148334
1954,5,55.5284506187202,19.782383,3.988823,11.885603
1954,6,15.962099803400086,24.506275,7.3264184,15.9163475
1954,7,6.046144360838245,28.894955,10.774126,19.83454
