Year,Month,Pr (mm),Tasmax (degC),Tasmin (degC),Tave (degC)
2015,1,572.9175786292469,8.669613,0.10458388,4.3870983
2015,2,236.87858397872364,11.389054,0.8517764,6.1204166
2015,3,284.35784208143644,10.406223,-2.4194274,3.9933982
2015,4,44.4855846299918,21.142496,4.2194295,12.680963
2015,5,4.260144254635602,23.311352,5.51846,14.414906
2015,6,10.919582815754316,27.24789,8.705769,17.976828
2015,7,2.8909841088090147,32.070942,12.748933,22.409935
2015,8,18.011674858626098,31.72413,12.328141,22.026134
2015,9,0.25258975471278544,30.683668,11.838215,21.260939
2015,10,24.5933380299949,20.843294,5.0388002,12.941049
2015,11,68.90127669595483,13.514656,0.07997101,6.7973137
2015,12,50.520811174183066,7.957551,-3.1650002,2.3962748
2016,1,189.02406756442437,7.2015786,-2.8549612,2.1733086
2016,2,18.624361130909886,9.331128,-3.1233218,3.1039028
2016,3,167.06441521307738,7.5638695,-4.220886,1.6714914
2016,4,143.80389782372296,12.694726,-0.41362166,6.140552
2016,5,1.5546937833978134,24.326246,6.6148467,15.470546
2016,6,4.197152408734832,30.624685,11.847185,21.235933
2016,7,3.522878614684378,32.788673,13.667528,23.2281
2016,8,17.54680196430887,32.755596,13.432236,23.09392
2016,9,0.03421304265494268,24.912037,6.9264817,15.919258
2016,10,2.521494349159633,22.679785,5.981459,14.330624
2016,11,73.75005790788359,11.080786,-1.5718706,4.7544575
2016,12,265.3228326453342,8.39458,-1.7617794,3.3164
2017,1,383.3008690356164,3.2733016,-6.057005,-1.3918519
2017,2,365.24061493337143,10.956429,0.16948667,5.562958
2017,3,53.731788448441506,16.107128,1.1567106,8.63192
2017,4,4.833001892682345,21.43129,3.6682532,12.549771
2017,5,29.65248563617484,22.024693,4.57286,13.298775
2017,6,0.6874836590872746,25.905273,7.8311973,16.868235
2017,7,9.24831190052234,33.509747,14.7027,24.10622
2017,8,16.656707193702115,31.317188,12.765302,22.041246
2017,9,0.5642858442240682,28.901403,10.773546,19.837471
2017,10,21.63553645010263,21.066893,4.192033,12.629464
2017,11,0.09427978563130578,18.097235,1.256496,9.676867
2017,12,81.44025090187057,16.565514,2.1265535,9.346033
2018,1,320.84199390239473,9.433444,-1.9219452,3.7557502
2018,2,215.4390697799053,9.098573,-2.9581661,3.070204
2018,3,47.496219472409884,13.93697,-1.5436089,6.1966796
2018,4,29.799752194966555,19.56942,2.8051438,11.187282
2018,5,73.17849210043339,20.653673,4.199559,12.426617
2018,6,24.316443138213746,27.145916,10.414244,18.780083
2018,7,0.0,31.627934,13.407306,22.517618
2018,8,0.3293142804090123,31.484123,11.990591,21.737356
2018,9,29.753894640432318,26.513212,9.0462475,17.779732
2018,10,0.8409257772581374,20.932634,4.1445303,12.538582
