Year,Month,Pr (mm),Tasmax (degC),Tasmin (degC),Tave (degC)
2015,1,117.39413314356909,11.018312,0.27004218,5.6441774
2015,2,66.27580890288536,12.412776,-0.086867765,6.1629543
2015,3,15.800151276033468,16.5613,2.1203215,9.340811
2015,4,49.128266776968985,14.817606,0.3724242,7.5950155
2015,5,1.1965083942225692,27.171396,8.334012,17.7527
2015,6,0.008907752505575236,33.771957,12.902702,23.33733
2015,7,1.1604961631248913,38.016365,16.841442,27.428907
2015,8,21.23420089042506,34.347534,13.441302,23.894417
2015,9,24.19211256470459,31.113342,11.676977,21.39516
2015,10,222.65344436187172,14.781626,2.5150933,8.648358
2015,11,224.61350785002102,10.11135,-0.8863052,4.6125226
2015,12,55.808775723147,5.3275237,-5.4105754,-0.04152631
2016,1,250.25534598177205,10.769017,-0.20247199,5.2832723
2016,2,140.62522626885587,13.632663,1.0732981,7.352981
2016,3,93.11766308081089,15.728605,1.3128347,8.52072
2016,4,84.90451502577075,16.658964,1.3095088,8.984236
2016,5,68.90047760401843,21.500982,5.5577316,13.529355
2016,6,0.7786184038924057,26.466658,8.732668,17.599665
2016,7,0.45017845190272304,34.712162,14.560097,24.636127
2016,8,0.3932200512014856,33.647907,13.176013,23.411959
2016,9,13.251596130857104,29.32802,10.756305,20.042162
2016,10,95.9906818527734,22.320704,6.6325846,14.476644
2016,11,125.17469966563256,11.229226,-0.71806365,5.2555814
2016,12,100.97593942768246,3.812233,-6.7862463,-1.4870065
2017,1,119.00980207846719,8.988155,-2.068772,3.4596913
2017,2,158.19107169580244,11.876315,-0.013405189,5.931454
2017,3,62.67300663747165,16.295307,0.5844856,8.439896
2017,4,65.4585853564207,15.935369,1.3257893,8.630579
2017,5,161.43911440028737,19.251814,4.656856,11.954335
2017,6,55.81505872453019,23.20317,7.1813865,15.192278
2017,7,0.1658554992992675,31.775633,12.507457,22.141542
2017,8,40.15921963515657,28.708237,10.706601,19.707418
2017,9,85.44207541679701,26.772442,9.950764,18.361603
2017,10,66.51567787413657,21.190702,5.7450366,13.46787
2017,11,15.054431676707043,15.451187,2.3274786,8.889333
2017,12,197.2675191648697,10.540154,-0.2192473,5.1604543
2018,1,55.05065978879434,13.030203,-0.024658233,6.502772
2018,2,82.01047789844752,11.814096,-0.11749557,5.8483
2018,3,147.75104032062552,13.709322,1.049054,7.3791876
2018,4,59.13515848228615,15.63523,0.69572335,8.165477
2018,5,10.39982016952712,24.504868,6.950473,15.727669
2018,6,36.612256348808415,24.150833,7.8801675,16.015501
2018,7,0.7660828972861786,31.157915,12.339978,21.748945
2018,8,9.444494247737907,30.343824,11.252701,20.798264
2018,9,0.5498772623134871,28.614185,10.457117,19.535654
2018,10,17.169419042217704,20.231955,4.2021003,12.217029
2018,11,27.318927863677143,14.229935,0.402827,7.31638
2018,12,89.31658999501265,11.243396,-0.084274605,5.5795617
2019,1,84.5852283832191,12.213337,-0.042382002,6.085478
2019,2,202.09027748031843,12.402351,-0.14913362,6.126609
2019,3,79.13108863009724,12.157513,-1.3600788,5.398718
2019,4,12.033997080232462,18.061941,2.183889,10.122914
2019,5,37.94222270040758,21.017855,5.1927323,13.105293
2019,6,1.1337221370204502,30.333889,11.278795,20.80634
2019,7,5.821783969217267,33.951836,14.268753,24.11029
2019,8,3.5021954081916666,33.397537,13.207848,23.302696
2019,9,1.3967636750514392,30.546116,11.225322,20.885717
2019,10,45.79876378748818,22.049807,5.3787866,13.714299
2019,11,321.41859917633565,11.745534,0.62067693,6.183106
2019,12,200.52507410672027,7.4663296,-2.1577485,2.65429
2020,1,238.2943525451306,7.913878,-3.0246782,2.4446
2020,2,49.07180124914929,8.506505,-4.1963243,2.15509
2020,3,50.92725742717166,11.037455,-3.376998,3.8302283
2020,4,78.08267284700734,16.200985,1.3781381,8.78956
2020,5,22.743033089860894,20.794792,4.549474,12.6721325
2020,6,1.2007015129691636,26.086498,8.417377,17.251936
2020,7,0.7655467714351404,31.967148,12.82393,22.395538
2020,8,32.59661534681805,30.987085,12.476494,21.731792
2020,9,21.733940246071864,28.74195,10.64693,19.694439
2020,10,28.61646655331161,25.471128,8.67338,17.072254
2020,11,40.54440003738279,10.10757,-3.545601,3.280984
2020,12,33.830188318481426,5.4612217,-6.6796265,-0.6092024
2021,1,474.0418360645195,8.167659,-1.2624147,3.4526227
