Year,Month,Pr (mm),Tasmax (degC),Tasmin (degC),Tave (degC)
2015,1,159.23941060586998,4.4402404,-4.693866,-0.12681288
2015,2,115.01543014705175,7.791829,-3.146533,2.322648
2015,3,124.08864825866897,12.718069,-1.0776297,5.82022
2015,4,114.84080962773255,10.829339,-2.836208,3.9965649
2015,5,32.8784524270247,20.795809,4.090292,12.443051
2015,6,6.941060329740736,24.338024,6.9793673,15.658696
2015,7,18.028189945642097,31.111496,13.119221,22.11536
2015,8,5.540886490269884,32.442383,14.264508,23.353445
2015,9,3.9458247450312833,24.790707,7.7259607,16.258333
2015,10,32.83364685537762,20.376816,4.7302384,12.553527
2015,11,108.74606498837339,14.2286415,1.5359639,7.8823028
2015,12,158.68011009717029,9.36985,-0.22738545,4.571232
2016,1,127.4472964348208,6.6551466,-2.1733167,2.2409148
2016,2,400.96598920493767,5.279791,-3.67291,0.8034402
2016,3,68.4820153220279,12.68158,-2.0048525,5.3383636
2016,4,61.31356730005282,17.616955,2.1863241,9.901638
2016,5,13.762677985963105,19.359957,3.7167177,11.538336
2016,6,7.143981296410585,26.983221,9.26469,18.123955
2016,7,2.650468491473621,32.998997,14.176434,23.587713
2016,8,1.6463892713188106,29.280476,9.930141,19.605307
2016,9,0.1269643595615706,30.002981,11.828993,20.915987
2016,10,6.37646432641132,21.680239,5.275944,13.47809
2016,11,93.5505780346662,12.797114,-0.26902497,6.264045
2016,12,195.32007277860706,7.938394,-1.5281478,3.2051232
2017,1,277.0837669993334,4.0286326,-5.3072166,-0.6392915
2017,2,74.63540378851386,10.401401,-1.4887214,4.45634
2017,3,146.44745144173342,7.5137143,-4.2413487,1.6361825
2017,4,70.09116456981013,17.920034,2.896508,10.408271
2017,5,16.525920149296063,21.018835,4.7918277,12.905331
2017,6,7.382183945342088,25.377424,7.5861044,16.481768
2017,7,1.664495294572821,32.328125,13.808442,23.068285
2017,8,0.6756183702858561,30.453547,11.610184,21.031868
2017,9,0.03145036432693419,28.565203,10.073247,19.319225
2017,10,10.351155769965445,24.439894,7.509488,15.974689
2017,11,49.74808838576722,17.85745,4.433609,11.145532
2017,12,171.39312095903782,9.644037,-0.37418377,4.634927
2018,1,389.85510192720204,5.7127905,-3.2391863,1.2368023
2018,2,169.89973503201634,9.674268,-0.8694618,4.4024034
2018,3,235.43690058579892,11.100619,-0.17076343,5.464927
2018,4,1.2012703990998046,20.270905,4.3457193,12.308311
2018,5,95.30674038631575,20.86497,6.533751,13.69936
2018,6,14.604191343864183,25.061283,8.675966,16.868624
2018,7,1.1034689589935152,29.034746,11.225324,20.130035
2018,8,6.417683900719932,30.427725,11.777647,21.102686
2018,9,0.23228926185105228,28.623959,10.771977,19.697968
2018,10,49.45995935384794,17.735512,2.1393318,9.937422
2018,11,323.8794559984,12.591479,1.8560574,7.223768
2018,12,153.80117047531755,7.5526924,-2.404798,2.5739477
2019,1,383.99926576223595,6.1160007,-2.6466348,1.7346829
2019,2,155.01056242180698,7.986019,-2.6807795,2.6526198
2019,3,295.92488760888455,10.723429,-0.34659582,5.1884155
2019,4,47.09148848548456,16.707563,1.543146,9.125355
2019,5,7.8870114819133095,25.491213,8.87704,17.184126
2019,6,20.06151324256913,22.713318,6.2781897,14.495753
2019,7,4.059065230607623,31.080864,12.816511,21.948687
2019,8,12.127778852133074,29.551521,11.01584,20.283676
2019,9,1.923266329025704,26.078358,8.287512,17.182934
2019,10,5.361460667357926,19.52712,2.7155974,11.121358
2019,11,34.387158751350434,15.634564,1.3118247,8.473194
2019,12,388.88501749865685,9.296934,0.096021995,4.6964784
2020,1,267.404306833522,8.377182,-1.3059824,3.5355997
2020,2,114.07060964646871,11.466667,-0.082231596,5.692218
2020,3,178.91957781962472,13.126949,0.07478779,6.600868
2020,4,94.05319118083,13.991324,0.005409822,6.998367
2020,5,67.40994955901587,18.060505,3.3326058,10.696555
2020,6,75.79730129149637,22.084023,6.7349005,14.409461
2020,7,22.026962104843157,29.29149,12.44493,20.868212
2020,8,6.077211804549931,30.926817,13.075594,22.001207
2020,9,3.148157229272985,26.164108,9.018092,17.591099
2020,10,152.53188577095622,16.939882,2.158699,9.54929
2020,11,96.97532086380504,10.672707,-0.7674527,4.952627
2020,12,43.345152168518865,12.555761,1.1247629,6.840261
2021,1,749.6906585127122,8.710029,-0.99276453,3.8586316
2021,2,169.82900131450765,11.804203,0.54697955,6.175592
2021,3,33.14969894529568,12.975203,-1.0845109,5.9453464
2021,4,17.501587133943495,16.859043,1.815694,9.337368
2021,5,9.241813090374453,21.316114,4.8346453,13.075378
2021,6,8.69844278670246,29.521595,11.782559,20.652075
2021,7,1.4288220846276944,33.102863,14.112654,23.607754
2021,8,0.14023941444185012,32.136246,13.077137,22.60669
2021,9,0.07302966762897548,29.913525,12.122962,21.018242
2021,10,129.6286549125886,18.122553,4.376403,11.249477
2021,11,249.6142140389534,13.545253,1.5989355,7.5720954
2021,12,257.52998636288527,9.728049,-0.35849905,4.684776
2022,1,102.62210014323007,9.041877,-1.2140889,3.9138937
2022,2,148.58476565395966,8.3841915,-2.075926,3.1541328
2022,3,132.68045667361687,13.053363,-0.34702814,6.353168
2022,4,85.07648109688965,15.176937,1.6536413,8.415289
2022,5,50.18757549566435,19.910448,4.653588,12.282018
2022,6,23.82520015544171,24.768324,8.964077,16.8662
2022,7,6.075912919640801,28.34885,10.609533,19.479193
2022,8,1.750078232173561,29.397797,11.346914,20.372353
2022,9,11.016177662962445,26.029337,8.829795,17.429565
2022,10,13.704931584062603,22.178644,5.9166636,14.047654
2022,11,29.624621046822597,15.724017,1.7260598,8.725038
2022,12,353.0236270667887,5.841991,-3.1156073,1.3631918
2023,1,454.5945594933837,10.036371,-0.67985266,4.6782584
2023,2,191.2395317467484,10.971633,-0.9339291,5.018852
2023,3,14.003178463526092,14.12794,-1.4374859,6.345227
2023,4,96.33636627545319,12.885448,-0.13915978,6.3731437
2023,5,0.39273599957225236,23.079344,6.229819,14.654584
2023,6,12.793906436883839,23.540476,6.523094,15.031783
2023,7,2.702654876434788,31.225481,12.357352,21.791418
2023,8,0.027142597689643656,32.412506,14.122881,23.267693
2023,9,1.0299301866142123,26.484035,9.235619,17.85983
