index,member_id,Year,Month,Day,Pr (mm),Tasmax (degC),Tasmin (degC),Year
0,r1i1p1f1,1950,01,01,0.0,11.9289875,-2.8028457,1950
1,r1i1p1f1,1950,01,02,0.0,12.753649,-1.609293,1950
2,r1i1p1f1,1950,01,03,0.07749626347668705,10.732228,-3.2354112,1950
3,r1i1p1f1,1950,01,04,3.462754107338252,5.2052536,-4.1546082,1950
4,r1i1p1f1,1950,01,05,0.2010932421641854,2.236137,-6.82055,1950
5,r1i1p1f1,1950,01,06,0.0,0.9430433,-12.504431,1950
6,r1i1p1f1,1950,01,07,0.4234785055674505,-1.1080445,-12.550646,1950
7,r1i1p1f1,1950,01,08,18.254062425970982,-3.530269,-11.171701,1950
8,r1i1p1f1,1950,01,09,18.468546207833032,-0.6813752,-7.3157988,1950
9,r1i1p1f1,1950,01,10,0.012666946183521368,1.4407412,-8.972718,1950
10,r1i1p1f1,1950,01,11,0.0,6.083734,-6.113559,1950
11,r1i1p1f1,1950,01,12,4.881087190295649,4.2387743,-8.073353,1950
12,r1i1p1f1,1950,01,13,4.254937479078569,-3.2245595,-9.635607,1950
13,r1i1p1f1,1950,01,14,0.11947558973115191,-4.62589,-14.14039,1950
14,r1i1p1f1,1950,01,15,0.0,-0.45917845,-14.266445,1950
15,r1i1p1f1,1950,01,16,0.0,2.535324,-12.483236,1950
16,r1i1p1f1,1950,01,17,0.0,5.6094975,-7.823209,1950
17,r1i1p1f1,1950,01,18,0.0,8.463917,-4.356277,1950
18,r1i1p1f1,1950,01,19,0.0,7.682541,-3.654824,1950
19,r1i1p1f1,1950,01,20,0.0,8.535452,-3.7480004,1950
20,r1i1p1f1,1950,01,21,0.0,10.838816,-2.0071642,1950
21,r1i1p1f1,1950,01,22,0.0,9.124245,-3.0642276,1950
22,r1i1p1f1,1950,01,23,0.0,9.497131,-2.34645,1950
23,r1i1p1f1,1950,01,24,1.0969994830484375,5.9662147,-5.2257032,1950
24,r1i1p1f1,1950,01,25,0.0,6.2351785,-5.311917,1950
25,r1i1p1f1,1950,01,26,0.0,5.9800706,-6.358401,1950
26,r1i1p1f1,1950,01,27,0.0,9.100198,-3.897317,1950
27,r1i1p1f1,1950,01,28,0.0,10.601961,-3.3863192,1950
28,r1i1p1f1,1950,01,29,0.0,11.259633,-3.8174863,1950
29,r1i1p1f1,1950,01,30,0.0,10.720343,-4.296036,1950
30,r1i1p1f1,1950,01,31,0.0,7.512286,-3.6067336,1950
31,r1i1p1f1,1950,02,01,0.0,3.8857255,-5.99039,1950
32,r1i1p1f1,1950,02,02,0.0,5.369898,-7.6948533,1950
33,r1i1p1f1,1950,02,03,0.0,5.5498466,-7.7269197,1950
34,r1i1p1f1,1950,02,04,0.0,8.010893,-8.1651745,1950
35,r1i1p1f1,1950,02,05,2.627772464528464,3.7303858,-8.009048,1950
36,r1i1p1f1,1950,02,06,1.0516071887012588,-6.104374,-14.380049,1950
37,r1i1p1f1,1950,02,07,0.0,-2.7510788,-16.224506,1950
38,r1i1p1f1,1950,02,08,0.34925388734920976,-2.6762552,-14.380504,1950
39,r1i1p1f1,1950,02,09,0.39856902020641,-4.8055944,-14.331732,1950
40,r1i1p1f1,1950,02,10,0.0,-1.7409328,-13.28074,1950
41,r1i1p1f1,1950,02,11,0.0,3.7522883,-10.052204,1950
42,r1i1p1f1,1950,02,12,0.0,6.452053,-6.3257103,1950
43,r1i1p1f1,1950,02,13,0.0,9.426401,-5.609704,1950
44,r1i1p1f1,1950,02,14,0.0,7.952115,-5.5199265,1950
45,r1i1p1f1,1950,02,15,0.0,6.9994884,-4.2594423,1950
46,r1i1p1f1,1950,02,16,0.03445035983688236,7.2171803,-6.0228553,1950
47,r1i1p1f1,1950,02,17,3.9765608735523204,1.6572239,-8.473472,1950
48,r1i1p1f1,1950,02,18,0.0,3.5510254,-8.78544,1950
49,r1i1p1f1,1950,02,19,0.0,4.0285206,-8.395224,1950
50,r1i1p1f1,1950,02,20,2.631394579935552,1.9380327,-8.433193,1950
51,r1i1p1f1,1950,02,21,0.4836671046338297,-5.2303233,-15.814534,1950
52,r1i1p1f1,1950,02,22,0.7956602900978141,-10.609917,-18.499166,1950
53,r1i1p1f1,1950,02,23,0.0,-9.784168,-19.764769,1950
54,r1i1p1f1,1950,02,24,0.0,-4.405722,-16.536163,1950
55,r1i1p1f1,1950,02,25,0.0,-3.4396987,-12.545066,1950
56,r1i1p1f1,1950,02,26,0.0,-0.17905858,-10.489611,1950
57,r1i1p1f1,1950,02,27,0.0,2.9073117,-8.982166,1950
58,r1i1p1f1,1950,02,28,0.0,4.5958476,-8.110677,1950
59,r1i1p1f1,1950,03,01,0.0,3.557816,-8.629849,1950
60,r1i1p1f1,1950,03,02,0.0,4.2191515,-10.195759,1950
61,r1i1p1f1,1950,03,03,0.0,6.436059,-8.582194,1950
62,r1i1p1f1,1950,03,04,0.0,7.0828056,-6.3806386,1950
63,r1i1p1f1,1950,03,05,6.942581541728143,5.6863346,-7.1153502,1950
64,r1i1p1f1,1950,03,06,8.735343075824355,-1.9474247,-9.416742,1950
65,r1i1p1f1,1950,03,07,0.03709030505768877,-0.17063007,-7.505274,1950
66,r1i1p1f1,1950,03,08,0.11821771161385804,0.7467724,-7.6483827,1950
67,r1i1p1f1,1950,03,09,10.17567978779958,-3.553063,-11.254729,1950
68,r1i1p1f1,1950,03,10,0.4197666693101164,-1.3025576,-7.963508,1950
69,r1i1p1f1,1950,03,11,0.0,8.667748,-6.6156273,1950
70,r1i1p1f1,1950,03,12,0.0,12.094189,-4.1706433,1950
71,r1i1p1f1,1950,03,13,0.06187822916271055,9.832318,-1.8848317,1950
72,r1i1p1f1,1950,03,14,0.318962273898938,5.1505795,-6.089655,1950
73,r1i1p1f1,1950,03,15,0.0,11.729647,-5.299436,1950
74,r1i1p1f1,1950,03,16,0.0,14.96302,-3.1899617,1950
75,r1i1p1f1,1950,03,17,0.0,14.955442,-1.5031309,1950
76,r1i1p1f1,1950,03,18,0.0,17.071537,0.7522905,1950
77,r1i1p1f1,1950,03,19,0.0,18.070457,3.9727447,1950
78,r1i1p1f1,1950,03,20,0.0,18.917505,0.24539247,1950
79,r1i1p1f1,1950,03,21,0.05222357328474412,15.887831,-2.1429465,1950
80,r1i1p1f1,1950,03,22,0.0,4.3823967,-6.2988005,1950
81,r1i1p1f1,1950,03,23,1.434616337114038,3.1693015,-9.544718,1950
82,r1i1p1f1,1950,03,24,0.0,6.6710987,-7.9898915,1950
83,r1i1p1f1,1950,03,25,0.7609516509875894,6.3269134,-7.0852075,1950
84,r1i1p1f1,1950,03,26,46.18341966407854,1.9329666,-4.4404864,1950
85,r1i1p1f1,1950,03,27,14.619977236962434,1.2889223,-6.4580083,1950
86,r1i1p1f1,1950,03,28,0.0,6.125278,-5.7959557,1950
87,r1i1p1f1,1950,03,29,22.980750833134422,3.518125,-5.4227476,1950
88,r1i1p1f1,1950,03,30,18.866475281643794,4.137225,-4.4995837,1950
89,r1i1p1f1,1950,03,31,11.954227992179655,3.8345044,-8.138526,1950
90,r1i1p1f1,1950,04,01,36.84307252245479,-0.6693716,-9.727271,1950
91,r1i1p1f1,1950,04,02,1.513726902873191,1.0223085,-7.925506,1950
92,r1i1p1f1,1950,04,03,0.0,5.5458345,-7.3237524,1950
93,r1i1p1f1,1950,04,04,0.20861311214046271,5.5229864,-5.6881223,1950
94,r1i1p1f1,1950,04,05,28.371646673032988,3.2144759,-7.6159134,1950
95,r1i1p1f1,1950,04,06,0.08475267947741326,-0.528478,-7.7709618,1950
96,r1i1p1f1,1950,04,07,6.528895944728289,-4.474156,-10.445347,1950
97,r1i1p1f1,1950,04,08,26.5443716020159,-2.8281517,-10.497029,1950
98,r1i1p1f1,1950,04,09,0.0,3.401794,-9.684908,1950
99,r1i1p1f1,1950,04,10,0.0,6.962259,-7.106507,1950
100,r1i1p1f1,1950,04,11,0.0,8.826859,-4.361189,1950
101,r1i1p1f1,1950,04,12,0.0,9.826527,-3.8419971,1950
102,r1i1p1f1,1950,04,13,0.0,11.112577,-2.7274184,1950
103,r1i1p1f1,1950,04,14,31.710177497744425,3.5783849,-4.6923656,1950
104,r1i1p1f1,1950,04,15,12.197910558049909,1.5468565,-5.961913,1950
105,r1i1p1f1,1950,04,16,0.8607608584876552,3.2626562,-7.3888416,1950
106,r1i1p1f1,1950,04,17,0.0,8.137359,-6.1353335,1950
107,r1i1p1f1,1950,04,18,0.0,8.513969,-4.34715,1950
108,r1i1p1f1,1950,04,19,3.9181439668603604,6.548157,-9.551203,1950
109,r1i1p1f1,1950,04,20,0.0,-2.2595932,-11.095999,1950
110,r1i1p1f1,1950,04,21,0.0,3.1443028,-11.15965,1950
111,r1i1p1f1,1950,04,22,0.0,5.950556,-5.7481065,1950
112,r1i1p1f1,1950,04,23,0.0,12.865894,-2.7490516,1950
113,r1i1p1f1,1950,04,24,0.0,14.191234,-0.5274215,1950
114,r1i1p1f1,1950,04,25,0.6765451713750135,12.616755,-2.0533216,1950
115,r1i1p1f1,1950,04,26,0.6359388115270616,4.1293654,-6.262046,1950
116,r1i1p1f1,1950,04,27,0.0,9.253808,-5.3935575,1950
