index,member_id,Year,Month,Day,Pr (mm),Tasmax (degC),Tasmin (degC),Year
0,r2i1p1f1,2015,01,01,10.540507216136978,9.380029,4.263726,2015
1,r2i1p1f1,2015,01,02,0.1782861934690055,9.189811,1.578883,2015
2,r2i1p1f1,2015,01,03,0.0,8.657383,-2.828766,2015
3,r2i1p1f1,2015,01,04,0.0,8.789976,-1.7661104,2015
4,r2i1p1f1,2015,01,05,0.0,12.159071,-0.7444338,2015
5,r2i1p1f1,2015,01,06,0.0,12.427746,0.2746367,2015
6,r2i1p1f1,2015,01,07,0.0,15.1703615,3.0429451,2015
7,r2i1p1f1,2015,01,08,0.0,13.843857,1.160281,2015
8,r2i1p1f1,2015,01,09,4.900504884434675,9.823417,4.980384,2015
9,r2i1p1f1,2015,01,10,0.45211261581078194,13.515109,7.7291527,2015
10,r2i1p1f1,2015,01,11,0.4206426514154719,13.382669,6.0926437,2015
11,r2i1p1f1,2015,01,12,4.801544468566424,14.050914,7.5582337,2015
12,r2i1p1f1,2015,01,13,0.0,15.414355,4.74402,2015
13,r2i1p1f1,2015,01,14,0.0,15.720371,3.6714048,2015
14,r2i1p1f1,2015,01,15,0.0,15.587354,3.024333,2015
15,r2i1p1f1,2015,01,16,0.0,16.37034,3.9185565,2015
16,r2i1p1f1,2015,01,17,0.0,15.934644,2.9176822,2015
17,r2i1p1f1,2015,01,18,0.0,21.10753,6.707406,2015
18,r2i1p1f1,2015,01,19,0.0,20.80566,4.870042,2015
19,r2i1p1f1,2015,01,20,0.0,18.056147,4.8509407,2015
20,r2i1p1f1,2015,01,21,2.5945193067891044,13.46345,2.3182936,2015
21,r2i1p1f1,2015,01,22,34.604308319321426,10.916449,6.5050173,2015
22,r2i1p1f1,2015,01,23,1.4930711685460776,13.480117,5.0663633,2015
23,r2i1p1f1,2015,01,24,3.7045969689500557,12.924611,2.4795377,2015
24,r2i1p1f1,2015,01,25,4.115186283609285,13.014895,4.1929116,2015
25,r2i1p1f1,2015,01,26,0.0,14.921177,-0.36091602,2015
26,r2i1p1f1,2015,01,27,0.0,11.126548,0.46771067,2015
27,r2i1p1f1,2015,01,28,1.2467214031273477,10.804704,0.8108626,2015
28,r2i1p1f1,2015,01,29,3.6810608592616623,13.20716,3.9971964,2015
29,r2i1p1f1,2015,01,30,0.0,14.360937,2.8488874,2015
30,r2i1p1f1,2015,01,31,0.010841667721148624,16.077978,1.2550733,2015
31,r2i1p1f1,2015,02,01,0.030204573808140435,16.674318,6.059705,2015
32,r2i1p1f1,2015,02,02,0.0,19.962461,5.9025593,2015
33,r2i1p1f1,2015,02,03,4.174352765864094,18.298927,6.2324085,2015
34,r2i1p1f1,2015,02,04,3.4018376241895822,9.28017,1.6479868,2015
35,r2i1p1f1,2015,02,05,0.0,10.271906,-1.6378561,2015
36,r2i1p1f1,2015,02,06,0.0,10.416659,-1.5905944,2015
37,r2i1p1f1,2015,02,07,0.0,13.140607,-1.1451645,2015
38,r2i1p1f1,2015,02,08,0.0,14.788537,0.94936806,2015
39,r2i1p1f1,2015,02,09,3.257501254214458,12.641489,1.8784412,2015
40,r2i1p1f1,2015,02,10,20.082443359335876,11.148681,4.263743,2015
41,r2i1p1f1,2015,02,11,5.384179465974062,14.464153,5.08779,2015
42,r2i1p1f1,2015,02,12,0.0,14.075389,3.789599,2015
43,r2i1p1f1,2015,02,13,1.0652214751548614,12.367974,1.8922758,2015
44,r2i1p1f1,2015,02,14,10.895311431467297,10.203309,4.254137,2015
45,r2i1p1f1,2015,02,15,28.123958221324937,17.177788,6.101018,2015
46,r2i1p1f1,2015,02,16,7.92554602261265,18.612986,9.792639,2015
47,r2i1p1f1,2015,02,17,36.60063135153934,16.63144,10.7185955,2015
48,r2i1p1f1,2015,02,18,40.26826824987151,16.063065,10.752279,2015
49,r2i1p1f1,2015,02,19,1.7772343153378716,18.128975,8.336671,2015
50,r2i1p1f1,2015,02,20,24.281752756825647,17.504128,10.139478,2015
51,r2i1p1f1,2015,02,21,1.3923649702254353,13.905509,6.296158,2015
52,r2i1p1f1,2015,02,22,0.0,17.10954,2.2056386,2015
53,r2i1p1f1,2015,02,23,0.179869816074661,15.826476,3.2445884,2015
54,r2i1p1f1,2015,02,24,2.75741081107631,13.202031,6.4316554,2015
55,r2i1p1f1,2015,02,25,12.97026208173229,13.822766,7.3396535,2015
56,r2i1p1f1,2015,02,26,0.0,17.303968,2.7986786,2015
57,r2i1p1f1,2015,02,27,0.3211710537323649,18.119518,3.1683674,2015
58,r2i1p1f1,2015,02,28,4.888904557022913,15.028064,4.9283867,2015
59,r2i1p1f1,2015,03,01,0.0,15.858961,3.2032502,2015
60,r2i1p1f1,2015,03,02,0.0,17.001593,1.5936923,2015
61,r2i1p1f1,2015,03,03,0.0,16.89008,0.509693,2015
