index,member_id,Year,Month,Day,Pr (mm),Tasmax (degC),Tasmin (degC),Year
0,r1i1p1f1,2015,01,01,0.0,14.206144,2.0592875,2015
1,r1i1p1f1,2015,01,02,6.274215811481278,9.677742,1.2911077,2015
2,r1i1p1f1,2015,01,03,0.0,10.37351,0.6099024,2015
3,r1i1p1f1,2015,01,04,0.15564363375242565,9.035673,3.0837245,2015
4,r1i1p1f1,2015,01,05,0.0,13.735745,0.81877476,2015
5,r1i1p1f1,2015,01,06,0.0,13.688037,1.071236,2015
6,r1i1p1f1,2015,01,07,0.0,13.385845,2.350025,2015
7,r1i1p1f1,2015,01,08,0.002422341863253729,13.895779,4.8267617,2015
8,r1i1p1f1,2015,01,09,0.0,12.953455,3.3478,2015
9,r1i1p1f1,2015,01,10,0.0,15.807165,3.9899452,2015
10,r1i1p1f1,2015,01,11,0.0,17.460226,5.113652,2015
11,r1i1p1f1,2015,01,12,0.0,15.814711,3.5542932,2015
12,r1i1p1f1,2015,01,13,3.5554039509790196,11.022611,0.2302689,2015
13,r1i1p1f1,2015,01,14,3.2319235929607966,7.3937383,2.8578024,2015
14,r1i1p1f1,2015,01,15,1.0370856080744921,7.0289054,0.431582,2015
15,r1i1p1f1,2015,01,16,0.6741690132666945,9.282614,3.2321694,2015
16,r1i1p1f1,2015,01,17,5.783226573714717,10.235069,4.1346116,2015
17,r1i1p1f1,2015,01,18,6.950729907587218,9.121736,5.087224,2015
18,r1i1p1f1,2015,01,19,0.0,10.173869,-0.91951776,2015
19,r1i1p1f1,2015,01,20,0.010102674627772657,8.152174,-1.6016604,2015
20,r1i1p1f1,2015,01,21,0.0057685401173121565,8.235051,4.597073,2015
21,r1i1p1f1,2015,01,22,8.592029673653416,5.442427,-3.840502,2015
22,r1i1p1f1,2015,01,23,0.6620906216505393,5.2076516,-2.7285964,2015
23,r1i1p1f1,2015,01,24,0.0,10.013762,0.21054454,2015
24,r1i1p1f1,2015,01,25,1.950360463089727,6.7067227,-0.29897082,2015
25,r1i1p1f1,2015,01,26,40.004338087755116,4.6637177,0.32232547,2015
26,r1i1p1f1,2015,01,27,36.54067259386871,8.89026,-0.11988872,2015
27,r1i1p1f1,2015,01,28,18.98103785851971,6.2478623,0.916526,2015
28,r1i1p1f1,2015,01,29,11.383484508000308,4.6020584,-1.3372258,2015
29,r1i1p1f1,2015,01,30,12.590160784804798,3.5456371,-2.5130816,2015
30,r1i1p1f1,2015,01,31,0.0,8.875221,-0.4827208,2015
31,r1i1p1f1,2015,02,01,1.3279399357307418,7.8268743,-3.3628876,2015
32,r1i1p1f1,2015,02,02,16.462976715590568,6.0352316,-3.0488572,2015
33,r1i1p1f1,2015,02,03,0.0,11.901865,-0.74663395,2015
34,r1i1p1f1,2015,02,04,0.034209411354090793,11.39812,-0.54094106,2015
35,r1i1p1f1,2015,02,05,0.14185092795493798,11.53074,1.8836576,2015
36,r1i1p1f1,2015,02,06,0.0,12.410241,0.14246593,2015
37,r1i1p1f1,2015,02,07,1.7655920184741527,10.070652,0.7159168,2015
38,r1i1p1f1,2015,02,08,33.51563540942608,8.999057,0.49291798,2015
39,r1i1p1f1,2015,02,09,5.1520420408713266,5.022405,-2.6416886,2015
40,r1i1p1f1,2015,02,10,0.0013863018438920636,8.466054,-2.538378,2015
41,r1i1p1f1,2015,02,11,0.0,11.109791,-1.7424864,2015
42,r1i1p1f1,2015,02,12,5.835101826429654,8.407443,-0.9284937,2015
43,r1i1p1f1,2015,02,13,1.2237581520863852,6.5955334,-3.3974617,2015
44,r1i1p1f1,2015,02,14,0.0,9.839096,-1.9335359,2015
45,r1i1p1f1,2015,02,15,0.0,13.006533,-0.8716925,2015
46,r1i1p1f1,2015,02,16,0.08904185518557658,11.504574,-0.15885112,2015
47,r1i1p1f1,2015,02,17,16.868809582607884,9.650088,0.47154036,2015
48,r1i1p1f1,2015,02,18,1.4838711663277424,10.212814,3.4042857,2015
49,r1i1p1f1,2015,02,19,12.00683568959775,10.906273,5.9210296,2015
50,r1i1p1f1,2015,02,20,7.638027687149823,10.290171,0.50627774,2015
51,r1i1p1f1,2015,02,21,0.0,11.761456,-0.8677235,2015
52,r1i1p1f1,2015,02,22,21.845664537800126,11.292829,0.13062301,2015
53,r1i1p1f1,2015,02,23,56.026151905382946,10.703918,6.389423,2015
54,r1i1p1f1,2015,02,24,2.4919591386572018,14.514646,-0.15716222,2015
55,r1i1p1f1,2015,02,25,46.01952093530962,11.826268,3.7820952,2015
56,r1i1p1f1,2015,02,26,3.647658638501424,9.473573,-1.5761888,2015
57,r1i1p1f1,2015,02,27,0.0,12.181903,-0.48084873,2015
58,r1i1p1f1,2015,02,28,0.0,12.3869095,0.3402659,2015
59,r1i1p1f1,2015,03,01,0.0,13.262494,-0.885854,2015
60,r1i1p1f1,2015,03,02,0.0,13.995935,-0.14286797,2015
61,r1i1p1f1,2015,03,03,0.3609870756664286,10.832497,0.48612693,2015
62,r1i1p1f1,2015,03,04,0.0,9.359246,-3.171607,2015
63,r1i1p1f1,2015,03,05,24.829297703271777,5.5168757,-2.40871,2015
64,r1i1p1f1,2015,03,06,8.54094313028908,5.9641848,-1.616794,2015
65,r1i1p1f1,2015,03,07,34.59472244565871,7.032684,-0.1870544,2015
66,r1i1p1f1,2015,03,08,4.128529251131805,8.280234,0.380293,2015
67,r1i1p1f1,2015,03,09,0.0,13.372621,0.36875618,2015
68,r1i1p1f1,2015,03,10,0.049223521439683414,12.990382,1.1755154,2015
69,r1i1p1f1,2015,03,11,21.377667009522543,8.163443,2.27632,2015
70,r1i1p1f1,2015,03,12,9.156193393889977,8.817515,2.3190286,2015
71,r1i1p1f1,2015,03,13,21.4147274127364,11.326737,2.280396,2015
72,r1i1p1f1,2015,03,14,2.6347704936109126,10.763565,-0.6076932,2015
73,r1i1p1f1,2015,03,15,0.4097954678670494,10.400318,1.9856579,2015
74,r1i1p1f1,2015,03,16,0.42606131225904165,15.424959,5.361975,2015
75,r1i1p1f1,2015,03,17,0.0,23.746471,5.965227,2015
76,r1i1p1f1,2015,03,18,0.0495978951188226,22.273617,6.1248584,2015
77,r1i1p1f1,2015,03,19,0.11329693508146003,11.244801,-0.07541307,2015
78,r1i1p1f1,2015,03,20,0.0,15.997309,0.90463245,2015
79,r1i1p1f1,2015,03,21,0.0,16.731035,2.0998304,2015
80,r1i1p1f1,2015,03,22,0.07733825891150137,15.989312,-0.048072007,2015
81,r1i1p1f1,2015,03,23,0.0,11.562446,-1.5965704,2015
82,r1i1p1f1,2015,03,24,0.0,15.03501,-0.2882516,2015
83,r1i1p1f1,2015,03,25,0.02419493854219137,15.52725,1.5301337,2015
84,r1i1p1f1,2015,03,26,2.5999882846871,7.717227,0.13630888,2015
85,r1i1p1f1,2015,03,27,0.4712000898498344,14.420579,1.2687639,2015
86,r1i1p1f1,2015,03,28,0.0,19.988447,2.800018,2015
87,r1i1p1f1,2015,03,29,0.0,25.588001,7.873418,2015
88,r1i1p1f1,2015,03,30,0.0,27.752481,10.301764,2015
89,r1i1p1f1,2015,03,31,0.0,28.359024,11.2608,2015
90,r1i1p1f1,2015,04,01,0.0,27.842844,11.829781,2015
91,r1i1p1f1,2015,04,02,0.0,28.096437,11.52937,2015
92,r1i1p1f1,2015,04,03,0.0,26.203428,9.54904,2015
93,r1i1p1f1,2015,04,04,0.0,24.977095,8.143707,2015
94,r1i1p1f1,2015,04,05,6.354833096064509e-05,20.698418,4.530615,2015
95,r1i1p1f1,2015,04,06,0.0,16.560614,4.612699,2015
96,r1i1p1f1,2015,04,07,0.0,21.204798,4.9189425,2015
97,r1i1p1f1,2015,04,08,0.2562282079279529,24.85038,8.378826,2015
98,r1i1p1f1,2015,04,09,0.2609937557476185,23.944965,10.464783,2015
99,r1i1p1f1,2015,04,10,2.326170449669743,19.004333,4.9074626,2015
