index,member_id,Year,Month,Day,Pr (mm),Tasmax (degC),Tasmin (degC),Year
0,r1i1p1f2,1950,01,01,1.4830635055412809,9.860194,1.3592628,1950
1,r1i1p1f2,1950,01,02,0.8706944623484343,12.349575,7.223963,1950
2,r1i1p1f2,1950,01,03,5.09723815457131,15.93509,8.555358,1950
3,r1i1p1f2,1950,01,04,0.07802469593557311,15.190117,5.6733274,1950
4,r1i1p1f2,1950,01,05,2.2762285167663493e-05,16.048832,4.2056603,1950
5,r1i1p1f2,1950,01,06,0.5547499511039529,16.067902,7.61675,1950
6,r1i1p1f2,1950,01,07,0.0,16.45897,1.9723637,1950
7,r1i1p1f2,1950,01,08,4.516067141761546,14.843929,6.650994,1950
8,r1i1p1f2,1950,01,09,4.583309566155372,12.22346,1.5538607,1950
9,r1i1p1f2,1950,01,10,0.0,9.400459,-2.0175676,1950
10,r1i1p1f2,1950,01,11,0.0,11.058222,0.27232,1950
11,r1i1p1f2,1950,01,12,2.2109661660690305,10.27669,2.2653127,1950
12,r1i1p1f2,1950,01,13,22.30012856384323,9.498039,4.780349,1950
13,r1i1p1f2,1950,01,14,1.6577083480280803,11.131786,3.690982,1950
14,r1i1p1f2,1950,01,15,0.23190916677034193,10.9663315,1.0102587,1950
15,r1i1p1f2,1950,01,16,0.0,15.121928,1.2420148,1950
16,r1i1p1f2,1950,01,17,0.0,12.837209,0.056556422,1950
17,r1i1p1f2,1950,01,18,0.0,15.29432,0.6619506,1950
18,r1i1p1f2,1950,01,19,0.0,17.7264,1.8458904,1950
19,r1i1p1f2,1950,01,20,0.0,19.930307,3.6299145,1950
20,r1i1p1f2,1950,01,21,0.0,19.241064,3.6859086,1950
21,r1i1p1f2,1950,01,22,0.0,17.790352,1.7410588,1950
22,r1i1p1f2,1950,01,23,0.0,18.854631,2.816146,1950
23,r1i1p1f2,1950,01,24,0.0,19.215572,4.1130643,1950
24,r1i1p1f2,1950,01,25,0.0,18.302994,4.734121,1950
25,r1i1p1f2,1950,01,26,0.0,17.179893,3.1183999,1950
26,r1i1p1f2,1950,01,27,0.0,17.55014,3.7584991,1950
27,r1i1p1f2,1950,01,28,11.950395395105875,13.935272,7.1058893,1950
28,r1i1p1f2,1950,01,29,1.548279867911646,13.178463,5.507274,1950
29,r1i1p1f2,1950,01,30,0.24386940439850566,12.872317,3.9816418,1950
30,r1i1p1f2,1950,01,31,0.014917013837468315,12.576531,1.3766378,1950
31,r1i1p1f2,1950,02,01,0.0,15.502488,2.3058946,1950
32,r1i1p1f2,1950,02,02,0.0,15.967738,1.4859592,1950
33,r1i1p1f2,1950,02,03,0.0,14.259254,1.1279714,1950
34,r1i1p1f2,1950,02,04,0.0,15.823458,0.7737669,1950
35,r1i1p1f2,1950,02,05,0.0,15.610581,1.8334794,1950
