index,member_id,Year,Month,Day,Pr (mm),Tasmax (degC),Tasmin (degC),Year
0,r3i1p1f1,1950,01,01,0.0,13.979478,-3.9219868,1950
1,r3i1p1f1,1950,01,02,0.0,12.374858,-4.694902,1950
2,r3i1p1f1,1950,01,03,0.0,10.988484,-2.3835685,1950
3,r3i1p1f1,1950,01,04,0.0,7.326973,-2.0922902,1950
4,r3i1p1f1,1950,01,05,6.593587822894883,6.317764,-3.5750048,1950
5,r3i1p1f1,1950,01,06,57.80410624830728,8.95757,-0.4110509,1950
6,r3i1p1f1,1950,01,07,93.30403788813523,10.539151,4.6109967,1950
7,r3i1p1f1,1950,01,08,45.2134678787603,10.344074,3.041125,1950
8,r3i1p1f1,1950,01,09,30.71299913124396,8.949223,-0.63400155,1950
9,r3i1p1f1,1950,01,10,19.790494239986312,4.1982613,-1.8733695,1950
10,r3i1p1f1,1950,01,11,45.115498884243294,6.9305077,0.30920386,1950
11,r3i1p1f1,1950,01,12,0.0,9.777412,-3.7709577,1950
12,r3i1p1f1,1950,01,13,0.0,10.353657,-1.5378673,1950
13,r3i1p1f1,1950,01,14,3.4965545309635244,5.4191437,-1.9502034,1950
14,r3i1p1f1,1950,01,15,0.0,4.6398826,-8.630382,1950
15,r3i1p1f1,1950,01,16,0.0,8.597166,-4.1299133,1950
16,r3i1p1f1,1950,01,17,0.0,10.557029,-4.683948,1950
17,r3i1p1f1,1950,01,18,0.48431655342318375,8.6908865,0.508744,1950
18,r3i1p1f1,1950,01,19,0.01945076011387365,5.5820956,-0.22175112,1950
19,r3i1p1f1,1950,01,20,0.0,4.835178,-7.053369,1950
20,r3i1p1f1,1950,01,21,0.0,3.8397033,-6.7661,1950
21,r3i1p1f1,1950,01,22,18.276888745642463,2.854714,-7.5797167,1950
22,r3i1p1f1,1950,01,23,16.155511547605364,3.8189106,-1.833839,1950
23,r3i1p1f1,1950,01,24,58.47315202763939,3.4603527,-1.0780642,1950
24,r3i1p1f1,1950,01,25,49.60895769379951,5.7174196,-0.22275932,1950
25,r3i1p1f1,1950,01,26,0.0,10.0447235,-3.3567703,1950
26,r3i1p1f1,1950,01,27,0.0,14.604882,-1.6760145,1950
27,r3i1p1f1,1950,01,28,0.0,13.870067,0.5005174,1950
28,r3i1p1f1,1950,01,29,0.0,13.066984,0.11890699,1950
29,r3i1p1f1,1950,01,30,0.0,14.564159,-0.08355344,1950
30,r3i1p1f1,1950,01,31,0.0,13.917615,0.025883155,1950
31,r3i1p1f1,1950,02,01,0.0,12.652588,1.9901509,1950
32,r3i1p1f1,1950,02,02,0.0,16.237007,-0.6186397,1950
33,r3i1p1f1,1950,02,03,0.0,16.117842,0.57004905,1950
34,r3i1p1f1,1950,02,04,0.0,14.663076,3.9505713,1950
35,r3i1p1f1,1950,02,05,6.419646523088207,13.237029,0.922057,1950
36,r3i1p1f1,1950,02,06,0.0,15.717051,1.1812644,1950
37,r3i1p1f1,1950,02,07,63.857621098817376,12.535643,-1.6136163,1950
38,r3i1p1f1,1950,02,08,33.25904108261546,2.84144,-2.132408,1950
39,r3i1p1f1,1950,02,09,22.36863695197626,5.9392495,-1.5128467,1950
40,r3i1p1f1,1950,02,10,42.24390661610024,6.029559,0.35441774,1950
41,r3i1p1f1,1950,02,11,4.852837980281917,4.870847,-6.0552344,1950
42,r3i1p1f1,1950,02,12,0.8073974206586622,5.9062557,-7.23786,1950
43,r3i1p1f1,1950,02,13,15.916920733986075,1.055484,-6.3089943,1950
44,r3i1p1f1,1950,02,14,6.577568010914467,-0.8743784,-9.943238,1950
45,r3i1p1f1,1950,02,15,0.0,-0.7369663,-14.460171,1950
46,r3i1p1f1,1950,02,16,1.8271855187697008,-1.478538,-13.576489,1950
47,r3i1p1f1,1950,02,17,30.395344383042346,2.3868976,-7.5518007,1950
48,r3i1p1f1,1950,02,18,5.216161100615064,3.5017729,-7.620632,1950
49,r3i1p1f1,1950,02,19,0.0,3.9473765,-5.920268,1950
50,r3i1p1f1,1950,02,20,0.0,2.5240676,-11.125395,1950
51,r3i1p1f1,1950,02,21,0.0,2.1145031,-11.11285,1950
52,r3i1p1f1,1950,02,22,0.0,3.086126,-11.470396,1950
53,r3i1p1f1,1950,02,23,0.0,7.040235,-9.467447,1950
54,r3i1p1f1,1950,02,24,0.0,9.206676,-5.455539,1950
55,r3i1p1f1,1950,02,25,0.0,12.770501,-3.8104565,1950
56,r3i1p1f1,1950,02,26,0.0,12.19886,0.48708034,1950
57,r3i1p1f1,1950,02,27,0.0,14.367082,0.89843315,1950
58,r3i1p1f1,1950,02,28,0.0,13.731496,2.237109,1950
59,r3i1p1f1,1950,03,01,0.0,14.791109,2.2808454,1950
60,r3i1p1f1,1950,03,02,0.7265737320946984,14.638307,-0.28840664,1950
61,r3i1p1f1,1950,03,03,0.0011845628950350846,11.665446,0.29388058,1950
62,r3i1p1f1,1950,03,04,1.36193825790862,8.6515045,-1.4138117,1950
63,r3i1p1f1,1950,03,05,6.07218867094911,6.648644,-2.253549,1950
64,r3i1p1f1,1950,03,06,7.270962737979122,5.3509846,-2.0620162,1950
65,r3i1p1f1,1950,03,07,6.140159620969955,3.7558365,-2.5596364,1950
66,r3i1p1f1,1950,03,08,15.653021104830819,1.8838879,-6.0781193,1950
67,r3i1p1f1,1950,03,09,5.22308707735207,1.8680332,-5.440423,1950
68,r3i1p1f1,1950,03,10,0.0,6.491264,-7.56904,1950
69,r3i1p1f1,1950,03,11,0.0,7.7653174,-7.444367,1950
70,r3i1p1f1,1950,03,12,0.0,11.50489,-6.0157003,1950
71,r3i1p1f1,1950,03,13,0.0,13.601753,-3.5344048,1950
72,r3i1p1f1,1950,03,14,0.0,13.809288,-3.543649,1950
73,r3i1p1f1,1950,03,15,0.0,15.595265,-0.81818765,1950
74,r3i1p1f1,1950,03,16,0.0,18.37085,-0.5225745,1950
75,r3i1p1f1,1950,03,17,0.0,18.042917,1.8334959,1950
76,r3i1p1f1,1950,03,18,9.030181576259904,12.931506,-0.61975557,1950
77,r3i1p1f1,1950,03,19,0.8876932104413044,11.653036,-1.3053712,1950
78,r3i1p1f1,1950,03,20,0.0,14.547862,0.04452224,1950
79,r3i1p1f1,1950,03,21,0.0,14.719526,-0.05042365,1950
80,r3i1p1f1,1950,03,22,0.0,16.266232,-0.75953525,1950
81,r3i1p1f1,1950,03,23,0.0,17.780088,1.1385913,1950
82,r3i1p1f1,1950,03,24,0.0,19.322039,1.9455055,1950
83,r3i1p1f1,1950,03,25,0.0,20.028008,3.5190337,1950
84,r3i1p1f1,1950,03,26,0.015697932218784814,18.020723,4.9326468,1950
85,r3i1p1f1,1950,03,27,0.8893966037158951,18.683214,3.5300012,1950
86,r3i1p1f1,1950,03,28,0.0,20.462496,3.5350583,1950
87,r3i1p1f1,1950,03,29,0.0,19.539755,6.4796,1950
88,r3i1p1f1,1950,03,30,0.0,19.387056,1.6034061,1950
89,r3i1p1f1,1950,03,31,17.85143488073967,14.922615,-0.8636352,1950
90,r3i1p1f1,1950,04,01,0.8009951810751003,7.6928253,-4.8893576,1950
91,r3i1p1f1,1950,04,02,0.0,11.074482,-3.1709182,1950
92,r3i1p1f1,1950,04,03,7.301295436291884,6.875693,-4.072409,1950
93,r3i1p1f1,1950,04,04,17.710629417074866,2.0568933,-4.4423857,1950
94,r3i1p1f1,1950,04,05,0.009155984846254616,5.8356595,-7.6889434,1950
95,r3i1p1f1,1950,04,06,33.896569234247394,1.6733032,-4.4064736,1950
96,r3i1p1f1,1950,04,07,2.315558187611104,1.4831036,-11.858637,1950
97,r3i1p1f1,1950,04,08,0.6082036005394472,5.274473,-7.543265,1950
98,r3i1p1f1,1950,04,09,0.0,7.398982,-6.497426,1950
99,r3i1p1f1,1950,04,10,0.0,10.934348,-3.9823477,1950
100,r3i1p1f1,1950,04,11,0.0,12.930413,-4.301904,1950
101,r3i1p1f1,1950,04,12,0.0,14.135407,-1.6403657,1950
102,r3i1p1f1,1950,04,13,1.368061246738672,9.596935,-0.9409223,1950
103,r3i1p1f1,1950,04,14,0.013531421667481721,10.710019,-2.3569899,1950
104,r3i1p1f1,1950,04,15,0.0,15.067389,2.1831238,1950
105,r3i1p1f1,1950,04,16,0.0,17.317495,0.058745332,1950
106,r3i1p1f1,1950,04,17,0.0,15.937437,3.0624518,1950
107,r3i1p1f1,1950,04,18,5.3460466031977845,11.815444,-0.37360045,1950
