index,member_id,Year,Month,Day,Pr (mm),Tasmax (degC),Tasmin (degC),Year
0,r2i1p1f1,2015,01,01,0.0,2.846225,-8.232097,2015
1,r2i1p1f1,2015,01,02,0.0,1.6856326,-9.882493,2015
2,r2i1p1f1,2015,01,03,0.0,5.336514,-9.643045,2015
3,r2i1p1f1,2015,01,04,0.0,11.494007,-4.296216,2015
4,r2i1p1f1,2015,01,05,0.0,12.73608,-1.966775,2015
5,r2i1p1f1,2015,01,06,0.0,12.84583,-1.6078001,2015
6,r2i1p1f1,2015,01,07,2.8306982183029605,8.386912,-2.9150026,2015
7,r2i1p1f1,2015,01,08,15.29667095123634,4.6513233,-1.6184199,2015
8,r2i1p1f1,2015,01,09,2.035771424111367,7.061216,-6.1614027,2015
9,r2i1p1f1,2015,01,10,3.511151594648254,6.8193,0.06632231,2015
10,r2i1p1f1,2015,01,11,25.127550521196962,3.190338,-2.6696773,2015
11,r2i1p1f1,2015,01,12,15.72893446348815,2.0006778,-7.1129794,2015
12,r2i1p1f1,2015,01,13,16.17328735628617,-0.21260527,-7.083051,2015
13,r2i1p1f1,2015,01,14,0.01834120524621864,3.1421916,-6.856667,2015
14,r2i1p1f1,2015,01,15,12.249274038398347,-0.07693708,-12.394129,2015
15,r2i1p1f1,2015,01,16,35.346668405057216,1.4965572,-4.206144,2015
16,r2i1p1f1,2015,01,17,3.2205061799070585,2.3769717,-5.4494467,2015
17,r2i1p1f1,2015,01,18,0.0,9.255316,-6.114817,2015
18,r2i1p1f1,2015,01,19,0.0,10.884079,-5.0919137,2015
19,r2i1p1f1,2015,01,20,0.0,8.651383,-2.6282933,2015
20,r2i1p1f1,2015,01,21,0.523360862802121,4.648015,-1.6879916,2015
21,r2i1p1f1,2015,01,22,0.0,8.500714,-1.4232999,2015
22,r2i1p1f1,2015,01,23,0.0,7.124195,-6.8016825,2015
23,r2i1p1f1,2015,01,24,14.700863430769838,3.331362,-7.1836004,2015
24,r2i1p1f1,2015,01,25,40.47104397363324,4.14963,-1.2382869,2015
25,r2i1p1f1,2015,01,26,22.30566498615991,7.6075754,-1.5009605,2015
26,r2i1p1f1,2015,01,27,15.860128627436197,6.3728557,-1.3943425,2015
27,r2i1p1f1,2015,01,28,22.777836874754417,5.3322043,-2.50142,2015
28,r2i1p1f1,2015,01,29,49.23798418142787,5.362644,-0.7546648,2015
29,r2i1p1f1,2015,01,30,40.88103401529981,5.78215,-1.4103707,2015
