index,member_id,Year,Month,Day,Pr (mm),Tasmax (degC),Tasmin (degC),Year
0,r3i1p1f1,2015,01,01,18.321009463397786,12.130566,6.1584816,2015
1,r3i1p1f1,2015,01,02,0.0,13.25527,0.07583939,2015
2,r3i1p1f1,2015,01,03,0.7399460981488166,6.9281487,0.4646751,2015
3,r3i1p1f1,2015,01,04,9.869775969127659,6.4370785,3.0972488,2015
4,r3i1p1f1,2015,01,05,0.9923993583613896,13.537307,1.4091287,2015
5,r3i1p1f1,2015,01,06,0.057813600869849324,10.120951,-0.85844404,2015
6,r3i1p1f1,2015,01,07,0.0,9.15624,-2.6631742,2015
7,r3i1p1f1,2015,01,08,0.0,10.621889,-0.84095305,2015
8,r3i1p1f1,2015,01,09,0.0,9.464963,-0.41459474,2015
9,r3i1p1f1,2015,01,10,42.61486180506549,7.8294077,2.976108,2015
10,r3i1p1f1,2015,01,11,28.93550714085761,6.8053956,-1.4938592,2015
11,r3i1p1f1,2015,01,12,0.5163628980546108,7.4241652,0.4546065,2015
12,r3i1p1f1,2015,01,13,0.0,9.533262,-2.550731,2015
13,r3i1p1f1,2015,01,14,0.0,10.620727,-1.9520278,2015
14,r3i1p1f1,2015,01,15,0.0,12.272222,-0.69940066,2015
15,r3i1p1f1,2015,01,16,0.0,11.142088,-0.14263213,2015
16,r3i1p1f1,2015,01,17,0.0,10.64778,-0.24437352,2015
17,r3i1p1f1,2015,01,18,14.573952160916585,8.222642,2.367838,2015
18,r3i1p1f1,2015,01,19,25.780010831199196,7.7864347,3.8034332,2015
19,r3i1p1f1,2015,01,20,22.672683320094,6.4911485,2.2104135,2015
20,r3i1p1f1,2015,01,21,0.0,10.834203,-2.282658,2015
21,r3i1p1f1,2015,01,22,0.0,9.692832,-2.6884313,2015
22,r3i1p1f1,2015,01,23,0.007913390972565762,9.144583,-2.0376842,2015
23,r3i1p1f1,2015,01,24,2.166039441712392,6.3059707,0.92978024,2015
24,r3i1p1f1,2015,01,25,0.0,11.667676,0.07338072,2015
25,r3i1p1f1,2015,01,26,0.0,8.748362,-2.092312,2015
26,r3i1p1f1,2015,01,27,0.0007078071982840285,9.576479,-0.4064311,2015
27,r3i1p1f1,2015,01,28,29.21149301538734,8.541626,4.717053,2015
28,r3i1p1f1,2015,01,29,87.17372302750223,12.832895,6.482512,2015
29,r3i1p1f1,2015,01,30,87.71138274858363,14.03316,6.9207683,2015
30,r3i1p1f1,2015,01,31,38.3077397516708,11.723177,6.0759635,2015
31,r3i1p1f1,2015,02,01,45.97785543913855,12.651353,7.0420346,2015
32,r3i1p1f1,2015,02,02,45.961024861562215,11.844167,5.9717274,2015
33,r3i1p1f1,2015,02,03,12.210727492454584,12.991352,4.570067,2015
34,r3i1p1f1,2015,02,04,0.0,13.344948,2.2694833,2015
35,r3i1p1f1,2015,02,05,16.831004734941462,11.299951,5.539065,2015
36,r3i1p1f1,2015,02,06,48.782569622179786,15.454761,2.9889696,2015
37,r3i1p1f1,2015,02,07,20.356726584462816,11.266347,0.58353144,2015
38,r3i1p1f1,2015,02,08,13.968790755423374,15.230377,6.6876845,2015
39,r3i1p1f1,2015,02,09,0.0,19.88594,7.173881,2015
40,r3i1p1f1,2015,02,10,0.05718837069013573,18.985897,7.8687053,2015
41,r3i1p1f1,2015,02,11,0.0,19.627724,6.502997,2015
42,r3i1p1f1,2015,02,12,0.0,20.76614,7.7955155,2015
43,r3i1p1f1,2015,02,13,0.0,18.569633,5.1567626,2015
44,r3i1p1f1,2015,02,14,0.0,17.092167,3.7674713,2015
45,r3i1p1f1,2015,02,15,27.074541383281986,14.005132,6.914924,2015
46,r3i1p1f1,2015,02,16,39.38658123921701,12.114345,7.446743,2015
47,r3i1p1f1,2015,02,17,0.0,13.796589,2.1487362,2015
48,r3i1p1f1,2015,02,18,0.0,17.392557,3.087973,2015
49,r3i1p1f1,2015,02,19,0.0,17.197401,5.574173,2015
50,r3i1p1f1,2015,02,20,0.0,17.825832,5.5567083,2015
51,r3i1p1f1,2015,02,21,0.0,15.827751,4.84669,2015
52,r3i1p1f1,2015,02,22,4.025332645783476,15.38193,5.873183,2015
53,r3i1p1f1,2015,02,23,0.0,18.064474,5.133487,2015
54,r3i1p1f1,2015,02,24,0.0,19.61705,6.8047085,2015
55,r3i1p1f1,2015,02,25,0.0,18.289803,4.99075,2015
56,r3i1p1f1,2015,02,26,0.0,18.042011,5.3348117,2015
57,r3i1p1f1,2015,02,27,0.0,18.001022,5.749051,2015
58,r3i1p1f1,2015,02,28,0.0,17.997065,4.738089,2015
59,r3i1p1f1,2015,03,01,0.0,17.21974,1.6426706,2015
60,r3i1p1f1,2015,03,02,2.388415322313545,15.366249,2.6121516,2015
61,r3i1p1f1,2015,03,03,0.0,15.108696,2.1154046,2015
62,r3i1p1f1,2015,03,04,0.0,14.761521,3.6462803,2015
63,r3i1p1f1,2015,03,05,0.0011135951162462956,12.128219,6.726382,2015
64,r3i1p1f1,2015,03,06,6.901720613984109,13.832568,4.8306885,2015
65,r3i1p1f1,2015,03,07,3.0783822375796213,15.813007,3.6145983,2015
66,r3i1p1f1,2015,03,08,25.01265956211443,15.198071,6.2834125,2015
67,r3i1p1f1,2015,03,09,28.923298088269995,12.145725,4.4050636,2015
68,r3i1p1f1,2015,03,10,0.0,17.808537,3.2444067,2015
69,r3i1p1f1,2015,03,11,17.68931907794659,15.204336,5.188873,2015
70,r3i1p1f1,2015,03,12,7.060548166382911,8.435068,2.1588748,2015
71,r3i1p1f1,2015,03,13,0.0006073882415971878,14.381822,-1.1598015,2015
72,r3i1p1f1,2015,03,14,0.0,17.67985,3.6511173,2015
73,r3i1p1f1,2015,03,15,0.0,19.435978,7.4149413,2015
74,r3i1p1f1,2015,03,16,2.936563705014506,14.541527,6.7264476,2015
75,r3i1p1f1,2015,03,17,12.224446021718904,9.858859,5.0766497,2015
76,r3i1p1f1,2015,03,18,8.666780444189882,9.725154,4.400415,2015
77,r3i1p1f1,2015,03,19,28.823902078070923,8.414963,2.1433673,2015
78,r3i1p1f1,2015,03,20,26.4458472993666,9.06194,2.981448,2015
79,r3i1p1f1,2015,03,21,0.7572295153678217,14.189383,0.6073514,2015
80,r3i1p1f1,2015,03,22,0.0,16.907085,4.8704576,2015
81,r3i1p1f1,2015,03,23,0.690296253299637,15.956088,6.2453294,2015
82,r3i1p1f1,2015,03,24,0.0,20.623095,5.3925076,2015
83,r3i1p1f1,2015,03,25,0.0,18.616215,5.5417833,2015
84,r3i1p1f1,2015,03,26,0.006392775887769331,12.926004,2.518081,2015
85,r3i1p1f1,2015,03,27,12.446494816686027,9.585845,4.471092,2015
86,r3i1p1f1,2015,03,28,9.206611665822015,8.593847,0.081916004,2015
87,r3i1p1f1,2015,03,29,0.0,12.832345,0.008580057,2015
88,r3i1p1f1,2015,03,30,0.0,17.73833,2.3632486,2015
89,r3i1p1f1,2015,03,31,0.0,20.708628,5.7400255,2015
90,r3i1p1f1,2015,04,01,0.0,20.010592,6.498011,2015
91,r3i1p1f1,2015,04,02,0.04911385563709222,17.420795,5.0736723,2015
92,r3i1p1f1,2015,04,03,0.0,14.663651,2.3463922,2015
93,r3i1p1f1,2015,04,04,0.0,17.025599,4.86776,2015
94,r3i1p1f1,2015,04,05,1.4577756235284094,20.36558,5.43877,2015
95,r3i1p1f1,2015,04,06,12.81541437917775,18.682861,5.129135,2015
96,r3i1p1f1,2015,04,07,0.10203953200911392,16.729227,2.8303726,2015
97,r3i1p1f1,2015,04,08,0.0,19.77916,4.658608,2015
98,r3i1p1f1,2015,04,09,0.0,17.35767,4.73226,2015
99,r3i1p1f1,2015,04,10,26.662536278079067,13.648365,3.4942567,2015
100,r3i1p1f1,2015,04,11,0.0,17.797974,4.984114,2015
101,r3i1p1f1,2015,04,12,0.0,19.34928,4.184091,2015
