index,member_id,Year,Month,Day,Pr (mm),Tasmax (degC),Tasmin (degC),Year
0,r1i1p1f1,1950,01,01,0.0460973627487403,5.8738365,-5.393982,1950
1,r1i1p1f1,1950,01,02,8.182637737061077,3.2670732,-4.2189856,1950
2,r1i1p1f1,1950,01,03,0.9542363578021836,5.7026167,-5.253589,1950
3,r1i1p1f1,1950,01,04,1.5626986412081099,5.899095,-0.73654836,1950
4,r1i1p1f1,1950,01,05,0.28137005266184,7.636653,-0.94271195,1950
5,r1i1p1f1,1950,01,06,0.0,8.191181,-3.8807218,1950
6,r1i1p1f1,1950,01,07,0.0,9.033358,-4.411823,1950
7,r1i1p1f1,1950,01,08,0.0,8.219139,-2.281644,1950
8,r1i1p1f1,1950,01,09,0.0,5.021603,-6.715335,1950
9,r1i1p1f1,1950,01,10,0.0,7.597502,-5.225624,1950
10,r1i1p1f1,1950,01,11,0.0,9.586652,-3.2170029,1950
11,r1i1p1f1,1950,01,12,0.0,10.419036,-1.6695036,1950
12,r1i1p1f1,1950,01,13,0.0,10.082646,-4.5794716,1950
13,r1i1p1f1,1950,01,14,0.0,8.710984,-5.5707827,1950
14,r1i1p1f1,1950,01,15,0.0,6.6457586,-4.885814,1950
15,r1i1p1f1,1950,01,16,0.0,6.003436,-4.414482,1950
16,r1i1p1f1,1950,01,17,0.0,3.5984027,-8.514482,1950
17,r1i1p1f1,1950,01,18,0.18317597035586158,0.6899471,-10.634344,1950
18,r1i1p1f1,1950,01,19,2.482147049276279,-1.505326,-9.911957,1950
19,r1i1p1f1,1950,01,20,0.0,3.3407545,-8.626031,1950
20,r1i1p1f1,1950,01,21,0.0,7.660954,-6.341074,1950
21,r1i1p1f1,1950,01,22,0.0,12.637053,0.34015805,1950
22,r1i1p1f1,1950,01,23,0.0,13.490605,-0.21027155,1950
23,r1i1p1f1,1950,01,24,0.0,12.865023,1.6852459,1950
24,r1i1p1f1,1950,01,25,0.0,12.193027,0.11791397,1950
25,r1i1p1f1,1950,01,26,0.0,12.518155,-0.83598727,1950
26,r1i1p1f1,1950,01,27,0.0,14.024138,0.39896953,1950
27,r1i1p1f1,1950,01,28,0.0,12.976732,0.41905335,1950
28,r1i1p1f1,1950,01,29,0.0,10.695544,-1.5953631,1950
29,r1i1p1f1,1950,01,30,0.0,11.479855,-2.9545915,1950
30,r1i1p1f1,1950,01,31,0.0,10.351666,-0.41479763,1950
31,r1i1p1f1,1950,02,01,35.48117465822094,6.196961,0.14882702,1950
32,r1i1p1f1,1950,02,02,45.02012106707791,4.6528406,-4.506265,1950
33,r1i1p1f1,1950,02,03,1.571582999269419,1.164504,-9.152803,1950
34,r1i1p1f1,1950,02,04,7.480677431287996,1.8432527,-5.923863,1950
35,r1i1p1f1,1950,02,05,0.0,3.2996123,-11.647412,1950
36,r1i1p1f1,1950,02,06,0.0,5.504575,-12.550474,1950
37,r1i1p1f1,1950,02,07,27.851631518801202,7.0045357,-4.7122774,1950
38,r1i1p1f1,1950,02,08,79.74481337423245,5.799875,-0.254987,1950
39,r1i1p1f1,1950,02,09,28.43090519816783,4.298886,-3.078772,1950
40,r1i1p1f1,1950,02,10,1.420625957696494,4.5132093,-10.390745,1950
41,r1i1p1f1,1950,02,11,0.0,7.7431297,-6.4601617,1950
42,r1i1p1f1,1950,02,12,0.0,8.081889,-1.4718232,1950
43,r1i1p1f1,1950,02,13,0.0,6.976502,-3.2138908,1950
44,r1i1p1f1,1950,02,14,0.0658696087032377,7.2632365,-7.564685,1950
45,r1i1p1f1,1950,02,15,6.346356083424369,2.116301,-3.575432,1950
46,r1i1p1f1,1950,02,16,2.0084405428391925,4.8080435,-4.4130654,1950
47,r1i1p1f1,1950,02,17,0.0,7.208418,-9.204518,1950
48,r1i1p1f1,1950,02,18,0.0,6.9689784,-7.998631,1950
49,r1i1p1f1,1950,02,19,34.15879900746766,5.3185134,-5.805602,1950
50,r1i1p1f1,1950,02,20,7.489383540635911,0.0007810294,-13.857738,1950
51,r1i1p1f1,1950,02,21,10.20306099448858,-1.4645513,-8.511637,1950
52,r1i1p1f1,1950,02,22,30.077601269880557,-0.5906771,-6.4442286,1950
53,r1i1p1f1,1950,02,23,0.0,0.5889999,-8.991058,1950
54,r1i1p1f1,1950,02,24,0.0,3.054797,-12.266645,1950
55,r1i1p1f1,1950,02,25,0.0,3.8373158,-9.361767,1950
56,r1i1p1f1,1950,02,26,0.0,4.934955,-9.85479,1950
57,r1i1p1f1,1950,02,27,0.0,5.3304763,-9.525219,1950
58,r1i1p1f1,1950,02,28,0.0,6.2763896,-8.104381,1950
59,r1i1p1f1,1950,03,01,0.0,9.098906,-4.212271,1950
60,r1i1p1f1,1950,03,02,0.0,10.428586,-3.0383677,1950
61,r1i1p1f1,1950,03,03,0.0,9.33307,-3.2579029,1950
62,r1i1p1f1,1950,03,04,0.0,10.249505,-3.2918093,1950
63,r1i1p1f1,1950,03,05,0.0,9.176473,-5.4393272,1950
64,r1i1p1f1,1950,03,06,0.7150480492287371,3.6713676,-5.344115,1950
65,r1i1p1f1,1950,03,07,4.225930944219244,-1.1842914,-6.5460825,1950
66,r1i1p1f1,1950,03,08,0.06048680281025324,1.7877014,-8.893274,1950
67,r1i1p1f1,1950,03,09,0.0,7.2549686,-9.368092,1950
68,r1i1p1f1,1950,03,10,2.8755755071035245,6.5956783,-6.031828,1950
69,r1i1p1f1,1950,03,11,9.51418040107083,6.9861517,1.0091999,1950
70,r1i1p1f1,1950,03,12,0.0,12.142748,-1.5687628,1950
71,r1i1p1f1,1950,03,13,7.947346766585209,9.118799,-2.4941235,1950
72,r1i1p1f1,1950,03,14,8.111224839701745,4.0429115,-4.306153,1950
73,r1i1p1f1,1950,03,15,0.5017810118635724,7.869954,-5.1350055,1950
74,r1i1p1f1,1950,03,16,0.0,9.411096,-6.5043416,1950
75,r1i1p1f1,1950,03,17,0.0,7.6891756,-2.3941355,1950
76,r1i1p1f1,1950,03,18,1.8896329481389966,6.1613927,-5.282251,1950
77,r1i1p1f1,1950,03,19,19.088935144683933,3.8963861,0.5838748,1950
78,r1i1p1f1,1950,03,20,7.48565430476622,5.710835,-1.5560635,1950
79,r1i1p1f1,1950,03,21,0.8605427136967317,7.912758,-1.2123288,1950
80,r1i1p1f1,1950,03,22,3.7766556783280536,6.8555613,-2.1200721,1950
81,r1i1p1f1,1950,03,23,2.699189776321873,8.699405,-1.5311255,1950
82,r1i1p1f1,1950,03,24,0.9759540702896585,8.534784,-4.465682,1950
