index,member_id,Year,Month,Day,Pr (mm),Tasmax (degC),Tasmin (degC),Year
0,r1i1p1f1,2015,01,01,0.0,0.8116909,-14.784131,2015
1,r1i1p1f1,2015,01,02,0.3126826299640604,2.056536,-15.713782,2015
2,r1i1p1f1,2015,01,03,6.630262880010576,0.53609675,-5.3178196,2015
3,r1i1p1f1,2015,01,04,7.84741447758061,0.30607602,-9.31553,2015
4,r1i1p1f1,2015,01,05,0.5423620029780203,2.1068602,-13.495662,2015
5,r1i1p1f1,2015,01,06,5.158229252888093,3.6577861,-6.0868196,2015
6,r1i1p1f1,2015,01,07,0.0,6.023356,-4.3113832,2015
7,r1i1p1f1,2015,01,08,0.0,8.325718,-3.499259,2015
8,r1i1p1f1,2015,01,09,0.0,7.465124,-7.413901,2015
9,r1i1p1f1,2015,01,10,0.01451210019510077,7.745402,-6.873018,2015
10,r1i1p1f1,2015,01,11,0.0016889199510227043,5.4812183,0.17112817,2015
11,r1i1p1f1,2015,01,12,0.0,5.504271,-10.791304,2015
12,r1i1p1f1,2015,01,13,0.0,7.616755,-8.373923,2015
13,r1i1p1f1,2015,01,14,0.0,8.924923,-6.4783745,2015
14,r1i1p1f1,2015,01,15,0.0,5.3345375,-4.0378065,2015
15,r1i1p1f1,2015,01,16,0.0,7.5958943,-1.8509865,2015
16,r1i1p1f1,2015,01,17,0.0,8.119127,-4.593584,2015
17,r1i1p1f1,2015,01,18,0.0,8.120655,-4.667672,2015
18,r1i1p1f1,2015,01,19,0.0,6.15987,-7.4734726,2015
19,r1i1p1f1,2015,01,20,0.1190106161447668,1.6458386,-11.600039,2015
20,r1i1p1f1,2015,01,21,0.022127736348409355,-4.7688293,-9.574714,2015
21,r1i1p1f1,2015,01,22,1.6848666632472158,-3.8406255,-10.719672,2015
22,r1i1p1f1,2015,01,23,9.554304182934663,-1.4443122,-10.673755,2015
23,r1i1p1f1,2015,01,24,0.8269130821506352,-0.27101117,-12.739979,2015
24,r1i1p1f1,2015,01,25,0.0,-4.1957936,-18.699152,2015
25,r1i1p1f1,2015,01,26,0.0,-2.1589398,-16.80007,2015
26,r1i1p1f1,2015,01,27,0.008511825442639688,1.373582,-13.509042,2015
27,r1i1p1f1,2015,01,28,0.0,3.7547247,-12.269427,2015
28,r1i1p1f1,2015,01,29,0.0,7.334824,-7.271166,2015
29,r1i1p1f1,2015,01,30,0.0,7.2182074,-8.302627,2015
30,r1i1p1f1,2015,01,31,0.0,6.1543117,-10.895356,2015
31,r1i1p1f1,2015,02,01,0.0,4.937404,-10.087391,2015
32,r1i1p1f1,2015,02,02,0.0,2.418805,-12.7584095,2015
33,r1i1p1f1,2015,02,03,0.0,6.5533957,-9.566686,2015
34,r1i1p1f1,2015,02,04,0.0,8.547861,-8.283353,2015
35,r1i1p1f1,2015,02,05,0.9097997451714543,7.4369187,-7.252306,2015
36,r1i1p1f1,2015,02,06,12.067802961139012,4.386005,-1.094376,2015
37,r1i1p1f1,2015,02,07,0.539835556926706,4.408887,-4.6721654,2015
38,r1i1p1f1,2015,02,08,0.0,4.891844,-3.8780148,2015
39,r1i1p1f1,2015,02,09,0.17945371292538093,5.1422567,-1.9700413,2015
40,r1i1p1f1,2015,02,10,5.163572568181321,4.206641,-2.358072,2015
41,r1i1p1f1,2015,02,11,9.006717575264041,3.6528754,-6.827505,2015
42,r1i1p1f1,2015,02,12,5.715150705563057,-0.42506436,-17.302109,2015
43,r1i1p1f1,2015,02,13,15.38030475147609,1.4817408,-7.578061,2015
44,r1i1p1f1,2015,02,14,0.0045397366436406425,3.1247292,-7.2117314,2015
45,r1i1p1f1,2015,02,15,10.051992096932935,0.4671461,-9.38937,2015
46,r1i1p1f1,2015,02,16,0.028512365241609796,-1.5314723,-14.488346,2015
47,r1i1p1f1,2015,02,17,1.6371096717730378,-0.99967045,-10.628263,2015
48,r1i1p1f1,2015,02,18,3.373699320833502,-3.4266999,-13.929168,2015
49,r1i1p1f1,2015,02,19,0.897425501551904,-6.1441436,-16.033764,2015
50,r1i1p1f1,2015,02,20,0.0,-5.476635,-23.092493,2015
51,r1i1p1f1,2015,02,21,0.0,-4.86837,-22.010994,2015
52,r1i1p1f1,2015,02,22,0.010137932941532594,-0.80497843,-18.654604,2015
53,r1i1p1f1,2015,02,23,0.19946015847832305,3.0424848,-9.239447,2015
54,r1i1p1f1,2015,02,24,0.2680710702154169,6.48913,-2.9044085,2015
55,r1i1p1f1,2015,02,25,7.361734084037198,5.363767,-2.3499475,2015
56,r1i1p1f1,2015,02,26,0.0,6.1097717,-7.5687394,2015
57,r1i1p1f1,2015,02,27,4.066723121581963,4.8639803,-3.5875351,2015
58,r1i1p1f1,2015,02,28,0.7436952335101591,8.481915,1.7232106,2015
59,r1i1p1f1,2015,03,01,0.0,12.876111,-0.8894655,2015
60,r1i1p1f1,2015,03,02,0.0,11.710928,0.5027395,2015
61,r1i1p1f1,2015,03,03,13.650577346177846,6.7821174,0.12767595,2015
62,r1i1p1f1,2015,03,04,30.53828270020504,4.7409143,-2.79732,2015
63,r1i1p1f1,2015,03,05,8.987800377525891,1.8795639,-5.6611953,2015
64,r1i1p1f1,2015,03,06,16.556025232571148,1.0995616,-8.633616,2015
65,r1i1p1f1,2015,03,07,14.58780302587325,3.0088637,-3.5424705,2015
66,r1i1p1f1,2015,03,08,14.779009268453954,2.5310016,-3.5912652,2015
67,r1i1p1f1,2015,03,09,11.95076229382393,2.9428651,-3.801663,2015
68,r1i1p1f1,2015,03,10,6.342501927336169,2.870886,-4.11863,2015
69,r1i1p1f1,2015,03,11,7.359449779380934,2.2277355,-5.3513236,2015
70,r1i1p1f1,2015,03,12,0.19173046988680434,3.6760442,-2.2232533,2015
71,r1i1p1f1,2015,03,13,0.022730611448630665,6.6500235,-11.993522,2015
72,r1i1p1f1,2015,03,14,0.0,6.8667426,-7.7688594,2015
73,r1i1p1f1,2015,03,15,0.0,6.1936426,-11.5672865,2015
74,r1i1p1f1,2015,03,16,0.0,5.8726234,-11.818178,2015
75,r1i1p1f1,2015,03,17,0.0,6.083752,-3.930722,2015
76,r1i1p1f1,2015,03,18,0.0,9.248896,-8.669441,2015
77,r1i1p1f1,2015,03,19,0.0,9.675442,-7.0059233,2015
78,r1i1p1f1,2015,03,20,0.0,11.107237,-6.1695504,2015
79,r1i1p1f1,2015,03,21,4.263562655073095,6.5758805,-0.082451515,2015
80,r1i1p1f1,2015,03,22,0.0,8.413366,-10.827628,2015
81,r1i1p1f1,2015,03,23,0.0,13.695083,-5.689023,2015
82,r1i1p1f1,2015,03,24,0.0,15.712329,-3.4264858,2015
83,r1i1p1f1,2015,03,25,0.10183647248100812,15.733356,-1.0952985,2015
84,r1i1p1f1,2015,03,26,3.570444426272325e-05,10.020834,-4.9331737,2015
85,r1i1p1f1,2015,03,27,0.0,12.766376,-5.481863,2015
86,r1i1p1f1,2015,03,28,0.0,14.593631,-4.4967704,2015
87,r1i1p1f1,2015,03,29,0.0,15.021896,-2.943854,2015
88,r1i1p1f1,2015,03,30,0.0,17.834078,-0.46293765,2015
89,r1i1p1f1,2015,03,31,0.0,20.484863,0.40470916,2015
90,r1i1p1f1,2015,04,01,0.0,21.687262,1.158693,2015
91,r1i1p1f1,2015,04,02,0.0,19.536865,-0.75960386,2015
92,r1i1p1f1,2015,04,03,5.757399083200971,14.335808,-2.0440345,2015
93,r1i1p1f1,2015,04,04,2.0602687697552797,7.520137,-1.0283291,2015
94,r1i1p1f1,2015,04,05,0.24145416195688013,8.487054,-1.690615,2015
95,r1i1p1f1,2015,04,06,0.009984746759218318,6.0552907,-6.181507,2015
96,r1i1p1f1,2015,04,07,0.0,11.650934,-5.7479277,2015
97,r1i1p1f1,2015,04,08,0.0,14.347777,-3.3012207,2015
98,r1i1p1f1,2015,04,09,0.0,16.638908,0.5199705,2015
99,r1i1p1f1,2015,04,10,0.16219847338836413,14.257075,-0.60730064,2015
100,r1i1p1f1,2015,04,11,0.0,9.479712,-4.2256827,2015
101,r1i1p1f1,2015,04,12,0.012482208374126494,8.076745,-5.894622,2015
102,r1i1p1f1,2015,04,13,2.755058972793816,4.3026357,-6.324473,2015
103,r1i1p1f1,2015,04,14,3.2436300416333776,5.687636,-5.1844664,2015
104,r1i1p1f1,2015,04,15,8.411928833971082,0.8202144,-9.35536,2015
105,r1i1p1f1,2015,04,16,1.580223268555728,2.0090063,-8.158809,2015
106,r1i1p1f1,2015,04,17,0.0,4.687073,-10.45277,2015
107,r1i1p1f1,2015,04,18,20.05840618906179,3.8767867,-5.1305575,2015
108,r1i1p1f1,2015,04,19,10.283960428272984,9.38362,-3.6438792,2015
109,r1i1p1f1,2015,04,20,0.08699953217362698,15.032981,0.5690015,2015
110,r1i1p1f1,2015,04,21,0.0,15.478722,1.3879386,2015
111,r1i1p1f1,2015,04,22,0.2171758291923108,16.202982,3.950746,2015
112,r1i1p1f1,2015,04,23,0.0,15.963637,-0.548064,2015
113,r1i1p1f1,2015,04,24,0.0,13.960694,-4.89272,2015
114,r1i1p1f1,2015,04,25,0.0,10.4458065,-5.613969,2015
115,r1i1p1f1,2015,04,26,0.0,11.047957,-4.4240336,2015
116,r1i1p1f1,2015,04,27,0.0,14.189222,-3.3724084,2015
117,r1i1p1f1,2015,04,28,0.0,13.831889,-3.2568517,2015
118,r1i1p1f1,2015,04,29,0.119697007120974,11.957679,-3.1547706,2015
119,r1i1p1f1,2015,04,30,0.0,16.815168,-2.1264272,2015
120,r1i1p1f1,2015,05,01,0.0,21.763567,1.4263233,2015
121,r1i1p1f1,2015,05,02,0.0,21.673933,1.6963005,2015
122,r1i1p1f1,2015,05,03,0.0,20.343678,3.1737957,2015
123,r1i1p1f1,2015,05,04,0.0,22.87745,2.7101161,2015
124,r1i1p1f1,2015,05,05,0.0,26.531273,5.4996233,2015
125,r1i1p1f1,2015,05,06,0.0,29.350124,7.4677114,2015
126,r1i1p1f1,2015,05,07,0.0,30.081669,6.830154,2015
127,r1i1p1f1,2015,05,08,0.0,31.304665,9.081633,2015
128,r1i1p1f1,2015,05,09,0.0,30.730173,9.6309185,2015
129,r1i1p1f1,2015,05,10,0.0,30.65105,8.6863985,2015
130,r1i1p1f1,2015,05,11,0.0,26.869455,3.8188825,2015
131,r1i1p1f1,2015,05,12,0.0,15.718863,-2.7080584,2015
132,r1i1p1f1,2015,05,13,0.0,19.07525,-1.1028641,2015
133,r1i1p1f1,2015,05,14,0.0,24.852135,2.9289815,2015
134,r1i1p1f1,2015,05,15,0.0,24.268919,3.999806,2015
135,r1i1p1f1,2015,05,16,0.0,21.066242,2.9549422,2015
136,r1i1p1f1,2015,05,17,0.0,19.767942,1.1422267,2015
137,r1i1p1f1,2015,05,18,0.0,19.86349,1.0813417,2015
138,r1i1p1f1,2015,05,19,0.0,24.178064,2.4132712,2015
139,r1i1p1f1,2015,05,20,0.0,27.87568,6.21613,2015
140,r1i1p1f1,2015,05,21,0.0,29.408583,7.9448314,2015
141,r1i1p1f1,2015,05,22,0.0,29.385952,7.9927554,2015
142,r1i1p1f1,2015,05,23,0.0,30.565565,10.216936,2015
143,r1i1p1f1,2015,05,24,0.0,31.548454,11.1170225,2015
144,r1i1p1f1,2015,05,25,0.0,33.1596,13.336586,2015
145,r1i1p1f1,2015,05,26,0.0,31.688576,11.4490795,2015
146,r1i1p1f1,2015,05,27,0.0,28.566004,10.185567,2015
147,r1i1p1f1,2015,05,28,1.232079083748557,24.543062,7.450004,2015
148,r1i1p1f1,2015,05,29,0.0,25.998838,5.900531,2015
149,r1i1p1f1,2015,05,30,0.0,26.183489,6.7783313,2015
150,r1i1p1f1,2015,05,31,0.0,28.572287,8.028117,2015
151,r1i1p1f1,2015,06,01,0.0,32.395035,10.529169,2015
152,r1i1p1f1,2015,06,02,0.0,32.562737,10.666613,2015
153,r1i1p1f1,2015,06,03,0.0,31.476921,10.637616,2015
154,r1i1p1f1,2015,06,04,0.0,30.318184,11.721226,2015
155,r1i1p1f1,2015,06,05,0.0,25.57073,5.2452726,2015
156,r1i1p1f1,2015,06,06,1.1530121078517783,18.32777,3.0342116,2015
157,r1i1p1f1,2015,06,07,4.295913075299092,16.27494,1.4594722,2015
158,r1i1p1f1,2015,06,08,2.7784158078785968,18.258615,1.4893723,2015
159,r1i1p1f1,2015,06,09,7.466060407417892,17.449709,3.008144,2015
160,r1i1p1f1,2015,06,10,12.7956695023445,18.642693,5.4079657,2015
161,r1i1p1f1,2015,06,11,0.673970330475585,22.787886,4.9608397,2015
162,r1i1p1f1,2015,06,12,8.80116816012746,22.818586,4.1172824,2015
163,r1i1p1f1,2015,06,13,5.8818117231292995,17.377272,4.931703,2015
164,r1i1p1f1,2015,06,14,0.01793936380398107,16.760422,0.85741764,2015
165,r1i1p1f1,2015,06,15,0.5959684932989968,16.880545,6.343419,2015
166,r1i1p1f1,2015,06,16,0.0029667382423339372,20.477194,6.338279,2015
167,r1i1p1f1,2015,06,17,0.0,22.036316,1.6096725,2015
168,r1i1p1f1,2015,06,18,0.0,21.550411,2.3762374,2015
169,r1i1p1f1,2015,06,19,0.0,20.419102,2.0320272,2015
170,r1i1p1f1,2015,06,20,0.013510897323934193,24.86953,5.7529473,2015
171,r1i1p1f1,2015,06,21,0.0,28.765572,6.791219,2015
172,r1i1p1f1,2015,06,22,0.0,29.911795,8.121428,2015
173,r1i1p1f1,2015,06,23,0.0,29.19735,8.119001,2015
174,r1i1p1f1,2015,06,24,0.0,30.695992,9.069234,2015
175,r1i1p1f1,2015,06,25,0.0,33.19575,11.945013,2015
176,r1i1p1f1,2015,06,26,0.0,32.083187,11.150133,2015
177,r1i1p1f1,2015,06,27,0.0,31.106926,10.594071,2015
178,r1i1p1f1,2015,06,28,0.0,31.151222,10.709564,2015
179,r1i1p1f1,2015,06,29,0.0,32.928978,11.967412,2015
180,r1i1p1f1,2015,06,30,0.0,32.86416,12.752584,2015
181,r1i1p1f1,2015,07,01,0.0,32.364113,11.484208,2015
182,r1i1p1f1,2015,07,02,0.0,32.70227,12.359554,2015
183,r1i1p1f1,2015,07,03,0.0,33.3287,12.643592,2015
184,r1i1p1f1,2015,07,04,0.0,35.96876,16.161549,2015
185,r1i1p1f1,2015,07,05,0.0,38.652714,18.154547,2015
186,r1i1p1f1,2015,07,06,0.0,39.50481,17.757114,2015
187,r1i1p1f1,2015,07,07,0.0,36.765625,14.522721,2015
188,r1i1p1f1,2015,07,08,0.0,31.919464,13.098841,2015
189,r1i1p1f1,2015,07,09,0.0,26.870438,6.1669936,2015
190,r1i1p1f1,2015,07,10,0.0,27.00572,6.227649,2015
191,r1i1p1f1,2015,07,11,0.0,32.031,11.156786,2015
192,r1i1p1f1,2015,07,12,0.0,36.096203,16.409805,2015
193,r1i1p1f1,2015,07,13,0.0,35.918217,14.919286,2015
194,r1i1p1f1,2015,07,14,0.0,34.561592,13.364431,2015
195,r1i1p1f1,2015,07,15,0.0,33.576374,12.2979765,2015
196,r1i1p1f1,2015,07,16,0.0,33.861446,13.06193,2015
197,r1i1p1f1,2015,07,17,0.0,33.270718,13.566564,2015
198,r1i1p1f1,2015,07,18,0.0,32.58169,11.100848,2015
199,r1i1p1f1,2015,07,19,0.0,31.914536,10.926292,2015
200,r1i1p1f1,2015,07,20,0.0,31.448353,8.949247,2015
201,r1i1p1f1,2015,07,21,0.0,31.21119,11.2150135,2015
202,r1i1p1f1,2015,07,22,0.0,34.623108,15.121392,2015
203,r1i1p1f1,2015,07,23,0.0,37.711334,16.909685,2015
204,r1i1p1f1,2015,07,24,0.0,39.71078,16.977415,2015
205,r1i1p1f1,2015,07,25,0.0,37.74152,15.232567,2015
206,r1i1p1f1,2015,07,26,0.0,35.17688,12.381674,2015
207,r1i1p1f1,2015,07,27,0.0,33.519073,12.82874,2015
208,r1i1p1f1,2015,07,28,0.0,33.01457,12.720475,2015
209,r1i1p1f1,2015,07,29,0.0,31.34967,10.489873,2015
210,r1i1p1f1,2015,07,30,0.0,29.786465,9.448615,2015
211,r1i1p1f1,2015,07,31,0.0,29.24308,9.821465,2015
212,r1i1p1f1,2015,08,01,0.0,31.334518,10.840207,2015
213,r1i1p1f1,2015,08,02,0.0,32.21549,10.83477,2015
214,r1i1p1f1,2015,08,03,0.0,31.055,9.931524,2015
215,r1i1p1f1,2015,08,04,0.0,30.608934,10.880849,2015
216,r1i1p1f1,2015,08,05,0.0,29.888475,8.897865,2015
217,r1i1p1f1,2015,08,06,0.0,29.722637,9.384564,2015
218,r1i1p1f1,2015,08,07,0.0,29.529114,7.822727,2015
219,r1i1p1f1,2015,08,08,0.0,28.50269,7.183868,2015
220,r1i1p1f1,2015,08,09,0.0,27.251198,8.473474,2015
221,r1i1p1f1,2015,08,10,0.0,26.725954,6.7341256,2015
