index,member_id,Year,Month,Day,Pr (mm),Tasmax (degC),Tasmin (degC),Year
0,r3i1p1f3,2015,01,01,16.75495494797216,3.4158819,-2.5787916,2015
1,r3i1p1f3,2015,01,02,7.58572917801226,0.5885233,-7.332548,2015
2,r3i1p1f3,2015,01,03,4.77078136064658,3.8829355,-6.7197285,2015
3,r3i1p1f3,2015,01,04,2.7300091790092136,3.509079,-5.0713935,2015
4,r3i1p1f3,2015,01,05,13.085363730665764,0.187052,-5.794306,2015
5,r3i1p1f3,2015,01,06,0.7120820588768243,1.0713626,-10.876172,2015
6,r3i1p1f3,2015,01,07,0.0,-6.5775213,-19.597717,2015
7,r3i1p1f3,2015,01,08,0.0,-7.20019,-21.303076,2015
8,r3i1p1f3,2015,01,09,0.02907864816464071,-1.0434315,-16.197971,2015
9,r3i1p1f3,2015,01,10,0.046513489119611715,-2.471272,-7.911289,2015
10,r3i1p1f3,2015,01,11,0.005674726217326715,-1.3570181,-9.898579,2015
11,r3i1p1f3,2015,01,12,0.0,-1.5504715,-14.511085,2015
12,r3i1p1f3,2015,01,13,0.0,-4.445067,-18.829618,2015
13,r3i1p1f3,2015,01,14,0.0,5.2316175,-10.666481,2015
14,r3i1p1f3,2015,01,15,0.0,8.629689,-6.1711383,2015
15,r3i1p1f3,2015,01,16,0.006840519934413161,4.957258,-7.658261,2015
16,r3i1p1f3,2015,01,17,68.22565596880354,0.03174472,-4.196724,2015
17,r3i1p1f3,2015,01,18,35.804465844465646,-2.3896346,-6.4683576,2015
18,r3i1p1f3,2015,01,19,0.0,-2.0848145,-15.805026,2015
19,r3i1p1f3,2015,01,20,15.590122479159906,-3.5737019,-9.963901,2015
20,r3i1p1f3,2015,01,21,29.411916180011254,-3.04412,-14.115667,2015
21,r3i1p1f3,2015,01,22,4.905047892834323,-3.81048,-10.870822,2015
22,r3i1p1f3,2015,01,23,3.5678186507317546,-0.51980853,-8.637023,2015
23,r3i1p1f3,2015,01,24,0.0,4.5999374,-7.5855956,2015
24,r3i1p1f3,2015,01,25,0.0,5.9341054,-6.875159,2015
25,r3i1p1f3,2015,01,26,0.0,5.474102,-8.899044,2015
26,r3i1p1f3,2015,01,27,0.0,4.1148987,-11.177977,2015
27,r3i1p1f3,2015,01,28,0.0,3.3730159,-12.666964,2015
28,r3i1p1f3,2015,01,29,0.0,4.91178,-10.740457,2015
29,r3i1p1f3,2015,01,30,0.0,5.4505854,-8.157864,2015
30,r3i1p1f3,2015,01,31,0.11778058663826368,1.5203636,-13.978041,2015
31,r3i1p1f3,2015,02,01,10.52982666292562,-2.9039986,-10.328194,2015
32,r3i1p1f3,2015,02,02,1.2744226407535324,-4.836039,-19.747458,2015
33,r3i1p1f3,2015,02,03,0.0,-12.0332575,-26.938053,2015
34,r3i1p1f3,2015,02,04,0.018628823497715306,-11.260253,-18.537066,2015
35,r3i1p1f3,2015,02,05,0.0,-3.6853983,-21.103516,2015
36,r3i1p1f3,2015,02,06,0.0,0.6195135,-16.818518,2015
37,r3i1p1f3,2015,02,07,1.9194015753219171,0.2027203,-12.6901045,2015
38,r3i1p1f3,2015,02,08,6.223850252843315,0.589104,-6.929408,2015
39,r3i1p1f3,2015,02,09,12.754465388783196,0.80643296,-7.1701126,2015
40,r3i1p1f3,2015,02,10,24.784888551359543,2.2281685,-4.0520487,2015
41,r3i1p1f3,2015,02,11,24.217079629666877,3.447659,-1.0129174,2015
42,r3i1p1f3,2015,02,12,0.23668856312220254,2.4826026,-8.000774,2015
43,r3i1p1f3,2015,02,13,1.466871855846326,-0.5693189,-19.137667,2015
44,r3i1p1f3,2015,02,14,12.683034578292448,1.4202527,-4.8804984,2015
45,r3i1p1f3,2015,02,15,0.24209566964411425,7.3884807,-3.5822608,2015
