index,member_id,Year,Month,Day,Pr (mm),Tasmax (degC),Tasmin (degC),Year
0,r3i1p1f1,1950,01,01,0.060424884383648625,7.8653035,2.0347092,1950
1,r3i1p1f1,1950,01,02,17.13551800333478,7.3437757,2.4142177,1950
2,r3i1p1f1,1950,01,03,30.708095258389797,11.833774,6.9071198,1950
3,r3i1p1f1,1950,01,04,78.21545251154978,11.316239,3.6567125,1950
4,r3i1p1f1,1950,01,05,24.882766408393906,10.423698,5.440033,1950
5,r3i1p1f1,1950,01,06,9.956038680263047,10.861615,0.36845016,1950
6,r3i1p1f1,1950,01,07,2.625421577953315,7.2955275,0.5119623,1950
7,r3i1p1f1,1950,01,08,37.00924397348181,7.900771,0.67842543,1950
8,r3i1p1f1,1950,01,09,0.0,6.4923673,-1.6364495,1950
9,r3i1p1f1,1950,01,10,0.0,6.9791627,-4.6369696,1950
10,r3i1p1f1,1950,01,11,0.0,5.367853,-4.331748,1950
11,r3i1p1f1,1950,01,12,0.0,7.8833528,-4.2035584,1950
12,r3i1p1f1,1950,01,13,0.0,5.7412663,-5.6791444,1950
13,r3i1p1f1,1950,01,14,0.0,6.5409546,-5.0097427,1950
14,r3i1p1f1,1950,01,15,0.0,6.1141357,-3.2590704,1950
15,r3i1p1f1,1950,01,16,0.0,5.7303376,-4.967521,1950
16,r3i1p1f1,1950,01,17,0.0,8.506569,-4.7760177,1950
17,r3i1p1f1,1950,01,18,0.0,9.097653,-2.9914446,1950
18,r3i1p1f1,1950,01,19,0.0,8.701613,-2.6147342,1950
19,r3i1p1f1,1950,01,20,2.3409737614345336,6.688134,0.72943735,1950
20,r3i1p1f1,1950,01,21,27.936217380920425,4.296869,-2.9957159,1950
21,r3i1p1f1,1950,01,22,6.092685477491806,4.3736205,-2.9269822,1950
22,r3i1p1f1,1950,01,23,0.9448442494048275,9.581615,-2.3828907,1950
23,r3i1p1f1,1950,01,24,0.0,13.587719,3.2466054,1950
24,r3i1p1f1,1950,01,25,0.0,8.43842,3.2906394,1950
25,r3i1p1f1,1950,01,26,0.013937560594824486,12.888079,6.341658,1950
26,r3i1p1f1,1950,01,27,0.0,16.8111,3.4465718,1950
27,r3i1p1f1,1950,01,28,0.0,16.220894,3.5486603,1950
28,r3i1p1f1,1950,01,29,0.4257509874701339,14.846518,6.3385873,1950
29,r3i1p1f1,1950,01,30,0.0,18.629995,4.9488482,1950
30,r3i1p1f1,1950,01,31,0.0,21.988905,6.239948,1950
31,r3i1p1f1,1950,02,01,0.0,22.059467,6.9271407,1950
32,r3i1p1f1,1950,02,02,0.0,21.94942,7.2045913,1950
33,r3i1p1f1,1950,02,03,0.0,21.560093,6.8634224,1950
34,r3i1p1f1,1950,02,04,0.0,21.317833,6.5838943,1950
35,r3i1p1f1,1950,02,05,0.0,21.467999,7.039987,1950
36,r3i1p1f1,1950,02,06,0.0,21.79485,5.8569818,1950
37,r3i1p1f1,1950,02,07,5.635187041556684,19.131649,0.55465376,1950
38,r3i1p1f1,1950,02,08,4.809930329793133,4.4171753,-5.378635,1950
39,r3i1p1f1,1950,02,09,3.1272992908174944,8.150423,0.6378601,1950
40,r3i1p1f1,1950,02,10,0.39419228834097003,9.52714,0.7291615,1950
41,r3i1p1f1,1950,02,11,11.501072201874768,9.445279,3.1512897,1950
42,r3i1p1f1,1950,02,12,14.107019164887452,9.667999,3.0523474,1950
