index,member_id,Year,Month,Day,Pr (mm),Tasmax (degC),Tasmin (degC),Year
0,r3i1p1f1,2015,01,01,0.0,18.582878,2.8071847,2015
1,r3i1p1f1,2015,01,02,0.0,16.657635,3.0316665,2015
2,r3i1p1f1,2015,01,03,0.0,16.140318,1.9161388,2015
3,r3i1p1f1,2015,01,04,0.0,15.941438,2.4775283,2015
4,r3i1p1f1,2015,01,05,0.013375643105870623,14.853589,4.0831804,2015
5,r3i1p1f1,2015,01,06,0.03335044639418182,11.661677,6.2401347,2015
6,r3i1p1f1,2015,01,07,0.0,13.825576,1.0435635,2015
7,r3i1p1f1,2015,01,08,0.0,15.507885,1.1208577,2015
8,r3i1p1f1,2015,01,09,0.0,17.47718,2.6817093,2015
9,r3i1p1f1,2015,01,10,0.0,16.526009,2.666466,2015
10,r3i1p1f1,2015,01,11,0.0,19.357174,5.5639224,2015
11,r3i1p1f1,2015,01,12,0.0,18.11941,5.473022,2015
12,r3i1p1f1,2015,01,13,0.0,18.485239,6.555113,2015
13,r3i1p1f1,2015,01,14,0.0,20.345121,6.4733353,2015
14,r3i1p1f1,2015,01,15,0.0,20.614988,6.4325843,2015
15,r3i1p1f1,2015,01,16,0.0,18.877542,6.0628996,2015
16,r3i1p1f1,2015,01,17,0.0,19.387802,6.906188,2015
17,r3i1p1f1,2015,01,18,0.0,18.757471,5.6497226,2015
18,r3i1p1f1,2015,01,19,0.02520925102688029,20.21271,8.4500265,2015
19,r3i1p1f1,2015,01,20,1.883027259319871,17.007128,8.985977,2015
20,r3i1p1f1,2015,01,21,6.031590450304759,14.356352,8.746655,2015
21,r3i1p1f1,2015,01,22,12.668762038519482,13.866913,10.131448,2015
22,r3i1p1f1,2015,01,23,7.983467022320189,14.402456,5.4143667,2015
23,r3i1p1f1,2015,01,24,0.0,15.154142,2.1989665,2015
24,r3i1p1f1,2015,01,25,8.370931068151666,11.870438,6.0380387,2015
25,r3i1p1f1,2015,01,26,13.14237047367289,14.327951,5.425774,2015
26,r3i1p1f1,2015,01,27,0.0,15.725195,2.5356233,2015
27,r3i1p1f1,2015,01,28,0.0,15.965467,2.0978975,2015
28,r3i1p1f1,2015,01,29,0.0,16.306866,1.0065955,2015
29,r3i1p1f1,2015,01,30,0.0,16.024942,1.7966201,2015
30,r3i1p1f1,2015,01,31,0.0,15.577753,3.3516376,2015
31,r3i1p1f1,2015,02,01,0.0002151923865077052,16.584242,1.6858656,2015
32,r3i1p1f1,2015,02,02,0.0,19.898949,3.7925556,2015
33,r3i1p1f1,2015,02,03,0.0,21.707462,4.710289,2015
34,r3i1p1f1,2015,02,04,0.0,21.58584,5.748822,2015
35,r3i1p1f1,2015,02,05,0.0,21.816782,5.893186,2015
36,r3i1p1f1,2015,02,06,0.0,21.692299,5.233612,2015
37,r3i1p1f1,2015,02,07,0.0,21.690722,5.0764337,2015
38,r3i1p1f1,2015,02,08,0.0,21.53337,5.183012,2015
39,r3i1p1f1,2015,02,09,0.0,22.00775,6.1431603,2015
40,r3i1p1f1,2015,02,10,0.0,22.480661,6.5230947,2015
41,r3i1p1f1,2015,02,11,0.0,20.244785,5.584984,2015
42,r3i1p1f1,2015,02,12,0.0,17.433754,1.7560499,2015
43,r3i1p1f1,2015,02,13,0.0,16.25545,2.2440143,2015
44,r3i1p1f1,2015,02,14,0.8877531975108487,15.428679,7.0946584,2015
45,r3i1p1f1,2015,02,15,20.054657425030218,15.141144,11.702306,2015
46,r3i1p1f1,2015,02,16,1.533211288555642,16.866987,3.7237716,2015
47,r3i1p1f1,2015,02,17,0.07607534504474205,11.878967,4.2100616,2015
48,r3i1p1f1,2015,02,18,0.0,14.473924,-0.10889923,2015
49,r3i1p1f1,2015,02,19,0.0,13.747256,-0.66414165,2015
50,r3i1p1f1,2015,02,20,0.13280302067890515,14.661658,1.4090866,2015
51,r3i1p1f1,2015,02,21,0.0,15.935256,3.558049,2015
52,r3i1p1f1,2015,02,22,0.0,15.288609,2.7289321,2015
53,r3i1p1f1,2015,02,23,0.0,15.022206,-0.28230503,2015
54,r3i1p1f1,2015,02,24,0.0,19.080088,2.707169,2015
55,r3i1p1f1,2015,02,25,0.0,22.270489,6.0659137,2015
56,r3i1p1f1,2015,02,26,0.0,22.793253,8.730648,2015
57,r3i1p1f1,2015,02,27,0.0,21.35275,6.2083035,2015
58,r3i1p1f1,2015,02,28,0.0,17.388584,2.6059713,2015
59,r3i1p1f1,2015,03,01,0.0,15.896,1.570899,2015
60,r3i1p1f1,2015,03,02,0.0,18.404312,2.0040078,2015
61,r3i1p1f1,2015,03,03,0.0,18.654142,3.0660207,2015
62,r3i1p1f1,2015,03,04,0.854143294142025,16.424273,1.8049061,2015
63,r3i1p1f1,2015,03,05,20.94451501351603,10.481517,0.35070524,2015
64,r3i1p1f1,2015,03,06,3.000791656020495,11.870904,4.2933383,2015
65,r3i1p1f1,2015,03,07,0.0,17.982973,3.666672,2015
66,r3i1p1f1,2015,03,08,0.0,19.901325,4.1234145,2015
67,r3i1p1f1,2015,03,09,0.0,21.056349,5.30296,2015
68,r3i1p1f1,2015,03,10,0.0,18.744137,3.6890297,2015
69,r3i1p1f1,2015,03,11,10.76670073258864,14.668334,0.4878356,2015
70,r3i1p1f1,2015,03,12,8.814071439868904,15.184476,8.041059,2015
71,r3i1p1f1,2015,03,13,4.805654016628816,18.946308,8.63541,2015
72,r3i1p1f1,2015,03,14,21.663038335712994,16.394075,7.021196,2015
73,r3i1p1f1,2015,03,15,0.0,19.697798,4.2588654,2015
74,r3i1p1f1,2015,03,16,9.929044852531767,16.529284,5.1647305,2015
75,r3i1p1f1,2015,03,17,14.44131758976402,19.479757,11.563908,2015
76,r3i1p1f1,2015,03,18,7.257791406879589,19.214418,13.709463,2015
77,r3i1p1f1,2015,03,19,5.002833307038202,19.614162,9.999771,2015
78,r3i1p1f1,2015,03,20,1.9004023444270421,17.583986,5.5760303,2015
79,r3i1p1f1,2015,03,21,2.5258061942055536,19.084005,8.453674,2015
80,r3i1p1f1,2015,03,22,0.0,21.7015,9.075227,2015
81,r3i1p1f1,2015,03,23,0.0,22.298029,4.419792,2015
82,r3i1p1f1,2015,03,24,0.0,23.229229,5.7160563,2015
83,r3i1p1f1,2015,03,25,5.127384526686774,12.765922,5.4108124,2015
84,r3i1p1f1,2015,03,26,18.98418988941322,14.2854,0.7796428,2015
85,r3i1p1f1,2015,03,27,5.573115487669358,12.641487,-4.413845,2015
86,r3i1p1f1,2015,03,28,0.0,16.360237,2.191988,2015
87,r3i1p1f1,2015,03,29,2.2195069583903746,17.558762,2.9915395,2015
88,r3i1p1f1,2015,03,30,11.194651704169189,12.5652275,-0.60455805,2015
89,r3i1p1f1,2015,03,31,3.085633139250681,16.59515,2.739588,2015
90,r3i1p1f1,2015,04,01,3.4926889606536156,15.2739525,5.5106845,2015
91,r3i1p1f1,2015,04,02,6.398176005812621,17.97255,7.683705,2015
92,r3i1p1f1,2015,04,03,0.32296922577827153,19.215569,7.9723125,2015
93,r3i1p1f1,2015,04,04,31.12140735006119,18.080061,8.3254795,2015
94,r3i1p1f1,2015,04,05,3.0741749460304577,18.940556,1.010863,2015
95,r3i1p1f1,2015,04,06,0.0,19.86904,4.961277,2015
96,r3i1p1f1,2015,04,07,0.0,21.474703,4.936817,2015
97,r3i1p1f1,2015,04,08,0.0,19.829731,4.082336,2015
98,r3i1p1f1,2015,04,09,0.0,19.880638,7.462098,2015
99,r3i1p1f1,2015,04,10,0.22000857302870425,21.61431,6.6288867,2015
100,r3i1p1f1,2015,04,11,0.0,24.02409,7.5860715,2015
101,r3i1p1f1,2015,04,12,0.011166626478897294,22.67539,9.9525175,2015
102,r3i1p1f1,2015,04,13,0.013561141684583534,22.23684,11.43529,2015
103,r3i1p1f1,2015,04,14,0.09674557280690764,22.585068,11.540054,2015
104,r3i1p1f1,2015,04,15,0.0,25.969141,8.618488,2015
105,r3i1p1f1,2015,04,16,0.0,27.327978,9.264195,2015
106,r3i1p1f1,2015,04,17,0.0,28.976444,11.758595,2015
107,r3i1p1f1,2015,04,18,0.0,29.057775,10.32278,2015
108,r3i1p1f1,2015,04,19,0.45318927347114235,25.403915,6.5564103,2015
109,r3i1p1f1,2015,04,20,0.028573688203089007,15.210431,3.550757,2015
110,r3i1p1f1,2015,04,21,0.29556496504898383,17.452267,6.7785997,2015
111,r3i1p1f1,2015,04,22,0.0600793865323647,20.518658,6.1271815,2015
112,r3i1p1f1,2015,04,23,0.0,21.62985,5.663802,2015
113,r3i1p1f1,2015,04,24,0.0,23.705635,8.511863,2015
