index,member_id,Year,Month,Day,Pr (mm),Tasmax (degC),Tasmin (degC),Year
0,r1i1p1f1,1950,01,01,0.0,9.589348,-2.5998065,1950
1,r1i1p1f1,1950,01,02,0.0,9.285205,-4.360514,1950
2,r1i1p1f1,1950,01,03,1.2172327253948019,9.683726,0.5488777,1950
3,r1i1p1f1,1950,01,04,17.214953060211464,8.744,3.7681937,1950
4,r1i1p1f1,1950,01,05,6.318893645192307,7.432054,4.006583,1950
5,r1i1p1f1,1950,01,06,10.876746647937134,7.795153,3.8269303,1950
6,r1i1p1f1,1950,01,07,2.7673243481955665,6.205963,0.8744575,1950
7,r1i1p1f1,1950,01,08,0.24649522511987898,5.1979136,-2.5609725,1950
8,r1i1p1f1,1950,01,09,0.0,4.1111627,-2.689831,1950
9,r1i1p1f1,1950,01,10,0.0,3.1028244,-4.6627235,1950
10,r1i1p1f1,1950,01,11,0.0,4.6856604,-7.584683,1950
11,r1i1p1f1,1950,01,12,0.0,4.186794,-8.484657,1950
12,r1i1p1f1,1950,01,13,0.0,4.394091,-7.5883284,1950
13,r1i1p1f1,1950,01,14,0.0,5.50036,-6.4175,1950
14,r1i1p1f1,1950,01,15,0.0,5.1633,-5.8585205,1950
15,r1i1p1f1,1950,01,16,0.0,6.081085,-4.799768,1950
16,r1i1p1f1,1950,01,17,0.0076863002374758784,4.740821,-3.0170288,1950
17,r1i1p1f1,1950,01,18,0.0,4.7844706,-7.1202826,1950
18,r1i1p1f1,1950,01,19,0.0,5.069536,-6.4308996,1950
19,r1i1p1f1,1950,01,20,0.0,5.901299,-6.0517764,1950
20,r1i1p1f1,1950,01,21,0.0,5.718939,-6.1811852,1950
21,r1i1p1f1,1950,01,22,0.0,5.4218173,-6.6480465,1950
22,r1i1p1f1,1950,01,23,0.0,5.854786,-6.1434493,1950
23,r1i1p1f1,1950,01,24,0.0,7.425738,-4.525351,1950
24,r1i1p1f1,1950,01,25,0.0,8.309468,-4.7600956,1950
25,r1i1p1f1,1950,01,26,0.006493443859004726,8.14457,-4.4827995,1950
26,r1i1p1f1,1950,01,27,0.0954989472607151,7.6662917,0.9240263,1950
27,r1i1p1f1,1950,01,28,2.9071066116987154,9.675146,2.8386295,1950
28,r1i1p1f1,1950,01,29,6.9075249704063415,10.7199955,3.9184504,1950
29,r1i1p1f1,1950,01,30,11.279432090733065,14.744552,4.8180847,1950
30,r1i1p1f1,1950,01,31,0.1032870677962406,15.483205,3.6332777,1950
31,r1i1p1f1,1950,02,01,1.4663711502145607,14.450004,3.340664,1950
32,r1i1p1f1,1950,02,02,0.4796896993957898,14.179386,3.0736682,1950
33,r1i1p1f1,1950,02,03,0.01926729975701565,14.147576,5.6704946,1950
34,r1i1p1f1,1950,02,04,13.132220401239792,12.60999,7.988277,1950
35,r1i1p1f1,1950,02,05,15.372878697165323,13.079885,6.6831017,1950
36,r1i1p1f1,1950,02,06,2.713012211760127,14.991593,4.0049386,1950
37,r1i1p1f1,1950,02,07,0.0,14.512168,4.0719843,1950
38,r1i1p1f1,1950,02,08,0.0,17.017015,3.835387,1950
39,r1i1p1f1,1950,02,09,6.39879648878121,15.532442,5.877696,1950
40,r1i1p1f1,1950,02,10,3.2235179448978855,17.170975,6.01744,1950
41,r1i1p1f1,1950,02,11,2.75809440998115,17.043947,5.0643373,1950
42,r1i1p1f1,1950,02,12,13.587905376339037,14.888656,8.478298,1950
43,r1i1p1f1,1950,02,13,7.330549370420538,16.040106,9.341043,1950
44,r1i1p1f1,1950,02,14,0.11344664093610782,16.671486,10.101604,1950
45,r1i1p1f1,1950,02,15,0.0007215188707104944,17.392683,5.4544654,1950
46,r1i1p1f1,1950,02,16,0.0,19.99293,3.320136,1950
47,r1i1p1f1,1950,02,17,0.0,20.11462,7.9053087,1950
48,r1i1p1f1,1950,02,18,0.0,16.991573,6.009477,1950
49,r1i1p1f1,1950,02,19,0.0,17.426086,5.977721,1950
50,r1i1p1f1,1950,02,20,0.0,20.810175,5.5075936,1950
51,r1i1p1f1,1950,02,21,0.0,20.496298,6.6082454,1950
52,r1i1p1f1,1950,02,22,0.0,19.46668,4.5520926,1950
53,r1i1p1f1,1950,02,23,0.0,21.510578,5.9807973,1950
54,r1i1p1f1,1950,02,24,0.0,21.310938,6.768556,1950
55,r1i1p1f1,1950,02,25,0.0,20.725224,7.7824416,1950
56,r1i1p1f1,1950,02,26,0.0,21.507862,7.299345,1950
57,r1i1p1f1,1950,02,27,0.0028066381053432525,20.66712,7.44981,1950
58,r1i1p1f1,1950,02,28,0.0005334947775230629,20.241045,8.521342,1950
59,r1i1p1f1,1950,03,01,0.5302367743792481,18.207506,7.4169617,1950
60,r1i1p1f1,1950,03,02,28.096304889430634,15.533238,10.090976,1950
61,r1i1p1f1,1950,03,03,22.896702341962957,16.045364,10.785808,1950
62,r1i1p1f1,1950,03,04,5.625054648733859,16.60993,4.8375406,1950
63,r1i1p1f1,1950,03,05,5.443181039330632,12.899408,6.1144013,1950
64,r1i1p1f1,1950,03,06,3.072003369251702,12.934149,2.0424356,1950
65,r1i1p1f1,1950,03,07,0.0,16.656895,1.1751217,1950
66,r1i1p1f1,1950,03,08,0.0,17.46787,3.5427942,1950
67,r1i1p1f1,1950,03,09,0.0,16.610544,5.4818134,1950
68,r1i1p1f1,1950,03,10,0.0,17.576286,4.336836,1950
69,r1i1p1f1,1950,03,11,1.712417838070919,12.262893,4.5189815,1950
70,r1i1p1f1,1950,03,12,0.0,14.3967495,-0.011233054,1950
71,r1i1p1f1,1950,03,13,0.0,17.431356,0.87043345,1950
72,r1i1p1f1,1950,03,14,0.0,19.512276,2.4011943,1950
73,r1i1p1f1,1950,03,15,0.0,19.478952,4.3726597,1950
74,r1i1p1f1,1950,03,16,1.2185484634965982,13.866424,3.2077923,1950
75,r1i1p1f1,1950,03,17,0.8251030258856533,15.73181,6.3563924,1950
76,r1i1p1f1,1950,03,18,9.846181784379441,13.902796,8.334511,1950
77,r1i1p1f1,1950,03,19,2.7657174208529476,13.371309,4.0521445,1950
78,r1i1p1f1,1950,03,20,2.782020791196994,13.944498,1.9807081,1950
79,r1i1p1f1,1950,03,21,0.0,16.889828,2.776145,1950
80,r1i1p1f1,1950,03,22,26.808676928970502,14.439426,6.8250775,1950
81,r1i1p1f1,1950,03,23,13.988983689734399,14.410692,6.324859,1950
82,r1i1p1f1,1950,03,24,2.930732616598197,16.523813,3.3719158,1950
83,r1i1p1f1,1950,03,25,0.0,19.354221,3.9070537,1950
84,r1i1p1f1,1950,03,26,3.6639932638647057,18.066227,6.477452,1950
85,r1i1p1f1,1950,03,27,11.001764815373571,12.445654,8.711315,1950
86,r1i1p1f1,1950,03,28,2.9094761529238546,16.142635,5.737337,1950
87,r1i1p1f1,1950,03,29,0.0,19.278582,4.827313,1950
88,r1i1p1f1,1950,03,30,0.0,21.775524,4.308166,1950
89,r1i1p1f1,1950,03,31,0.0,24.117172,8.203686,1950
90,r1i1p1f1,1950,04,01,0.0016748920122414673,23.594095,8.11588,1950
91,r1i1p1f1,1950,04,02,14.445275762184723,20.010578,6.6707892,1950
92,r1i1p1f1,1950,04,03,2.433371892050303,14.7475605,7.2375946,1950
93,r1i1p1f1,1950,04,04,0.375776814637519,16.278446,7.4982066,1950
94,r1i1p1f1,1950,04,05,1.048006477260818,16.799177,8.472125,1950
95,r1i1p1f1,1950,04,06,0.026242760247606755,20.371086,7.650127,1950
96,r1i1p1f1,1950,04,07,0.0,22.471945,4.934491,1950
97,r1i1p1f1,1950,04,08,0.0,22.649403,4.735325,1950
98,r1i1p1f1,1950,04,09,0.0,23.021208,8.035662,1950
99,r1i1p1f1,1950,04,10,0.18597445314667127,21.08218,5.976023,1950
100,r1i1p1f1,1950,04,11,27.137729524929046,18.936539,9.807376,1950
101,r1i1p1f1,1950,04,12,8.195272282293821,14.010214,6.1768603,1950
102,r1i1p1f1,1950,04,13,0.0,19.251682,1.8109176,1950
103,r1i1p1f1,1950,04,14,10.4767598541376,15.901941,4.960244,1950
104,r1i1p1f1,1950,04,15,12.85021698666629,11.127511,5.763323,1950
105,r1i1p1f1,1950,04,16,0.08142662867119403,16.400023,5.2980914,1950
106,r1i1p1f1,1950,04,17,0.0,19.864334,3.5270908,1950
107,r1i1p1f1,1950,04,18,0.0,20.096441,5.502485,1950
108,r1i1p1f1,1950,04,19,0.0,20.754972,5.777441,1950
109,r1i1p1f1,1950,04,20,0.0,21.592325,6.3210783,1950
110,r1i1p1f1,1950,04,21,0.0,22.049244,8.029684,1950
111,r1i1p1f1,1950,04,22,0.0,23.674257,7.329148,1950
112,r1i1p1f1,1950,04,23,0.0,24.703995,8.32462,1950
113,r1i1p1f1,1950,04,24,0.0,25.56864,8.932781,1950
114,r1i1p1f1,1950,04,25,0.0,25.288076,8.861479,1950
115,r1i1p1f1,1950,04,26,0.0,25.799665,8.081749,1950
116,r1i1p1f1,1950,04,27,0.0,24.920612,8.209534,1950
117,r1i1p1f1,1950,04,28,3.552079825124349,21.807173,6.7864966,1950
118,r1i1p1f1,1950,04,29,9.610213505652336,16.371494,8.810323,1950
119,r1i1p1f1,1950,04,30,0.5451573355798984,16.421124,4.9571195,1950
120,r1i1p1f1,1950,05,01,1.3501879248176403,16.385935,4.9865966,1950
121,r1i1p1f1,1950,05,02,5.190666487804789,16.030151,4.8486214,1950
122,r1i1p1f1,1950,05,03,3.9363945079673504,15.302595,5.229693,1950
123,r1i1p1f1,1950,05,04,13.679386928770587,14.436197,7.3943286,1950
124,r1i1p1f1,1950,05,05,0.0,18.437304,6.186317,1950
125,r1i1p1f1,1950,05,06,0.0,22.050415,6.033919,1950
126,r1i1p1f1,1950,05,07,0.0,24.48606,7.9147286,1950
127,r1i1p1f1,1950,05,08,0.0,26.063457,9.277828,1950
128,r1i1p1f1,1950,05,09,0.0,28.368391,11.536639,1950
129,r1i1p1f1,1950,05,10,0.0,30.54585,12.771284,1950
130,r1i1p1f1,1950,05,11,0.0,31.158628,12.624341,1950
131,r1i1p1f1,1950,05,12,0.0,30.720871,11.446083,1950
