index,member_id,Year,Month,Day,Pr (mm),Tasmax (degC),Tasmin (degC),Year
0,r3i1p1f1,2015,01,01,0.0,13.489475,0.8872616,2015
1,r3i1p1f1,2015,01,02,0.0,15.725093,2.1405745,2015
2,r3i1p1f1,2015,01,03,17.201061411958563,13.366521,4.4478836,2015
3,r3i1p1f1,2015,01,04,0.5791371550003532,9.020022,3.7169538,2015
4,r3i1p1f1,2015,01,05,0.0007458309255525819,9.97755,2.324136,2015
5,r3i1p1f1,2015,01,06,0.0,10.360548,0.7113202,2015
6,r3i1p1f1,2015,01,07,0.0,9.821095,-2.1554859,2015
7,r3i1p1f1,2015,01,08,0.0,13.437953,0.7827966,2015
8,r3i1p1f1,2015,01,09,0.0,16.50344,3.206784,2015
9,r3i1p1f1,2015,01,10,0.0,18.314344,4.997667,2015
10,r3i1p1f1,2015,01,11,0.0,19.412132,5.799021,2015
11,r3i1p1f1,2015,01,12,0.0,19.585005,5.5072207,2015
12,r3i1p1f1,2015,01,13,0.0,19.165691,5.5845203,2015
13,r3i1p1f1,2015,01,14,0.0,18.759232,5.573123,2015
14,r3i1p1f1,2015,01,15,5.969670348235923,12.9878435,4.0150757,2015
15,r3i1p1f1,2015,01,16,5.470032709035877,8.204311,1.8335664,2015
16,r3i1p1f1,2015,01,17,0.2191977868506001,5.329455,-4.174355,2015
17,r3i1p1f1,2015,01,18,26.531585075736075,4.052937,-1.5246449,2015
18,r3i1p1f1,2015,01,19,49.579852257011225,4.3434277,0.54739326,2015
19,r3i1p1f1,2015,01,20,7.971520642104224,6.031561,-1.6171916,2015
20,r3i1p1f1,2015,01,21,0.0,6.1230636,-5.147216,2015
21,r3i1p1f1,2015,01,22,0.0,6.7604456,-6.657462,2015
22,r3i1p1f1,2015,01,23,0.0,6.3156343,-7.082316,2015
23,r3i1p1f1,2015,01,24,0.0,5.4369555,-7.967611,2015
24,r3i1p1f1,2015,01,25,0.0,9.202209,-4.215197,2015
25,r3i1p1f1,2015,01,26,0.0,8.97576,-4.5583444,2015
26,r3i1p1f1,2015,01,27,7.6741560377740825,5.7972927,1.0868056,2015
27,r3i1p1f1,2015,01,28,12.066339337536647,8.920245,0.8282292,2015
28,r3i1p1f1,2015,01,29,49.97677622086485,7.8966465,2.5874074,2015
29,r3i1p1f1,2015,01,30,52.87323531701986,9.5443,3.5529377,2015
30,r3i1p1f1,2015,01,31,51.19753487088019,10.65752,5.001939,2015
31,r3i1p1f1,2015,02,01,6.873408095367495,10.092829,2.4260397,2015
32,r3i1p1f1,2015,02,02,0.0,8.715705,-2.4585283,2015
33,r3i1p1f1,2015,02,03,0.0,10.897093,-2.25881,2015
34,r3i1p1f1,2015,02,04,0.0,12.032125,-1.1424531,2015
35,r3i1p1f1,2015,02,05,0.0,14.811186,1.4386659,2015
36,r3i1p1f1,2015,02,06,0.0,14.681671,1.1298908,2015
37,r3i1p1f1,2015,02,07,0.0,14.3680315,0.9669977,2015
38,r3i1p1f1,2015,02,08,0.0,14.387673,0.98914826,2015
39,r3i1p1f1,2015,02,09,0.0,14.936155,1.1033236,2015
40,r3i1p1f1,2015,02,10,0.0002489229558477746,13.094369,1.2529607,2015
41,r3i1p1f1,2015,02,11,0.0,12.920818,-0.27743685,2015
42,r3i1p1f1,2015,02,12,0.0,13.361291,0.6383938,2015
43,r3i1p1f1,2015,02,13,0.0,12.277984,-1.6080709,2015
44,r3i1p1f1,2015,02,14,0.0,12.768396,-0.8817494,2015
45,r3i1p1f1,2015,02,15,0.0,15.352275,2.7881925,2015
46,r3i1p1f1,2015,02,16,0.0,15.451477,2.0439546,2015
47,r3i1p1f1,2015,02,17,0.0,17.597954,3.0703988,2015
48,r3i1p1f1,2015,02,18,0.0,19.72452,4.8636093,2015
49,r3i1p1f1,2015,02,19,0.0,19.9139,3.6982129,2015
50,r3i1p1f1,2015,02,20,0.06634556227709254,20.262047,6.6683803,2015
51,r3i1p1f1,2015,02,21,31.513893880764954,9.732015,3.8102353,2015
52,r3i1p1f1,2015,02,22,72.70885533944238,9.274199,4.422449,2015
53,r3i1p1f1,2015,02,23,0.240627700233631,12.305734,-0.79632854,2015
54,r3i1p1f1,2015,02,24,0.0,14.431149,0.58572495,2015
55,r3i1p1f1,2015,02,25,0.0,14.924316,1.1178625,2015
56,r3i1p1f1,2015,02,26,21.576384804211557,11.013029,1.8204386,2015
57,r3i1p1f1,2015,02,27,10.202736715615401,6.674691,-0.14834987,2015
58,r3i1p1f1,2015,02,28,0.9468488804486697,9.930716,0.16435984,2015
59,r3i1p1f1,2015,03,01,0.0,10.0072,1.5708932,2015
60,r3i1p1f1,2015,03,02,10.514732949741301,8.705864,2.7784522,2015
61,r3i1p1f1,2015,03,03,0.6851685848488387,12.454001,-1.0305992,2015
62,r3i1p1f1,2015,03,04,0.0,17.6391,0.81499016,2015
63,r3i1p1f1,2015,03,05,0.0,18.716227,2.5315073,2015
64,r3i1p1f1,2015,03,06,0.0,19.348124,5.103806,2015
65,r3i1p1f1,2015,03,07,2.209058231370875,17.91213,3.162972,2015
66,r3i1p1f1,2015,03,08,0.15893973072707013,12.958947,1.2241647,2015
67,r3i1p1f1,2015,03,09,0.0,14.656489,3.5085077,2015
68,r3i1p1f1,2015,03,10,0.006165451850392856,15.947218,2.0605028,2015
69,r3i1p1f1,2015,03,11,5.217548604730382,13.278783,4.9718747,2015
70,r3i1p1f1,2015,03,12,0.0,12.838426,3.916983,2015
71,r3i1p1f1,2015,03,13,0.0,17.109556,1.4591719,2015
72,r3i1p1f1,2015,03,14,0.0,19.686844,3.447063,2015
73,r3i1p1f1,2015,03,15,1.213099410526297,19.714409,5.898254,2015
74,r3i1p1f1,2015,03,16,0.0,15.233292,1.3351862,2015
75,r3i1p1f1,2015,03,17,0.0,16.31174,1.2016517,2015
76,r3i1p1f1,2015,03,18,0.020486196990532335,16.189796,-0.15237246,2015
77,r3i1p1f1,2015,03,19,0.0,14.173125,-0.376831,2015
78,r3i1p1f1,2015,03,20,0.8932786814966676,13.278482,1.70557,2015
79,r3i1p1f1,2015,03,21,0.3944662371168306,14.205299,1.7963594,2015
80,r3i1p1f1,2015,03,22,0.0,17.742968,0.21667926,2015
81,r3i1p1f1,2015,03,23,0.0,17.948608,3.475139,2015
82,r3i1p1f1,2015,03,24,11.695395533206465,13.878615,4.500124,2015
83,r3i1p1f1,2015,03,25,19.82997446725676,8.604789,2.0592842,2015
84,r3i1p1f1,2015,03,26,0.0,13.147622,-0.790319,2015
85,r3i1p1f1,2015,03,27,0.0,17.400919,0.41005686,2015
86,r3i1p1f1,2015,03,28,0.0,20.289316,4.8796086,2015
87,r3i1p1f1,2015,03,29,0.0,18.878578,3.61637,2015
88,r3i1p1f1,2015,03,30,0.037514983000619395,19.120323,4.5446997,2015
89,r3i1p1f1,2015,03,31,0.015282562935681199,18.485651,3.7838106,2015
90,r3i1p1f1,2015,04,01,0.0,18.495426,4.0526505,2015
91,r3i1p1f1,2015,04,02,0.0,20.456709,3.091823,2015
92,r3i1p1f1,2015,04,03,1.5877595552694856,18.017939,3.203313,2015
93,r3i1p1f1,2015,04,04,27.008792259039183,9.190961,4.469141,2015
94,r3i1p1f1,2015,04,05,7.354849807370556,6.3763175,1.4529436,2015
95,r3i1p1f1,2015,04,06,0.14192290318533196,14.187183,-0.32772678,2015
96,r3i1p1f1,2015,04,07,0.0,19.498875,2.020735,2015
97,r3i1p1f1,2015,04,08,28.540066036657663,16.679827,3.5318358,2015
98,r3i1p1f1,2015,04,09,5.3747740728567805,12.48096,-0.5129893,2015
99,r3i1p1f1,2015,04,10,0.0,16.015724,-0.26269776,2015
100,r3i1p1f1,2015,04,11,0.0,17.823278,0.93534636,2015
101,r3i1p1f1,2015,04,12,14.802765709646337,15.710606,4.9309196,2015
102,r3i1p1f1,2015,04,13,3.3550247521304755,11.968189,2.7825854,2015
103,r3i1p1f1,2015,04,14,0.0,17.569786,0.5591684,2015
104,r3i1p1f1,2015,04,15,0.0,21.17777,2.9567277,2015
105,r3i1p1f1,2015,04,16,0.0006907070201123133,19.951912,3.7525618,2015
106,r3i1p1f1,2015,04,17,6.447437580834503,16.303207,3.3475537,2015
107,r3i1p1f1,2015,04,18,13.839979939348268,14.509556,6.0770864,2015
108,r3i1p1f1,2015,04,19,6.129932436533636,12.81706,5.064619,2015
109,r3i1p1f1,2015,04,20,1.4731491620295856,13.143088,3.315603,2015
110,r3i1p1f1,2015,04,21,12.11406583461212,11.329319,2.4730654,2015
111,r3i1p1f1,2015,04,22,2.385418196718092,9.152481,0.50007486,2015
112,r3i1p1f1,2015,04,23,2.714394771237494,12.271594,2.943965,2015
113,r3i1p1f1,2015,04,24,2.6669666281691207,14.039259,1.8350947,2015
