index,member_id,Year,Month,Day,Pr (mm),Tasmax (degC),Tasmin (degC),Year
0,r4i1p1f1,2015,01,01,18.704707235366712,11.720516,5.484624,2015
1,r4i1p1f1,2015,01,02,0.0,13.891478,-0.4850452,2015
2,r4i1p1f1,2015,01,03,6.386474093604097,10.267816,4.9612594,2015
3,r4i1p1f1,2015,01,04,41.53344108735358,7.661236,4.0066314,2015
4,r4i1p1f1,2015,01,05,14.098208951978258,6.6097198,0.98400617,2015
5,r4i1p1f1,2015,01,06,0.0259175242143484,10.835515,-0.52293336,2015
6,r4i1p1f1,2015,01,07,0.0,9.430458,0.71313196,2015
7,r4i1p1f1,2015,01,08,0.0,12.136447,4.1258125,2015
8,r4i1p1f1,2015,01,09,6.647356599339553,11.6952305,4.2207146,2015
9,r4i1p1f1,2015,01,10,0.0,19.257683,4.2572417,2015
10,r4i1p1f1,2015,01,11,0.0,20.870142,7.3623915,2015
11,r4i1p1f1,2015,01,12,0.0,19.796232,7.6161757,2015
12,r4i1p1f1,2015,01,13,0.0,19.057297,5.2353773,2015
13,r4i1p1f1,2015,01,14,0.0,17.020666,5.3022847,2015
14,r4i1p1f1,2015,01,15,0.0,19.12376,7.628918,2015
15,r4i1p1f1,2015,01,16,0.0,18.628178,7.748514,2015
16,r4i1p1f1,2015,01,17,0.3572162388345054,16.54194,9.053042,2015
17,r4i1p1f1,2015,01,18,0.80983535727491,12.45741,6.644946,2015
18,r4i1p1f1,2015,01,19,0.0,16.581987,5.9481025,2015
19,r4i1p1f1,2015,01,20,0.0,17.748198,5.1863747,2015
20,r4i1p1f1,2015,01,21,32.7717654688872,14.678573,5.839875,2015
21,r4i1p1f1,2015,01,22,8.711344448123494,10.567911,2.8603268,2015
22,r4i1p1f1,2015,01,23,55.57086275565732,10.499901,5.1823115,2015
23,r4i1p1f1,2015,01,24,14.217701051338258,14.283023,3.678705,2015
24,r4i1p1f1,2015,01,25,52.198150999672514,13.281772,2.6838486,2015
25,r4i1p1f1,2015,01,26,15.423997816067544,10.018293,4.1424265,2015
26,r4i1p1f1,2015,01,27,0.0,13.832836,0.7841763,2015
27,r4i1p1f1,2015,01,28,0.0,17.3802,2.065045,2015
28,r4i1p1f1,2015,01,29,6.440003182931258,13.833339,4.751035,2015
29,r4i1p1f1,2015,01,30,2.934963876970486,14.793129,5.1757283,2015
30,r4i1p1f1,2015,01,31,0.1834095934866223,14.15466,4.9625206,2015
31,r4i1p1f1,2015,02,01,14.722853766818988,11.450856,7.819748,2015
32,r4i1p1f1,2015,02,02,0.0,17.658237,2.5621805,2015
33,r4i1p1f1,2015,02,03,0.0,18.91381,5.7264595,2015
34,r4i1p1f1,2015,02,04,0.08444220105670147,15.194797,7.626851,2015
35,r4i1p1f1,2015,02,05,0.0,17.02621,5.744317,2015
36,r4i1p1f1,2015,02,06,0.0,20.201572,5.301871,2015
37,r4i1p1f1,2015,02,07,0.0,19.11684,6.4301353,2015
38,r4i1p1f1,2015,02,08,0.0,18.768755,8.168008,2015
39,r4i1p1f1,2015,02,09,0.0,15.11225,5.556347,2015
40,r4i1p1f1,2015,02,10,0.0,16.318077,5.175653,2015
41,r4i1p1f1,2015,02,11,0.0,19.573841,4.989085,2015
42,r4i1p1f1,2015,02,12,0.0,17.743225,4.7173448,2015
43,r4i1p1f1,2015,02,13,0.0,16.5408,4.1578264,2015
44,r4i1p1f1,2015,02,14,2.5548268315584495,7.3701334,0.73965716,2015
45,r4i1p1f1,2015,02,15,9.287583901651056,5.7259216,-0.16725822,2015
46,r4i1p1f1,2015,02,16,6.518757301972456,8.880597,-1.5584656,2015
47,r4i1p1f1,2015,02,17,0.0,10.234642,-2.0931976,2015
48,r4i1p1f1,2015,02,18,0.0,13.642367,0.861862,2015
49,r4i1p1f1,2015,02,19,0.20750129530681174,11.116376,0.99328375,2015
50,r4i1p1f1,2015,02,20,0.0,14.699526,1.4008642,2015
51,r4i1p1f1,2015,02,21,0.0,15.248654,-0.35990685,2015
52,r4i1p1f1,2015,02,22,0.0,15.652999,2.2199373,2015
53,r4i1p1f1,2015,02,23,0.0,16.176868,1.7672852,2015
54,r4i1p1f1,2015,02,24,0.0,16.083515,3.5766087,2015
55,r4i1p1f1,2015,02,25,0.0,15.502838,1.8966017,2015
56,r4i1p1f1,2015,02,26,0.0,11.159889,0.22704175,2015
57,r4i1p1f1,2015,02,27,0.0,10.865138,-1.3017188,2015
58,r4i1p1f1,2015,02,28,0.0,16.48782,2.9317904,2015
59,r4i1p1f1,2015,03,01,0.0,21.246618,6.8836484,2015
60,r4i1p1f1,2015,03,02,0.18764613192424326,19.731005,6.8643303,2015
61,r4i1p1f1,2015,03,03,4.887383642773401,15.592105,7.720796,2015
62,r4i1p1f1,2015,03,04,0.10220747122987536,17.551077,4.727087,2015
63,r4i1p1f1,2015,03,05,11.706025125826464,16.536024,6.898828,2015
64,r4i1p1f1,2015,03,06,0.8057505849424879,19.600216,4.977835,2015
65,r4i1p1f1,2015,03,07,0.0,21.440042,5.2552047,2015
66,r4i1p1f1,2015,03,08,0.0,19.007553,5.102415,2015
67,r4i1p1f1,2015,03,09,0.0,21.45398,6.177935,2015
68,r4i1p1f1,2015,03,10,0.0,25.020805,8.166756,2015
69,r4i1p1f1,2015,03,11,0.0,22.62897,7.495785,2015
70,r4i1p1f1,2015,03,12,0.5164629112498101,17.892838,5.37297,2015
71,r4i1p1f1,2015,03,13,35.48797299123467,12.04888,6.4135284,2015
72,r4i1p1f1,2015,03,14,19.441112950995663,16.536667,5.5029354,2015
73,r4i1p1f1,2015,03,15,0.0,19.33879,4.3530216,2015
74,r4i1p1f1,2015,03,16,0.26508050898069324,18.267906,4.7735143,2015
75,r4i1p1f1,2015,03,17,0.11183481865373324,15.909513,2.736522,2015
76,r4i1p1f1,2015,03,18,0.0,19.10225,4.122351,2015
77,r4i1p1f1,2015,03,19,0.0,21.988304,7.0647173,2015
78,r4i1p1f1,2015,03,20,0.0,20.962267,6.1275845,2015
79,r4i1p1f1,2015,03,21,0.014986628067210978,19.529057,6.2676787,2015
80,r4i1p1f1,2015,03,22,0.0,19.005325,5.524034,2015
81,r4i1p1f1,2015,03,23,0.0,16.383865,5.2345486,2015
82,r4i1p1f1,2015,03,24,0.0,15.561908,4.5975304,2015
83,r4i1p1f1,2015,03,25,39.976070519218126,14.16564,4.57841,2015
84,r4i1p1f1,2015,03,26,3.8839413485938596,13.589222,4.1988482,2015
85,r4i1p1f1,2015,03,27,6.426437590141033,17.614193,3.5680783,2015
86,r4i1p1f1,2015,03,28,11.38523609843105,17.474564,6.316028,2015
87,r4i1p1f1,2015,03,29,0.0,20.822515,4.945517,2015
88,r4i1p1f1,2015,03,30,0.0,20.541271,9.17229,2015
89,r4i1p1f1,2015,03,31,0.0,25.809437,7.115954,2015
90,r4i1p1f1,2015,04,01,0.0,26.723946,8.744777,2015
91,r4i1p1f1,2015,04,02,0.0,24.161116,9.493264,2015
92,r4i1p1f1,2015,04,03,1.0658941767791188,17.994143,6.9638977,2015
93,r4i1p1f1,2015,04,04,0.05206235757788435,18.902544,5.192946,2015
94,r4i1p1f1,2015,04,05,0.0,18.494705,5.7792115,2015
95,r4i1p1f1,2015,04,06,5.83900837807864,15.821561,5.2367373,2015
96,r4i1p1f1,2015,04,07,1.6195042159875142,15.208358,0.931785,2015
97,r4i1p1f1,2015,04,08,24.708079161294002,11.749066,3.751986,2015
98,r4i1p1f1,2015,04,09,6.42801866152264,12.504152,2.211768,2015
99,r4i1p1f1,2015,04,10,1.647750144758519,16.622227,2.7719586,2015
100,r4i1p1f1,2015,04,11,0.0,20.598845,4.295242,2015
101,r4i1p1f1,2015,04,12,0.0,22.552078,6.8484764,2015
102,r4i1p1f1,2015,04,13,0.0,21.311659,7.849565,2015
103,r4i1p1f1,2015,04,14,0.013219869269002964,20.51159,5.7603574,2015
104,r4i1p1f1,2015,04,15,4.999949601494192,14.034149,3.2213888,2015
105,r4i1p1f1,2015,04,16,28.276496020599122,9.641441,3.1887646,2015
106,r4i1p1f1,2015,04,17,0.8857529912347673,18.079678,1.7944376,2015
107,r4i1p1f1,2015,04,18,0.0,23.009483,6.7890553,2015
108,r4i1p1f1,2015,04,19,0.0,25.169737,7.615941,2015
109,r4i1p1f1,2015,04,20,0.0,22.605669,8.75015,2015
110,r4i1p1f1,2015,04,21,0.0,20.756731,6.183168,2015
111,r4i1p1f1,2015,04,22,0.0,20.954773,5.8892055,2015
112,r4i1p1f1,2015,04,23,0.0,22.857824,6.708728,2015
113,r4i1p1f1,2015,04,24,0.0,25.442904,9.217933,2015
114,r4i1p1f1,2015,04,25,0.0,24.615519,9.678539,2015
115,r4i1p1f1,2015,04,26,0.0,21.141512,6.8591123,2015
116,r4i1p1f1,2015,04,27,0.0,19.65127,6.494737,2015
117,r4i1p1f1,2015,04,28,0.0,23.530472,7.378699,2015
118,r4i1p1f1,2015,04,29,0.0,24.420048,7.9369087,2015
119,r4i1p1f1,2015,04,30,13.868273709790389,19.946486,4.4708138,2015
120,r4i1p1f1,2015,05,01,1.3236218656881025,17.176287,6.0523744,2015
121,r4i1p1f1,2015,05,02,0.0,21.704247,5.416545,2015
122,r4i1p1f1,2015,05,03,0.1091138748506637,20.060972,6.694859,2015
123,r4i1p1f1,2015,05,04,0.0,24.845274,8.658576,2015
124,r4i1p1f1,2015,05,05,0.0,26.316381,10.217804,2015
125,r4i1p1f1,2015,05,06,0.0,25.032812,12.124444,2015
126,r4i1p1f1,2015,05,07,0.0,25.589714,9.826472,2015
127,r4i1p1f1,2015,05,08,0.0,26.715662,10.104307,2015
128,r4i1p1f1,2015,05,09,0.0,27.01686,10.993766,2015
129,r4i1p1f1,2015,05,10,0.0,28.89201,12.5917,2015
130,r4i1p1f1,2015,05,11,0.0,26.874533,11.675211,2015
131,r4i1p1f1,2015,05,12,0.0,25.400427,8.561573,2015
132,r4i1p1f1,2015,05,13,0.48275737507011446,22.207445,7.8465047,2015
133,r4i1p1f1,2015,05,14,0.021610073092329242,20.037205,5.054541,2015
134,r4i1p1f1,2015,05,15,0.0,19.029438,4.7666473,2015
135,r4i1p1f1,2015,05,16,11.278104936086732,14.500775,5.1184306,2015
136,r4i1p1f1,2015,05,17,4.512032831400192,13.901367,2.5174234,2015
137,r4i1p1f1,2015,05,18,0.11038469611345422,15.319139,1.7893585,2015
138,r4i1p1f1,2015,05,19,0.0,20.011015,3.7234123,2015
139,r4i1p1f1,2015,05,20,1.027830284537183,19.769527,4.5927663,2015
140,r4i1p1f1,2015,05,21,0.0,24.264929,7.069801,2015
141,r4i1p1f1,2015,05,22,0.0,22.56105,7.574327,2015
142,r4i1p1f1,2015,05,23,0.0,20.405981,6.373366,2015
143,r4i1p1f1,2015,05,24,0.0,21.419863,7.0645537,2015
144,r4i1p1f1,2015,05,25,0.0,24.17831,6.875604,2015
145,r4i1p1f1,2015,05,26,0.0,23.635727,7.8450317,2015
146,r4i1p1f1,2015,05,27,0.0,24.288677,7.154175,2015
147,r4i1p1f1,2015,05,28,0.0,25.65427,8.265693,2015
148,r4i1p1f1,2015,05,29,0.0,29.44174,11.514784,2015
149,r4i1p1f1,2015,05,30,0.0,27.724623,12.431249,2015
150,r4i1p1f1,2015,05,31,0.0,24.16513,9.274727,2015
151,r4i1p1f1,2015,06,01,0.0,23.233007,7.1975226,2015
152,r4i1p1f1,2015,06,02,0.03162774843842367,21.901169,6.6906295,2015
153,r4i1p1f1,2015,06,03,0.3858461373295684,22.597803,7.334394,2015
154,r4i1p1f1,2015,06,04,0.0,26.00035,6.462381,2015
155,r4i1p1f1,2015,06,05,0.0,25.355738,8.694332,2015
156,r4i1p1f1,2015,06,06,0.0,23.387547,8.86916,2015
157,r4i1p1f1,2015,06,07,0.0,25.736927,9.061549,2015
