index,member_id,Year,Month,Day,Pr (mm),Tasmax (degC),Tasmin (degC),Year
0,r4i1p1f1,2015,01,01,0.0,14.145265,0.5279462,2015
1,r4i1p1f1,2015,01,02,0.0,14.721766,2.9970708,2015
2,r4i1p1f1,2015,01,03,0.0,13.051196,2.278026,2015
3,r4i1p1f1,2015,01,04,4.3283478534704045,11.040717,0.68563753,2015
4,r4i1p1f1,2015,01,05,11.5860342234555,8.451005,4.2712693,2015
5,r4i1p1f1,2015,01,06,8.95829197797866,7.797982,1.1586778,2015
6,r4i1p1f1,2015,01,07,0.06521694750745155,6.568283,0.610767,2015
7,r4i1p1f1,2015,01,08,0.0,8.685447,1.0276026,2015
8,r4i1p1f1,2015,01,09,1.1566903232477443,5.710406,-1.0677288,2015
9,r4i1p1f1,2015,01,10,25.575723899601144,8.343942,-0.8607573,2015
10,r4i1p1f1,2015,01,11,27.68358251050813,10.6608925,0.9221364,2015
11,r4i1p1f1,2015,01,12,26.68404800388089,10.02907,2.4614682,2015
12,r4i1p1f1,2015,01,13,16.7827084075725,9.784078,0.5154149,2015
13,r4i1p1f1,2015,01,14,0.0,7.4422445,1.926314,2015
14,r4i1p1f1,2015,01,15,4.139152402296986,6.6178427,0.99088097,2015
15,r4i1p1f1,2015,01,16,8.852808674282642,6.627439,0.13579692,2015
16,r4i1p1f1,2015,01,17,0.0,8.279713,3.1758013,2015
17,r4i1p1f1,2015,01,18,19.64515696572562,7.4765167,0.38119948,2015
18,r4i1p1f1,2015,01,19,29.60573854725226,6.7863455,1.5399748,2015
19,r4i1p1f1,2015,01,20,0.0,11.219811,-0.7687049,2015
20,r4i1p1f1,2015,01,21,19.724194137234008,9.301182,0.98719037,2015
21,r4i1p1f1,2015,01,22,0.007731820005574264,13.408742,2.269191,2015
22,r4i1p1f1,2015,01,23,0.0,13.245333,0.71641374,2015
23,r4i1p1f1,2015,01,24,0.0,15.317219,2.4813461,2015
24,r4i1p1f1,2015,01,25,0.0,16.737764,4.98394,2015
25,r4i1p1f1,2015,01,26,0.0,16.704407,4.9250603,2015
26,r4i1p1f1,2015,01,27,0.0,18.453035,5.5561657,2015
27,r4i1p1f1,2015,01,28,0.0,18.940218,6.5998797,2015
28,r4i1p1f1,2015,01,29,0.0,18.23817,5.39062,2015
29,r4i1p1f1,2015,01,30,0.0,19.545538,6.125806,2015
30,r4i1p1f1,2015,01,31,0.0,18.616224,7.465673,2015
31,r4i1p1f1,2015,02,01,2.236667829004091,15.478356,6.5352845,2015
32,r4i1p1f1,2015,02,02,1.783313091709715,16.617569,4.8964653,2015
33,r4i1p1f1,2015,02,03,0.0,18.210419,4.3229065,2015
34,r4i1p1f1,2015,02,04,0.0,19.6395,4.5758195,2015
35,r4i1p1f1,2015,02,05,0.0,18.67846,5.5201454,2015
36,r4i1p1f1,2015,02,06,0.0,19.397434,7.4925513,2015
37,r4i1p1f1,2015,02,07,0.0,19.669724,7.8393445,2015
38,r4i1p1f1,2015,02,08,0.6562921305885538,19.253838,7.7912064,2015
39,r4i1p1f1,2015,02,09,0.15853863060328877,15.973607,8.310334,2015
40,r4i1p1f1,2015,02,10,2.345834247023504,15.330139,9.537186,2015
41,r4i1p1f1,2015,02,11,0.00031927227155392757,13.0264015,6.3547974,2015
42,r4i1p1f1,2015,02,12,5.556047833948696,16.096403,8.1048975,2015
43,r4i1p1f1,2015,02,13,0.0,18.021433,6.256594,2015
44,r4i1p1f1,2015,02,14,0.0,19.39869,5.943345,2015
45,r4i1p1f1,2015,02,15,0.0,20.630808,7.1199856,2015
46,r4i1p1f1,2015,02,16,2.608634711157265,19.282406,7.210055,2015
47,r4i1p1f1,2015,02,17,26.928597304140567,14.778103,8.934589,2015
48,r4i1p1f1,2015,02,18,44.763828559734975,14.648958,6.6199436,2015
