"GCM","D_pr","D_tas","RCP","Year","period"
"ACCESS1-0",2.90532223661957,-0.524863541870793,"rcp45","FUT(1982-2011)",1996
"ACCESS1-3",-1.55329670882441,-0.292211092843372,"rcp45","FUT(1982-2011)",1996
"CCSM4",1.00267622606899,-0.288330695217693,"rcp45","FUT(1982-2011)",1996
"CESM1-BGC",-4.8927598666518,-0.362615908107284,"rcp45","FUT(1982-2011)",1996
"CESM1-CAM5",-2.03024326681305,-0.272533388486739,"rcp45","FUT(1982-2011)",1996
"CMCC-CM",0.536189860303967,-0.454045761431029,"rcp45","FUT(1982-2011)",1996
"CMCC-CMS",0.170444838628149,-0.300093518057476,"rcp45","FUT(1982-2011)",1996
"CNRM-CM5",-2.07099337095846,-0.295061250276428,"rcp45","FUT(1982-2011)",1996
"CSIRO-MK3-6-0",-2.12768923591524,-0.176714253701052,"rcp45","FUT(1982-2011)",1996
"CANCM4",-1.11766903091466,-0.244814189858944,"rcp45","FUT(1982-2011)",1996
"CANESM2",1.19105738941985,-0.64909888649165,"rcp45","FUT(1982-2011)",1996
"FGOALS-G2",0.0813222744964095,-0.364429603476145,"rcp45","FUT(1982-2011)",1996
"FIO-ESM",1.61589496030482,-0.211568796940485,"rcp45","FUT(1982-2011)",1996
"GFDL-CM2P1",1.93543831689705,-0.172842988170109,"rcp45","FUT(1982-2011)",1996
"GFDL-CM3",1.34369905003291,-0.467626523281529,"rcp45","FUT(1982-2011)",1996
"GFDL-ESM2G",-1.3415702944324,-0.0612251397143204,"rcp45","FUT(1982-2011)",1996
"GFDL-ESM2M",0.30697239152438,-0.3351633071576,"rcp45","FUT(1982-2011)",1996
"GISS-E2-H",-2.13944661486021,-0.233756687109754,"rcp45","FUT(1982-2011)",1996
"GISS-E2-H-CC",0.757848305817272,-0.142502723564803,"rcp45","FUT(1982-2011)",1996
"GISS-E2-R",2.22672848004019,-0.294396634345654,"rcp45","FUT(1982-2011)",1996
"GISS-E2-R-CC",-0.963199350249301,-0.140448193524714,"rcp45","FUT(1982-2011)",1996
"HADCM3",4.54707785667943,-0.421037855601772,"rcp45","FUT(1982-2011)",1996
"HADGEM2-AO",2.59063513379809,-0.654260331527809,"rcp45","FUT(1982-2011)",1996
"HADGEM2-CC",4.3372090181957,-0.336708972464013,"rcp45","FUT(1982-2011)",1996
"HADGEM2-ES",-4.50123270173382,-0.401189244949666,"rcp45","FUT(1982-2011)",1996
"IPSL-CM5A-LR",0.854188257505974,-0.34657047923151,"rcp45","FUT(1982-2011)",1996
"IPSL-CM5A-MR",-4.7815192233034,-0.462743599421774,"rcp45","FUT(1982-2011)",1996
"IPSL-CM5B-LR",0.616365581056651,-0.256362282959562,"rcp45","FUT(1982-2011)",1996
"MIROC-ESM",-1.81993606378657,-0.421506746940997,"rcp45","FUT(1982-2011)",1996
"MIROC-ESM-CHEM",4.07253242232243,-0.425218520673107,"rcp45","FUT(1982-2011)",1996
"MIROC4H",-1.70588947531648,-0.388332400304753,"rcp45","FUT(1982-2011)",1996
"MIROC5",-0.953936630071919,-0.281925750107462,"rcp45","FUT(1982-2011)",1996
"MPI-ESM-LR",3.08699036279472,-0.386799519988099,"rcp45","FUT(1982-2011)",1996
"MPI-ESM-MR",-1.08848118419629,-0.364565298827678,"rcp45","FUT(1982-2011)",1996
"MRI-CGCM3",1.52740770878178,-0.0936631782403694,"rcp45","FUT(1982-2011)",1996
"NORESM1-M",2.3726916896157,-0.233352258095641,"rcp45","FUT(1982-2011)",1996
"NORESM1-ME",-6.24065253373351,-0.11052568764323,"rcp45","FUT(1982-2011)",1996
"BCC-CSM1-1",2.92771099129659,-0.17862919215122,"rcp45","FUT(1982-2011)",1996
"BCC-CSM1-1-M",-0.0286867453604667,-0.0994371059743671,"rcp45","FUT(1982-2011)",1996
"INMCM4",5.82119094784216,-0.0892322560544994,"rcp45","FUT(1982-2011)",1996
"ACCESS1-0",0.967668923411946,-0.502596118993932,"rcp85","FUT(1982-2011)",1996
"ACCESS1-3",-0.797612179662468,-0.368164413920766,"rcp85","FUT(1982-2011)",1996
"CCSM4",-0.155460140770971,-0.39630786092992,"rcp85","FUT(1982-2011)",1996
"CESM1-BGC",-3.87147809214611,-0.258063230385453,"rcp85","FUT(1982-2011)",1996
"CESM1-CAM5",0.36996045165576,-0.346588591352148,"rcp85","FUT(1982-2011)",1996
"CMCC-CESM",-3.43377506424064,-0.129147148092487,"rcp85","FUT(1982-2011)",1996
"CMCC-CM",5.28254214521381,-0.387952628193215,"rcp85","FUT(1982-2011)",1996
"CMCC-CMS",-0.594056123320132,-0.250463305430918,"rcp85","FUT(1982-2011)",1996
"CNRM-CM5",-5.39073530906869,-0.318408562432699,"rcp85","FUT(1982-2011)",1996
"CSIRO-MK3-6-0",-1.43440119186673,-0.27942963619738,"rcp85","FUT(1982-2011)",1996
"CANESM2",1.54088889286846,-0.63031688281291,"rcp85","FUT(1982-2011)",1996
"EC-EARTH",3.35066486196561,-0.391480293943573,"rcp85","FUT(1982-2011)",1996
"FGOALS-G2",0.450002762115993,-0.375927344978901,"rcp85","FUT(1982-2011)",1996
"FIO-ESM",-1.34464471126951,-0.276742818917532,"rcp85","FUT(1982-2011)",1996
"GFDL-CM3",5.3450257393572,-0.572929576878511,"rcp85","FUT(1982-2011)",1996
