variant,period,r
lm-novaravg,2007,0.1891586890899256
lm-novaravg,2008,0.23836883123542776
lm-novaravg,2009,0.25341825023297093
lm-novaravg,2010,0.2889804386337529
lm-novaravg,2011,0.32043938798090404
lm-novaravg,2012,0.3271306824462374
lm-novaravg,2013,0.3082325859318235
lm-novaravg,2014,0.32276813717921027
lm-novaravg,2015,0.310189438423679
lm-novaravg,2016,0.2977418735730097
lm-novaravg,2017,0.2834106000760392
lm-novaravg,2018,0.29170951004507184
lm-novaravg,2019,0.2636712546710718
lm-novaravg,2020,0.26141325135037846
lm-novaravg,2021,0.2662197826545866
lm-novaravg,2022,0.25953880370456445
lm-novaravg,2023,0.25512671323551156
lm-novaravg,2024,0.2437867883646781
lm-novaravg,2025,0.24155779208291853
lm-novaravg,2026,0.2174531122675995
lm-novaravg,2027,0.21691556380206217
lm-novaravg,2028,0.2077910941013735
lm-novaravg,2029,0.2087841292520023
lm-novaravg,2030,0.2034499677537713
lm-novaravg,2031,0.2004118691658624
lm-novaravg,2032,0.1941459880113043
lm-novaravg,2033,0.1839603742980162
lm-novaravg,2034,0.1806893765854848
lm-novaravg,2035,0.17707499849338967
lm-novaravg,2036,0.17356401452608966
lm-novaravg,2037,0.1670396775883654
lm-novaravg,2038,0.1659938162672123
lm-novaravg,2039,0.15780025968141412
lm-novaravg,2040,0.15557714659933403
lm-novaravg,2041,0.14918840478046475
lm-novaravg,2042,0.13859781978161123
lm-novaravg,2043,0.13739708366843958
lm-novaravg,2044,0.12216431713620743
lm-novaravg,2045,0.11411479847791746
lm-novaravg,2046,0.1098270384134669
lm-novaravg,2047,0.09173771833128508
lm-novaravg,2048,0.08433030044984595
lm-novaravg,2049,0.07902970976752621
lm-novaravg,2050,0.07706910240830706
lm-novaravg,2051,0.07848057316359701
lm-novaravg,2052,0.06995634129209317
lm-novaravg,2053,0.05987694033822398
lm-novaravg,2054,0.048390522176485644
lm-novaravg,2055,0.032968103549279926
lm-novaravg,2056,0.02581923653696366
lm-novaravg,2057,0.015097254110443327
lm-novaravg,2058,0.00929322061995262
lm-novaravg,2059,-0.00018749178815896463
lm-novaravg,2060,-0.008652784427498157
lm-novaravg,2061,-0.011254338668077441
lm-novaravg,2062,-0.020283858523101005
lm-novaravg,2063,-0.02213049005995612
lm-novaravg,2064,-0.027210904263552153
lm-novaravg,2065,-0.0313665674053322
lm-novaravg,2066,-0.03717220426201073
lm-novaravg,2067,-0.04277838799179198
lm-novaravg,2068,-0.05271630218542333
lm-novaravg,2069,-0.055153233472229564
lm-novaravg,2070,-0.059211026655868866
lm-novaravg,2071,-0.05788109192940112
lm-novaravg,2072,-0.058315198449961976
lm-novaravg,2073,-0.0618376361719111
lm-novaravg,2074,-0.06291173638804774
lm-novaravg,2075,-0.0583664330887318
lm-novaravg,2076,-0.06041875954806216
lm-novaravg,2077,-0.05751313443613809
lm-novaravg,2078,-0.0580938577157535
lm-novaravg,2079,-0.06200940344952018
