"period","DT","DP"
2006,0,0
2007,0.0493486537372788,0.0123336328413043
2008,0.102242108014114,0.0246672656826087
2009,0.155264519976774,0.0370008985239131
2010,0.195782766681386,0.049334531365216
2011,0.235091253268357,0.061668164206522
2012,0.282192524445277,0.0740017970478258
2013,0.317936759640315,0.0863354298891294
2014,0.361963188879478,0.098669062730433
2015,0.395720471778044,0.111002695571738
2016,0.437023888951671,0.123336328413041
2017,0.474988291155667,0.135669961254346
2018,0.51378924437523,0.148003594095649
2019,0.553562105569041,0.160337226936952
2020,0.592697531669782,0.172670859778259
2021,0.636745741751591,0.185004492619563
2022,0.676413122219171,0.197338125460866
2023,0.717509008657101,0.209671758302169
2024,0.768137341930475,0.222005391143475
2025,0.811714394072639,0.234339023984778
2026,0.858399336807909,0.246672656826082
2027,0.899493211781819,0.259006289667385
2028,0.940979620175351,0.27133992250869
2029,0.977556841066369,0.283673555349994
2030,1.00992905446767,0.296007188191302
2031,1.04479940923799,0.308340821032603
2032,1.08829308332942,0.320674453873909
2033,1.13079294152339,0.333008086715212
2034,1.17314768180772,0.345341719556514
2035,1.2162054031689,0.357675352397818
2036,1.25901110094367,0.370008985239124
2037,1.29905171256554,0.382342618080428
2038,1.34068600728597,0.394676250921729
2039,1.38298201842735,0.407009883763034
2040,1.4239622716209,0.419343516604341
2041,1.46486403563755,0.431677149445645
2042,1.50472333606241,0.444010782286948
2043,1.54676310992586,0.456344415128253
2044,1.58593390122148,0.468678047969556
2045,1.63095256929834,0.481011680810858
2046,1.66936430407156,0.493345313652164
2047,1.71399477404002,0.505678946493467
2048,1.75397040900729,0.518012579334773
2049,1.79190284267914,0.530346212176075
2050,1.82989353170051,0.542679845017382
2051,1.87931482328187,0.555013477858687
2052,1.92429866719822,0.567347110699989
2053,1.9757313945369,0.579680743541293
2054,2.02020216376206,0.592014376382597
2055,2.06365026822365,0.604348009223902
2056,2.10819233425411,0.616681642065203
2057,2.15152484256914,0.62901527490651
2058,2.19394977994937,0.641348907747817
2059,2.23956915913537,0.653682540589118
2060,2.28424626758825,0.666016173430418
2061,2.32932007769087,0.678349806271727
2062,2.37316206573394,0.690683439113031
2063,2.41608728314498,0.703017071954333
2064,2.45750243121989,0.715350704795642
2065,2.49977778248698,0.727684337636943
2066,2.54239638223648,0.740017970478244
2067,2.59042317507468,0.752351603319551
2068,2.63397377537647,0.764685236160857
2069,2.67552004451059,0.777018869002159
2070,2.72168148418615,0.789352501843464
2071,2.76729727664214,0.801686134684768
2072,2.81009770233228,0.814019767526072
2073,2.85382163037427,0.826353400367374
2074,2.90192075080187,0.838687033208679
2075,2.94905661111651,0.851020666049986
2076,3.00221936179823,0.863354298891289
2077,3.05199562884996,0.875687931732593
2078,3.10506621305691,0.888021564573896
2079,3.16134357489953,0.900355197415203
2080,3.21522042389352,0.912688830256505
2081,3.26067501061835,0.925022463097806
2082,3.31047871167037,0.937356095939113
2083,3.35282522826901,0.949689728780416
2084,3.40291067602473,0.962023361621719
2085,3.45031762555417,0.974356994463026
