,mvs,model,variant,ssp,y,pr,tavg
31,ACCESS-CM2_r1i1p1f1_ssp245,ACCESS-CM2,r1i1p1f1,ssp245,1981,1070.6309488211864,8.097167629513889
32,ACCESS-CM2_r1i1p1f1_ssp245,ACCESS-CM2,r1i1p1f1,ssp245,1982,1067.0870524639015,8.157641537263888
33,ACCESS-CM2_r1i1p1f1_ssp245,ACCESS-CM2,r1i1p1f1,ssp245,1983,1071.6225180795495,8.162956246486111
34,ACCESS-CM2_r1i1p1f1_ssp245,ACCESS-CM2,r1i1p1f1,ssp245,1984,1046.1889156512461,8.229689693891666
35,ACCESS-CM2_r1i1p1f1_ssp245,ACCESS-CM2,r1i1p1f1,ssp245,1985,1032.7128421141076,8.276181137447223
36,ACCESS-CM2_r1i1p1f1_ssp245,ACCESS-CM2,r1i1p1f1,ssp245,1986,1058.4240724018537,8.285124052697222
37,ACCESS-CM2_r1i1p1f1_ssp245,ACCESS-CM2,r1i1p1f1,ssp245,1987,1022.1535786742256,8.365670965625
38,ACCESS-CM2_r1i1p1f1_ssp245,ACCESS-CM2,r1i1p1f1,ssp245,1988,1017.467226795711,8.376224586736111
39,ACCESS-CM2_r1i1p1f1_ssp245,ACCESS-CM2,r1i1p1f1,ssp245,1989,1027.344554390762,8.398060110013889
40,ACCESS-CM2_r1i1p1f1_ssp245,ACCESS-CM2,r1i1p1f1,ssp245,1990,1034.0700239894754,8.399566709708333
41,ACCESS-CM2_r1i1p1f1_ssp245,ACCESS-CM2,r1i1p1f1,ssp245,1991,1037.2883036978258,8.460115932716667
42,ACCESS-CM2_r1i1p1f1_ssp245,ACCESS-CM2,r1i1p1f1,ssp245,1992,1019.6463446684965,8.501380854744445
43,ACCESS-CM2_r1i1p1f1_ssp245,ACCESS-CM2,r1i1p1f1,ssp245,1993,1028.738832717926,8.57552731641111
44,ACCESS-CM2_r1i1p1f1_ssp245,ACCESS-CM2,r1i1p1f1,ssp245,1994,1037.1170182277353,8.603960159641668
45,ACCESS-CM2_r1i1p1f1_ssp245,ACCESS-CM2,r1i1p1f1,ssp245,1995,1029.4626928325283,8.699028414252778
46,ACCESS-CM2_r1i1p1f1_ssp245,ACCESS-CM2,r1i1p1f1,ssp245,1996,1070.5105056712782,8.750548478725
47,ACCESS-CM2_r1i1p1f1_ssp245,ACCESS-CM2,r1i1p1f1,ssp245,1997,1079.6747692353358,8.797995307725
48,ACCESS-CM2_r1i1p1f1_ssp245,ACCESS-CM2,r1i1p1f1,ssp245,1998,1103.539638010874,8.85853650911389
49,ACCESS-CM2_r1i1p1f1_ssp245,ACCESS-CM2,r1i1p1f1,ssp245,1999,1125.0652239480353,8.860033851725001
50,ACCESS-CM2_r1i1p1f1_ssp245,ACCESS-CM2,r1i1p1f1,ssp245,2000,1092.269747374628,8.952734132391667
51,ACCESS-CM2_r1i1p1f1_ssp245,ACCESS-CM2,r1i1p1f1,ssp245,2001,1082.3838687376528,9.017186357252777
52,ACCESS-CM2_r1i1p1f1_ssp245,ACCESS-CM2,r1i1p1f1,ssp245,2002,1072.5470911534062,9.077275360808333
53,ACCESS-CM2_r1i1p1f1_ssp245,ACCESS-CM2,r1i1p1f1,ssp245,2003,1070.2414844608454,9.112786863975
54,ACCESS-CM2_r1i1p1f1_ssp245,ACCESS-CM2,r1i1p1f1,ssp245,2004,1048.1529774850192,9.16057888711389
