"Pr_total","Tas_mean","D_pr","D_pr_lm","D_tas","Model","Variant","SSP","Year","period"
997.995001437164,10.8430527473748,0,0,0,"ACCESS-CM2","r1i1p1f1","ssp245","Hist(1992-2021)",2006
1071.40751520243,10.852718716884,0,0,0,"ACCESS-CM2","r1i1p1f1","ssp370","Hist(1992-2021)",2006
1033.47228732507,10.9435218459345,0,0,0,"ACCESS-CM2","r1i1p1f1","ssp585","Hist(1992-2021)",2006
1081.20997822626,11.010601357516,0,0,0,"ACCESS-CM2","r2i1p1f1","ssp245","Hist(1992-2021)",2006
1105.92424814974,10.9550548875973,0,0,0,"ACCESS-CM2","r2i1p1f1","ssp370","Hist(1992-2021)",2006
1059.96955936857,11.0307035006214,0,0,0,"ACCESS-CM2","r2i1p1f1","ssp585","Hist(1992-2021)",2006
1055.84020986486,11.0834993245597,0,0,0,"ACCESS-CM2","r3i1p1f1","ssp245","Hist(1992-2021)",2006
1039.2834209886,11.0979260387886,0,0,0,"ACCESS-CM2","r3i1p1f1","ssp370","Hist(1992-2021)",2006
1041.91288484714,11.1325812328347,0,0,0,"ACCESS-CM2","r3i1p1f1","ssp585","Hist(1992-2021)",2006
1100.04352245364,10.9786315760901,0,0,0,"CESM2-LENS","r1i1p1f1","ssp370","Hist(1992-2021)",2006
1013.42671306719,11.0695536591031,0,0,0,"CESM2-LENS","r10i1p1f1","ssp370","Hist(1992-2021)",2006
1041.65040440008,10.9970120324302,0,0,0,"CESM2-LENS","r4i1p1f1","ssp370","Hist(1992-2021)",2006
1055.78989450999,11.0374760147581,0,0,0,"CESM2-LENS","r5i1p1f1","ssp370","Hist(1992-2021)",2006
988.426396375376,11.0931791341676,0,0,0,"CESM2-LENS","r6i1p1f1","ssp370","Hist(1992-2021)",2006
1118.55393124017,10.7528471434014,0,0,0,"CESM2-LENS","r7i1p1f1","ssp370","Hist(1992-2021)",2006
1047.72462175727,10.9075387144,0,0,0,"CESM2-LENS","r8i1p1f1","ssp370","Hist(1992-2021)",2006
