mvs,m,v,s,slope,intercept,pr_change_2043,pr_change_2070,pr_change_2050,base,2043,2050,2070
ACCESS-CM2_r1i1p1f1_ssp245,ACCESS-CM2,r1i1p1f1,ssp245,2.311455537782047,-3553.3676809273384,7.9,13.9,9.5,1051.051750334499,1134.2641496946526,1150.4443384591268,1196.673449214768
ACCESS-CM2_r2i1p1f1_ssp245,ACCESS-CM2,r2i1p1f1,ssp245,1.6341406584424392,-2159.0563529415076,5.4,9.4,6.4,1096.1518386758312,1154.9809023797588,1166.419886988856,1199.102700157705
ACCESS-CM2_r3i1p1f1_ssp245,ACCESS-CM2,r3i1p1f1,ssp245,1.6680002537071081,-2261.091495172937,5.7,9.9,6.8,1061.5650102116224,1121.6130193450786,1133.2890211210283,1166.6490261951703
ACCESS-CM2_r1i1p1f1_ssp370,ACCESS-CM2,r1i1p1f1,ssp370,1.8832889863251638,-2655.8214263687605,6.2,10.8,7.4,1095.690234390966,1163.4886378986716,1176.6716608029478,1214.3374405294512
ACCESS-CM2_r2i1p1f1_ssp370,ACCESS-CM2,r2i1p1f1,ssp370,0.049741661602421175,984.3755241545836,0.2,0.3,0.2,1083.4609140666066,1085.2516138842936,1085.5998055155108,1086.594638747559
ACCESS-CM2_r3i1p1f1_ssp370,ACCESS-CM2,r3i1p1f1,ssp370,1.903438487056278,-2715.65749880958,6.4,11.1,7.6,1075.9919674065259,1144.515752940552,1157.8398223499457,1195.9085920910711
ACCESS-CM2_r1i1p1f1_ssp585,ACCESS-CM2,r1i1p1f1,ssp585,1.162662874869386,-1252.679098433501,3.9,6.9,4.7,1063.3453483063156,1105.201211801614,1113.3398519256996,1136.593109423087
ACCESS-CM2_r2i1p1f1_ssp585,ACCESS-CM2,r2i1p1f1,ssp585,0.9798527700120944,-811.2277425376808,3.1,5.4,3.7,1140.6389753264111,1175.9136750468465,1182.7726444369312,1202.3696998371731
ACCESS-CM2_r3i1p1f1_ssp585,ACCESS-CM2,r3i1p1f1,ssp585,1.112617196357155,-1150.3865477578986,3.8,6.6,4.5,1065.9469073855541,1106.0011264544116,1113.7894468289117,1136.0417907560548
CESM2-LENS_r10i1p1f1_ssp370,CESM2-LENS,r10i1p1f1,ssp370,2.630047034606226,-4209.787758638227,9.2,16.1,11.0,1029.2659342973748,1123.947627543199,1142.357956785443,1194.958897477567
CESM2-LENS_r1i1p1f1_ssp370,CESM2-LENS,r1i1p1f1,ssp370,-0.29677652689081596,1721.1651108773654,-0.9,-1.7,-1.1,1129.9862693108598,1119.3023143427906,1117.224878654555,1111.2893481167384
CESM2-LENS_r4i1p1f1_ssp370,CESM2-LENS,r4i1p1f1,ssp370,1.4139075358131548,-1768.7749691193792,4.9,8.5,5.8,1047.728842220425,1098.6295135096987,1108.5268662603905,1136.8050169766536
CESM2-LENS_r5i1p1f1_ssp370,CESM2-LENS,r5i1p1f1,ssp370,0.7272685955554083,-357.42083869190606,2.4,4.2,2.9,1091.2982036544674,1117.4798730944622,1122.5707532633498,1137.1161251744581
CESM2-LENS_r6i1p1f1_ssp370,CESM2-LENS,r6i1p1f1,ssp370,1.0132774721664015,-1043.555357441157,3.7,6.5,4.5,974.893367114315,1011.3713561123054,1018.4642984174702,1038.7298478607981
CESM2-LENS_r7i1p1f1_ssp370,CESM2-LENS,r7i1p1f1,ssp370,-0.71836986676642,2508.2986490322637,-2.4,-4.2,-2.9,1077.3058744335551,1051.444559229964,1046.415970162599,1032.0485728272706
