mvs,m,v,s,slope,intercept,r2,pvalue,slope95,intercept95,base,2043,2050,2070,pr_change_2043,pr_change_2070,pr_change_2050
ACCESS-CM2_r1i1p1f1_ssp245,ACCESS-CM2,r1i1p1f1,ssp245,2.2134858132681665,-3454.9639260117274,0.9305701989875659,3.6071052691675103e-40,0.18448592719716567,379.24110981813766,1020.704388416505,1100.3898776941596,1115.8842783870368,1160.1539946524,7.8,13.7,9.3
ACCESS-CM2_r2i1p1f1_ssp245,ACCESS-CM2,r2i1p1f1,ssp245,2.1528835469008842,-3320.2181109425155,0.6605037059356904,1.4120622092311632e-12,0.5184448982191144,1065.7485997294489,1032.9124208910725,1110.4162285795046,1125.4864134078107,1168.5440843458282,7.5,13.1,9.0
ACCESS-CM2_r3i1p1f1_ssp245,ACCESS-CM2,r3i1p1f1,ssp245,2.0382347563798824,-3099.268179563204,0.8403592490735557,3.945071395929895e-25,0.2785045439252214,572.5118112381307,1022.0424978369188,1095.4189490665945,1109.6865923612536,1150.451287488851,7.2,12.6,8.6
ACCESS-CM2_r1i1p1f1_ssp370,ACCESS-CM2,r1i1p1f1,ssp370,1.755168188397748,-2486.173556416762,0.7114469508817516,3.887348941935646e-15,0.36727439580535703,754.9928148402935,1062.7765205234841,1125.962575305803,1138.2487526245873,1173.3521163925425,5.9,10.4,7.1
ACCESS-CM2_r2i1p1f1_ssp370,ACCESS-CM2,r2i1p1f1,ssp370,0.8562371589402832,-698.9946602204532,0.37038265509059504,0.0003264810241662735,0.45490695915264817,935.135935158175,1032.3168751567994,1063.1414128786496,1069.1350729912317,1086.2598161700373,3.0,5.2,3.6
ACCESS-CM2_r3i1p1f1_ssp370,ACCESS-CM2,r3i1p1f1,ssp370,1.8390602106585496,-2685.813542648726,0.8653456215807156,3.879555916600843e-28,0.22564001761457986,463.84009880647454,1032.7662033028614,1098.972370886569,1111.845792361179,1148.62699657435,6.4,11.2,7.7
ACCESS-CM2_r1i1p1f1_ssp585,ACCESS-CM2,r1i1p1f1,ssp585,0.7333753592184675,-440.2745917443324,0.6893155194770775,5.837167463732426e-14,0.16328387742491726,335.6568158386107,1042.610384595409,1069.0118975272737,1074.145525041803,1088.8130322261725,2.5,4.4,3.0
ACCESS-CM2_r2i1p1f1_ssp585,ACCESS-CM2,r2i1p1f1,ssp585,1.1134810766579568,-1172.2260710478486,0.5081944206928155,3.166306967943562e-07,0.3997589724035344,821.7701949268454,1079.2326659545402,1119.3179847142264,1127.1123522508324,1149.3819737839913,3.7,6.5,4.4
ACCESS-CM2_r3i1p1f1_ssp585,ACCESS-CM2,r3i1p1f1,ssp585,0.992544010905567,-990.2088599252088,0.5570210582176093,1.1864784249039396e-08,0.3134994797666245,644.4496468667777,1016.7151301258477,1052.446714518448,1059.3945225947868,1079.2454028128982,3.5,6.2,4.2
CESM2-LENS_r10i1p1f1_ssp370,CESM2-LENS,r10i1p1f1,ssp370,2.398124428826984,-3849.716222064666,0.753252269025985,1.0869553389185743e-17,0.44360857726695296,911.910256372926,999.291373023495,1085.6238524612663,1102.4107234630555,1150.3732120395953,8.6,15.1,10.3
CESM2-LENS_r1i1p1f1_ssp370,CESM2-LENS,r1i1p1f1,ssp370,0.05886216235519984,952.3311865130412,0.03387731245406952,0.7512535469038641,0.3678728925215869,756.2231230937949,1071.3504787952552,1073.4695166400425,1073.8815517765288,1075.058795023633,0.2,0.3,0.2
CESM2-LENS_r4i1p1f1_ssp370,CESM2-LENS,r4i1p1f1,ssp370,1.2646159656639921,-1543.1893299415847,0.8651507583525723,4.116365462512426e-28,0.155298754965531,319.2420857313382,1013.8641526310075,1059.3903273949113,1068.2426391545591,1093.5349584678388,4.5,7.9,5.4
CESM2-LENS_r5i1p1f1_ssp370,CESM2-LENS,r5i1p1f1,ssp370,0.39844033973547444,266.95418018391047,0.23102328435779607,0.02846839392646378,0.3554816261299171,730.7508407911628,1072.6005471290398,1086.9443993595169,1089.7334817376652,1097.7022885323745,1.3,2.3,1.6
CESM2-LENS_r6i1p1f1_ssp370,CESM2-LENS,r6i1p1f1,ssp370,1.0800984699042737,-1239.2084716317602,0.6365061663036466,1.5562723956406132e-11,0.2772604756937302,569.9544247535996,944.7506345146815,983.634179431235,991.1948687205652,1012.7968381186504,4.1,7.2,4.9
CESM2-LENS_r7i1p1f1_ssp370,CESM2-LENS,r7i1p1f1,ssp370,0.031808419757820304,977.2127603080914,0.015326637616214323,0.8859923155268781,0.43960646557776645,903.6832587819329,1041.5293850584042,1042.6744881696857,1042.8971471079903,1043.5333155031467,0.1,0.2,0.1
CESM2-LENS_r8i1p1f1_ssp370,CESM2-LENS,r8i1p1f1,ssp370,1.5559600930331599,-2171.4345214255854,0.6718852965507527,4.1850726626665657e-13,0.36336181305600485,746.9498586828092,974.7167866874638,1030.7313500366577,1041.6230706878896,1072.742272548553,5.7,10.1,6.9
CESM2-LENS_r9i1p1f1_ssp370,CESM2-LENS,r9i1p1f1,ssp370,-0.16206215440668273,1371.678755976137,-0.22395893142498824,0.03383812673088491,0.14940284866291054,307.12208241422945,1043.9890797658245,1038.154842207184,1037.020407126337,1033.7791640382034,-0.6,-1.0,-0.7
CNRM-ESM2-1_r1i1p1f2_ssp245,CNRM-ESM2-1,r1i1p1f2,ssp245,1.797870026780687,-2580.68814698558,0.9187052104748855,2.8808716695543673e-37,0.16373347422891146,336.5810358780895,1054.6050471649696,1119.328368129074,1131.9134583165392,1167.8708588521527,6.1,10.7,7.3
CNRM-ESM2-1_r1i1p1f2_ssp370,CNRM-ESM2-1,r1i1p1f2,ssp370,0.7576658853872178,-489.39051139740263,0.6581855910133062,1.797408414461171e-12,0.18359506184563953,377.40978983756145,1042.6099088555518,1069.8858807294916,1075.189541927202,1090.3428596349465,2.6,4.6,3.1
CNRM-ESM2-1_r1i1p1f2_ssp585,CNRM-ESM2-1,r1i1p1f2,ssp585,-0.8003923191652887,2676.1517233881677,-0.5539503435612609,1.481794242649081e-08,0.25483679287381367,523.8588634930022,1057.758454035954,1028.9443305460036,1023.3415843118464,1007.3337379285408,-2.7,-4.8,-3.3
EC-Earth3_r1i1p1f1_ssp245,EC-Earth3,r1i1p1f1,ssp245,-0.07133677310542778,1263.8693914772011,-0.053302738169131364,0.6178071611952971,0.2831170272588603,581.9935279470556,1119.6264362580262,1117.0583124262307,1116.5589550144928,1115.1322195523842,-0.2,-0.4,-0.3
EC-Earth3_r2i1p1f1_ssp245,EC-Earth3,r2i1p1f1,ssp245,2.1414958416859546,-3342.75290590614,0.7104341426542983,4.424750327261868e-15,0.44940732521473237,923.8305347414828,987.3516859828605,1064.4455362835552,1079.4360071753563,1122.2659240090752,7.8,13.7,9.3
EC-Earth3_r4i1p1f1_ssp245,EC-Earth3,r4i1p1f1,ssp245,-0.35379954125815277,1822.4013573950208,-0.2971625673215402,0.0044512614130203364,0.24082839475431886,495.0623014444845,1107.0186849710358,1094.2819014857423,1091.8053046969353,1084.7293138717723,-1.2,-2.0,-1.4
EC-Earth3_r1i1p1f1_ssp370,EC-Earth3,r1i1p1f1,ssp370,-0.6872524696386922,2460.34604656183,-0.5589543638134657,1.0303469737250392e-08,0.2159823714428857,443.98722163568704,1070.7215529523944,1045.9804640454013,1041.1696967579305,1027.4246473651567,-2.3,-4.0,-2.8
EC-Earth3_r4i1p1f1_ssp370,EC-Earth3,r4i1p1f1,ssp370,-0.9110852915172589,2932.112093625131,-0.5647438511111776,6.7162378885068665e-09,0.2820470036618253,579.793918781,1089.8976341772334,1057.098563682612,1050.7209666419913,1032.499260811646,-3.0,-5.3,-3.6
