period,mvs,window,n_windows,min_window_avg_pr
historical,ACCESS-CM2_r1i1p1f1_ssp245,2,64,700.9289328318409
historical,ACCESS-CM2_r1i1p1f1_ssp245,5,61,847.2862241570198
historical,ACCESS-CM2_r1i1p1f1_ssp245,10,56,964.9086090305907
historical,ACCESS-CM2_r1i1p1f1_ssp245,15,51,1013.6516730442503
historical,ACCESS-CM2_r1i1p1f1_ssp245,20,46,1050.2863906695159
historical,ACCESS-CM2_r1i1p1f1_ssp370,2,64,700.9289328318409
historical,ACCESS-CM2_r1i1p1f1_ssp370,5,61,847.2862241570198
historical,ACCESS-CM2_r1i1p1f1_ssp370,10,56,964.9086090305907
historical,ACCESS-CM2_r1i1p1f1_ssp370,15,51,1013.6516730442503
historical,ACCESS-CM2_r1i1p1f1_ssp370,20,46,1050.2863906695159
historical,ACCESS-CM2_r1i1p1f1_ssp585,2,64,700.9289328318409
historical,ACCESS-CM2_r1i1p1f1_ssp585,5,61,847.2862241570198
historical,ACCESS-CM2_r1i1p1f1_ssp585,10,56,964.9086090305907
historical,ACCESS-CM2_r1i1p1f1_ssp585,15,51,1013.6516730442503
historical,ACCESS-CM2_r1i1p1f1_ssp585,20,46,1050.2863906695159
historical,ACCESS-CM2_r2i1p1f1_ssp245,2,64,787.0953257178307
historical,ACCESS-CM2_r2i1p1f1_ssp245,5,61,935.4872566959478
historical,ACCESS-CM2_r2i1p1f1_ssp245,10,56,1002.5528874021591
historical,ACCESS-CM2_r2i1p1f1_ssp245,15,51,1050.8509321416782
historical,ACCESS-CM2_r2i1p1f1_ssp245,20,46,1058.1876012756798
historical,ACCESS-CM2_r2i1p1f1_ssp370,2,64,787.0953257178307
historical,ACCESS-CM2_r2i1p1f1_ssp370,5,61,935.4872566959478
historical,ACCESS-CM2_r2i1p1f1_ssp370,10,56,1002.5528874021591
historical,ACCESS-CM2_r2i1p1f1_ssp370,15,51,1050.8509321416782
historical,ACCESS-CM2_r2i1p1f1_ssp370,20,46,1058.1876012756798
historical,ACCESS-CM2_r2i1p1f1_ssp585,2,64,787.0953257178307
historical,ACCESS-CM2_r2i1p1f1_ssp585,5,61,935.4872566959478
historical,ACCESS-CM2_r2i1p1f1_ssp585,10,56,1002.5528874021591
historical,ACCESS-CM2_r2i1p1f1_ssp585,15,51,1050.8509321416782
historical,ACCESS-CM2_r2i1p1f1_ssp585,20,46,1058.1876012756798
historical,ACCESS-CM2_r3i1p1f1_ssp245,2,64,645.3997448083701
historical,ACCESS-CM2_r3i1p1f1_ssp245,5,61,943.5225871402703
historical,ACCESS-CM2_r3i1p1f1_ssp245,10,56,1047.914458523402
historical,ACCESS-CM2_r3i1p1f1_ssp245,15,51,1085.2951867532238
historical,ACCESS-CM2_r3i1p1f1_ssp245,20,46,1102.117074607483
historical,ACCESS-CM2_r3i1p1f1_ssp370,2,64,645.3997448083701
historical,ACCESS-CM2_r3i1p1f1_ssp370,5,61,943.5225871402703
historical,ACCESS-CM2_r3i1p1f1_ssp370,10,56,1047.914458523402
historical,ACCESS-CM2_r3i1p1f1_ssp370,15,51,1085.2951867532238
historical,ACCESS-CM2_r3i1p1f1_ssp370,20,46,1102.117074607483
historical,ACCESS-CM2_r3i1p1f1_ssp585,2,64,645.3997448083701
historical,ACCESS-CM2_r3i1p1f1_ssp585,5,61,943.5225871402703
historical,ACCESS-CM2_r3i1p1f1_ssp585,10,56,1047.914458523402
historical,ACCESS-CM2_r3i1p1f1_ssp585,15,51,1085.2951867532238
historical,ACCESS-CM2_r3i1p1f1_ssp585,20,46,1102.117074607483
historical,CESM2-LENS_r10i1p1f1_ssp370,2,64,663.2004599166576
historical,CESM2-LENS_r10i1p1f1_ssp370,5,61,957.418161728188
historical,CESM2-LENS_r10i1p1f1_ssp370,10,56,1008.7534622143121
