period,mvs,window,n_windows,min_window_avg_pr
historical,ACCESS-CM2_r1i1p1f1_ssp245,2,64,669.0558592636226
historical,ACCESS-CM2_r1i1p1f1_ssp245,5,61,790.1783252192632
historical,ACCESS-CM2_r1i1p1f1_ssp245,10,56,873.1647117675253
historical,ACCESS-CM2_r1i1p1f1_ssp245,15,51,938.7682839832869
historical,ACCESS-CM2_r1i1p1f1_ssp245,20,46,967.6395041317357
historical,ACCESS-CM2_r2i1p1f1_ssp245,2,64,704.9586146442612
historical,ACCESS-CM2_r2i1p1f1_ssp245,5,61,827.935030607219
historical,ACCESS-CM2_r2i1p1f1_ssp245,10,56,922.9280270208699
historical,ACCESS-CM2_r2i1p1f1_ssp245,15,51,965.5152486486115
historical,ACCESS-CM2_r2i1p1f1_ssp245,20,46,962.1825857227277
historical,ACCESS-CM2_r3i1p1f1_ssp245,2,64,623.8438536255389
historical,ACCESS-CM2_r3i1p1f1_ssp245,5,61,880.3331466502565
historical,ACCESS-CM2_r3i1p1f1_ssp245,10,56,957.5107006526756
historical,ACCESS-CM2_r3i1p1f1_ssp245,15,51,972.3932154028696
historical,ACCESS-CM2_r3i1p1f1_ssp245,20,46,984.6349824824407
historical,CESM2-LENS_r10i1p1f1_ssp370,2,64,603.3574737961753
historical,CESM2-LENS_r10i1p1f1_ssp370,5,61,850.0293109103717
historical,CESM2-LENS_r10i1p1f1_ssp370,10,56,909.3707641208791
historical,CESM2-LENS_r10i1p1f1_ssp370,15,51,936.1387419797918
historical,CESM2-LENS_r10i1p1f1_ssp370,20,46,967.1536124718401
historical,CESM2-LENS_r1i1p1f1_ssp370,2,64,509.8843790386072
historical,CESM2-LENS_r1i1p1f1_ssp370,5,61,786.9534038924248
historical,CESM2-LENS_r1i1p1f1_ssp370,10,56,856.7020595950305
historical,CESM2-LENS_r1i1p1f1_ssp370,15,51,893.8494771229458
historical,CESM2-LENS_r1i1p1f1_ssp370,20,46,959.3750800884584
